DateTime,Entries,UniqueIPs
1578719188,126,126
1578722763,125,125
1578726377,125,125
1578729987,124,124
1578733580,124,124
1578737171,125,125
1578740779,126,126
1578744368,128,128
1578747977,126,126
1578751576,126,126
1578755187,125,125
1578758770,127,127
1578762376,126,126
1578765973,126,126
1578769573,125,125
1578773175,124,124
1578776783,124,124
1578780385,123,123
1578783973,121,121
1578787554,123,123
1578791171,122,122
1578794783,120,120
1578798379,122,122
1578801979,120,120
1578805575,126,126
1578809164,125,125
1578812772,122,122
1578816372,122,122
1578819987,118,118
1578823582,123,123
1578827174,127,127
1578830772,124,124
1578834390,125,125
1578837977,128,128
1578841573,126,126
1578845171,128,128
1578848776,127,127
1578852374,122,122
1578855968,123,123
1578859578,125,125
1578863195,124,124
1578866767,125,125
1578873948,125,125
1578877551,124,124
1578881168,121,121
1578884771,123,123
1578888371,118,118
1578891955,119,119
1578895559,122,122
1578899155,125,125
1578902775,127,127
1578906373,125,125
1578909960,128,128
1578913564,128,128
1578917179,129,129
1578920777,132,132
1578924370,130,130
1578927970,126,126
1578931572,129,129
1578935170,129,129
1578938771,124,124
1578942367,125,125
1578945973,127,127
1578949561,128,128
1578953151,129,129
1578956776,127,127
1578960408,128,128
1578963991,126,126
1578967592,122,122
1578971163,129,129
1578974776,129,129
1578978383,127,127
1578981973,128,128
1578985580,129,129
1578989163,129,129
1578992762,129,129
1578996378,130,130
1578999965,126,126
1579003565,127,127
1579007177,127,127
1579010745,125,125
1579014353,124,124
1579017954,126,126
1579021569,124,124
1579025153,121,121
1579028757,114,114
1579032387,118,118
1579035969,118,118
1579039571,121,121
1579043179,124,124
1579046801,124,124
1579053975,126,126
1579057567,125,125
1579061174,128,128
1579064763,126,126
1579068373,125,125
1579071969,129,129
1579075576,127,127
1579079160,124,124
1579082767,120,120
1579086372,122,122
1579089982,122,122
1579093558,120,120
1579097180,119,119
1579100769,125,125
1579104375,127,127
1579107953,127,127
1579111566,128,128
1579115173,125,125
1579118771,125,125
1579122364,122,122
1579125957,122,122
1579129568,124,124
1579133194,124,124
1579136759,126,126
1579140369,125,125
1579143966,125,125
1579147565,128,128
1579151161,128,128
1579154759,126,126
1579158368,126,126
1579161957,122,122
1579165555,120,120
1579169177,123,123
1579172746,126,126
1579176359,131,131
1579179971,130,130
1579183546,128,128
1579187157,126,126
1579190759,126,126
1579194365,127,127
1579197964,126,126
1579201560,127,127
1579205156,124,124
1579208763,125,125
1579212370,124,124
1579215953,126,126
1579219573,125,125
1579223164,123,123
1579226763,124,124
1579230362,126,126
1579233963,124,124
1579237568,125,125
1579241160,126,126
1579244785,123,123
1579248365,124,124
1579251968,123,123
1579255579,125,125
1579259180,126,126
1579262762,129,129
1579266374,130,130
1579269975,129,129
1579273564,124,124
1579277165,120,120
1579280772,123,123
1579284370,124,124
1579287965,124,124
1579291584,126,126
1579295188,125,125
1579298774,124,124
1579302366,121,121
1579305969,123,123
1579309582,124,124
1579313184,128,128
1579316781,130,130
1579320395,124,124
1579323982,126,126
1579327589,126,126
1579331181,125,125
1579334776,127,127
1579341987,126,126
1579345578,123,123
1579349181,122,122
1579352777,123,123
1579356388,124,124
1579359988,123,123
1579363572,123,123
1579367169,123,123
1579370784,122,122
1579374376,125,125
1579377973,124,124
1579381590,123,123
1579385184,122,122
1579388786,118,118
1579392376,119,119
1579395989,123,123
1579399590,124,124
1579403191,119,119
1579406790,123,123
1579410377,129,129
1579413992,127,127
1579417585,125,125
1579421185,128,128
1579424784,126,126
1579428382,126,126
1579431985,130,130
1579435590,127,127
1579439178,129,129
1579446375,128,128
1579449976,125,125
1579453574,124,124
1579457185,121,121
1579460779,123,123
1579464382,121,121
1579467982,122,122
1579471594,120,120
1579475190,123,123
1579478783,122,122
1579482380,124,124
1579485986,127,127
1579489585,128,128
1579493190,128,128
1579496788,125,125
1579500387,120,120
1579503975,118,118
1579507573,123,123
1579511187,119,119
1579514789,118,118
1579518389,121,121
1579521972,119,119
1579525580,122,122
1579529177,119,119
1579532796,121,121
1579536386,123,123
1579539989,122,122
1579543584,120,120
1579547182,119,119
1579550776,124,124
1579557974,124,124
1579561592,128,128
1579565191,126,126
1579568778,125,125
