DateTime,AddedIPs,RemovedIPs
1578759103,7,9
1578762749,8,6
1578766310,6,10
1578769921,8,6
1578773513,7,5
1578777155,5,8
1578780712,9,5
1578784335,8,7
1578787922,10,5
1578791675,23,4
1578795164,8,8
1578798846,7,10
1578802375,6,43
1578805906,12,4
1578809485,5,7
1578813106,6,6
1578816742,2,3
1578820344,5,9
1578823917,10,10
1578827507,10,7
1578831146,3,7
1578834727,6,5
1578838380,11,2
1578841933,3,12
1578845518,13,5
1578849107,5,4
1578852701,4,7
1578856314,4,5
1578859921,4,4
1578863550,4,5
1578867145,5,2
1578870697,3,4
1578874289,9,5
1578877925,14,3
1578881523,13,9
1578885111,8,7
1578888708,8,21
1578892284,13,13
1578895925,13,9
1578899493,10,1
1578903125,7,6
1578906732,4,5
1578910316,8,9
1578913903,12,7
1578917513,10,6
1578921155,9,6
1578924713,5,7
1578928336,6,23
1578931925,15,10
1578935551,12,9
1578939119,5,11
1578942714,7,7
1578946331,12,7
1578949925,6,9
1578953506,10,6
1578957136,11,13
1578960802,33,6
1578964402,7,6
1578967954,5,16
1578971487,18,41
1578975128,7,7
1578978719,5,7
1578982327,8,7
1578985950,7,7
1578989484,5,8
1578993108,4,5
1578996720,7,3
1579000311,5,14
1579003905,9,5
1579007503,7,5
1579011098,4,6
1579014718,7,7
1579018275,4,6
1579021921,3,8
1579025494,4,5
1579029099,7,13
1579032744,7,4
1579036306,7,5
1579039919,6,3
1579043530,6,6
1579047190,16,6
1579050676,8,1
1579054336,4,2
1579057895,4,30
1579061540,4,4
1579065089,4,6
1579068722,5,4
1579072304,5,1
1579075949,2,6
1579079510,5,11
1579083100,6,12
1579086713,8,4
1579090329,7,4
1579093919,7,8
1579097529,6,8
1579101133,13,5
1579104731,3,3
1579108275,3,3
1579111933,4,4
1579115514,4,10
1579119121,6,4
1579122697,8,9
1579126306,6,6
1579129906,6,2
1579133823,21,4
1579137215,9,3
1579140723,4,5
1579144368,6,20
1579147921,5,11
1579151516,7,8
1579155118,3,5
1579158715,7,7
1579162294,4,6
1579165897,6,8
1579169524,12,5
1579173089,10,3
1579176710,5,3
1579180313,5,8
1579183910,5,10
1579187499,4,4
1579191100,8,6
1579194715,4,4
1579198297,4,7
1579201927,4,8
1579205485,3,7
1579209120,9,15
1579212717,11,4
1579216288,10,1
1579219922,10,5
1579223610,17,4
1579227123,16,3
1579230707,5,12
1579234318,3,30
1579237913,8,6
1579241510,6,2
1579245156,7,12
1579248706,9,8
1579252313,12,13
1579255929,13,8
1579259554,5,7
1579263110,8,4
1579266719,5,5
1579270343,5,10
1579273914,6,9
1579277518,5,12
1579281116,8,3
1579284744,6,4
1579288308,6,7
1579291939,10,3
1579295594,4,6
1579299111,6,10
1579302697,6,16
1579306339,13,4
1579309999,17,5
1579313544,11,7
1579317155,11,8
1579320791,3,30
1579324341,9,8
1579327962,8,8
1579331566,1,4
1579335183,6,2
1579338768,2,1
1579342359,2,4
1579345954,3,5
1579349572,5,12
1579353153,9,6
1579356774,2,6
1579360358,5,6
1579363962,12,8
1579367531,6,3
1579371165,4,4
1579374742,6,2
1579378348,5,7
1579381986,6,6
1579385549,6,7
1579389166,6,11
1579392768,11,5
1579396388,26,5
1579399960,2,7
1579403574,6,13
1579407150,12,15
1579410779,12,2
1579414393,4,4
1579417962,1,6
1579421580,6,3
1579425151,2,8
1579428753,5,4
1579432360,9,1
1579435966,4,7
1579439556,7,3
1579443172,1,3
1579446749,3,7
1579450374,4,9
1579453937,5,7
1579457578,4,4
1579461178,6,5
1579464748,6,6
1579468357,6,6
1579471992,5,8
1579475557,8,6
1579479147,10,4
1579482977,17,5
1579486410,6,4
1579490026,7,7
1579493568,6,26
1579497245,5,8
1579500738,3,13
1579504364,7,6
1579507953,8,3
1579511589,3,8
1579515147,9,5
1579518774,12,5
1579522326,10,7
1579525953,8,5
1579529525,3,14
1579533154,7,7
1579536751,8,10
1579540376,10,8
1579543946,4,7
1579547556,5,7
1579551164,9,2
1579554775,4,3
1579558341,3,5
1579561982,6,2
1579565611,20,6
1579569155,8,5
1579572838,7,7
1579576381,14,24
1579579981,10,6
1579583561,8,5
1579587173,4,16
1579590766,3,8
1579594362,9,17
1579597948,13,9
1579601588,10,5
1579605145,13,4
1579608779,3,7
1579612389,11,9
1579615976,6,4
1579619605,5,8
1579623166,8,6
1579626766,4,3
1579630355,4,3
1579633969,6,7
1579637579,1,2
1579641151,4,9
1579644734,7,4
1579648382,3,6
1579651954,11,6
1579655553,10,9
1579659143,10,14
1579662768,9,6
1579666365,2,27
1579669941,3,9
1579673547,8,6
1579677137,6,4
1579680763,8,2
1579684332,6,2
1579687976,5,5
1579691513,3,5
1579695129,5,4
1579698744,5,5
1579702349,3,4
1579705933,5,7
1579709543,7,6
1579713149,4,5
1579716756,5,13
1579720324,6,6
1579723954,10,4
1579727566,6,3
1579731147,5,9
1579734746,8,7
1579738402,20,8
1579742004,3,4
1579745565,7,5
1579749149,7,22
1579752767,8,8
1579756278,9,10
1579759900,6,5
1579763489,5,6
1579767103,7,7
1579770728,8,6
1579774280,6,4
1579777906,13,3
1579781491,7,13
1579785111,9,8
1579788712,5,13
1579792291,2,5
1579795884,10,9
1579799510,6,4
1579803096,4,6
1579806727,7,6
1579810322,5,6
1579813891,8,10
1579817495,8,4
1579821130,3,1
1579824715,7,1
1579828324,13,3
1579831909,2,12
1579835522,7,11
1579839097,10,24
1579842743,7,8
1579846328,11,5
1579849929,6,7
1579853517,9,7
1579857125,8,6
1579860735,5,8
1579864307,4,7
1579867939,3,6
1579871513,5,5
1579875126,10,4
1579878738,7,8
1579882299,6,6
1579885909,8,2
1579889547,4,9
1579893113,4,6
1579896701,3,5
1579900332,6,6
1579903934,3,2
1579907511,10,4
1579911112,8,10
1579914768,23,5
1579918331,10,4
1579921931,8,9
1579925551,9,8
1579929110,5,5
1579932727,5,6
1579936303,8,8
1579939879,1,8
1579943522,4,13
1579947110,4,6
1579950680,16,4
1579954324,7,3
1579957897,4,8
1579961523,3,4
1579965132,5,15
1579968700,14,9
1579972307,6,2
1579975906,6,5
1579979528,9,5
1579983088,5,14
1579986700,10,6
1579990308,10,3
1579993906,3,9
1579997520,6,2
1580001076,20,10
1580004709,2,7
1580008269,11,7
1580011910,5,23
1580015450,6,7
1580019101,5,4
1580022692,3,10
1580026284,4,3
1580029885,4,15
1580033513,8,5
1580037099,4,3
1580040693,8,8
1580044280,17,6
1580047888,5,5
1580051522,7,4
1580055070,7,6
1580058702,6,4
1580062292,2,7
1580065879,2,4
1580069489,1,8
1580073101,5,4
1580076676,3,5
1580080300,6,2
1580083912,8,2
1580087530,12,4
1580091100,1,4
1580094703,4,7
1580098339,5,23
1580101923,10,11
1580105505,8,4
1580109066,10,6
1580112714,10,5
1580116302,6,4
1580119900,5,2
1580123501,4,2
1580127143,3,11
1580130703,6,6
1580134357,8,4
1580137902,4,4
1580141506,2,4
1580145119,3,4
1580148708,8,4
1580152298,5,11
1580155900,6,8
1580159518,4,2
1580163092,8,6
1580166709,7,6
1580170394,16,4
1580173876,5,6
1580177482,6,4
1580181128,4,15
1580184683,4,7
1580188284,3,5
1580191905,4,18
1580195498,9,12
1580199100,9,2
1580202690,1,1
1580206367,4,1
1580209867,8,5
1580213518,4,3
1580217065,5,4
1580220687,5,5
1580224303,2,4
1580227895,4,3
1580231497,3,6
1580235052,3,5
1580238675,2,3
1580242342,4,6
1580245897,5,3
1580249490,1,9
1580253084,6,4
1580256728,16,4
1580260327,30,4
1580263903,8,2
1580267502,9,3
1580271171,6,19
1580274704,5,5
1580278334,3,5
1580281897,3,8
1580285543,6,4
1580289123,4,7
1580292729,6,3
1580296283,5,4
1580299935,2,5
1580303513,5,7
1580307113,8,6
1580310750,3,4
1580314321,3,6
1580317930,6,5
1580321499,2,10
1580325147,4,5
1580328685,8,3
1580332318,8,2
1580335915,4,7
1580339529,1,5
1580343127,7,5
1580346727,15,7
1580350288,14,5
1580353942,8,10
1580357481,11,19
1580361106,2,6
1580364767,4,5
1580368318,5,6
1580371934,3,5
1580375515,5,4
1580379167,6,4
1580382726,3,5
1580386330,3,5
1580389957,4,4
1580393541,6,4
1580397141,2,3
1580400727,5,4
1580404358,8,5
1580407923,5,5
1580411533,3,5
1580415138,2,2
1580418757,3,7
1580422325,5,4
1580425972,4,8
1580429552,7,3
1580433176,10,6
1580436742,9,4
1580440331,10,8
1580443974,2,17
1580447543,7,7
1580451159,4,15
1580454748,11,10
1580458350,9,7
1580461974,6,6
1580465545,9,6
1580469183,8,3
1580472727,6,5
1580476354,4,6
1580479971,5,6
1580483564,8,6
1580487134,9,8
1580490752,7,5
1580494385,1,3
