DateTime,Entries,UniqueIPs
1578759103,529,529
1578762749,531,531
1578766310,527,527
1578769921,529,529
1578773513,531,531
1578777155,528,528
1578780712,532,532
1578784335,533,533
1578787922,538,538
1578791675,557,557
1578795164,557,557
1578798846,554,554
1578802375,517,517
1578805906,525,525
1578809485,523,523
1578813106,523,523
1578816742,522,522
1578820344,518,518
1578823917,518,518
1578827507,521,521
1578831146,517,517
1578834727,518,518
1578838380,527,527
1578841933,518,518
1578845518,526,526
1578849107,527,527
1578852701,524,524
1578856314,523,523
1578859921,523,523
1578863550,522,522
1578867145,525,525
1578870697,524,524
1578874289,528,528
1578877925,539,539
1578881523,543,543
1578885111,544,544
1578888708,531,531
1578892284,531,531
1578895925,535,535
1578899493,544,544
1578903125,545,545
1578906732,544,544
1578910316,543,543
1578913903,548,548
1578917513,552,552
1578921155,555,555
1578924713,553,553
1578928336,536,536
1578931925,541,541
1578935551,544,544
1578939119,538,538
1578942714,538,538
1578946331,543,543
1578949925,540,540
1578953506,544,544
1578957136,542,542
1578960802,569,569
1578964402,570,570
1578967954,559,559
1578971487,536,536
1578975128,536,536
1578978719,534,534
1578982327,535,535
1578985950,535,535
1578989484,532,532
1578993108,531,531
1578996720,535,535
1579000311,526,526
1579003905,530,530
1579007503,532,532
1579011098,530,530
1579014718,530,530
1579018275,528,528
1579021921,523,523
1579025494,522,522
1579029099,516,516
1579032744,519,519
1579036306,521,521
1579039919,524,524
1579043530,524,524
1579047190,534,534
1579050676,541,541
1579054336,543,543
1579057895,517,517
1579061540,517,517
1579065089,515,515
1579068722,516,516
1579072304,520,520
1579075949,516,516
1579079510,510,510
1579083100,504,504
1579086713,508,508
1579090329,511,511
1579093919,510,510
1579097529,508,508
1579101133,516,516
1579104731,516,516
1579108275,516,516
1579111933,516,516
1579115514,510,510
1579119121,512,512
1579122697,511,511
1579126306,511,511
1579129906,515,515
1579133823,532,532
1579137215,538,538
1579140723,537,537
1579144368,523,523
1579147921,517,517
1579151516,516,516
1579155118,514,514
1579158715,514,514
1579162294,512,512
1579165897,510,510
1579169524,517,517
1579173089,524,524
1579176710,526,526
1579180313,523,523
1579183910,518,518
1579187499,518,518
1579191100,520,520
1579194715,520,520
1579198297,517,517
1579201927,513,513
1579205485,509,509
1579209120,503,503
1579212717,510,510
1579216288,519,519
1579219922,524,524
1579223610,537,537
1579227123,550,550
1579230707,543,543
1579234318,516,516
1579237913,518,518
1579241510,522,522
1579245156,517,517
1579248706,518,518
1579252313,517,517
1579255929,522,522
1579259554,520,520
1579263110,524,524
1579266719,524,524
1579270343,519,519
1579273914,516,516
1579277518,509,509
1579281116,514,514
1579284744,516,516
1579288308,515,515
1579291939,522,522
1579295594,520,520
1579299111,516,516
1579302697,506,506
1579306339,515,515
1579309999,527,527
1579313544,531,531
1579317155,534,534
1579320791,507,507
1579324341,508,508
1579327962,508,508
1579331566,505,505
1579335183,509,509
1579338768,510,510
1579342359,508,508
1579345954,506,506
1579349572,499,499
1579353153,502,502
1579356774,498,498
1579360358,497,497
1579363962,501,501
1579367531,504,504
1579371165,504,504
1579374742,508,508
1579378348,506,506
1579381986,506,506
1579385549,505,505
1579389166,500,500
1579392768,506,506
1579396388,527,527
1579399960,522,522
1579403574,515,515
1579407150,512,512
1579410779,522,522
1579414393,522,522
1579417962,517,517
1579421580,520,520
1579425151,514,514
1579428753,515,515
1579432360,523,523
1579435966,520,520
1579439556,524,524
1579443172,522,522
1579446749,518,518
1579450374,513,513
1579453937,511,511
1579457578,511,511
1579461178,512,512
1579464748,512,512
1579468357,512,512
1579471992,509,509
1579475557,511,511
1579479147,517,517
1579482977,529,529
1579486410,531,531
1579490026,531,531
1579493568,511,511
1579497245,508,508
1579500738,498,498
1579504364,499,499
1579507953,504,504
1579511589,499,499
1579515147,503,503
1579518774,510,510
1579522326,513,513
1579525953,516,516
1579529525,505,505
1579533154,505,505
1579536751,503,503
1579540376,505,505
1579543946,502,502
1579547556,500,500
1579551164,507,507
1579554775,508,508
1579558341,506,506
1579561982,510,510
1579565611,524,524
1579569155,527,527
1579572838,527,527
1579576381,517,517
1579579981,521,521
1579583561,524,524
1579587173,512,512
1579590766,507,507
1579594362,499,499
1579597948,503,503
1579601588,508,508
1579605145,517,517
1579608779,513,513
1579612389,515,515
