DateTime,AddedIPs,RemovedIPs
1578380808,0,2
1578384420,0,7
1578388016,3,0
1578391615,5,0
1578395218,1,1
1578398792,1,2
1578402421,2,0
1578406004,0,2
1578409606,3,0
1578413211,1,6
1578416809,3,2
1578420412,1,0
1578424010,3,1
1578427610,1,0
1578431222,0,1
1578434794,2,2
1578438408,2,0
1578442013,2,0
1578445617,3,0
1578449219,1,0
1578452811,0,1
1578456405,2,2
1578460013,1,1
1578463603,0,2
1578467201,0,1
1578470808,1,4
1578474409,1,3
1578478002,3,0
1578481596,2,2
1578485203,2,0
1578503217,0,5
1578506808,5,0
1578521201,0,2
1578524814,1,2
1578528441,2,6
1578531981,10,0
1578535603,1,0
1578539218,5,3
1578542805,3,2
1578546408,4,3
1578550008,4,1
1578553605,1,0
1578560794,1,1
1578564403,0,7
1578568000,1,0
1578571591,5,5
1578575198,4,2
1578578799,1,2
1578582402,4,1
1578586000,2,6
1578589611,3,12
1578593195,7,0
1578596798,3,3
1578600403,3,3
1578604000,2,1
1578607603,3,3
1578611199,5,0
1578614840,0,1
1578618394,1,1
1578622003,3,6
1578625609,6,7
1578629202,1,8
1578632808,6,0
1578636423,1,2
1578665212,0,5
1578668804,4,1
1578672402,1,1
1578676006,1,4
1578679606,5,0
1578683219,0,2
1578686809,1,0
1578697616,1,1
1578701202,1,0
1578708429,1,2
1578712011,2,0
1578715627,0,3
1578719223,3,3
1578722797,2,2
1578726408,2,0
1578733615,0,1
1578737205,0,1
1578740813,1,2
1578744401,2,0
1578748010,0,4
1578751608,2,2
1578755220,1,2
1578758804,1,3
1578762410,3,0
1578766006,2,5
1578769606,5,2
1578773208,1,0
1578776816,0,2
1578780419,4,0
1578784007,1,0
1578787591,1,0
1578791204,2,0
1578794816,1,0
1578798413,2,2
1578802013,1,8
1578805610,4,1
1578809198,0,1
1578812805,2,0
1578823616,0,4
1578827208,3,5
1578834422,0,1
1578838010,2,1
1578841605,1,6
1578845206,8,0
1578848811,1,0
1578852407,1,0
1578856003,1,0
1578859611,1,2
1578863229,1,1
1578870391,1,2
1578873986,2,1
1578877585,3,0
1578881202,6,2
1578884806,3,0
1578888406,5,7
1578891989,4,2
1578895599,4,2
1578899193,2,0
1578902810,3,3
1578906408,1,1
1578909996,1,4
1578913606,5,2
1578917212,1,2
1578920811,0,2
1578924406,1,2
1578928004,2,9
1578931610,6,3
1578935207,4,3
1578938806,3,2
1578942403,1,0
1578946008,4,5
1578949595,0,2
1578953189,4,2
1578956811,5,7
1578960441,2,3
1578964025,2,1
1578967625,1,7
1578971198,6,10
1578974810,4,2
1578978416,1,0
1578982006,5,2
1578985614,0,2
1578989196,1,2
1578996411,1,1
1578999999,1,6
1579003599,5,2
1579007212,1,0
1579010778,1,0
1579017987,0,1
1579021604,2,4
1579025187,2,1
1579028790,1,1
1579036002,2,1
1579039605,1,1
1579043212,2,5
1579046835,1,1
1579050388,6,0
1579057602,1,0
1579064798,0,1
1579075609,0,2
1579079194,1,4
1579082800,3,3
1579086405,1,1
1579090015,1,0
1579093591,1,1
1579097213,1,3
1579100804,5,0
1579111601,0,1
1579115206,0,3
1579118804,3,2
1579122397,4,2
1579125992,1,1
1579129603,2,0
1579133229,4,0
1579136793,2,1
1579140401,1,0
1579144000,1,3
1579147598,0,6
1579151195,3,3
1579154792,0,1
1579158401,1,2
1579161990,1,0
1579165590,2,2
1579169211,4,0
1579176393,0,1
1579180007,1,0
1579183579,0,4
1579187190,1,0
1579190795,2,0
1579194400,1,2
1579197997,0,1
1579205188,1,2
1579208796,2,9
1579212402,7,2
1579215988,6,0
1579223198,1,1
1579226805,10,0
1579230402,3,4
1579233999,1,2
1579237606,2,1
1579241196,1,0
1579244819,2,4
1579248399,0,1
1579252005,4,5
1579255615,7,3
1579259215,1,2
1579262802,2,0
1579270014,2,4
1579273600,2,0
1579277202,1,6
1579280808,2,0
1579284408,2,2
1579287999,2,2
1579291620,3,1
1579295223,1,2
1579298810,2,6
1579302400,3,5
1579306007,2,2
1579309615,1,2
1579313218,4,4
1579316815,2,2
1579320428,1,10
1579324015,1,0
1579327625,3,0
1579345611,0,1
1579349214,1,6
1579352810,1,3
1579356421,0,2
1579360021,2,2
1579363607,5,1
1579367202,3,1
1579370819,2,0
1579374409,1,1
1579378006,1,1
1579385217,0,2
1579388819,1,0
1579392411,1,1
1579396022,1,2
1579399622,0,2
1579403224,2,0
1579406823,2,1
1579410412,3,0
1579414026,0,1
1579424820,0,2
1579428415,1,1
1579432018,3,0
1579446408,0,2
1579450009,1,1
1579453607,2,4
1579457218,2,2
1579460812,2,2
1579464415,2,0
1579468015,2,4
1579471626,2,2
1579475225,2,5
1579478818,2,0
1579482414,2,2
1579486021,3,1
1579489618,3,2
1579493223,2,2
1579496821,1,1
1579500419,0,5
1579504008,3,1
1579507607,1,1
1579511222,0,1
1579514824,2,1
1579518422,2,2
1579522007,2,0
1579525613,1,0
1579532829,1,0
1579536419,0,5
1579540022,4,1
1579543617,2,3
1579547215,1,2
1579550812,2,0
1579554414,0,1
1579558007,0,1
1579561625,1,0
1579565228,3,2
1579568812,5,0
1579572433,3,0
1579576030,8,2
1579579624,4,0
1579583216,3,0
1579586824,2,11
1579590415,2,2
1579594018,1,10
1579597605,5,5
1579601214,6,3
1579604814,8,2
1579608421,0,1
1579612026,4,2
1579615614,4,1
1579619235,1,4
1579622823,2,1
1579626419,2,1
1579630024,1,3
1579633623,4,1
1579637222,0,1
1579640822,1,5
1579644400,3,3
1579648012,0,1
1579651624,5,3
1579655210,3,3
1579658819,3,10
1579662427,4,2
1579666028,0,5
1579669614,0,2
1579673219,1,2
1579676816,0,2
1579680421,2,0
1579684013,2,0
1579705610,0,2
1579709217,1,1
1579716419,2,6
1579720008,3,0
1579723611,2,2
1579727214,2,0
1579730817,1,0
1579734422,0,1
1579738028,0,5
1579745215,3,3
1579748815,2,0
1579752408,3,3
1579755995,3,2
1579759598,3,0
1579763191,0,1
1579766795,0,2
1579770395,1,3
1579777590,1,0
1579781190,1,3
1579784796,3,4
1579788394,3,1
1579791991,1,1
1579795585,2,3
1579799179,1,0
1579802793,0,1
1579806401,2,1
1579809995,4,3
1579813595,4,2
1579817190,2,0
1579831601,0,8
1579835201,2,1
1579838798,4,7
1579842400,4,1
1579846005,5,2
1579853198,1,2
1579856781,0,1
1579860402,1,5
1579863991,1,0
1579867598,1,1
1579871195,0,2
1579874788,3,1
1579878390,2,0
1579881984,1,1
1579885588,2,0
1579892790,0,2
1579896384,1,2
1579899995,1,3
1579903595,0,1
1579907196,3,0
1579910795,2,3
1579914407,12,0
1579917999,2,2
1579921598,4,1
1579925213,4,0
1579928794,2,1
1579932386,2,0
1579935993,1,3
1579939584,0,4
1579943193,2,5
1579946782,1,3
1579950391,5,2
1579953992,2,0
1579957585,1,3
1579961186,0,1
1579964796,2,5
1579968391,6,3
1579971992,1,0
1579975592,2,1
1579979193,1,1
1579982794,1,8
1579986394,4,1
1579989996,4,1
1579993593,0,3
1579997210,3,0
1580000783,1,6
1580004401,1,2
1580007991,4,0
1580011590,2,8
1580015180,1,1
1580022390,0,2
1580025986,1,1
1580029594,1,5
1580033188,1,0
1580036786,2,1
1580040391,1,2
1580043983,3,1
1580047583,1,0
1580054775,1,0
1580058388,0,1
1580072783,1,1
1580079987,1,1
1580087195,1,0
1580097985,0,4
1580101601,2,5
1580105184,3,0
1580108774,3,1
1580112387,2,0
1580115997,1,0
1580126798,0,2
1580130388,1,1
1580134001,0,1
1580137586,2,1
1580141184,0,2
1580144791,1,0
1580148392,1,1
1580151990,1,4
1580155589,3,1
1580159203,1,0
1580162787,2,1
1580166384,1,0
1580170021,0,1
1580173586,1,1
1580177182,1,1
1580184392,1,0
1580191594,1,12
1580195183,4,0
1580198793,2,1
1580202386,0,1
1580206003,2,0
1580209579,1,0
1580220377,0,2
1580249188,0,3
1580252781,1,2
1580256401,3,1
1580260000,6,0
1580263601,3,0
1580267201,5,0
1580274398,0,1
1580278003,0,1
1580281605,0,1
1580288806,0,2
1580292408,2,1
1580299592,0,2
1580303200,0,2
1580306799,3,1
1580310395,1,0
1580314004,0,1
1580321190,0,3
1580324796,2,1
1580328397,4,0
1580332006,1,1
1580335594,1,2
1580339206,0,2
1580342812,1,2
1580346389,2,3
1580349995,7,2
1580353589,1,2
1580357188,0,6
1580360792,0,1
1580364401,0,1
1580375202,1,0
1580389603,0,1
1580393199,0,1
1580404009,2,0
1580418410,0,5
1580422005,3,1
1580425608,1,2
1580429213,1,1
1580432799,1,3
1580436413,3,2
1580440009,6,2
1580443614,0,2
1580447207,2,0
1580450815,2,3
1580454414,1,4
1580458002,2,1
1580465197,3,2
1580472397,1,1
1580479614,1,2
1580483209,2,1
1580486795,3,3
1580490402,3,1
1580504815,1,0
1580515615,0,1
1580519213,3,2
1580522808,4,1
1580526407,2,4
1580530019,4,5
1580533621,8,0
1580537202,2,3
1580540808,0,1
1580544399,5,0
1580548012,4,3
1580551604,1,0
