DateTime,Entries,UniqueIPs
1578758854,142,142
1578762451,142,142
1578766054,141,141
1578769657,141,141
1578773252,142,142
1578776866,143,143
1578780468,143,143
1578784059,144,144
1578787643,142,142
1578791373,142,142
1578794914,143,143
1578798578,145,145
1578802105,145,145
1578805645,144,144
1578809232,144,144
1578812851,142,142
1578816457,140,140
1578820069,140,140
1578823667,141,141
1578827250,140,140
1578830857,139,139
1578834476,139,139
1578838112,143,143
1578841661,140,140
1578845248,141,141
1578848853,141,141
1578852452,143,143
1578856039,139,139
1578859669,139,139
1578863289,140,140
1578866858,142,142
1578870445,142,142
1578874024,143,143
1578877641,144,144
1578881259,143,143
1578884850,144,144
1578888458,144,144
1578892034,143,143
1578895645,142,142
1578899233,144,144
1578902864,142,142
1578906455,143,143
1578910051,145,145
1578913644,145,145
1578917258,145,145
1578920867,144,144
1578924451,144,144
1578928060,144,144
1578931663,142,142
1578935260,142,142
1578938860,141,141
1578942456,141,141
1578946061,144,144
1578949651,143,143
1578953229,143,143
1578956864,143,143
1578960494,141,141
1578964071,142,142
1578967679,143,143
1578971236,145,145
1578974856,145,145
1578978472,143,143
1578982055,140,140
1578985664,141,141
1578989247,142,142
1578992854,141,141
1578996467,142,142
1579000044,140,140
1579003643,140,140
1579007245,140,140
1579010829,140,140
1579014437,140,140
1579018036,140,140
1579021652,139,139
1579025236,138,138
1579028836,138,138
1579032474,138,138
1579036053,138,138
1579039655,139,139
1579043263,139,139
1579046886,138,138
1579050424,139,139
1579054058,141,141
1579057645,140,140
1579061253,138,138
1579064838,139,139
1579068454,139,139
1579072055,141,141
1579075663,140,140
1579079246,141,141
1579082845,141,141
1579086458,142,142
1579090061,142,142
1579093640,143,143
1579097269,142,142
1579100854,140,140
1579104458,139,139
1579108036,139,139
1579111650,139,139
1579115254,138,138
1579118852,139,139
1579122441,140,140
1579126038,140,140
1579129643,140,140
1579133509,140,140
1579136957,141,141
1579140455,139,139
1579144108,139,139
1579147640,139,139
1579151249,137,137
1579154839,139,139
1579158452,140,140
1579162042,142,142
1579165629,142,142
1579169248,142,142
1579172821,143,143
1579176439,143,143
1579180041,142,142
1579183621,142,142
1579187248,142,142
1579190834,141,141
1579194444,141,141
1579198047,141,141
1579201655,140,140
1579205237,140,140
1579208843,139,139
1579212454,139,139
1579216022,140,140
1579219648,140,140
1579223254,141,141
1579226870,141,141
1579230440,140,140
1579234054,140,140
1579237660,141,141
1579241255,142,142
1579244880,142,142
1579248454,142,142
1579252062,142,142
1579255665,142,142
1579259272,142,142
1579262856,143,143
1579266460,143,143
1579270076,140,140
1579273655,139,139
1579277255,139,139
1579280857,139,139
1579284469,140,140
1579288054,140,140
1579291680,141,141
1579295277,141,141
1579298868,141,141
1579302452,140,140
1579306066,140,140
1579309667,141,141
1579313277,142,142
1579316876,142,142
1579320489,141,141
1579324070,141,141
1579327678,139,139
1579331277,139,139
1579334871,139,139
1579338481,140,140
1579342076,140,140
1579345672,140,140
1579349271,140,140
1579352869,142,142
1579356481,141,141
1579360072,139,139
1579363655,138,138
1579367256,139,139
1579370880,139,139
1579374460,140,140
1579378057,141,141
1579381685,140,140
1579385273,141,141
1579388874,140,140
1579392473,139,139
1579396077,140,140
1579399685,139,139
1579403285,139,139
1579406880,141,141
1579410470,141,141
1579414088,141,141
1579417675,141,141
1579421271,141,141
1579424877,140,140
1579428468,139,139
1579432070,140,140
1579435665,140,140
1579439270,141,141
1579442881,139,139
1579446462,140,140
1579450061,139,139
1579453660,139,139
1579457277,140,140
1579460874,139,139
1579464466,138,138
1579468067,139,139
1579471686,139,139
1579475281,140,140
1579478878,141,141
1579482592,140,140
1579486135,139,139
1579489729,141,141
1579493281,141,141
1579496939,141,141
1579500477,139,139
1579504066,139,139
1579507668,139,139
1579511279,140,140
1579514885,141,141
1579518484,143,143
1579522060,143,143
1579525663,143,143
1579529260,141,141
1579532890,140,140
1579536467,140,140
1579540083,142,142
1579543673,142,142
1579547268,140,140
1579550869,140,140
1579554471,141,141
1579558068,140,140
1579561684,141,141
1579565289,140,140
1579568881,140,140
1579572544,139,139
1579576091,141,141
1579579682,142,142
1579583281,142,142
1579586883,141,141
1579590476,139,139
1579594075,138,138
1579597664,140,140
1579601275,141,141
1579604875,141,141
1579608489,140,140
1579612087,140,140
1579615674,138,138
1579619289,137,137
1579622881,138,138
1579626470,139,139
1579630073,140,140
1579633678,139,139
1579637283,139,139
1579640882,140,140
1579644448,141,141
1579648080,141,141
1579651675,140,140
1579655265,139,139
1579658876,139,139
1579662479,141,141
1579666089,139,139
1579669676,139,139
1579673274,139,139
1579676870,140,140
1579680480,140,140
1579684070,139,139
1579687684,139,139
1579691256,140,140
1579694874,140,140
1579698465,140,140
1579702071,142,142
1579705661,142,142
1579709272,143,143
1579712872,143,143
1579716481,140,140
1579720063,138,138
1579723670,140,140
1579727275,141,141
1579730878,141,141
1579734475,139,139
1579738088,140,140
1579741659,140,140
1579745277,140,140
1579748875,141,141
1579752465,141,141
1579756039,140,140
1579759639,139,139
1579763241,140,140
1579766833,142,142
1579770450,142,142
1579774042,141,141
1579777635,143,143
1579781242,143,143
1579784839,143,143
1579788443,140,140
1579792044,139,139
1579795634,140,140
1579799234,139,139
1579802850,138,138
1579806450,138,138
1579810042,140,140
1579813649,139,139
1579817227,139,139
1579820856,139,139
1579824470,140,140
1579828038,139,139
1579831655,139,139
1579835245,138,138
1579838854,139,139
1579842460,142,142
1579846053,142,142
1579849656,140,140
1579853250,140,140
1579856840,140,140
1579860463,139,139
1579864048,139,139
1579867655,140,140
1579871249,141,141
1579874843,141,141
1579878435,140,140
1579882037,139,139
1579885641,141,141
1579889259,141,141
1579892848,139,139
1579896431,139,139
1579900050,139,139
1579903649,141,141
1579907252,142,142
1579910843,140,140
1579914481,138,138
1579918059,139,139
1579921653,139,139
1579925272,141,141
1579928850,141,141
1579932444,140,140
1579936053,140,140
1579939627,139,139
1579943241,138,138
1579946827,138,138
1579950431,140,140
1579954043,141,141
1579957640,141,141
1579961243,141,141
1579964853,140,140
1579968431,141,141
1579972047,140,140
1579975643,140,140
1579979245,140,140
1579982847,142,142
1579986436,142,142
1579990045,142,142
1579993644,141,141
1579997256,141,141
1580000829,141,141
1580004459,140,140
1580008034,140,140
1580011646,141,141
1580015216,140,140
1580018843,139,139
1580022445,138,138
1580026042,138,138
1580029643,138,138
1580033237,138,138
1580036838,140,140
1580040438,141,141
1580044024,142,142
1580047633,140,140
1580051248,142,142
1580054817,141,141
1580058442,142,142
1580062044,141,141
1580065634,139,139
1580069239,138,138
1580072838,138,138
1580076440,140,140
1580080035,139,139
1580083640,139,139
1580087239,139,139
1580090840,138,138
1580094439,139,139
1580098040,139,139
1580101654,140,140
1580105233,142,142
1580108808,142,142
1580112429,141,141
1580116046,139,139
1580119630,141,141
1580123226,140,140
1580126851,140,140
1580130442,139,139
1580134044,141,141
1580137628,141,141
1580141232,141,141
1580144844,140,140
1580148443,140,140
1580152035,140,140
1580155639,139,139
1580159252,139,139
1580162831,140,140
1580166435,142,142
1580170078,143,143
1580173630,141,141
1580177225,141,141
1580180853,142,142
1580184442,142,142
1580188042,140,140
1580191649,139,139
1580195230,136,136
1580198838,138,138
1580202436,139,139
1580206061,140,140
1580209619,141,141
1580213249,141,141
1580216828,141,141
1580220419,142,142
1580224033,141,141
1580227631,141,141
1580231243,141,141
1580234815,141,141
1580238429,140,140
1580242042,140,140
1580245639,138,138
1580249239,138,138
1580252836,140,140
1580256454,140,140
1580260051,139,139
1580263645,140,140
1580267242,141,141
1580270860,142,142
1580274451,142,142
1580278038,142,142
1580281656,141,141
1580285250,140,140
1580288850,141,141
1580292447,142,142
1580296049,142,142
1580299643,141,141
1580303254,141,141
1580306845,141,141
1580310453,140,140
1580314057,141,141
1580317649,140,140
1580321239,139,139
1580324852,138,138
1580328439,139,139
1580332057,142,142
1580335641,141,141
1580339258,140,140
1580342862,139,139
1580346443,138,138
1580350033,140,140
1580353642,141,141
1580357229,142,142
1580360844,141,141
1580364456,141,141
1580368061,141,141
1580371661,142,142
1580375253,142,142
1580378867,142,142
1580382458,141,141
1580386053,141,141
1580389658,140,140
1580393247,142,142
1580396875,142,142
1580400452,142,142
1580404061,142,142
1580407656,143,143
1580411248,143,143
1580414853,142,142
1580418464,142,142
1580422056,141,141
1580425659,142,142
1580429266,141,141
1580432859,141,141
1580436467,143,143
1580440064,143,143
1580443671,142,142
1580447266,142,142
1580450876,141,141
1580454475,142,142
1580458063,144,144
1580461664,144,144
1580465258,143,143
1580468861,143,143
1580472450,141,141
1580476063,141,141
1580479675,139,139
1580483267,140,140
1580486846,141,141
1580490459,140,140
1580494074,141,141
1580497665,139,139
1580501267,140,140
1580504866,139,139
1580508472,141,141
1580512069,141,141
1580515672,142,142
1580519279,142,142
1580522880,142,142
1580526463,144,144
1580530079,143,143
1580533691,142,142
1580537257,140,140
1580540868,140,140
1580544458,140,140
1580548075,141,141
1580551666,141,141
1580555252,141,141
