DateTime,AddedIPs,RemovedIPs
1579561946,3,2
1579563851,5,2
1579565800,1,185
1579567705,3,211
1579569611,7,333
1579571526,2,411
1579573479,3,242
1579575370,2,172
1579577291,0,100
1579579231,29,149
1579581160,3,213
1579583060,4,96
1579584969,4,267
1579586894,10,165
1579588809,5,223
1579590760,14,197
1579592654,6,194
1579594611,6,134
1579596492,6,270
1579598410,6,228
1579600326,3,202
1579602251,6,159
1579604196,6,198
1579606089,4,114
1579608983,20,338
1579610897,1741,267
1579612805,1601,269
1579614726,1863,210
1579616651,1746,3
1579618566,647,4
1579620488,2,7
1579623371,4,7
1579625297,5,4
1579627220,4,4
1579629135,8,14
1579631054,8,3
1579634415,49,12
1579636352,17,8
1579638255,6,8
1579640166,5,9
1579642088,4,4
1579644027,5,5
1579645959,3,11
1579648108,6,9
1579650011,1,8
1579651933,3,3
1579653848,7,7
1579655795,5,8
1579657713,7,7
1579659628,8,10
1579661537,15,2
1579663473,7,1
1579665370,3,38
1579667543,9,6
1579669474,3,6
1579671390,7,6
1579673308,7,8
1579675211,7,7
1579677136,1,9
1579679062,5,4
1579680975,3,4
1579682891,2,7
1579684824,150,5
1579686727,3,3
1579688650,6,3
1579690580,3,7
1579692486,5,4
1579695382,6,11
1579697305,3,1754
1579699213,8,1592
1579701136,2,1887
1579703092,3,1790
1579704972,2,588
1579706906,5,4
1579708964,7,1
1579710826,7,3
1579712917,5,2
1579714824,3,11
1579716734,6,5
1579718672,5,6
1579720576,3,33
1579722513,0,22
1579724424,1,7
1579726341,4,6
1579728253,0,7
1579730186,4,8
1579732097,5,8
1579734034,6,4
1579735951,2,6
1579738824,12,4
1579740726,3,4
1579742651,3,3
1579744587,4,5
1579746485,4,7
1579748427,4,15
1579750358,6,8
1579752519,4,4
1579754413,3,9
1579756329,4,6
1579758258,2,4
1579760171,5,6
1579762338,6,14
1579764260,2,3
1579766175,3,7
1579768089,4,4
1579770031,11,2
1579771974,6,2
1579773887,19,178
1579775770,60,8
1579777731,67,3
1579779638,55,2
1579781567,26,7
1579783452,22,6
1579785420,69,4
1579787320,41,3
1579789212,39,4
1579791127,95,2
1579793055,83,0
1579794967,35,3
1579796894,19,6
1579798859,24,6
1579800739,27,2
1579802669,32,5
1579804576,33,1
1579806533,34,2
1579808414,89,4
1579810332,34,2
1579812255,16,2
1579814174,29,1
1579816095,33,2
1579818010,40,3
1579819950,53,3
1579821860,15,1
1579823768,14,5
1579825692,73,5
1579827673,41,4
1579829565,48,0
1579831702,35,5
1579833611,61,4
1579835551,54,6
1579837476,61,3
1579839375,48,4
1579841293,55,3
1579843212,27,2
1579845125,31,3
1579847053,40,3
1579848970,28,5
1579850898,19,3
1579853803,50,5
1579855691,22,4
1579857612,57,7
1579859555,27,14
1579861452,28,31
1579863379,10,64
1579865285,5,64
1579867237,1,13
1579869139,82,17
1579871305,5,29
1579873257,3,39
1579875136,7,29
1579877098,7,74
1579879000,45,19
1579881156,12,66
1579883053,24,20
1579884999,69,24
1579886895,57,29
1579889776,38,48
1579891695,41,30
1579893627,20,38
1579895528,77,89
1579897473,44,17
1579899371,35,19
1579901291,26,30
1579904191,43,59
1579906125,33,46
1579908013,20,14
1579909948,10,13
1579911851,33,73
