DateTime,AddedIPs,RemovedIPs
1579559319,1,2
1579562240,2,3
1579564118,2,1
1579566016,2,2
1579567957,0,4
1579569883,3,2
1579571780,2,0
1579573694,0,2
1579576605,2,6
1579578552,1,3
1579580410,2,1
1579584250,1,2
1579586175,2,2
1579588089,1,2
1579590977,3,5
1579592894,2,0
1579594815,1,4
1579596732,1,0
1579598655,4,3
1579600583,2,1
1579602494,2,4
1579604457,1,2
1579606338,2,2
1579608316,3,3
1579610172,1,4
1579612098,2,2
1579614024,1,2
1579615954,2,3
1579617855,1,1
1579619782,4,1
1579621587,4,2
1579623613,3,1
1579625526,6,2
1579627461,3,2
1579629371,6,3
1579631294,1,1
1579634415,2,4
1579636352,1,7
1579638256,1,1
1579640167,3,3
1579642088,4,3
1579644039,2,1
1579645959,3,2
1579648109,1,2
1579650013,2,2
1579651934,2,1
1579653848,1,1
1579655796,2,2
1579657714,0,2
1579659628,2,0
1579661537,0,2
1579663474,2,0
1579665370,1,1
1579667543,6,1
1579669515,2,0
1579671391,4,2
1579675212,4,2
1579677137,2,3
1579679062,3,1
1579680975,2,1
1579682891,4,2
1579684824,6,4
1579686728,3,3
1579688650,1,2
1579690580,3,1
1579692487,2,3
1579695383,2,3
1579697305,1,1
1579699214,5,3
1579701136,4,0
1579703095,5,3
1579704973,5,1
1579706907,3,1
1579708978,5,3
1579710827,1,2
1579712917,7,4
1579714824,4,3
1579716734,3,5
1579718672,4,3
1579720577,3,0
1579722514,0,1
1579724424,5,0
1579726341,2,4
1579728254,2,3
1579730186,2,1
1579732097,1,3
1579734044,1,1
1579735951,1,0
1579738824,5,3
1579740727,3,1
1579742652,2,1
1579744587,1,0
1579746485,0,2
1579748442,3,0
1579750359,4,2
1579752520,3,5
1579754413,3,1
1579756329,2,4
1579758258,3,2
1579760171,2,2
1579762339,4,4
1579764261,2,1
1579766175,0,5
1579768089,3,3
1579770050,3,4
1579771976,0,6
1579773889,4,3
1579775771,4,1
1579777733,4,1
1579779638,3,2
1579781568,1,1
1579783452,4,2
1579785421,2,4
1579787333,2,3
1579789212,3,6
1579791127,4,6
1579793055,1,3
1579794967,3,4
1579796895,3,1
1579798877,3,7
1579800739,2,2
1579802675,4,4
1579804577,3,2
1579806534,1,1
1579808414,3,2
1579810332,1,3
1579812255,1,5
1579814174,1,2
1579816095,2,2
1579818012,2,1
1579819950,3,1
1579821878,1,1
1579823769,2,2
1579825692,2,2
1579828812,4,2
1579830729,5,3
1579832655,4,0
1579834576,7,3
1579836496,0,2
1579838439,3,2
1579840351,0,4
1579842513,3,3
1579844414,2,2
1579846334,3,3
1579848256,4,2
1579850178,2,2
1579852102,5,1
1579854045,3,3
1579855958,5,7
1579857854,12,0
1579859773,2,4
1579861718,0,4
1579864601,1,6
1579866489,1,3
1579868407,5,4
1579870356,1,3
1579872250,0,1
1579874172,3,2
1579876085,2,4
1579878057,3,2
1579879940,2,2
1579882126,2,1
1579884010,2,6
1579885938,4,1
1579887887,2,3
1579889776,2,3
1579891696,1,3
