DateTime,AddedIPs,RemovedIPs
1576958176,1,0
1576959983,14,1
1576962173,21,0
1576969992,5,0
1576979787,1,0
1576997542,0,1
1576999453,0,1
1577001393,1,0
1577006430,1,0
1577010250,1,0
1577014107,4,1
1577016992,33,0
1577033057,1,0
1577035011,1,0
1577044597,0,1
1577046495,0,3
1577049388,1,8
1577057288,1,5
1577066911,0,1
1577081795,2,0
1577083947,1,0
1577085872,2,0
1577087793,0,1
1577092576,1,0
1577094753,0,1
1577096651,0,1
1577100520,0,18
1577102527,0,43
1577116352,1,0
1577120220,0,1
1577122106,1,1
1577136041,0,1
1577139858,2,0
1577142995,11,0
1577144890,8,1
1577150650,1,0
1577167265,0,2
1577171298,1,3
1577178972,0,1
1577180909,1,0
1577188571,2,0
1577190734,1,0
1577202509,0,1
1577206333,1,0
1577208269,1,1
1577219064,1,0
1577227002,0,2
1577228911,0,5
1577230814,0,14
1577236819,0,1
1577254579,1,0
1577256511,1,1
1577260331,1,0
1577268048,0,1
1577274012,0,1
1577275933,0,2
1577277881,15,0
1577279782,9,0
1577291553,1,0
1577293700,0,2
1577295615,1,0
1577297558,3,0
1577299451,1,0
1577301614,2,0
1577303529,4,0
1577305470,1,1
1577307371,3,0
1577309334,2,0
1577312230,1,0
1577336899,1,0
1577340752,1,1
1577342649,0,1
1577346490,0,1
1577352256,1,0
1577359968,1,0
1577363794,0,7
1577365694,2,17
1577367619,2,0
1577369558,1,0
1577371455,1,0
1577373616,16,0
1577375533,1,0
1577377473,1,1
1577379373,1,0
1577381546,1,1
1577383521,1,1
1577385374,1,3
1577389216,4,5
1577391165,0,2
1577393060,3,3
1577395232,1,2
1577397142,0,1
1577409849,1,0
1577417554,1,0
1577423785,1,1
1577427853,0,1
1577439367,1,1
1577445388,0,1
1577451374,0,1
1577453296,0,3
1577455383,0,1
1577457384,0,1
1577459332,0,4
1577461248,0,13
1577463145,0,1
1577465079,35,1
1577466996,0,1
1577470815,0,1
1577472753,0,1
1577474686,0,2
1577476575,0,2
1577478494,0,2
1577481626,0,2
1577495064,0,1
1577504908,1,1
1577510675,0,1
1577526023,0,1
1577551225,0,35
1577553397,1,0
1577569943,1,0
1577591058,0,1
1577602573,1,0
1577608836,1,0
1577622497,1,0
1577625623,1,0
1577632705,3,0
1577634527,3,0
1577636481,11,0
1577640284,0,1
1577642173,9,0
1577652250,1,0
1577656088,0,1
1577670036,1,0
1577690431,0,1
1577696200,0,1
1577705053,1,0
1577708889,0,1
1577710896,0,1
1577718986,0,3
1577720896,0,3
1577722828,0,11
1577728593,0,9
1577738435,0,1
1577757142,0,1
1577761037,1,0
1577766018,1,0
1577767930,1,0
1577791464,0,1
1577793392,1,0
1577801328,11,0
1577803228,29,0
1577832985,1,0
1577848572,0,1
1577852650,0,1
1577854567,0,1
1577868266,1,0
1577877848,1,0
1577879812,0,1
1577887940,0,27
1577889856,0,13
1577907869,1,0
1577909783,14,0
1577916078,4,0
1577917934,0,1
1577940995,1,0
1577954442,2,1
1577958275,1,0
1577964087,1,1
1577987558,1,0
1577993579,5,0
1577995513,0,7
1578001219,0,4
1578007226,1,0
1578027781,0,1
1578039421,1,1
1578041315,0,1
1578043211,1,1
1578045131,1,0
1578048978,1,0
1578050890,0,1
1578054012,4,0
1578079471,1,0
1578081369,0,4
1578085709,1,0
1578093751,1,1
1578126281,0,1
1578128173,0,1
1578132502,1,1
1578134439,0,1
1578138521,1,1
1578140422,27,3
1578142351,29,0
1578154093,1,0
1578163712,1,0
1578165617,0,1
1578167535,1,0
1578171371,1,1
1578179096,0,1
1578218736,1,1
1578224409,5,0
1578226359,0,6
1578228265,0,49
1578230180,0,1
1578235930,1,0
1578239771,0,1
1578244101,1,0
1578249852,0,1
1578251777,1,0
1578253711,0,1
1578257531,0,1
1578277688,1,0
1578302668,1,0
1578304570,0,1
1578308523,1,0
1578310356,0,4
1578312326,0,12
1578320182,3,0
1578322349,24,1
1578330351,0,1
1578338657,0,1
1578340606,1,0
1578364342,0,1
1578374187,1,0
1578385694,1,0
1578388593,0,1
1578394573,0,1
1578404653,1,0
1578406573,0,3
1578408516,0,24
1578416183,1,0
1578425794,20,0
1578427707,0,1
1578461056,0,1
1578472814,0,1
1578490095,0,1
1578495949,1,0
1578501630,1,0
1578503570,2,1
1578511222,0,4
1578513134,0,3
1578521056,3,0
1578523225,15,0
1578550365,1,0
1578554180,1,0
1578561876,1,0
1578563774,1,0
1578574568,1,0
1578579618,2,0
1578581527,0,1
1578589704,0,14
1578608178,20,3
1578610330,1,14
1578636521,0,1
1578640355,0,1
1578644974,8,0
1578646907,0,1
1578651172,1,1
1578653328,1,0
1578661193,0,1
1578665195,0,2
1578690993,3,0
1578694826,0,15
1578696740,0,1
1578720076,15,0
1578731794,0,8
1578738019,0,2
1578778810,0,10
1578792753,2,0
1578804755,0,15
1578806690,0,1
1578827801,1,0
1578853242,1,0
1578857090,1,0
1578864770,7,0
1578866716,6,0
1578868582,4,0
1578876252,1,0
1578878177,1,0
1578880118,0,2
1578887801,1,0
1578913584,1,0
1578915629,2,1
1578917560,10,0
1578939871,0,1
1578943945,0,1
1578951611,0,3
1578955689,1,0
1578957621,3,0
1578961463,1,1
1578963370,0,1
1578967285,1,0
1578972972,0,1
1578976824,1,0
1578980687,1,0
1578986695,3,0
1578988573,4,0
1578990512,3,0
1578992565,1,0
1578994813,16,0
1578996732,2,0
1578998680,2,1
1579000588,4,0
1579002757,0,14
1579004668,0,12
1579008754,15,0
1579010628,1,0
1579031804,16,0
1579038737,1,0
1579042569,0,2
1579044487,0,2
1579046463,1,0
1579048351,0,1
1579054433,0,1
1579065392,0,1
1579067298,0,1
1579073076,0,3
1579074971,0,4
1579077141,2,3
1579079304,0,1
1579081233,0,16
1579083387,0,2
1579085565,0,3
1579087491,0,3
1579095390,0,14
1579097304,8,1
1579101397,1,0
1579107136,1,0
1579118901,0,15
1579122776,1,0
1579124652,0,1
1579131153,1,0
1579133326,0,1
1579162659,0,2
1579172174,1,0
1579174114,4,0
1579182261,0,1
1579184460,0,1
1579188252,0,1
1579194120,0,1
1579207722,0,1
1579213473,1,0
1579217538,0,1
1579221645,2,0
1579248982,1,0
1579258573,0,7
1579260790,0,6
1579272609,1,0
1579274416,2,0
1579276335,11,0
1579290993,1,0
1579297936,1,0
1579299866,0,1
1579308017,0,2
1579315697,1,0
1579335881,0,1
1579359138,0,1
1579361052,0,7
1579362994,0,6
1579364890,1,0
1579372832,3,0
1579374750,1,0
1579376678,0,1
1579384580,0,1
1579390353,1,0
1579401851,0,1
1579415289,1,0
1579425867,6,0
1579435727,1,0
1579451069,0,1
1579452972,1,0
1579460913,0,4
1579468577,1,0
1579476253,0,1
1579482136,1,0
1579501228,0,1
1579505068,2,0
1579506972,6,0
1579512981,0,6
1579514890,4,0
1579516832,26,0
1579522581,0,1
1579538413,0,1
1579544438,1,0
1579550193,1,0
1579555946,0,1
1579569611,0,1
1579581160,1,0
1579592655,0,8
1579602252,0,19
1579604197,0,11
1579630338,0,1
1579636093,0,1
1579643768,1,0
1579649545,1,0
1579655302,2,0
1579659133,1,0
1579666806,1,0
1579668731,0,1
1579722986,4,0
1579724890,3,0
1579730699,0,1
1579736411,0,1
1579742174,0,2
1579746028,0,1
1579747938,1,0
1579753689,0,1
1579767374,1,0
1579773155,8,0
1579775063,14,0
1579781118,14,0
1579807947,0,1
1579810111,1,6
1579813934,1,0
1579827368,2,0
1579833135,0,1
1579841788,1,0
1579854257,0,1
1579856170,6,0
1579858119,3,2
1579860142,0,10
1579861942,1,0
1579866040,0,7
1579868212,0,7
1579870098,1,0
1579895530,0,1
1579901293,0,1
1579913788,0,2
1579929375,0,1
1579931310,1,0
1579940893,0,1
1579943793,0,18
1579947611,0,1
1579951469,1,0
1579955290,0,1
1579985295,1,0
1579987223,1,0
1579996920,3,0
1579998738,1,0
1580016266,0,1
1580028017,1,0
1580037611,0,1
1580055144,1,0
1580060895,4,0
1580064733,13,0
1580070498,0,1
1580073381,0,1
1580083300,0,3
1580085190,0,1
1580090919,1,0
1580114419,0,1
1580133910,1,0
1580142027,0,1
1580145850,1,0
1580147783,0,4
1580151738,0,13
1580169144,1,0
1580177777,0,1
1580179721,1,0
1580214492,1,0
1580220513,0,1
1580224590,4,0
1580226763,9,0
1580232519,0,1
1580250752,8,0
1580252707,3,0
1580256514,0,1
1580264173,1,0
1580266094,0,1
1580271855,7,0
1580277702,1,0
1580300888,0,1
1580303784,1,0
1580311465,0,4
1580313376,2,6
1580315287,5,0
1580318407,1,0
1580322265,7,0
1580336677,0,1
1580338570,0,10
1580350352,0,1
1580358009,0,7
1580359927,2,0
1580363769,0,1
1580371947,2,0
1580379608,1,0
1580390187,0,1
1580399772,0,4
1580401689,0,5
1580403753,0,1
1580407943,0,7
1580446897,0,2
1580458335,0,3
1580464089,0,1
1580470569,3,0
1580472519,5,0
1580499377,1,0
1580505139,3,0
1580507075,3,0
1580533948,1,0
1580543770,1,0
