DateTime,AddedIPs,RemovedIPs
1579309958,3,0
1579311854,2,1
1579313811,1,28
1579315698,2,0
1579317629,1,2
1579321478,0,1
1579323395,2,1
1579325290,0,1
1579328184,0,1
1579330094,1,1
1579332022,1,0
1579333929,1,0
1579335881,1,0
1579345702,0,1
1579347625,0,2
1579351463,1,0
1579353371,1,0
1579359139,2,1
1579361052,0,2
1579362994,0,1
1579364891,0,2
1579371851,1,0
1579373791,0,2
1579378838,2,2
1579380741,2,0
1579382671,1,0
1579386507,2,1
1579388510,1,1
1579390353,1,0
1579392315,2,1
1579394194,0,1
1579396105,0,2
1579398011,1,2
1579399957,1,0
1579401851,0,1
1579403824,1,0
1579407611,1,1
1579409532,1,0
1579411467,0,1
1579413366,0,1
1579418180,0,1
1579420103,0,1
1579423927,5,0
1579425868,1,0
1579427768,2,0
1579431704,0,1
1579433532,1,1
1579435728,2,0
1579437610,1,1
1579441450,1,1
1579445309,1,1
1579447216,1,3
1579449146,0,3
1579451069,1,0
1579452972,2,1
1579454887,1,0
1579456949,1,1
1579458767,2,1
1579460914,0,1
1579462822,0,4
1579464739,1,2
1579466671,1,0
1579468577,2,2
1579470492,1,0
1579472447,2,1
1579474345,1,0
1579476254,0,2
1579480102,1,1
1579482158,3,0
1579484178,0,1
1579486105,0,1
1579488008,2,1
1579490186,0,2
1579492106,1,1
1579494027,3,0
1579495930,2,0
1579500142,2,0
1579501952,1,0
1579506012,1,0
1579507960,2,0
1579509850,1,1
1579511778,0,3
1579513704,0,1
1579515614,2,1
1579523308,0,2
1579526175,2,0
1579528093,0,2
1579530026,1,1
1579531944,1,2
1579533853,0,1
1579540638,2,3
1579542489,0,1
1579544438,2,1
1579546347,2,0
1579548253,1,0
1579550193,0,2
1579552113,1,0
1579554992,0,1
1579557154,0,2
1579559049,1,2
1579560969,3,1
1579562914,7,0
1579564857,2,0
1579566738,1,1
1579568698,1,1
1579570568,1,0
1579574409,1,2
1579578250,2,0
1579580200,2,1
1579582090,2,2
1579584016,0,1
1579585926,2,0
1579587848,0,2
1579589768,0,1
1579591688,0,1
1579593648,0,1
1579595530,0,6
1579599376,5,1
1579601537,1,3
1579605374,1,0
1579607294,2,1
1579609210,0,2
1579611127,1,1
1579613058,1,0
1579616892,1,1
1579619785,2,1
1579625527,1,0
1579627463,0,1
1579629372,1,0
1579631295,0,2
1579634417,1,0
1579636353,5,1
1579638262,4,2
1579640168,0,2
1579642090,1,1
1579644089,1,1
1579645961,3,1
1579648110,0,2
1579650016,2,0
1579653849,1,0
1579655797,0,1
1579657715,0,1
1579659630,1,2
1579661539,4,0
1579663475,1,1
1579665371,0,1
1579667544,1,0
1579669545,1,1
1579671392,3,2
1579673309,2,1
1579675213,0,2
1579677138,0,2
1579679064,1,0
1579680977,1,0
1579684826,2,2
1579686729,2,2
1579688652,3,2
1579690581,0,1
1579692488,1,2
1579695385,1,2
1579697307,1,1
1579699216,1,0
1579701138,1,0
1579703097,1,2
1579704975,1,3
1579706909,1,1
1579716976,1,0
1579721052,0,2
1579722986,0,6
1579724891,0,1
1579726945,1,0
1579730699,1,1
1579732580,1,1
1579734518,0,2
1579736411,2,2
1579738337,1,0
1579740271,0,1
1579742175,2,0
1579744089,1,0
1579746028,1,2
1579747939,1,2
1579749855,4,0
1579751793,1,0
1579753690,0,1
1579755741,1,1
1579757562,0,2
1579760430,1,1
1579766178,2,2
1579768091,2,1
1579770974,0,1
1579772899,0,2
1579774848,3,0
1579776735,0,2
1579778722,0,1
1579780571,2,2
1579782518,1,1
1579785424,1,3
1579787335,1,2
1579789214,0,6
1579791170,1,0
1579793057,1,0
1579794969,2,1
1579796896,0,1
1579799013,2,0
1579800975,0,2
1579802891,0,1
1579804814,1,0
1579807014,1,1
1579808892,0,2
1579810810,8,1
1579812738,2,0
1579814656,3,0
1579816590,2,2
1579818490,3,2
1579821617,2,0
1579823526,1,0
1579825450,1,1
1579829297,2,1
1579831260,2,0
1579833135,2,0
1579836021,0,2
1579837933,1,0
1579839884,0,1
1579841788,0,1
1579846573,1,3
1579848498,1,0
1579852327,1,2
1579854257,0,1
1579858119,0,1
1579860159,2,1
1579862196,1,2
1579864128,0,1
1579866040,0,2
1579868212,1,0
1579870099,0,1
1579872047,0,2
1579873958,2,0
1579875878,2,0
1579877818,0,2
1579879716,0,1
1579882581,0,4
1579886425,2,0
1579888335,1,1
1579890247,1,1
1579892182,0,1
1579894090,0,1
1579896068,1,3
1579897935,1,6
1579900817,0,2
1579902735,1,2
1579904716,5,2
1579906616,0,4
1579908661,3,2
1579910921,2,2
1579916651,1,1
1579918572,1,1
1579922413,1,0
1579926252,1,0
1579928230,0,1
1579930091,0,1
1579932088,0,2
1579933934,1,0
1579941611,1,0
1579945456,1,0
1579947414,0,3
1579949307,3,0
1579955067,0,1
1579958904,0,3
1579960902,0,3
1579962736,1,1
1579964908,1,0
1579966812,1,1
1579968751,2,0
1579970600,0,1
1579972593,1,1
1579974496,2,0
1579976420,2,1
1579978326,1,0
1579980251,1,1
1579982180,0,2
1579986979,3,1
1579988891,1,2
1579990828,1,3
1579992728,3,0
1579994654,1,1
1579996580,0,1
1579998489,1,1
1580001617,3,1
1580003526,0,1
1580005462,0,1
1580007373,0,3
1580012220,3,1
1580016012,1,0
1580017956,1,0
1580019860,0,1
1580021768,1,1
1580027541,1,0
1580031613,0,1
1580035451,0,1
1580037389,1,0
1580039304,0,1
1580041213,1,1
1580043128,1,0
1580045062,1,0
1580046970,0,1
1580048886,5,0
1580051780,2,0
1580055640,3,2
1580057529,1,0
1580059450,1,2
1580061386,1,0
1580063289,0,2
1580065256,0,1
1580070971,0,2
1580074812,1,3
1580076731,2,1
1580078973,0,4
1580080820,1,0
1580082730,1,1
1580084652,6,0
1580086581,1,2
1580088490,0,1
1580090515,3,0
1580092359,1,3
1580094512,2,0
1580098336,0,1
1580100262,0,1
1580102198,0,1
1580107926,1,1
1580109854,0,1
1580111792,0,2
