DateTime,Entries,UniqueIPs
1579566018,11012,11012
1579567959,11082,11082
1579569885,11154,11154
1579571783,11219,11219
1579573696,11256,11256
1579575704,11292,11292
1579577562,11324,11324
1579579725,11929,11929
1579581614,11953,11953
1579583549,11980,11980
1579585456,12014,12014
1579587377,11883,11883
1579589311,9347,9347
1579591246,7959,7959
1579593130,9517,9517
1579595053,10152,10152
1579596974,10367,10367
1579599162,10633,10633
1579601103,10890,10890
1579602976,11083,11083
1579604901,11237,11237
1579606815,11397,11397
1579608749,11569,11569
1579610660,11694,11694
1579612580,11804,11804
1579614500,11964,11964
1579616422,12081,12081
1579618333,12111,12111
1579620262,12157,12157
1579622171,12169,12169
1579624099,12143,12143
1579626059,12103,12103
1579627947,12072,12072
1579629904,12059,12059
1579631774,12245,12245
1579633697,12557,12557
1579635619,12732,12732
1579637572,12919,12919
1579639456,13028,13028
1579641377,13126,13126
1579643297,13262,13262
1579645215,13296,13296
1579647134,13268,13268
1579649057,13291,13291
1579650973,13388,13388
1579652891,13411,13411
1579655798,13496,13496
1579657716,13548,13548
1579659631,13497,13497
1579661540,13516,13516
1579663476,13508,13508
1579665372,12866,12866
1579667546,12819,12819
1579669551,12762,12762
1579671392,12703,12703
1579673310,12664,12664
1579675214,13238,13238
1579677139,13205,13205
1579679065,13200,13200
1579680978,13176,13176
1579682893,13157,13157
1579684827,13134,13134
1579686730,13073,13073
1579688653,13029,13029
1579690582,12972,12972
1579692489,12924,12924
1579695386,12879,12879
1579697308,12837,12837
1579699217,12798,12798
1579701139,12765,12765
1579703097,12721,12721
1579704975,12686,12686
1579706909,12647,12647
1579709097,12607,12607
1579711229,13974,13974
1579713137,13939,13939
1579715087,13893,13893
1579716976,13706,13706
1579719137,13489,13489
1579721053,13229,13229
1579722987,12968,12968
1579724891,12682,12682
1579726964,12454,12454
1579728967,12068,12068
1579730905,11695,11695
1579732812,11469,11469
1579734730,11213,11213
1579736665,10928,10928
1579738570,10720,10720
1579740494,10575,10575
1579742427,10295,10295
1579744331,9962,9962
1579746253,9690,9690
1579748189,9448,9448
1579750090,9306,9306
1579752972,9090,9090
1579754890,8923,8923
1579756834,8790,8790
1579758752,8642,8642
1579760677,9125,9125
1579762638,8310,8310
1579764495,8048,8048
1579767375,7822,7822
1579769301,7794,7794
1579771209,7750,7750
1579773156,7719,7719
1579775064,7750,7750
1579776967,7737,7737
1579779161,7707,7707
1579781132,7673,7673
1579782972,7480,7480
1579784927,7401,7401
1579786843,7190,7190
1579788764,6987,6987
1579790719,6762,6762
1579792605,6540,6540
1579794495,6070,6070
1579796429,4877,4877
1579798360,4375,4375
1579800259,4484,4484
1579802198,4628,4628
1579804093,4702,4702
1579806104,4793,4793
1579807948,4892,4892
1579810111,4969,4969
1579812015,5068,5068
1579813934,5184,5184
1579815849,5301,5301
1579817805,5406,5406
1579819694,5576,5576
1579821618,5632,5632
1579823527,5702,5702
1579825451,5819,5819
1579827369,5944,5944
1579829297,5994,5994
1579832185,6141,6141
1579834092,6198,6198
1579836022,6297,6297
1579837934,6398,6398
1579839884,6451,6451
1579841789,6519,6519
1579843691,6590,6590
1579845647,6728,6728
1579847536,6587,6587
1579849511,6893,6893
1579851370,6968,6968
1579853304,6982,6982
1579855242,7000,7000
1579857134,6993,6993
1579859083,6863,6863
1579861020,6762,6762
1579862921,6634,6634
1579864817,6451,6451
1579866759,6316,6316
1579868679,6266,6266
1579870572,6237,6237
1579872491,6229,6229
1579875403,6235,6235
1579877303,8491,8491
1579879215,13629,13629
1579881158,14336,14336
1579883054,14257,14257
1579885001,14104,14104
1579886897,14015,14015
1579889779,13853,13853
1579891698,13777,13777
1579893630,13707,13707
1579895531,13617,13617
1579897476,13580,13580
1579899374,13486,13486
1579901294,13405,13405
1579904196,13245,13245
1579906128,13158,13158
1579908017,13110,13110
1579909951,13047,13047
1579911854,12935,12935
1579913789,12820,12820
1579915692,12774,12774
1579918808,12632,12632
1579920727,12577,12577
1579922695,12475,12475
1579924573,12403,12403
1579926487,12354,12354
1579929375,12245,12245
1579931311,12132,12132
1579933214,12169,12169
1579935130,12005,12005
1579937067,11960,11960
1579938972,11868,11868
1579940894,11808,11808
1579943813,11751,11751
1579945722,11767,11767
1579947612,11778,11778
1579949536,11783,11783
1579951470,11804,11804
1579953394,11796,11796
1579955291,11814,11814
1579957380,11825,11825
1579959384,11814,11814
1579961304,11791,11791
1579963214,11659,11659
1579965157,5175,5175
1579967059,3466,3466
1579968975,3475,3475
1579970915,3486,3486
1579972822,3480,3480
1579974740,3492,3492
1579976655,3498,3498
1579978602,3498,3498
1579980494,3509,3509
1579982468,3518,3518
1579984359,3511,3511
1579986299,3511,3511
1579988171,3554,3554
1579990122,3555,3555
1579992011,3551,3551
1579993932,3563,3563
1579995864,3558,3558
1579997788,3566,3566
1579999704,3577,3577
1580001617,3582,3582
1580003527,3589,3589
1580005463,3595,3595
1580007373,3601,3601
1580009290,4454,4454
1580012221,4467,4467
1580014140,4484,4484
1580016013,4491,4491
1580017957,4494,4494
1580019860,4495,4495
1580021768,3685,3685
1580023693,3521,3521
1580026606,3496,3496
1580028507,3483,3483
1580030409,3466,3466
1580032327,3448,3448
1580034284,3530,3530
1580036169,3533,3533
1580038090,4351,4351
1580040085,6984,6984
1580041939,7023,7023
1580043918,7030,7030
1580045783,7033,7033
1580047708,7028,7028
1580049637,7013,7013
1580051554,6998,6998
1580053458,6993,6993
1580055378,6962,6962
1580057298,6934,6934
1580059229,6900,6900
1580061156,6868,6868
1580063063,6836,6836
1580064987,6815,6815
1580066891,6802,6802
1580069771,6772,6772
1580071691,6757,6757
1580073631,6738,6738
1580075530,6673,6673
1580077450,6668,6668
1580079410,6654,6654
1580081292,6632,6632
1580084419,6630,6630
1580086326,6639,6639
1580088250,6633,6633
1580090189,6625,6625
1580092091,6601,6601
1580094056,6271,6271
1580095967,5702,5702
1580097870,5669,5669
1580099774,5653,5653
1580101714,5631,5631
1580103615,5606,5606
1580105536,5594,5594
1580107470,6451,6451
1580109395,6472,6472
1580111553,6470,6470
1580113452,6470,6470
1580115387,6469,6469
1580117307,6468,6468
1580119264,6391,6391
1580122350,6359,6359
1580124252,5736,5736
1580126202,3319,3319
1580128091,2867,2867
1580130100,2863,2863
1580131953,2881,2881
1580133913,2873,2873
1580136020,2896,2896
1580138192,2910,2910
1580140095,2922,2922
1580142028,2932,2932
1580143932,2954,2954
1580145851,2972,2972
1580147784,2988,2988
1580149690,3013,3013
1580151774,3040,3040
1580153575,3041,3041
1580155721,3060,3060
1580157615,3075,3075
1580159559,3097,3097
1580161455,3096,3096
1580163401,3111,3111
1580165310,3126,3126
1580167214,3145,3145
1580169146,3151,3151
1580171053,3131,3131
1580172987,3110,3110
1580174889,3118,3118
1580177777,3133,3133
1580179722,3163,3163
1580181618,3175,3175
1580183534,3180,3180
1580185469,3183,3183
1580187374,3206,3206
1580189294,3206,3206
1580191399,3231,3231
1580193381,3660,3660
1580195327,4500,4500
1580197219,5930,5930
1580199154,7319,7319
1580201056,8225,8225
1580202983,8658,8658
1580204911,8843,8843
1580206828,9072,9072
1580208735,9195,9195
1580210671,9337,9337
1580212577,9374,9374
1580214493,9478,9478
1580216635,9516,9516
1580218594,9513,9513
1580220514,9668,9668
1580222433,9746,9746
1580224591,9811,9811
1580226764,9883,9883
1580228664,9928,9928
1580230589,9990,9990
1580232520,10042,10042
1580235391,10130,10130
1580237296,10134,10134
1580239229,10191,10191
1580241131,10192,10192
1580243052,10190,10190
1580245005,10192,10192
1580246925,10190,10190
1580248994,10177,10177
1580250973,10188,10188
1580252907,10226,10226
1580254811,10233,10233
1580256736,10245,10245
1580258662,10236,10236
1580260571,10227,10227
1580262489,10217,10217
1580264432,10217,10217
1580266328,10187,10187
1580268253,10175,10175
1580270191,9520,9520
1580272090,9510,9510
1580274981,9470,9470
1580276898,9448,9448
1580278827,9238,9238
1580280731,9235,9235
1580282654,9237,9237
1580284572,9182,9182
1580286504,9057,9057
1580289620,8724,8724
1580291529,8558,8558
1580293451,8363,8363
1580295382,8244,8244
1580297290,8112,8112
1580299233,8025,8025
1580301143,7942,7942
1580303092,7889,7889
1580304989,7878,7878
1580306897,7694,7694
1580308811,7532,7532
1580310751,7370,7370
1580312651,7307,7307
1580314575,7117,7117
1580316540,6896,6896
1580318408,6547,6547
1580320325,6248,6248
1580322266,6070,6070
1580324168,5715,5715
1580326087,5330,5330
1580328981,4955,4955
1580330907,4886,4886
1580332836,4649,4649
1580334728,4646,4646
1580336677,4629,4629
1580338570,4355,4355
1580340511,3635,3635
1580342516,3181,3181
1580344341,3308,3308
1580346503,3191,3191
1580348437,3127,3127
1580350353,3080,3080
1580352254,3057,3057
1580354174,3047,3047
1580356106,3048,3048
1580358010,3047,3047
1580359927,3049,3049
1580361865,3053,3053
1580363769,3061,3061
1580365936,3885,3885
1580368103,3891,3891
1580370014,3875,3875
1580371948,3865,3865
1580373869,3879,3879
1580375792,3874,3874
1580377753,3879,3879
1580379609,3886,3886
1580381530,3881,3881
1580383464,3862,3862
1580385370,3830,3830
1580387303,3810,3810
1580390188,3802,3802
1580392126,4496,4496
1580394026,5735,5735
1580395928,6702,6702
1580397866,6718,6718
1580399773,6638,6638
1580401689,6745,6745
1580403773,6811,6811
1580405794,6847,6847
1580407943,6938,6938
1580409856,6990,6990
1580411788,7016,7016
1580413691,7053,7053
1580415624,7100,7100
1580417531,7136,7136
1580419452,7158,7158
1580421384,7196,7196
1580423293,7215,7215
1580425305,7229,7229
1580427150,7236,7236
1580429316,6925,6925
1580431210,6606,6606
1580433388,6623,6623
1580435292,6646,6646
1580437221,6660,6660
1580439129,6679,6679
1580441066,6688,6688
1580442982,6692,6692
1580444893,6693,6693
1580446916,6711,6711
1580448752,6709,6709
1580450684,6719,6719
1580452571,6490,6490
1580454502,6698,6698
1580456410,6730,6730
1580458335,6760,6760
1580460271,6801,6801
1580462207,6835,6835
1580464090,6858,6858
1580466019,6867,6867
1580467934,6903,6903
1580469849,6923,6923
1580471781,6938,6938
1580473686,6949,6949
1580476840,6953,6953
1580478731,5919,5919
1580480669,4712,4712
1580482576,3943,3943
1580484741,3937,3937
1580486704,3945,3945
1580488595,3927,3927
1580490768,3931,3931
1580492899,3917,3917
1580494817,3911,3911
1580496754,3908,3908
1580498653,3812,3812
1580500588,3765,3765
1580502490,3703,3703
1580504471,3660,3660
1580506365,3627,3627
1580508523,3574,3574
1580510415,3538,3538
1580512337,3538,3538
1580514272,3530,3530
1580516173,3495,3495
1580518096,3484,3484
1580520024,3468,3468
1580521940,3495,3495
1580523854,3498,3498
1580525784,3472,3472
1580527693,3468,3468
1580529726,3471,3471
1580531540,3684,3684
1580534412,4006,4006
1580536328,4116,4116
1580538264,4471,4471
1580540178,6559,6559
1580542102,8574,8574
1580544076,10683,10683
1580545937,12086,12086
1580548115,13842,13842
1580550013,15166,15166
1580551977,16159,16159
1580553853,17288,17288
1580555776,17750,17750
