DateTime,Entries,UniqueIPs
1579567707,11285,11285
1579569612,11347,11347
1579571527,11417,11417
1579573480,11465,11465
1579575371,11507,11507
1579577295,11535,11535
1579579293,12120,12120
1579581161,12157,12157
1579583109,12183,12183
1579584971,12224,12224
1579586896,12255,12255
1579588811,10789,10789
1579590761,7722,7722
1579592656,9393,9393
1579594613,10246,10246
1579596493,10537,10537
1579598411,10814,10814
1579600328,11022,11022
1579602253,11251,11251
1579604197,11435,11435
1579606090,11579,11579
1579608984,11798,11798
1579610898,11927,11927
1579612808,12038,12038
1579614728,12208,12208
1579616652,12309,12309
1579618616,12347,12347
1579620490,12389,12389
1579622478,12391,12391
1579624357,12357,12357
1579626502,12323,12323
1579628412,12264,12264
1579630339,12333,12333
1579632258,12531,12531
1579634172,12753,12753
1579636094,12990,12990
1579638018,13197,13197
1579639927,13260,13260
1579641851,13335,13335
1579643768,13429,13429
1579645689,13471,13471
1579647678,13450,13450
1579649546,13475,13475
1579651472,13537,13537
1579653371,13610,13610
1579655304,13648,13648
1579657217,13688,13688
1579659133,13696,13696
1579661071,13706,13706
1579662973,13701,13701
1579664918,13061,13061
1579666806,13034,13034
1579668731,12953,12953
1579670668,12901,12901
1579672568,12847,12847
1579674756,13035,13035
1579676719,13383,13383
1579678577,13392,13392
1579680508,13366,13366
1579682436,13338,13338
1579684339,13314,13314
1579686265,13270,13270
1579688173,13205,13205
1579690096,13160,13160
1579692021,13112,13112
1579693929,13059,13059
1579695869,13037,13037
1579697772,13000,13000
1579699696,12959,12959
1579701663,12920,12920
1579703549,12882,12882
1579705505,12845,12845
1579707374,12806,12806
1579709325,12772,12772
1579711230,14143,14143
1579713138,14103,14103
1579715088,14055,14055
1579716977,13874,13874
1579719138,13654,13654
1579721054,13389,13389
1579722987,13130,13130
1579724892,12847,12847
1579726984,12622,12622
1579728968,12240,12240
1579730905,11872,11872
1579732813,11653,11653
1579734730,11403,11403
1579736665,11150,11150
1579738571,10939,10939
1579740495,10791,10791
1579742429,10508,10508
1579744331,10171,10171
1579746254,9899,9899
1579748189,9655,9655
1579750091,9513,9513
1579752973,9299,9299
1579754891,9131,9131
1579756835,8999,8999
1579758753,8856,8856
1579760677,9346,9346
1579762638,8528,8528
1579764495,8268,8268
1579767375,8041,8041
1579769301,8015,8015
1579771210,7970,7970
1579773156,7936,7936
1579775064,7970,7970
1579776968,7957,7957
1579779162,7927,7927
1579781137,7888,7888
1579782973,7693,7693
1579784927,7613,7613
1579786844,7401,7401
1579788765,7195,7195
1579790724,6976,6976
1579792605,6747,6747
1579794496,6282,6282
