DateTime,Entries,UniqueIPs
1579566019,651,651
1579567959,646,646
1579569886,647,647
1579571783,646,646
1579573697,641,641
1579575727,637,637
1579577563,640,640
1579579725,636,636
1579581616,640,640
1579583550,642,642
1579585456,644,644
1579587377,644,644
1579589313,648,648
1579591246,654,654
1579593130,650,650
1579595054,508,508
1579596974,633,633
1579599163,638,638
1579601125,646,646
1579602977,647,647
1579604902,643,643
1579606815,640,640
1579608751,637,637
1579610660,626,626
1579612580,621,621
1579614501,619,619
1579616422,609,609
1579618333,607,607
1579620263,613,613
1579622172,616,616
1579624099,620,620
1579626081,616,616
1579627947,611,611
1579629909,610,610
1579631774,610,610
1579633698,620,620
1579635619,625,625
1579637573,630,630
1579639456,636,636
1579641377,643,643
1579643298,650,650
1579645215,652,652
1579647134,652,652
1579649058,659,659
1579650973,682,682
1579652891,703,703
1579654873,715,715
1579656750,717,717
1579658685,723,723
1579660619,730,730
1579662503,722,722
1579664415,720,720
1579666359,725,725
1579668251,725,725
1579670190,726,726
1579672115,724,724
1579674026,724,724
1579675932,724,724
1579677854,713,713
1579679786,715,715
1579681690,627,627
1579683651,706,706
1579685556,696,696
1579687713,686,686
1579689630,686,686
1579691563,688,688
1579693479,697,697
1579695386,706,706
1579697309,714,714
1579699218,725,725
1579701140,735,735
1579703098,729,729
1579704976,735,735
1579706910,735,735
1579709098,740,740
1579711230,746,746
1579713138,750,750
1579715088,762,762
1579716978,770,770
1579719138,783,783
1579721054,790,790
1579722988,803,803
1579724892,813,813
1579727004,844,844
1579728969,859,859
1579730906,871,871
1579732815,888,888
1579734731,904,904
1579736666,902,902
1579738571,902,902
1579740495,907,907
1579742432,907,907
1579744332,916,916
1579746254,918,918
1579748190,929,929
1579750092,935,935
1579752973,949,949
1579754891,952,952
1579756835,969,969
1579758753,979,979
1579760678,984,984
1579762639,987,987
1579764496,978,978
1579767376,981,981
1579769302,984,984
1579771210,1013,1013
1579773157,1025,1025
1579775064,1034,1034
1579776968,1036,1036
1579779162,1033,1033
1579781139,1037,1037
1579782973,1027,1027
1579784928,1033,1033
1579786844,1033,1033
1579788765,1040,1040
1579790738,1048,1048
1579792606,1041,1041
1579794496,1049,1049
1579796430,1050,1050
1579798361,1047,1047
1579800260,1048,1048
1579802211,1049,1049
1579804094,1056,1056
1579806125,1050,1050
1579807948,1034,1034
1579810112,1034,1034
1579812016,1013,1013
1579813935,1006,1006
1579815850,1001,1001
1579817806,998,998
1579819694,1006,1006
1579821619,984,984
1579823528,981,981
1579825452,965,965
1579827370,952,952
1579829298,945,945
1579831294,949,949
1579833136,953,953
1579836022,936,936
1579837935,926,926
1579839885,921,921
1579841790,917,917
1579843692,915,915
1579846575,908,908
1579848499,902,902
1579850424,878,878
1579852328,873,873
1579854258,858,858
1579856171,837,837
1579858120,821,821
1579860216,815,815
1579862197,817,817
1579864130,819,819
1579866041,813,813
