DateTime,AddedIPs,RemovedIPs
1579467419,3,1
1579469312,2,2
1579471461,2,0
1579473369,3,1
1579475551,2,3
1579477454,3,3
1579479383,3,7
1579481297,2,3
1579483228,4,4
1579485130,2,1
1579487051,2,2
1579488987,6,3
1579490893,3,2
1579492933,2,1
1579494763,1,3
1579496926,1,2
1579498813,3,1
1579500745,1,3
1579502669,3,2
1579504601,1,1
1579506510,5,1
1579508414,1,0
1579510335,1,0
1579512305,4,0
1579514186,0,1
1579516095,2,1
1579519220,4,1
1579521130,2,0
1579523082,1,0
1579524971,3,0
1579526887,3,0
1579528922,3,0
1579530759,2,0
1579532715,1,2
1579534596,3,3
1579536520,4,2
1579538416,1,1
1579540641,4,2
1579542491,8,2
1579544441,3,3
1579546365,4,3
1579548256,3,1
1579550196,2,2
1579552116,2,2
1579554167,5,4
1579556169,6,2
1579558133,4,1
1579560039,7,3
1579561948,1,2
1579563855,2,3
1579565807,1,3
1579567709,3,2
1579569614,3,4
1579571529,1,2
1579573482,6,2
1579575373,1,5
1579577299,1,4
1579579332,4,2
1579581163,3,1
1579583138,1,1
1579584994,2,3
1579586898,4,1
1579588812,3,3
1579590776,2,1
1579592658,1,4
1579594615,3,2
1579596500,4,1
1579598413,3,4
1579600330,1,0
1579602254,2,2
1579604199,3,2
1579606093,1,2
1579608986,7,3
1579610900,2,1
1579612811,1,5
1579614730,5,0
1579616654,3,4
1579618618,1,2
1579620492,2,3
1579623616,2,4
1579625529,6,3
1579627465,1,3
1579629373,2,7
1579631297,4,3
1579634418,5,6
1579636355,4,2
1579638265,3,3
1579640170,3,4
1579642092,3,5
1579644148,1,5
1579645962,1,6
1579648112,6,3
1579650022,3,2
1579651937,3,1
1579653852,3,3
1579655799,0,3
1579657718,4,0
1579659632,1,7
1579661541,3,1
1579663477,3,0
1579665373,2,3
1579667548,2,4
1579669559,4,2
1579671394,4,2
1579673311,4,4
1579675216,1,3
1579677140,4,2
1579679066,1,1
1579680980,1,3
1579682895,2,4
1579684828,527,1
1579690584,0,1
1579695388,3,0
1579697311,0,1
1579699220,1,0
1579703100,1,0
1579704979,1,0
1579706913,1,0
1579713141,0,1
1579724894,0,1
1579736668,1,0
1579738572,3,0
1579742434,1,0
1579746257,1,0
1579750094,1,0
1579753960,1,0
1579755831,2,0
1579765456,1,0
1579769303,1,0
1579771212,0,2
1579773158,92,637
1579775066,205,0
1579776969,176,0
1579779163,185,0
1579781141,132,2
1579782974,199,0
1579784929,234,0
1579786846,295,1
1579788767,249,0
1579790766,248,1
1579792607,220,0
1579794497,279,0
1579796432,154,0
1579798363,324,0
1579800262,14,0
1579802212,7,0
1579804098,3,0
1579806218,3,0
1579808168,5,0
1579810113,3,0
1579812018,2,0
1579813936,2,0
1579815851,1,0
1579817809,4,0
1579819696,6,0
1579821621,2,1
1579823530,3,0
1579825453,1,3
1579829300,2,0
1579833138,0,1
1579836024,1,1
1579839888,2,0
1579841792,0,2
1579845703,2,0
1579847539,1,0
1579849516,1,0
1579853307,1,1
1579855244,3,0
1579857136,2,0
1579859086,0,23
1579861026,0,253
1579862924,2,125
1579864819,2,243
1579866761,0,110
1579868682,162,152
1579870574,253,244
1579872493,0,244
