DateTime,AddedIPs,RemovedIPs
1579560039,3,2
1579561948,9,1
1579563855,4,2
1579565806,4,4
1579567708,2,4
1579569613,0,3
1579571529,2,1
1579573482,1,3
1579575373,4,2
1579577298,3,1
1579579316,0,1
1579581162,1,2
1579583129,0,1
1579584994,6,1
1579586897,3,1
1579588812,1,1
1579590775,3,4
1579592657,5,3
1579594615,1,3
1579596499,4,4
1579598412,4,4
1579600330,1,3
1579602254,6,2
1579604199,3,4
1579606093,2,7
1579608985,6,4
1579610899,2,0
1579612810,0,2
1579614729,3,2
1579616654,0,3
1579618617,3,2
1579620492,2,3
1579622621,3,5
1579624587,5,1
1579626503,3,6
1579628413,0,4
1579630340,3,2
1579632260,5,3
1579634173,5,6
1579636099,2,4
1579638020,5,2
1579639930,3,1
1579641853,7,5
1579643771,4,2
1579645691,3,3
1579647738,5,4
1579649549,7,3
1579651503,3,5
1579653375,1,6
1579655305,2,1
1579657218,1,1
1579659134,4,2
1579661072,3,3
1579662975,3,4
1579664919,3,2
1579666808,3,3
1579668757,6,2
1579670670,2,3
1579672569,2,4
1579674758,6,1
1579676725,2,2
1579678579,3,1
1579680510,0,4
1579682438,1,4
1579684340,2,5
1579686266,2,3
1579688176,7,6
1579690097,15,3
1579692023,2,2
1579693931,7,2
1579695870,10,4
1579697774,12,3
1579699713,13,2
1579701771,6,0
1579704028,4,2
1579705937,4,2
1579707869,10,3
1579709796,4,4
1579711694,1,2
1579713668,3,2
1579715554,3,2
1579717454,3,5
1579719386,2,5
1579721293,0,3
1579723282,2,2
1579725153,1,5
1579727106,4,4
1579728971,0,7
1579730907,2,1
1579732827,1,1
1579734732,0,4
1579736667,1,6
1579738571,3,2
1579740509,7,2
1579742433,0,5
1579744334,1,3
1579746257,0,4
1579748191,3,4
1579750094,0,6
1579752975,1,7
1579754894,5,6
1579756837,3,6
1579758778,4,4
1579760698,2,6
1579762641,3,4
1579764497,4,0
1579766459,9,4
1579768367,3,1
1579770308,7,1
1579772171,2,2
1579774090,2,1
1579776040,3,5
1579777934,2,1
1579779853,1,5
1579781781,0,9
1579783693,5,3
1579785608,3,3
1579787560,1,5
1579789484,4,4
1579791373,2,6
1579793289,8,7
1579796282,7,5
1579798095,1,1
1579800017,2,2
1579801936,6,1
1579803853,3,1
1579805772,4,3
1579807698,2,2
1579809675,4,1
1579811564,2,1
1579813494,1,4
1579815382,1,0
1579817296,2,2
1579819211,3,1
1579821157,3,1
1579823053,2,0
1579824979,1,2
1579826896,4,8
1579828815,0,1
1579830732,4,1
1579832658,2,0
1579834580,3,2
1579836499,2,2
1579838575,3,0
1579840568,1,4
1579842519,3,1
1579844416,5,0
1579846336,4,3
1579848260,1,3
1579850195,2,2
1579852125,2,7
1579854049,2,2
1579855962,2,5
1579857872,0,2
