DateTime,Entries,UniqueIPs
1579560039,178,178
1579561948,186,186
1579563855,188,188
1579565806,188,188
1579567708,186,186
1579569613,183,183
1579571529,184,184
1579573482,182,182
1579575373,184,184
1579577298,186,186
1579579316,185,185
1579581162,184,184
1579583129,183,183
1579584994,188,188
1579586897,190,190
1579588812,190,190
1579590775,189,189
1579592657,191,191
1579594615,189,189
1579596499,189,189
1579598412,189,189
1579600330,187,187
1579602254,191,191
1579604199,190,190
1579606093,185,185
1579608985,187,187
1579610899,189,189
1579612810,187,187
1579614729,188,188
1579616654,185,185
1579618617,186,186
1579620492,185,185
1579622621,183,183
1579624587,187,187
1579626503,184,184
1579628413,180,180
1579630340,181,181
1579632260,183,183
1579634173,182,182
1579636099,180,180
1579638020,183,183
1579639930,185,185
1579641853,187,187
1579643771,189,189
1579645691,189,189
1579647738,190,190
1579649549,194,194
1579651503,192,192
1579653375,187,187
1579655305,188,188
1579657218,188,188
1579659134,190,190
1579661072,190,190
1579662975,189,189
1579664919,190,190
1579666808,190,190
1579668757,194,194
1579670670,193,193
1579672569,191,191
1579674758,196,196
1579676725,196,196
1579678579,198,198
1579680510,194,194
1579682438,191,191
1579684340,188,188
1579686266,187,187
1579688176,188,188
1579690097,200,200
1579692023,200,200
1579693931,205,205
1579695870,211,211
1579697774,220,220
1579699713,231,231
1579701771,237,237
1579704028,239,239
1579705937,241,241
1579707869,248,248
1579709796,248,248
1579711694,247,247
1579713668,248,248
1579715554,249,249
1579717454,247,247
1579719386,244,244
1579721293,241,241
1579723282,241,241
1579725153,237,237
1579727106,237,237
1579728971,230,230
1579730907,231,231
1579732827,231,231
1579734732,227,227
1579736667,222,222
1579738571,223,223
1579740509,228,228
1579742433,223,223
1579744334,221,221
1579746257,217,217
1579748191,216,216
1579750094,210,210
1579752975,204,204
1579754894,203,203
1579756837,200,200
1579758778,200,200
1579760698,196,196
1579762641,195,195
1579764497,199,199
1579766459,204,204
1579768367,206,206
1579770308,212,212
1579772171,212,212
1579774090,213,213
1579776040,211,211
1579777934,212,212
1579779853,208,208
1579781781,199,199
1579783693,201,201
1579785608,201,201
1579787560,197,197
1579789484,197,197
1579791373,193,193
1579793289,194,194
1579796282,196,196
1579798095,196,196
1579800017,196,196
1579801936,201,201
1579803853,203,203
1579805772,204,204
1579807698,204,204
1579809675,207,207
1579811564,208,208
1579813494,205,205
1579815382,206,206
1579817296,206,206
1579819211,208,208
1579821157,210,210
1579823053,212,212
1579824979,211,211
1579826896,207,207
1579828815,206,206
1579830732,209,209
1579832658,211,211
1579834580,212,212
1579836499,212,212
1579838575,215,215
1579840568,212,212
1579842519,214,214
1579844416,219,219
1579846336,220,220
1579848260,218,218
1579850195,218,218
1579852125,213,213
1579854049,213,213
1579855962,210,210
1579857872,208,208
1579859776,208,208
1579861721,206,206
1579864604,212,212
1579866491,212,212
1579868412,217,217
1579870359,226,226
1579872253,226,226
1579874175,225,225
1579876089,227,227
1579878163,228,228
1579880440,226,226
1579882585,222,222
1579884491,224,224
1579886428,223,223
1579888338,220,220
1579890252,210,210
1579892209,209,209
1579894095,209,209
1579896212,211,211
1579898199,213,213
1579900090,212,212
1579902012,213,213
1579903957,214,214
1579905853,210,210
1579907787,211,211
1579909694,211,211
1579911624,210,210
1579913531,208,208
1579915487,209,209
1579917375,209,209
1579919291,209,209
1579922416,208,208
1579924352,210,210
1579926254,207,207
1579928234,206,206
1579930093,203,203
1579932183,202,202
1579934183,200,200
1579936094,199,199
1579938022,201,201
1579939951,200,200
1579941851,202,202
1579943818,204,204
1579945729,205,205
1579947637,209,209
1579949537,209,209
1579951472,205,205
1579953395,211,211
1579955293,209,209
1579957476,210,210
1579959386,208,208
1579961309,208,208
1579963217,208,208
1579965159,209,209
1579967061,209,209
1579968976,206,206
1579970917,204,204
1579972824,203,203
1579974742,202,202
1579976658,200,200
1579978604,199,199
1579980516,195,195
1579982609,193,193
1579984589,190,190
1579986502,190,190
1579988411,191,191
1579990354,191,191
1579994177,189,189
1579996097,188,188
1579998263,191,191
1580000168,190,190
1580002090,192,192
1580005266,188,188
1580009089,188,188
1580010973,185,185
1580012891,184,184
1580015780,183,183
1580017711,181,181
1580019680,179,179
1580021528,179,179
1580023467,178,178
1580025385,177,177
1580027290,175,175
1580029285,177,177
1580031136,177,177
1580033300,176,176
1580035211,180,180
1580037148,180,180
1580039067,178,178
1580040981,176,176
1580042908,174,174
1580044813,177,177
1580046727,175,175
1580048663,179,179
1580050570,179,179
1580052490,184,184
1580054528,178,178
1580056354,177,177
1580058298,179,179
1580060172,182,182
1580062108,183,183
1580064017,184,184
1580065946,183,183
1580067873,181,181
1580069774,181,181
1580071694,182,182
1580073633,185,185
1580075531,186,186
1580077452,186,186
1580079413,187,187
1580081293,188,188
1580083350,191,191
1580085192,188,188
1580087099,189,189
1580088976,186,186
1580090921,190,190
1580092840,192,192
1580094740,196,196
1580096668,198,198
1580098577,200,200
1580100504,199,199
1580102432,201,201
1580104331,200,200
1580106259,204,204
1580108690,209,209
1580110574,210,210
1580112504,208,208
1580114421,208,208
1580116339,208,208
1580118270,204,204
1580122351,206,206
1580124254,203,203
1580126204,206,206
1580128094,209,209
1580130183,212,212
1580132185,208,208
1580134104,206,206
1580136059,206,206
1580138195,212,212
1580140097,214,214
1580142030,216,216
1580143933,215,215
1580145852,213,213
1580147785,211,211
1580149704,206,206
1580151840,206,206
1580153779,208,208
1580155722,206,206
1580157617,209,209
1580159561,208,208
1580161457,206,206
1580163403,207,207
1580165313,205,205
1580167218,204,204
1580169148,203,203
1580171055,200,200
1580172989,202,202
1580174891,200,200
1580176916,199,199
1580178749,198,198
1580180715,200,200
1580182584,195,195
1580184498,191,191
1580186432,196,196
1580190251,197,197
1580192174,195,195
1580194126,191,191
1580196016,192,192
1580197928,192,192
1580199866,195,195
1580201772,196,196
1580203688,197,197
1580205672,197,197
1580207531,197,197
1580209702,193,193
1580211613,191,191
1580213552,190,190
1580215451,188,188
1580217372,187,187
1580219309,187,187
1580223370,185,185
1580225288,184,184
1580228192,186,186
1580230096,191,191
1580232163,190,190
1580234189,190,190
1580236100,192,192
1580238106,193,193
1580239955,195,195
1580241914,196,196
1580243770,191,191
1580245708,188,188
1580247613,188,188
1580249537,185,185
1580251464,189,189
1580255292,190,190
1580257221,190,190
1580259128,190,190
1580261048,195,195
1580262981,197,197
1580264890,198,198
1580267772,198,198
1580269697,199,199
1580271641,203,203
1580273530,206,206
1580275486,210,210
1580277387,207,207
1580279295,206,206
1580281348,207,207
1580283253,207,207
1580285134,209,209
1580286977,211,211
1580288928,208,208
1580290814,208,208
1580292759,206,206
1580294667,208,208
1580296575,210,210
1580298498,210,210
1580300423,207,207
1580302331,205,205
1580304267,204,204
1580306171,207,207
1580308338,206,206
1580310547,207,207
1580312415,206,206
1580314355,210,210
1580316258,209,209
1580318180,206,206
1580320110,202,202
1580322013,200,200
1580323935,201,201
1580325878,204,204
1580327777,201,201
1580329704,199,199
1580331806,202,202
1580333784,201,201
1580335706,205,205
1580337616,204,204
1580339550,202,202
1580341453,198,198
1580343622,197,197
1580345530,195,195
1580347465,194,194
1580349370,191,191
1580351292,186,186
1580354176,187,187
1580356108,188,188
1580358011,181,181
1580359929,177,177
1580361866,174,174
1580363770,172,172
1580365938,174,174
1580368104,171,171
1580371949,171,171
1580373871,168,168
1580375794,169,169
1580377766,167,167
1580379611,168,168
1580381532,169,169
1580383466,169,169
1580385372,167,167
1580387305,169,169
1580390425,173,173
1580392352,175,175
1580394260,181,181
1580396185,178,178
1580398094,178,178
1580401215,177,177
1580403128,177,177
1580405064,179,179
1580406972,180,180
1580408906,180,180
1580410944,183,183
1580412753,183,183
1580414660,186,186
1580416569,188,188
1580418507,194,194
1580420411,194,194
1580422377,187,187
1580424251,185,185
1580426201,185,185
1580428106,181,181
1580430024,182,182
1580431930,180,180
1580433865,178,178
1580435786,175,175
1580437690,174,174
1580440600,174,174
1580442508,174,174
1580444414,172,172
1580446329,172,172
1580448296,172,172
1580450171,170,170
1580452122,171,171
1580454370,167,167
1580456173,166,166
1580458118,164,164
1580460017,166,166
1580461936,164,164
1580463864,164,164
1580465799,158,158
1580467709,154,154
1580469624,153,153
1580471530,152,152
1580473454,147,147
1580475388,146,146
1580477291,148,148
1580480408,144,144
1580482337,144,144
1580484268,143,143
1580486168,144,144
1580488099,148,148
1580490353,155,155
1580492448,156,156
1580494346,155,155
1580496322,154,154
1580498445,152,152
1580500329,149,149
1580502257,151,151
1580504184,143,143
1580506096,142,142
1580508986,152,152
1580510900,154,154
1580512826,153,153
1580514735,164,164
1580516656,160,160
1580518587,161,161
1580520491,168,168
1580522532,174,174
1580524348,176,176
1580526334,178,178
1580528187,178,178
1580530103,178,178
1580532012,179,179
1580533949,183,183
1580535852,186,186
1580538019,192,192
1580539947,197,197
1580541885,196,196
1580543771,194,194
1580545709,195,195
1580547767,198,198
1580549769,198,198
1580551979,199,199
1580553856,199,199
1580555776,198,198
