DateTime,Entries,UniqueIPs
1576700219,4,4
1576747472,3,3
1576783264,2,2
1576785138,3,3
1576818315,4,4
1576891471,5,5
1576945942,4,4
1576957462,3,3
1576979313,2,2
1576981228,3,3
1577021060,2,2
1577036904,3,3
1577052738,4,4
1577060439,3,3
1577125971,2,2
1577131938,3,3
1577139862,2,2
1577222899,3,3
1577235919,4,4
1577292977,3,3
1577322741,2,2
1577330425,3,3
1577385852,2,2
1577434580,1,1
1577442492,2,2
1577487918,3,3
1577505141,2,2
1577507051,3,3
1577592526,2,2
1577596379,3,3
1577614829,2,2
1577616742,3,3
1577624562,4,4
1577650360,3,3
1577683454,2,2
1577701460,1,1
1577703408,2,2
1577711000,1,1
1577713216,2,2
1577774191,3,3
1577799402,2,2
1577801331,3,3
1577875943,2,2
1577899719,1,1
1577924179,2,2
1577960649,3,3
1577974360,2,2
1577976254,3,3
1578010609,2,2
1578041771,3,3
1578071068,4,4
1578082821,3,3
1578110910,4,4
1578144255,3,3
1578150283,2,2
1578156016,3,3
1578173322,4,4
1578197094,3,3
1578259503,2,2
1578271939,1,1
1578316604,0,0
1578416501,1,1
1578499735,2,2
1578503571,3,3
1578583694,4,4
1578588736,3,3
1578616660,3,3
1578636064,7,7
1578693414,8,8
1578721935,4,4
1578749800,5,5
1578778814,4,4
1578780803,3,3
1578814466,4,4
1578876737,3,3
1578896895,2,2
1578900743,1,1
1578927159,2,2
1578930976,1,1
1578932903,2,2
1578992711,3,3
1579020340,2,2
1579162709,1,1
1579164524,2,2
1579206018,14,14
1579292910,3,3
1579341137,5,5
1579425615,4,4
1579427536,3,3
1579433297,4,4
1579438112,3,3
1579459467,4,4
1579461648,5,5
1579479384,6,6
1579518975,8,8
1579520909,9,9
1579522813,10,10
1579534286,11,11
1579548033,10,10
1579560491,9,9
1579566252,8,8
1579600092,7,7
1579603951,8,8
1579605856,6,6
1579607771,7,7
1579612582,8,8
1579614503,6,6
1579616425,7,7
1579618335,10,10
1579620265,15,15
1579622174,23,23
1579624101,30,30
1579626130,35,35
1579627949,36,36
1579629914,37,37
1579631776,41,41
1579633699,45,45
1579635621,47,47
1579637574,48,48
1579641379,53,53
1579643301,56,56
1579645218,58,58
1579647136,62,62
1579649061,64,64
1579650976,65,65
1579652894,69,69
1579656008,71,71
1579657956,77,77
1579659862,81,81
1579661797,84,84
1579663693,89,89
1579665677,93,93
1579667548,94,94
1579669563,95,95
1579673311,96,96
1579677141,97,97
1579679066,98,98
1579680981,99,99
1579682896,100,100
1579686733,101,101
1579690584,101,101
1579695389,103,103
1579697311,104,104
1579699221,104,104
1579701143,105,105
1579703101,104,104
1579704979,99,99
1579706914,94,94
1579709102,85,85
1579711233,80,80
1579713142,78,78
1579716980,77,77
1579719141,73,73
1579721056,71,71
1579722989,68,68
1579727133,64,64
1579728972,61,61
1579730911,58,58
1579732828,56,56
1579734732,52,52
1579736669,50,50
1579738572,46,46
1579740510,43,43
1579742434,42,42
1579744335,38,38
1579746258,37,37
1579748192,36,36
1579750095,34,34
1579752975,30,30
1579754894,27,27
1579756838,25,25
1579758779,21,21
1579760699,20,20
1579762641,18,18
1579764498,17,17
1579766486,15,15
1579768367,12,12
1579770312,11,11
1579774090,10,10
1579777934,9,9
1579779854,8,8
1579781781,6,6
1579783693,6,6
1579785608,5,5
1579787561,4,4
1579819212,5,5
1579852125,4,4
1579854049,5,5
1579869619,11,11
1579871566,12,12
1579873463,15,15
1579875405,16,16
1579877306,18,18
1579879220,18,18
1579881160,22,22
1579883056,23,23
1579885003,26,26
1579886900,29,29
1579888868,35,35
1579890753,38,38
1579892929,41,41
1579894822,44,44
1579896993,46,46
1579898915,51,51
1579900820,54,54
1579902737,58,58
1579904718,60,60
1579906619,63,63
1579908666,65,65
1579910520,67,67
1579912363,69,69
1579914293,70,70
1579920021,72,72
1579923865,75,75
1579925779,76,76
1579927700,79,79
1579931541,81,81
1579933468,83,83
1579935380,85,85
1579937299,90,90
1579939294,92,92
1579941145,99,99
1579943318,103,103
1579945216,107,107
1579947177,110,110
1579949061,114,114
1579951007,117,117
1579952933,121,121
1579954818,123,123
1579956734,125,125
1579958684,128,128
1579960575,133,133
1579962497,134,134
1579964508,140,140
1579966343,144,144
1579968502,150,150
1579970603,154,154
1579972597,157,157
1579974531,155,155
1579976423,157,157
1579978329,161,161
1579980253,162,162
1579982182,171,171
1579984089,171,171
1579986091,176,176
1579987949,177,177
1579989924,181,181
1579991773,182,182
1579993703,187,187
1579995611,189,189
1579997791,192,192
1579999707,193,193
1580001620,197,197
1580003530,198,198
1580005465,194,194
1580007376,196,196
1580009294,195,195
