DateTime,AddedIPs,RemovedIPs
1579560971,3,2
1579562918,3,3
1579565808,4,8
1579567709,5,3
1579569614,4,8
1579571530,6,6
1579573483,4,4
1579575374,7,5
1579577300,4,6
1579579389,6,10
1579581375,4,7
1579583321,4,4
1579585242,7,7
1579587136,3,10
1579589083,4,9
1579590980,3,4
1579592897,2,2
1579594818,5,3
1579596735,8,4
1579598658,2,6
1579600585,5,7
1579602496,0,7
1579605610,5,8
1579607531,9,6
1579609451,4,7
1579611371,2,2
1579613290,4,3
1579616425,2,6
1579618335,3,1
1579620265,1,1
1579622175,1,2
1579624102,2,5
1579626148,0,2
1579627950,1,1
1579629914,0,3
1579631777,1,1
1579633699,3,3
1579635622,2,2
1579637574,2,3
1579639459,1,2
1579641379,1,1
1579643301,2,1
1579645218,2,6
1579647136,1,2
1579649061,3,1
1579650976,3,6
1579652894,4,2
1579656008,5,5
1579657956,9,4
1579659862,7,6
1579661798,4,7
1579663695,8,4
1579665717,1,3
1579667549,5,4
1579669565,6,8
1579671395,6,7
1579673312,2,4
1579675218,7,6
1579677141,4,2
1579679067,8,3
1579680982,6,2
1579682897,6,9
1579684829,7,3
1579686733,5,5
1579688655,6,2
1579690585,5,4
1579692492,4,6
1579695389,7,9
1579697312,2,1
1579699221,3,5
1579701143,1,2
1579703101,0,2
1579704980,2,2
1579706915,1,2
1579709102,2,2
1579711233,2,1
1579713142,2,2
1579715091,0,2
1579716980,1,0
1579719141,4,1
1579721056,2,1
1579722990,2,1
1579724894,2,0
1579727145,4,4
1579728973,0,1
1579730912,2,2
1579732829,3,2
1579734733,6,3
1579736669,0,3
1579738572,3,2
1579740510,3,3
1579742435,5,4
1579744335,5,8
1579746258,8,6
1579748192,6,3
1579750095,6,7
1579752976,9,5
1579754895,2,8
1579756838,3,3
1579758779,6,1
1579760699,12,3
1579762642,5,6
1579764499,2,5
1579766504,2,5
1579768368,1,7
1579770315,4,8
1579772173,2,6
1579774091,3,3
1579776041,7,6
1579777934,3,2
1579779854,3,3
1579781782,2,4
1579783694,4,2
1579785609,2,1
1579787561,0,1
1579789485,2,1
1579791375,6,1
1579793290,0,1
1579796283,5,3
1579798096,2,1
1579800019,0,1
1579801938,0,1
1579803854,0,2
1579805774,4,1
1579807699,0,4
1579809704,2,2
1579811565,1,4
1579813513,2,2
1579815383,1,0
1579817297,3,6
1579819213,7,4
1579821158,1,6
1579823055,4,1
1579824980,2,2
1579826896,5,4
1579828816,4,4
1579830752,4,3
