DateTime,Entries,UniqueIPs
1579571055,857,857
1579572975,854,854
1579574894,847,847
1579576840,853,853
1579578737,845,845
1579580677,848,848
1579582570,846,846
1579584489,849,849
1579586518,845,845
1579588337,846,846
1579590503,844,844
1579592413,856,856
1579594332,839,839
1579596251,827,827
1579598187,839,839
1579600093,853,853
1579602009,851,851
1579603952,856,856
1579605856,855,855
1579607772,852,852
1579609717,843,843
1579612582,829,829
1579614503,830,830
1579616426,820,820
1579618336,820,820
1579620266,829,829
1579622175,835,835
1579624102,840,840
1579626192,842,842
1579628170,836,836
1579630117,837,837
1579632014,841,841
1579633937,850,850
1579635855,852,852
1579638021,857,857
1579639930,867,867
1579641854,870,870
1579643771,879,879
1579645692,880,880
1579647757,881,881
1579649774,887,887
1579651691,913,913
1579653617,915,915
1579655537,929,929
1579657454,930,930
1579659375,936,936
1579661298,944,944
1579663226,930,930
1579665148,932,932
1579667081,940,940
1579668989,943,943
1579670891,944,944
1579673783,948,948
1579675696,947,947
1579677627,929,929
1579679530,929,929
1579681457,905,905
1579683384,925,925
1579685294,912,912
1579687305,897,897
1579689166,897,897
1579691099,897,897
1579692989,884,884
1579694895,900,900
1579696822,906,906
1579698750,927,927
1579700665,934,934
1579702577,932,932
1579704501,937,937
1579706412,945,945
1579708348,950,950
1579710251,961,961
1579712186,957,957
1579714096,965,965
1579716981,982,982
1579719142,993,993
1579721056,1005,1005
1579722990,1015,1015
1579724895,1027,1027
1579727150,1059,1059
1579728973,1070,1070
1579730912,1078,1078
1579732829,1098,1098
1579734733,1111,1111
1579736669,1109,1109
1579738573,1110,1110
1579740511,1116,1116
1579742437,1111,1111
1579744336,1120,1120
1579746259,1121,1121
1579748193,1150,1150
1579750096,1170,1170
1579752976,1182,1182
1579754895,1187,1187
1579756838,1197,1197
1579758779,1210,1210
1579760700,1213,1213
1579762642,1216,1216
1579764499,1210,1210
1579766528,1204,1204
1579768368,1207,1207
1579770319,1221,1221
1579772175,1230,1230
1579774091,1247,1247
1579776041,1251,1251
1579777935,1247,1247
1579779855,1258,1258
1579781782,1249,1249
1579783694,1252,1252
1579785609,1255,1255
1579787561,1249,1249
1579789486,1257,1257
1579791399,1257,1257
1579793290,1255,1255
1579796283,1257,1257
1579798096,1257,1257
1579800019,1252,1252
1579801938,1250,1250
1579803854,1260,1260
1579805774,1257,1257
1579807699,1239,1239
1579809720,1239,1239
1579811565,1227,1227
1579813516,1211,1211
1579815384,1205,1205
1579817298,1208,1208
1579819213,1212,1212
1579821158,1199,1199
1579823055,1196,1196
1579824981,1182,1182
1579826897,1169,1169
1579828816,1164,1164
1579830752,1161,1161
1579832660,1170,1170
1579834581,1158,1158
1579836500,1122,1122
1579838669,1115,1115
1579840569,1113,1113
1579842521,1100,1100
1579844418,1100,1100
1579846337,1093,1093
1579848263,1094,1094
1579850196,1069,1069
1579852153,1071,1071
1579854052,1059,1059
1579855965,1039,1039
1579857874,1036,1036
1579859778,1029,1029
1579861723,1019,1019
1579863732,1018,1018
1579865568,1023,1023
1579867731,1010,1010
1579869620,1002,1002
1579871568,986,986
1579873464,993,993
1579875408,993,993
1579877307,998,998
1579879221,1003,1003
1579881161,1011,1011
1579883057,1007,1007
1579885004,1006,1006
1579886900,1002,1002
1579888907,986,986
1579890754,984,984
1579892931,992,992
1579894822,993,993
1579896994,987,987
1579898915,992,992
1579900821,992,992
1579902738,986,986
1579904720,980,980
1579906622,974,974
1579908668,960,960
1579910546,952,952
1579912364,955,955
1579914305,946,946
1579916199,931,931
1579918107,908,908
1579920022,895,895
1579921951,886,886
1579923865,880,880
1579925780,871,871
1579927703,865,865
1579929630,850,850
1579931542,834,834
1579933469,828,828
1579935382,825,825
1579937302,826,826
1579940424,814,814
1579942333,693,693
1579944267,805,805
1579946177,800,800
1579948094,804,804
1579950159,808,808
1579952186,797,797
1579954109,807,807
1579956011,816,816
1579957950,817,817
1579959851,809,809
1579961776,806,806
1579963714,792,792
1579965608,789,789
1579967529,779,779
1579969476,780,780
1579971392,780,780
1579973310,779,779
1579975325,779,779
1579977158,778,778
1579979094,766,766
1579980972,752,752
1579982913,755,755
1579984835,766,766
1579986735,766,766
1579988666,769,769
1579990587,785,785
1579992508,786,786
1579994427,780,780
1579996331,789,789
1579998264,798,798
1580000169,797,797
1580002091,806,806
1580005290,819,819
1580007127,819,819
1580009090,804,804
1580010974,804,804
1580012892,814,814
1580014869,815,815
1580016732,827,827
1580018708,827,827
1580020582,826,826
1580022509,824,824
1580024424,826,826
1580026348,837,837
1580028256,843,843
1580030193,837,837
1580032108,833,833
1580034014,837,837
1580035947,841,841
1580037867,831,831
1580039777,837,837
1580041697,826,826
1580044588,832,832
1580046508,834,834
1580048413,836,836
1580050330,840,840
1580052264,839,839
1580054172,837,837
1580056101,840,840
1580058108,843,843
1580059950,838,838
1580062831,857,857
1580064735,882,882
1580066660,878,878
1580068589,870,870
1580070503,853,853
1580073383,857,857
1580075322,854,854
1580077229,850,850
1580079415,855,855
1580081294,845,845
1580083387,843,843
1580085193,839,839
1580087101,837,837
1580088976,843,843
1580090922,837,837
1580092840,833,833
1580094741,835,835
1580096670,829,829
1580098578,824,824
1580100504,812,812
1580102433,812,812
1580104332,819,819
1580106259,830,830
1580108693,842,842
1580110575,840,840
1580112505,834,834
1580114422,818,818
1580116339,819,819
1580118270,814,814
1580122352,812,812
1580124255,807,807
1580126205,808,808
1580128094,809,809
1580130228,808,808
1580132185,808,808
1580134105,809,809
1580136060,826,826
1580138196,824,824
1580140098,823,823
1580142031,827,827
1580143934,815,815
1580145853,821,821
1580147786,821,821
1580149705,813,813
1580151868,810,810
1580153779,793,793
1580155723,802,802
1580157618,794,794
1580159562,788,788
1580161457,783,783
1580163403,784,784
1580165315,782,782
1580167219,783,783
1580169149,784,784
1580171056,792,792
1580172990,793,793
1580174892,795,795
1580176954,794,794
1580178969,807,807
1580181158,801,801
1580183053,807,807
1580184977,805,805
1580186915,808,808
1580188810,807,807
1580190728,801,801
1580192666,792,792
1580194622,785,785
1580196494,782,782
1580198518,786,786
1580200336,653,653
1580202350,798,798
1580204191,2636,2636
1580206093,2777,2777
1580208014,2795,2795
1580209953,2806,2806
1580211876,2817,2817
1580213784,2823,2823
1580215705,2830,2830
1580217612,2841,2841
1580219531,2847,2847
1580221452,2846,2846
1580223371,2855,2855
1580225290,2862,2862
1580228193,2878,2878
1580230097,2883,2883
1580232168,2899,2899
1580234190,2899,2899
1580236102,2896,2896
1580238185,2893,2893
1580240180,2895,2895
1580242109,2894,2894
1580244020,2901,2901
1580245933,2904,2904
1580247869,2918,2918
1580249776,2922,2922
1580251697,2931,2931
1580253655,2930,2930
1580255535,2928,2928
1580257454,2931,2931
1580259404,2943,2943
1580261321,2944,2944
1580264435,2965,2965
1580266348,2966,2966
1580268258,2970,2970
1580270194,2984,2984
1580272094,2979,2979
1580274097,2979,2979
1580275951,2983,2983
1580277919,2983,2983
1580279771,2981,2981
1580281720,2972,2972
1580283619,2979,2979
1580285548,2992,2992
1580287486,2912,2912
1580289375,2995,2995
1580291302,3000,3000
1580293234,1983,1983
1580295131,1068,1068
1580297055,1056,1056
1580298986,1060,1060
1580300891,1067,1067
1580303786,1048,1048
1580305712,1047,1047
1580307610,1051,1051
1580309537,1062,1062
1580311468,1047,1047
1580313383,1046,1046
1580315290,1044,1044
1580317307,1042,1042
1580319249,1049,1049
1580321309,1061,1061
1580323221,1084,1084
1580325158,1086,1086
1580327052,1086,1086
1580328984,1084,1084
1580330911,1091,1091
1580332840,1095,1095
1580334732,1086,1086
1580336681,1080,1080
1580338574,1088,1088
1580340515,1069,1069
1580342623,1062,1062
1580344588,1055,1055
1580346507,1060,1060
1580348439,1055,1055
1580350356,1047,1047
1580352257,1044,1044
1580354177,1035,1035
1580356109,1024,1024
1580358013,1011,1011
1580359930,1013,1013
1580361868,1005,1005
1580363772,1002,1002
1580365941,1013,1013
1580367791,1017,1017
1580369786,5127,5127
1580371702,6342,6342
1580373612,6340,6340
1580375560,6334,6334
1580377454,6318,6318
1580379375,6318,6318
1580381308,6316,6316
1580383218,6327,6327
1580385139,6322,6322
1580387051,6321,6321
1580388975,6336,6336
1580390907,6357,6357
1580394029,6398,6398
1580395932,6398,6398
1580397870,6400,6400
1580399781,6387,6387
1580401697,6374,6374
1580403897,6370,6370
1580405801,6365,6365
1580407948,6363,6363
1580409863,6349,6349
1580411792,6372,6372
1580413695,6371,6371
1580415626,6381,6381
1580417534,6399,6399
1580419454,6414,6414
1580421388,6419,6419
1580423296,6427,6427
1580426419,6441,6441
1580428329,6446,6446
1580430253,6445,6445
1580432181,6443,6443
1580434090,6440,6440
1580436094,6431,6431
1580437935,6431,6431
1580439909,6424,6424
1580441782,6428,6428
1580443694,6430,6430
