DateTime,AddedIPs,RemovedIPs
1579571531,76,97
1579573483,91,116
1579575375,87,100
1579577311,60,149
1579579444,75,83
1579581376,90,81
1579583323,106,72
1579585242,71,102
1579587137,41,272
1579589084,42,115
1579590999,53,197
1579592898,85,159
1579594819,168,109
1579596736,195,169
1579599615,237,260
1579601539,170,183
1579603457,148,153
1579605376,78,82
1579607297,88,122
1579609213,69,103
1579611138,83,86
1579613060,93,103
1579614970,99,83
1579616894,84,72
1579619787,153,118
1579621591,113,102
1579623617,139,104
1579625530,114,164
1579627466,103,115
1579629375,118,134
1579631298,102,95
1579634419,119,165
1579636356,85,111
1579638266,56,100
1579640171,82,125
1579642093,101,104
1579644180,100,100
1579646180,83,113
1579648113,78,79
1579650032,106,83
1579651938,76,100
1579653853,101,83
1579655800,126,74
1579657719,85,73
1579659633,78,93
1579661542,74,80
1579663478,60,67
1579665374,92,68
1579667550,126,106
1579669568,93,122
1579671396,72,69
1579673312,69,45
1579675227,89,52
1579677142,74,50
1579679068,85,90
1579680991,93,179
1579682898,66,191
1579684830,580,162
1579686734,82,166
1579688656,50,186
1579690585,63,130
1579692493,56,77
1579695390,133,132
1579697312,65,101
1579699222,78,104
1579701144,56,99
1579703102,94,108
1579704980,95,129
1579706923,129,125
1579709103,75,160
1579711235,154,146
1579713143,226,82
1579715092,176,119
1579716982,229,109
1579719142,96,75
1579721057,82,84
1579722991,133,62
1579724895,113,63
1579727154,136,101
1579728974,71,108
1579730913,79,95
1579732830,109,74
1579734734,119,81
1579736670,122,100
1579738573,161,79
1579740511,82,109
1579742445,169,117
1579744336,160,85
1579746259,78,90
1579748193,149,68
1579750097,112,59
1579752134,94,87
1579753961,58,117
1579755877,72,110
1579757772,77,91
1579759692,69,61
1579761612,98,89
1579763530,78,74
1579765457,166,85
1579767378,127,89
1579769315,121,72
1579771214,134,88
1579773159,335,672
1579775067,672,46
1579776970,560,55
1579779164,723,58
1579781142,527,90
1579782975,713,75
1579784930,884,68
1579786847,981,54
1579788769,838,65
1579790769,931,86
1579792608,773,95
1579794499,960,92
1579796433,673,57
1579798364,1013,267
1579800263,634,126
1579802214,786,223
1579804099,683,96
1579806275,794,83
1579808169,725,83
1579810114,703,110
1579812020,696,108
1579813937,696,95
1579815852,729,63
1579817811,621,47
1579819697,862,101
1579821623,534,90
1579823532,379,159
1579825455,637,69
1579827373,945,65
1579829301,621,131
1579831409,148,143
1579833379,192,102
1579835313,124,138
1579837215,111,50
1579839134,84,72
1579841054,68,60
1579843013,312,67
1579844894,77,55
1579846814,60,73
1579848729,93,82
1579850654,154,99
1579852571,235,127
1579854493,287,105
1579856586,227,137
1579858602,156,78
1579860529,177,632
1579862418,175,514
1579864333,155,622
1579866260,74,469
1579868218,112,530
1579870103,496,828
1579872063,175,824
1579873962,326,904
1579875882,90,792
1579877827,114,859
1579879727,60,760
1579881778,121,876
1579883778,909,803
1579885717,831,749
1579887622,958,736
1579889543,878,727
1579891467,995,737
1579893634,1014,761
1579895536,968,775
1579897480,794,651
1579899378,865,763
1579901297,807,620
1579903280,872,746
1579905147,622,662
1579907241,703,909
1579909229,249,339
1579911139,412,475
1579913077,698,902
1579914975,573,773
1579916912,677,239
1579918811,535,149
1579920729,684,156
1579922698,452,85
1579924575,492,112
1579926490,478,78
1579929402,1042,373
1579931314,802,75
1579933218,640,64
1579935133,676,97
1579937070,382,153
1579938974,96,222
1579940914,113,291
1579942930,264,215
1579944741,158,142
1579946677,165,146
1579948587,198,199
1579950507,265,141
1579952440,159,103
1579954357,154,101
1579956255,161,223
1579958175,81,193
1579960113,89,297
1579962012,139,140
1579963968,105,97
1579965868,63,71
1579967791,63,82
1579969764,164,779
1579972826,129,1326
1579974743,91,1030
1579976659,109,821
1579978606,131,1051
1579980517,124,872
1579982663,75,988
1579984591,81,903
1579986503,70,723
1579988420,59,967
1579990356,83,718
1579992279,122,767
1579994178,95,433
1579996101,134,327
1579998265,86,592
1580000170,88,661
1580002092,59,594
1580005291,188,988
1580007128,50,635
1580009091,130,452
1580010975,95,506
1580012892,115,482
1580016016,119,1138
1580017961,105,844
1580019863,149,657
1580021771,80,662
1580023696,137,337
1580025770,98,135
1580027783,125,185
1580029704,144,221
1580031615,87,205
1580033578,106,210
1580035458,69,660
1580037394,179,213
1580039306,619,213
1580041255,1371,176
1580043132,2852,148
1580045065,1778,83
1580046973,2325,121
1580048889,1696,133
1580050926,2346,124
1580052746,2081,88
1580054575,2045,67
1580056576,2357,202
1580058511,2098,84
1580060413,2626,92
1580062335,2052,107
1580064269,2257,137
1580066176,1958,106
1580068095,2413,132
1580070028,1987,63
1580071929,2393,92
1580073856,1897,75
1580075786,2567,79
1580077688,2364,121
1580080577,640,137
1580082500,273,129
1580084422,394,81
1580086330,399,95
1580088254,377,73
1580090194,458,115
1580092095,388,68
1580095229,817,178
1580097141,552,103
1580099055,469,83
1580100982,479,75
1580102890,330,71
1580104953,401,100
1580106977,361,156
1580108913,426,71
1580110820,468,122
1580112737,375,99
1580114667,656,138
1580116575,641,124
1580118740,726,81
1580120663,365,98
1580122587,438,51
1580124496,403,330
1580127415,861,1295
1580129543,605,3143
1580131459,440,1776
1580133394,401,2335
1580135296,81,1646
1580137368,63,2353
1580139369,65,2321
1580142256,165,3196
1580144186,87,2425
1580146093,91,2338
1580148113,104,2235
1580149947,104,1924
1580151910,111,2018
1580153780,93,2338
1580155724,98,2071
1580157619,98,2262
1580159563,101,2070
1580161459,88,2397
1580163405,109,1990
1580165317,112,1458
1580167220,97,278
1580169150,94,359
1580171057,92,450
1580172991,113,451
1580174893,74,399
1580176989,115,454
1580178970,92,474
1580181159,97,524
1580183054,102,580
1580184978,112,574
1580186916,96,539
1580188811,89,365
1580190729,97,366
1580192667,95,354
1580194623,91,448
1580196495,100,457
1580198548,103,439
1580200582,108,612
1580202493,117,826
1580204411,101,840
1580206349,76,404
1580208249,55,418
1580210176,68,462
1580212106,75,620
1580214010,71,594
1580215934,62,581
1580217867,87,487
1580219772,57,427
1580221711,86,97
1580223733,72,73
1580225552,83,75
1580227512,90,79
1580229394,92,190
1580231562,92,100
1580233456,89,123
1580235404,91,107
1580237298,86,134
1580239232,76,116
1580241134,68,104
1580243055,84,102
1580245008,72,137
1580246929,78,106
1580249070,67,123
1580250977,91,142
1580252910,64,117
1580254814,79,113
1580256739,83,110
1580258665,95,118
1580260576,73,93
1580262492,103,100
1580264435,76,113
1580266348,75,105
1580268259,75,93
1580270195,59,119
1580272095,74,112
1580274106,79,98
1580275951,63,93
1580277925,83,103
1580279772,134,98
1580281720,66,88
1580283620,76,112
1580285549,94,104
1580287487,83,127
1580289376,80,117
1580291303,75,114
1580293234,75,67
1580295132,84,74
1580297055,83,70
1580298987,77,70
1580300891,77,60
1580303787,109,118
1580305713,72,72
1580307610,49,76
1580309537,127,74
1580311468,68,62
1580313384,98,105
1580315290,122,97
1580317327,110,91
1580319249,73,102
1580321310,138,69
1580323221,62,96
1580325159,82,76
1580327052,68,68
1580328984,78,82
1580330911,89,72
1580332840,84,75
1580334732,106,78
1580336681,90,66
1580338575,92,83
1580340515,74,75
1580342640,131,75
1580344588,108,92
1580346517,73,88
1580348439,88,99
1580350356,81,97
1580352257,82,75
1580354177,70,75
1580356109,102,72
1580358013,86,81
1580359930,87,65
1580361868,72,70
1580363772,86,88
1580365949,81,93
1580367812,83,141
1580369786,74,74
1580371703,88,99
1580373613,81,72
1580375561,82,80
1580377455,85,73
1580379376,103,70
1580381309,97,84
1580383218,70,87
1580385139,108,75
1580387052,75,76
1580388976,88,77
1580390908,69,66
1580394029,119,99
1580395933,74,128
1580397870,66,77
1580399790,97,97
1580401698,56,106
1580403915,97,118
1580405802,83,80
1580407949,71,158
1580409872,94,67
1580411793,90,79
1580413695,127,64
1580415627,103,68
1580417534,145,84
1580419455,138,82
1580421389,174,87
1580423296,119,87
1580426420,179,129
1580428329,107,102
1580430253,110,118
1580432182,108,81
1580434090,94,78
1580436122,99,89
1580437935,109,84
1580439936,102,71
1580441782,86,92
1580443695,78,80
1580445611,80,95
1580447545,58,70
1580449458,61,74
1580451374,91,83
1580453298,55,76
1580455243,46,81
1580457129,56,76
1580459056,65,97
1580460999,66,93
1580462894,88,73
1580464980,74,109
1580466970,80,98
1580468916,76,83
1580470815,87,105
1580472736,68,84
1580474697,64,78
1580476843,82,94
1580478734,60,64
1580480672,82,83
1580482579,81,68
1580484743,85,70
1580486730,97,75
1580488674,97,78
1580490832,98,99
1580492902,104,95
1580494819,76,81
1580496757,71,86
1580498655,71,104
1580500590,74,126
1580502493,67,104
1580504552,70,138
1580506370,57,137
1580508526,80,213
1580510419,72,103
1580512339,74,115
1580514275,88,105
1580516176,98,128
1580518099,82,101
1580520026,78,97
1580521943,71,97
1580523856,71,103
1580525787,78,105
1580527695,70,82
1580529831,88,88
1580531784,84,83
1580533691,63,57
1580535631,115,62
1580537566,106,76
1580539493,76,58
1580541405,66,53
1580543302,82,57
1580545220,78,51
1580547163,88,73
1580549089,72,76
1580550984,87,85
1580552915,108,61
1580556012,126,127
