DateTime,AddedIPs,RemovedIPs
1579520656,2,2
1579522588,2,2
1579524505,3,3
1579526416,1,1
1579528343,2,2
1579530257,2,2
1579532175,6,1
1579534288,2,2
1579536214,6,3
1579538178,3,4
1579540129,5,5
1579542035,4,3
1579544189,2,6
1579546090,3,0
1579548036,2,2
1579549998,3,2
1579551855,0,1
1579553772,2,4
1579555717,5,4
1579557754,5,5
1579559769,4,2
1579561949,2,5
1579563857,0,2
1579565810,1,0
1579567711,1,4
1579569616,3,4
1579571532,1,2
1579573484,4,3
1579575376,6,1
1579577312,1,3
1579579485,0,4
1579581377,4,6
1579583324,0,4
1579585243,5,3
1579587138,6,4
1579589085,0,5
1579591001,1,1
1579592899,1,2
1579594820,3,3
1579596737,2,3
1579598725,1,7
1579600586,3,7
1579602497,2,2
1579604558,2,0
1579606572,2,2
1579608490,1,1
1579610411,4,4
1579612338,2,1
1579614251,1,1
1579616428,3,3
1579618337,4,6
1579620267,1,2
1579622176,4,4
1579624103,1,3
1579626257,3,2
1579628171,0,3
1579630118,2,1
1579632015,3,4
1579633937,1,1
1579635857,2,3
1579638023,1,0
1579639931,4,2
1579641855,1,6
1579643772,4,5
1579645693,1,3
1579647773,1,4
1579649775,1,1
1579651692,3,1
1579653618,5,2
1579655538,4,3
1579657455,7,1
1579659376,2,5
1579661299,0,4
1579663227,0,1
1579665149,4,2
1579667082,6,3
1579668990,4,2
1579670892,2,4
1579673784,1,6
1579675697,6,1
1579677628,0,1
1579679531,5,4
1579681458,2,3
1579683385,1,0
1579685295,0,2
1579687353,4,2
1579689169,2,2
1579691123,3,3
1579692990,1,5
1579694896,4,1
1579696823,3,3
1579698751,7,2
1579700666,3,0
1579702578,0,3
1579704502,2,2
1579706413,0,4
1579708349,2,4
1579710252,1,3
1579712187,1,2
1579714097,3,1
1579716983,3,5
1579719144,6,2
1579721059,0,1
1579722993,1,2
1579724897,4,1
1579727156,0,4
1579728978,4,1
1579730926,6,4
1579732831,0,2
1579734735,2,0
1579736675,2,3
1579738574,5,3
1579740516,2,8
1579742447,10,2
1579744357,1,6
1579746264,0,2
1579748195,3,0
1579750098,2,2
1579752218,1,5
1579754173,3,5
1579756131,12,3
1579758043,0,2
1579759972,2,1
1579761888,6,3
1579763779,2,2
1579765694,0,3
1579767638,0,3
1579769558,4,1
1579771480,2,1
1579773374,0,3
1579775295,12,4
1579777528,2,2
1579779386,1,1
1579781570,2,3
1579783457,1,3
1579785428,12,9
1579787338,2,2
1579789221,1,1
1579791174,22,2
1579793061,4,1
1579794982,3,1
1579796900,0,1
1579799118,1,0
1579800979,1,4
1579802896,1,1
1579804818,1,2
1579807019,0,5
1579810815,0,3
1579812743,2,1
1579814660,1,1
1579816595,0,6
1579818494,1,1
1579820671,1,0
1579822587,5,1
1579824492,2,6
1579826413,4,1
1579828339,1,10
1579830250,14,2
1579832193,4,1
1579834096,2,2
1579836027,1,1
1579837939,2,1
1579839891,0,1
1579841799,0,12
1579843718,1,4
1579845855,2,1
1579847790,1,2
1579849717,4,6
1579853541,11,0
1579855458,4,1
1579857409,1,3
1579859294,4,0
1579861214,5,9
1579863138,1,6
1579865080,1,0
1579866975,2,1
1579868892,7,2
1579871072,5,1
1579873055,9,13
1579874932,9,2
1579876830,5,6
1579878760,2,19
1579880795,0,4
1579882829,3,1
1579884734,1,1
1579888593,1,1
1579890492,1,1
1579892591,0,1
1579894824,2,0
1579896996,2,1
1579898917,2,0
1579900822,0,3
1579902740,1,1
1579904722,0,2
1579908670,1,4
1579910642,0,1
1579912574,1,1
1579914757,4,1
1579916655,1,10
1579918576,2,3
1579920511,2,3
1579922445,1,1
1579926256,1,1
1579930097,0,1
1579932258,1,2
1579934185,1,1
1579936099,1,1
1579938024,6,1
1579939957,3,2
1579941854,9,1
1579943836,1,0
1579945735,0,2
1579947641,2,0
1579949554,0,1
1579953398,2,0
1579955295,0,1
1579957502,2,4
1579959388,1,3
1579961311,1,2
