DateTime,AddedIPs,RemovedIPs
1579576843,19,34
1579578739,21,30
1579580681,17,33
1579582572,18,38
1579584490,17,38
1579586559,9,234
1579588573,16,94
1579590504,17,148
1579592415,18,52
1579594333,22,99
1579596252,24,114
1579598188,27,85
1579600094,16,88
1579602010,28,88
1579603953,29,43
1579605860,25,22
1579607773,33,29
1579609718,18,48
1579611649,24,35
1579613593,23,32
1579615732,21,30
1579617615,26,22
1579619574,27,24
1579621593,23,21
1579623619,20,20
1579625550,23,14
1579627467,22,22
1579629376,21,20
1579631299,26,21
1579634421,31,38
1579636357,22,20
1579638270,19,19
1579640172,22,23
1579642094,17,22
1579644240,24,32
1579646181,27,23
1579648113,27,13
1579650033,23,14
1579651942,18,25
1579653854,26,11
1579655800,34,14
1579657720,19,19
1579659634,25,20
1579661543,16,20
1579663480,24,18
1579665375,31,19
1579667552,27,21
1579669570,18,13
1579671400,14,18
1579673313,22,9
1579675231,34,22
1579677143,22,14
1579679069,24,21
1579680993,25,24
1579682899,17,28
1579684832,29,25
1579686738,25,16
1579688660,22,32
1579690587,22,29
1579692497,25,18
1579695391,53,42
1579697313,30,25
1579699224,20,24
1579701148,23,16
1579703107,31,31
1579704982,22,21
1579706925,27,29
1579709104,28,21
1579711236,39,20
1579713147,29,20
1579715093,26,19
1579716983,28,24
1579719144,21,21
1579721058,18,23
1579722992,24,19
1579724897,27,23
1579727155,34,20
1579728978,15,26
1579730924,12,23
1579732831,17,25
1579734735,25,29
1579736675,20,17
1579738574,16,21
1579740515,18,28
1579742447,17,31
1579744338,25,20
1579746263,24,36
1579748194,21,14
1579750098,23,26
1579752206,22,29
1579754173,20,27
1579756130,31,15
1579758043,34,15
1579759972,29,25
1579761888,23,30
1579763778,21,20
1579765693,16,28
1579767638,24,19
1579769558,26,22
1579771480,19,22
1579773374,279,30
1579775295,404,20
1579777506,370,27
1579779386,334,24
1579781570,327,42
1579783457,498,32
1579785428,484,24
1579787337,604,25
1579789221,471,23
1579791173,557,24
1579793061,480,26
1579794982,594,22
1579796900,331,24
1579799118,659,36
1579800979,598,23
1579802896,554,26
1579804818,584,17
1579807019,706,21
1579808897,637,13
1579810814,523,27
1579812743,635,23
1579814660,529,27
1579816595,711,14
1579818494,611,13
1579820642,889,17
1579822587,192,24
1579824492,308,14
1579826412,813,18
1579828338,784,7
1579830250,303,24
1579832193,12,15
1579834096,11,20
1579836026,13,22
1579837939,11,10
1579839891,21,19
1579841798,13,22
1579843718,13,26
1579845825,18,21
1579847790,17,24
1579849716,14,12
1579851621,13,18
1579853540,10,14
1579855458,13,14
1579857408,17,23
1579859293,15,115
1579861213,12,471
1579863137,19,303
1579865079,22,454
1579866974,14,268
1579868892,21,281
1579871053,13,561
1579873047,8,602
1579874932,14,504
1579876829,14,550
1579878759,22,464
1579880794,27,608
1579882829,319,362
1579884734,596,637
1579886654,552,535
1579888593,617,619
1579890492,531,503
1579892571,703,681
1579894824,725,803
1579896995,634,563
1579898917,596,608
1579900822,453,542
1579902740,618,724
1579904721,583,589
1579906624,678,901
1579908669,154,246
1579910622,350,320
1579912573,583,728
1579914757,632,911
1579916655,641,294
1579918575,534,16
1579920511,642,10
1579922445,336,13
1579924354,396,10
1579926255,415,21
1579928236,697,17
1579930097,579,13
1579932241,811,23
1579934185,616,15
1579936099,461,12
1579938024,126,13
1579939957,16,11
1579941853,19,10
1579943825,16,15
1579945734,13,15
1579947640,10,12
1579949554,12,18
1579951478,11,20
