DateTime,Entries,UniqueIPs
1579576843,1968,1968
1579578739,1959,1959
1579580681,1943,1943
1579582572,1923,1923
1579584490,1902,1902
1579586559,1677,1677
1579588573,1599,1599
1579590504,1468,1468
1579592415,1434,1434
1579594333,1357,1357
1579596252,1267,1267
1579598188,1209,1209
1579600094,1137,1137
1579602010,1077,1077
1579603953,1063,1063
1579605860,1066,1066
1579607773,1070,1070
1579609718,1040,1040
1579611649,1029,1029
1579613593,1020,1020
1579615732,1011,1011
1579617615,1015,1015
1579619574,1018,1018
1579621593,1020,1020
1579623619,1020,1020
1579625550,1029,1029
1579627467,1029,1029
1579629376,1030,1030
1579631299,1035,1035
1579634421,1028,1028
1579636357,1030,1030
1579638270,1030,1030
1579640172,1029,1029
1579642094,1024,1024
1579644240,1016,1016
1579646181,1020,1020
1579648113,1034,1034
1579650033,1043,1043
1579651942,1036,1036
1579653854,1051,1051
1579655800,1071,1071
1579657720,1071,1071
1579659634,1076,1076
1579661543,1072,1072
1579663480,1078,1078
1579665375,1090,1090
1579667552,1096,1096
1579669570,1101,1101
1579671400,1097,1097
1579673313,1110,1110
1579675231,1122,1122
1579677143,1130,1130
1579679069,1133,1133
1579680993,1134,1134
1579682899,1123,1123
1579684832,1127,1127
1579686738,1136,1136
1579688660,1126,1126
1579690587,1119,1119
1579692497,1126,1126
1579695391,1137,1137
1579697313,1142,1142
1579699224,1138,1138
1579701148,1145,1145
1579703107,1145,1145
1579704982,1146,1146
1579706925,1144,1144
1579709104,1151,1151
1579711236,1170,1170
1579713147,1179,1179
1579715093,1186,1186
1579716983,1190,1190
1579719144,1190,1190
1579721058,1185,1185
1579722992,1190,1190
1579724897,1194,1194
1579727155,1208,1208
1579728978,1197,1197
1579730924,1186,1186
1579732831,1178,1178
1579734735,1174,1174
1579736675,1177,1177
1579738574,1172,1172
1579740515,1162,1162
1579742447,1148,1148
1579744338,1153,1153
1579746263,1141,1141
1579748194,1148,1148
1579750098,1145,1145
1579752206,1138,1138
1579754173,1131,1131
1579756130,1147,1147
1579758043,1166,1166
1579759972,1170,1170
1579761888,1163,1163
1579763778,1164,1164
1579765693,1152,1152
1579767638,1157,1157
1579769558,1161,1161
1579771480,1158,1158
1579773374,1407,1407
1579775295,1791,1791
1579777506,2134,2134
1579779386,2444,2444
1579781570,2729,2729
1579783457,3195,3195
1579785428,3655,3655
1579787337,4234,4234
1579789221,4682,4682
1579791173,5215,5215
1579793061,5669,5669
1579794982,6241,6241
1579796900,6548,6548
1579799118,7171,7171
1579800979,7746,7746
1579802896,8274,8274
1579804818,8841,8841
1579807019,9526,9526
1579808897,10150,10150
1579810814,10646,10646
1579812743,11258,11258
1579814660,11760,11760
1579816595,12457,12457
1579818494,13055,13055
1579820642,13927,13927
1579822587,14095,14095
1579824492,14389,14389
1579826412,15184,15184
1579828338,15961,15961
1579830250,16240,16240
1579832193,16237,16237
1579834096,16228,16228
1579836026,16219,16219
1579837939,16220,16220
1579839891,16222,16222
1579841798,16213,16213
1579843718,16200,16200
1579845825,16197,16197
1579847790,16190,16190
1579849716,16192,16192
1579851621,16187,16187
1579853540,16183,16183
1579855458,16182,16182
1579857408,16176,16176
1579859293,16076,16076
1579861213,15617,15617
1579863137,15333,15333
1579865079,14901,14901
1579866974,14647,14647
1579868892,14387,14387
1579871053,13839,13839
1579873047,13245,13245
1579874932,12755,12755
1579876829,12219,12219
1579878759,11777,11777
1579880794,11196,11196
1579882829,11153,11153
1579884734,11112,11112
1579886654,11129,11129
1579888593,11127,11127
1579890492,11155,11155
1579892571,11177,11177
1579894824,11099,11099
1579896995,11170,11170
1579898917,11158,11158
1579900822,11069,11069
1579902740,10963,10963
1579904721,10957,10957
1579906624,10734,10734
1579908669,10642,10642
1579910622,10672,10672
1579912573,10527,10527
1579914757,10248,10248
1579916655,10595,10595
1579918575,11113,11113
1579920511,11745,11745
1579922445,12068,12068
1579924354,12454,12454
1579926255,12848,12848
1579928236,13528,13528
1579930097,14094,14094
1579932241,14882,14882
1579934185,15483,15483
1579936099,15932,15932
1579938024,16045,16045
1579939957,16050,16050
1579941853,16059,16059
1579943825,16060,16060
1579945734,16058,16058
1579947640,16056,16056
1579949554,16050,16050
1579951478,16041,16041
1579953398,16038,16038
1579955295,16087,16087
1579957502,16085,16085
1579959388,16097,16097
1579961311,16105,16105
1579963218,16106,16106
1579965160,16094,16094
1579967064,16076,16076
1579968978,15856,15856
1579970921,15254,15254
1579972829,14726,14726
1579974745,14125,14125
1579976664,13618,13618
1579978608,12937,12937
1579980522,12350,12350
1579982710,11703,11703
1579984592,11141,11141
1579986505,10707,10707
1579988422,10117,10117
1579990357,9593,9593
1579992280,8925,8925
1579994180,8597,8597
1579996103,8382,8382
1579998266,7847,7847
1580000171,7229,7229
1580002093,6688,6688
1580004211,6057,6057
1580006182,5537,5537
1580008121,5092,5092
1580010029,4747,4747
1580011954,4401,4401
1580013853,3846,3846
1580015781,3278,3278
1580017713,2543,2543
1580019683,1908,1908
1580021530,1381,1381
1580023469,1112,1112
1580025386,1066,1066
1580027292,1064,1064
1580029395,1061,1061
1580031382,1065,1065
1580033302,1062,1062
1580035215,1069,1069
1580037150,1072,1072
1580039069,1072,1072
1580040984,1063,1063
1580042910,1237,1237
1580044815,1514,1514
1580046729,1843,1843
1580048665,2108,2108
1580050572,2433,2433
1580052492,2697,2697
1580054598,3020,3020
1580056577,3346,3346
1580058515,3635,3635
1580060414,3953,3953
1580062336,4232,4232
1580064270,4575,4575
1580066177,4856,4856
1580068100,5176,5176
1580070029,5481,5481
1580071930,5831,5831
1580073858,6114,6114
1580075789,6450,6450
1580077690,6730,6730
1580080579,7137,7137
1580082502,7329,7329
1580084424,7647,7647
1580086331,7980,7980
1580088256,8319,8319
1580090195,8694,8694
1580092109,8993,8993
1580094294,9376,9376
1580096175,9713,9713
1580098107,10034,10034
1580100013,10378,10378
1580101938,10712,10712
1580103879,11022,11022
1580105775,11319,11319
1580107804,11622,11622
1580109623,11891,11891
1580111567,12263,12263
1580113457,12571,12571
1580115390,12937,12937
1580117311,13259,13259
1580119434,13655,13655
1580121369,13966,13966
1580123312,14253,14253
1580125217,14727,14727
1580127145,15182,15182
1580129085,15513,15513
1580130986,15668,15668
1580132897,15811,15811
1580134831,15598,15598
1580136751,15262,15262
1580138657,14996,14996
1580140595,14683,14683
1580142495,14397,14397
1580145629,13908,13908
1580147541,13599,13599
1580149455,13300,13300
1580151421,12948,12948
1580153290,12667,12667
1580155242,12336,12336
1580157150,12028,12028
1580159137,11709,11709
1580160988,11387,11387
1580162963,11100,11100
1580164854,10767,10767
1580166757,10500,10500
1580168653,10341,10341
1580170578,10050,10050
1580172497,9719,9719
1580174440,9383,9383
1580176330,9027,9027
1580178257,8726,8726
1580180189,8351,8351
1580182110,8061,8061
1580184195,7689,7689
1580186211,7341,7341
1580188107,7026,7026
1580190016,6683,6683
1580191949,6403,6403
1580193852,6097,6097
1580195799,5837,5837
1580197707,5483,5483
1580199611,5165,5165
1580201527,4804,4804
1580203464,4508,4508
1580205373,4099,4099
1580207288,3783,3783
1580210178,3382,3382
1580212107,2850,2850
1580214011,2442,2442
1580215934,1928,1928
1580217867,1500,1500
1580219777,1132,1132
1580221712,1105,1105
1580223775,1111,1111
1580225777,1123,1123
1580227729,1134,1134
1580229613,1133,1133
1580231563,1139,1139
1580233457,1147,1147
1580235407,1155,1155
1580237299,1154,1154
1580239233,1144,1144
1580241135,1143,1143
1580243056,1141,1141
1580245009,1127,1127
1580246929,1134,1134
1580249098,1140,1140
1580250977,1146,1146
1580252912,1148,1148
1580254814,1149,1149
1580256740,1132,1132
1580258665,1120,1120
1580260576,1119,1119
1580262492,1123,1123
1580264439,1125,1125
1580266349,1129,1129
1580268260,1133,1133
1580270198,1131,1131
1580272099,1133,1133
1580274159,1138,1138
1580276173,1142,1142
1580278107,1152,1152
1580280016,1150,1150
1580281937,1143,1143
1580283876,1148,1148
1580285784,1165,1165
1580287717,1164,1164
1580289622,1174,1174
1580291532,1190,1190
1580293459,1193,1193
1580295384,1201,1201
1580297292,1203,1203
1580300425,1212,1212
1580302333,1206,1206
1580304272,1208,1208
1580306172,1204,1204
1580307972,1256,1256
1580310153,1257,1257
1580311966,1234,1234
1580313939,1242,1242
1580315792,1236,1236
1580317705,1236,1236
1580319613,1237,1237
1580321551,1246,1246
1580323470,1240,1240
1580325375,1234,1234
1580327310,1237,1237
1580329215,1235,1235
1580331131,1248,1248
1580333069,1241,1241
1580334973,1240,1240
1580336924,1236,1236
1580339059,1234,1234
1580340992,1233,1233
1580343166,1235,1235
1580345057,1248,1248
1580346974,1236,1236
1580348907,1224,1224
1580350818,1220,1220
1580352730,1214,1214
1580354688,1200,1200
1580356576,1200,1200
1580358739,1202,1202
1580360712,1192,1192
1580362631,1189,1189
1580364515,1183,1183
1580366418,1182,1182
1580368348,1187,1187
1580370286,1178,1178
1580372182,1167,1167
1580374110,1173,1173
1580376025,1165,1165
1580377932,1155,1155
1580379868,1153,1153
1580381778,1141,1141
1580383697,1131,1131
1580385830,1128,1128
1580387773,1137,1137
1580389692,1146,1146
1580391627,1138,1138
1580393534,1138,1138
1580395477,1083,1083
1580397377,1086,1086
1580399311,1093,1093
1580401218,1076,1076
1580403130,1070,1070
1580405066,1070,1070
1580406977,1067,1067
1580408908,1070,1070
1580411050,1074,1074
1580412986,1108,1108
1580414904,1108,1108
1580416835,1136,1136
1580418733,1140,1140
1580420670,1163,1163
1580422841,1207,1207
1580424734,1201,1201
1580426663,1214,1214
1580428586,1204,1204
1580430543,1206,1206
1580432616,1201,1201
1580434573,1206,1206
1580436755,1225,1225
1580438656,1227,1227
1580440602,1229,1229
1580442511,1230,1230
1580444416,1228,1228
1580446331,1223,1223
1580448297,1236,1236
1580450173,1237,1237
1580452124,1250,1250
1580454376,1241,1241
1580456413,1244,1244
1580458348,1240,1240
1580460277,1239,1239
1580462210,1243,1243
1580464094,1241,1241
1580466022,1240,1240
1580467937,1250,1250
1580469852,1258,1258
1580471784,1256,1256
1580473716,1257,1257
1580476844,1254,1254
1580478735,1258,1258
1580480673,1270,1270
1580482582,1281,1281
1580484745,1280,1280
1580486755,1287,1287
1580488709,1296,1296
1580490833,1302,1302
1580492905,1299,1299
