DateTime,AddedIPs,RemovedIPs
1579508417,2,5
1579510338,2,5
1579512309,4,2
1579514220,3,6
1579516098,3,3
1579518300,5,3
1579520186,2,2
1579522099,3,1
1579524012,1,3
1579525946,2,1
1579527856,1,1
1579529772,3,2
1579531717,0,1
1579533614,1,2
1579535532,1,1
1579537455,2,3
1579539391,1,1
1579541299,3,0
1579543380,1,1
1579545383,0,3
1579547353,2,0
1579549239,1,3
1579551138,2,1
1579553068,1,0
1579554996,0,1
1579557159,1,1
1579559053,1,0
1579560972,2,0
1579562920,0,3
1579564909,1,1
1579566740,2,3
1579568711,1,0
1579570570,1,3
1579572499,2,3
1579574411,2,3
1579576363,1,1
1579578253,5,6
1579580202,1,7
1579582093,6,3
1579584019,0,3
1579585929,3,3
1579587851,1,2
1579589771,1,3
1579591691,2,3
1579593731,2,2
1579595532,4,2
1579597494,4,2
1579599379,2,4
1579601540,4,2
1579603459,1,3
1579605377,1,3
1579607298,3,1
1579609214,6,2
1579611139,0,2
1579613061,2,1
1579614971,0,5
1579616895,2,1
1579619789,3,1
1579621594,1,0
1579623619,3,1
1579625551,0,3
1579627468,1,1
1579629376,0,1
1579631300,0,1
1579634421,3,3
1579636357,1,3
1579638271,2,3
1579640173,0,2
1579642095,0,1
1579644250,1,3
1579646181,2,4
1579648114,2,1
1579650034,1,0
1579651943,0,1
1579653855,2,1
1579655801,1,4
1579657721,3,3
1579659635,1,1
1579661544,2,1
1579663480,3,1
1579665375,2,2
1579667552,2,3
1579669571,2,4
1579671401,3,1
1579673313,1,3
1579675232,1,2
1579677144,0,1
1579679069,4,3
1579680994,2,1
1579682900,3,4
1579684832,2,1
1579686739,2,4
1579688661,1,1
1579690587,4,0
1579692498,3,4
1579695392,5,6
1579697314,2,0
1579699224,3,3
1579701149,0,1
1579703107,0,2
1579704982,1,2
1579706925,0,2
1579709105,1,2
1579711236,2,1
1579713148,2,1
1579715094,0,1
1579716984,2,0
1579719144,2,1
1579721059,1,1
1579722993,1,1
1579727156,1,1
1579730926,3,3
1579732831,4,1
1579734735,4,1
1579736676,0,1
1579738575,2,1
1579740516,3,2
1579742448,1,0
1579744357,2,3
1579746264,3,2
1579748195,2,1
1579750098,2,3
1579752226,3,2
1579754174,2,2
1579756131,0,2
1579758044,2,2
1579759972,5,1
1579761889,3,0
1579763779,3,0
1579765694,2,7
1579767638,0,1
1579769558,2,3
1579771481,0,3
1579773374,1,1
1579775296,5,2
1579777547,3,3
1579779386,0,1
1579781571,2,3
1579783457,3,4
1579785429,0,2
1579787338,1,0
1579789222,1,1
1579792119,3,1
1579794018,2,0
1579795978,0,1
1579797853,1,1
1579800020,0,1
1579801939,1,1
1579803856,0,1
1579805775,2,0
1579807720,1,3
1579809794,3,1
1579811770,1,1
1579813697,1,1
1579815613,0,1
1579817555,2,4
1579819454,4,2
1579821624,1,7
1579823533,1,1
1579825456,2,3
1579827374,3,1
1579829303,1,2
1579831483,2,1
1579833381,1,5
1579835314,2,1
1579837216,4,2
1579839136,1,1
1579841055,4,2
1579843014,2,1
1579844895,0,3
1579846815,1,3
1579848730,1,3
1579850655,4,3
1579852572,5,2
1579854494,2,1
1579856642,3,3
1579858603,5,0
1579860531,1,2
1579862420,3,4
1579864334,0,1
1579866261,3,1
1579868220,1,3
1579870104,2,2
1579872065,0,1
1579873963,2,1
1579875884,0,1
1579877829,0,2
1579879729,1,1
1579881871,3,1
1579883779,1,1
1579887624,0,1
1579889545,1,1
1579891468,1,1
1579893635,5,0
1579895537,2,0
1579897481,0,2
1579899379,1,0
1579901299,0,1
1579903354,3,1
1579905384,0,6
1579907249,1,0
1579909231,1,1
1579911141,1,0
1579913079,1,4
1579914977,1,1
1579916913,1,1
1579918813,0,5
1579920731,1,3
1579922699,1,3
1579924577,1,2
1579926492,2,1
1579929404,3,5
1579931316,3,0
1579933219,2,3
1579935135,1,1
1579937071,0,2
1579938976,1,5
1579940916,2,2
1579944010,7,2
1579946178,3,3
1579948095,2,3
1579950242,1,3
1579952187,1,2
1579954112,1,3
1579956012,2,1
1579957951,2,0
1579959852,0,1
1579961777,4,1
1579963734,1,0
1579965609,2,1
1579967530,0,1
1579969478,2,1
1579971393,1,0
1579973311,2,0
1579975385,1,1
1579977373,2,1
1579979315,2,2
1579981211,2,2
1579983152,1,1
1579985067,1,0
1579986981,3,0
1579988894,3,1
1579990832,1,1
1579992731,3,0
1579994657,3,3
1579998504,4,1
1580000664,0,1
