DateTime,Entries,UniqueIPs
1579508417,114,114
1579510338,111,111
1579512309,113,113
1579514220,110,110
1579516098,110,110
1579518300,112,112
1579520186,112,112
1579522099,114,114
1579524012,112,112
1579525946,113,113
1579527856,113,113
1579529772,114,114
1579531717,113,113
1579533614,112,112
1579535532,112,112
1579537455,111,111
1579539391,111,111
1579541299,114,114
1579543380,114,114
1579545383,111,111
1579547353,113,113
1579549239,111,111
1579551138,112,112
1579553068,113,113
1579554996,112,112
1579557159,112,112
1579559053,113,113
1579560972,115,115
1579562920,112,112
1579564909,112,112
1579566740,111,111
1579568711,112,112
1579570570,110,110
1579572499,109,109
1579574411,108,108
1579576363,108,108
1579578253,107,107
1579580202,101,101
1579582093,104,104
1579584019,101,101
1579585929,101,101
1579587851,100,100
1579589771,98,98
1579591691,97,97
1579593731,97,97
1579595532,99,99
1579597494,101,101
1579599379,99,99
1579601540,101,101
1579603459,99,99
1579605377,97,97
1579607298,99,99
1579609214,103,103
1579611139,101,101
1579613061,102,102
1579614971,97,97
1579616895,98,98
1579619789,100,100
1579621594,101,101
1579623619,103,103
1579625551,100,100
1579627468,100,100
1579629376,99,99
1579631300,98,98
1579634421,98,98
1579636357,96,96
1579638271,95,95
1579640173,93,93
1579642095,92,92
1579644250,90,90
1579646181,88,88
1579648114,89,89
1579650034,90,90
1579651943,89,89
1579653855,90,90
1579655801,87,87
1579657721,87,87
1579659635,87,87
1579661544,88,88
1579663480,90,90
1579665375,90,90
1579667552,89,89
1579669571,87,87
1579671401,89,89
1579673313,87,87
1579675232,86,86
1579677144,85,85
1579679069,86,86
1579680994,87,87
1579682900,86,86
1579684832,87,87
1579686739,85,85
1579688661,85,85
1579690587,89,89
1579692498,88,88
1579695392,87,87
1579697314,89,89
1579699224,89,89
1579701149,88,88
1579703107,86,86
1579704982,85,85
1579706925,83,83
1579709105,82,82
1579711236,83,83
1579713148,84,84
1579715094,83,83
1579716984,85,85
1579719144,86,86
1579721059,86,86
1579722993,86,86
1579727156,86,86
1579730926,86,86
1579732831,89,89
1579734735,92,92
1579736676,91,91
1579738575,92,92
1579740516,93,93
1579742448,94,94
1579744357,93,93
1579746264,94,94
1579748195,95,95
1579750098,94,94
1579752226,95,95
1579754174,95,95
1579756131,93,93
1579758044,93,93
1579759972,97,97
1579761889,100,100
1579763779,103,103
1579765694,98,98
1579767638,97,97
1579769558,96,96
1579771481,93,93
1579773374,93,93
1579775296,96,96
1579777547,96,96
1579779386,95,95
1579781571,94,94
1579783457,93,93
1579785429,91,91
1579787338,92,92
1579789222,92,92
1579792119,94,94
1579794018,96,96
1579795978,95,95
1579797853,95,95
1579800020,94,94
1579801939,94,94
1579803856,93,93
1579805775,95,95
1579807720,93,93
1579809794,95,95
1579811770,95,95
1579813697,95,95
1579815613,94,94
1579817555,92,92
1579819454,94,94
1579821624,88,88
1579823533,88,88
1579825456,87,87
1579827374,89,89
1579829303,88,88
1579831483,89,89
1579833381,85,85
1579835314,86,86
1579837216,88,88
1579839136,88,88
1579841055,90,90
1579843014,91,91
1579844895,88,88
1579846815,86,86
1579848730,84,84
1579850655,85,85
1579852572,88,88
1579854494,89,89
1579856642,89,89
1579858603,94,94
1579860531,93,93
1579862420,92,92
1579864334,91,91
1579866261,93,93
1579868220,91,91
1579870104,91,91
1579872065,90,90
1579873963,91,91
1579875884,90,90
1579877829,88,88
1579879729,88,88
1579881871,90,90
1579883779,90,90
1579887624,89,89
1579889545,89,89
1579891468,89,89
1579893635,94,94
1579895537,96,96
1579897481,94,94
1579899379,95,95
1579901299,94,94
1579903354,96,96
1579905384,90,90
1579907249,91,91
1579909231,91,91
1579911141,92,92
1579913079,89,89
1579914977,89,89
1579916913,89,89
1579918813,84,84
1579920731,82,82
1579922699,80,80
1579924577,79,79
1579926492,80,80
1579929404,78,78
1579931316,81,81
1579933219,80,80
1579935135,80,80
1579937071,78,78
1579938976,74,74
1579940916,74,74
1579944010,79,79
1579946178,79,79
1579948095,78,78
1579950242,76,76
1579952187,75,75
1579954112,73,73
1579956012,74,74
1579957951,76,76
1579959852,75,75
1579961777,78,78
1579963734,79,79
1579965609,80,80
1579967530,79,79
1579969478,80,80
1579971393,81,81
1579973311,83,83
1579975385,83,83
1579977373,84,84
1579979315,84,84
1579981211,84,84
1579983152,84,84
1579985067,85,85
1579986981,88,88
1579988894,90,90
1579990832,90,90
1579992731,93,93
1579994657,93,93
1579998504,96,96
1580000664,95,95
1580002583,97,97
1580004502,99,99
1580006414,100,100
1580008346,100,100
1580010258,101,101
1580012228,101,101
1580014144,103,103
1580016017,104,104
1580017978,104,104
1580021772,106,106
1580023697,105,105
1580025848,108,108
1580027784,106,106
1580029727,104,104
1580031616,104,104
1580033578,100,100
1580035459,99,99
1580037402,155,155
1580039307,580,580
1580041256,1015,1015
1580043133,1014,1014
1580045066,1016,1016
1580046974,1013,1013
1580048890,1015,1015
1580050978,1015,1015
1580053234,1016,1016
1580055149,1015,1015
1580057073,1015,1015
1580058984,1016,1016
1580060898,1017,1017
1580062833,1017,1017
1580064737,1018,1018
1580066662,1019,1019
1580068591,1020,1020
1580070504,1021,1021
1580073385,1020,1020
1580075323,1019,1019
1580077231,1018,1018
1580079416,1014,1014
1580081296,1014,1014
1580083428,1014,1014
1580085380,1014,1014
1580087303,1016,1016
1580089213,1016,1016
1580091147,1016,1016
1580093064,1016,1016
1580094978,1014,1014
1580096927,1016,1016
1580098840,1016,1016
1580100728,1015,1015
1580102655,1015,1015
1580104582,1014,1014
1580106494,1015,1015
1580108695,1015,1015
1580110576,1013,1013
1580112506,1010,1010
1580114423,1011,1011
1580116341,1012,1012
1580118272,1010,1010
1580122354,1011,1011
1580124256,874,874
1580126206,303,303
1580128096,92,92
1580134109,92,92
1580136062,90,90
1580140099,89,89
1580143936,88,88
1580145855,90,90
1580147788,89,89
1580149707,90,90
1580151927,88,88
1580153781,87,87
1580155725,89,89
1580157620,88,88
1580159564,86,86
1580161460,89,89
1580163405,92,92
1580165318,95,95
1580167221,96,96
1580169151,96,96
1580171058,93,93
1580172992,90,90
1580174894,90,90
1580177021,90,90
1580178971,88,88
1580181160,89,89
1580183055,87,87
1580184979,86,86
1580186916,88,88
1580188812,90,90
1580190730,91,91
1580192668,93,93
1580194624,90,90
1580196496,95,95
1580199612,98,98
1580201528,98,98
1580203465,101,101
1580205374,104,104
1580207289,104,104
1580210179,102,102
1580212108,106,106
1580214011,104,104
1580215935,104,104
1580217868,104,104
1580219777,104,104
1580221713,102,102
1580223815,101,101
1580225778,99,99
1580227730,98,98
1580229613,97,97
1580231563,97,97
1580233458,97,97
1580235407,97,97
1580237300,96,96
1580239233,98,98
1580241135,99,99
1580243057,100,100
1580245010,103,103
1580246930,102,102
1580249109,102,102
1580250978,101,101
1580252913,99,99
1580254815,97,97
1580260577,99,99
1580262493,100,100
1580264440,99,99
1580266349,99,99
1580268260,98,98
1580270200,98,98
1580272099,98,98
1580275221,94,94
1580277127,93,93
1580279050,92,92
1580280982,93,93
1580282911,91,91
1580286018,88,88
1580287946,87,87
1580289859,85,85
1580291782,83,83
1580293692,83,83
1580296824,80,80
1580298729,78,78
1580300653,78,78
1580302601,81,81
1580304488,80,80
1580306530,80,80
1580308340,81,81
1580311218,83,83
1580313130,86,86
1580315066,88,88
1580316994,86,86
1580318893,83,83
1580320992,82,82
1580322989,84,84
1580324895,84,84
1580326813,84,84
1580328747,87,87
1580330653,93,93
1580332580,95,95
1580334508,101,101
1580336410,102,102
1580338330,102,102
1580340265,100,100
1580344133,99,99
1580347208,94,94
1580351066,97,97
1580352968,95,95
1580354892,96,96
1580356862,96,96
1580358739,98,98
1580360715,98,98
1580362631,97,97
1580364515,96,96
1580366418,95,95
1580368349,91,91
1580370286,90,90
1580372183,88,88
1580374111,88,88
1580376025,89,89
1580377932,87,87
1580379868,88,88
1580381779,89,89
1580383698,90,90
1580385838,90,90
1580387774,91,91
1580389693,88,88
1580391627,87,87
1580393535,84,84
1580395478,82,82
1580397378,81,81
1580399312,80,80
1580401218,76,76
1580403131,78,78
1580405067,77,77
1580408908,76,76
1580411059,75,75
1580412987,72,72
1580414904,67,67
1580416836,66,66
1580418734,63,63
1580420670,56,56
1580422842,52,52
1580424734,50,50
1580426664,52,52
1580430543,55,55
1580434573,53,53
1580436756,54,54
1580438657,55,55
1580440602,55,55
1580442512,53,53
1580446331,53,53
1580448297,53,53
1580450173,54,54
1580456413,54,54
1580460278,54,54
1580462211,53,53
1580464094,54,54
1580466023,52,52
1580467938,51,51
1580469853,51,51
1580471784,51,51
1580476844,50,50
1580478753,51,51
1580480673,53,53
1580482583,56,56
1580484746,55,55
1580488710,54,54
1580490834,55,55
1580492906,56,56
1580494820,56,56
1580496758,58,58
1580498657,58,58
1580500592,59,59
1580502497,57,57
1580508528,56,56
1580510420,56,56
1580512341,55,55
1580514279,56,56
1580516177,53,53
1580518100,53,53
1580521944,50,50
1580523858,52,52
1580525788,51,51
1580531785,50,50
1580533692,56,56
1580535632,54,54
1580537570,53,53
1580543307,51,51
1580545222,50,50
1580549114,49,49
1580550986,47,47
1580552920,46,46
1580555016,46,46
