DateTime,AddedIPs,RemovedIPs
1579341934,0,1
1579343791,2,2
1579345708,1,0
1579347630,2,5
1579349542,0,5
1579351470,1,3
1579353380,1,2
1579355352,1,3
1579357239,1,2
1579359147,0,1
1579361059,2,0
1579363001,0,1
1579364897,1,1
1579367097,2,1
1579368982,0,1
1579370920,0,3
1579372848,2,1
1579374755,1,2
1579376737,0,2
1579380748,1,1
1579382680,0,1
1579384592,1,0
1579386514,0,1
1579388758,2,2
1579390580,3,6
1579392768,1,1
1579394655,2,1
1579396591,1,2
1579398524,4,0
1579400417,1,1
1579402333,2,2
1579404320,1,4
1579406187,3,1
1579408116,1,2
1579410370,4,2
1579412196,0,2
1579414100,2,3
1579416019,3,2
1579417954,3,1
1579419862,1,2
1579421783,1,3
1579423733,1,1
1579427544,2,1
1579429491,1,1
1579431400,1,2
1579433305,1,1
1579435405,4,1
1579437396,0,1
1579439294,1,0
1579441232,1,1
1579443155,0,1
1579445057,0,1
1579446912,0,2
1579452740,0,3
1579454721,2,0
1579458498,0,1
1579460610,1,2
1579464744,1,0
1579466676,1,1
1579470495,1,2
1579474348,3,0
1579476256,1,5
1579478179,1,0
1579480106,3,0
1579483256,3,3
1579485133,0,4
1579487054,3,1
1579488990,0,2
1579490897,2,1
1579493091,1,3
1579494998,0,3
1579496930,2,2
1579500757,1,3
1579502688,4,2
1579504604,2,3
1579506543,1,1
1579508418,1,1
1579510338,1,1
1579512309,2,1
1579514220,2,1
1579516098,4,1
1579518308,1,3
1579520186,2,2
1579522099,3,1
1579525946,1,2
1579529773,1,0
1579533615,1,0
1579535533,1,0
1579537455,1,1
1579539392,1,0
1579541299,0,2
1579545383,1,0
1579547353,1,1
1579551139,1,1
1579553068,0,1
1579554997,1,0
1579557159,1,0
1579559054,0,1
1579560973,0,1
1579562920,2,0
1579564946,1,1
1579566971,1,3
1579568892,1,2
1579570841,1,2
1579572763,2,1
1579574678,1,2
1579576608,0,1
1579578556,0,2
1579580413,1,0
1579582331,2,0
1579584253,1,2
1579586178,1,0
1579588093,1,3
1579591001,1,4
1579592899,1,1
1579594820,4,1
1579596737,3,1
1579598726,0,2
1579600587,0,2
1579602498,0,4
1579604574,1,1
1579606572,1,2
1579608490,0,3
1579610412,1,0
1579612338,1,1
1579616429,1,1
1579618337,1,1
1579620268,0,1
1579622177,0,1
1579624103,0,1
1579626276,0,1
1579632016,0,1
1579633938,0,1
1579635857,1,1
1579639932,2,1
1579643773,1,1
1579645693,1,0
1579649775,1,2
1579651692,0,1
1579653619,0,2
1579655539,0,1
1579657456,1,1
1579659377,1,2
1579661299,0,1
1579663231,2,0
1579665149,1,0
1579667083,1,2
1579668991,3,1
1579670892,0,1
