DateTime,AddedIPs,RemovedIPs
1579575376,51,50
1579577312,29,71
1579579487,46,49
1579581378,57,37
1579583324,80,23
1579585244,39,27
1579587139,21,23
1579589086,19,19
1579591002,30,29
1579592900,55,40
1579594821,118,48
1579596738,145,49
1579598756,132,29
1579600587,128,61
1579602514,129,64
1579604604,62,57
1579606576,50,63
1579608491,29,60
1579610414,35,50
1579612339,57,39
1579614254,73,46
1579616432,47,46
1579618340,71,39
1579620270,54,46
1579622179,87,55
1579624105,89,57
1579626314,64,158
1579628172,74,72
1579630120,76,73
1579632018,49,60
1579633939,25,62
1579635860,58,81
1579638024,24,81
1579639932,39,70
1579641857,57,68
1579643774,56,47
1579645694,44,64
1579647824,39,59
1579649776,57,57
1579651695,42,49
1579653622,55,44
1579655540,76,52
1579657457,46,43
1579659378,30,50
1579661300,43,43
1579663232,21,38
1579665150,36,34
1579667085,65,58
1579668993,56,104
1579670895,58,37
1579673786,43,41
1579675700,45,19
1579677630,37,41
1579679533,49,59
1579681460,44,134
1579683386,29,145
1579685296,49,137
1579687413,41,150
1579689635,24,167
1579691568,13,37
1579693483,23,58
1579695393,30,42
1579697315,16,59
1579699226,28,70
1579701150,27,74
1579703109,50,65
1579704983,46,95
1579706926,90,83
1579709107,36,109
1579711238,111,104
1579713149,185,54
1579715095,150,89
1579716985,194,72
1579719146,58,38
1579721080,56,52
1579722994,78,26
1579724899,70,24
1579727158,89,64
1579728980,49,69
1579730928,53,63
1579732833,83,39
1579734736,86,41
1579736700,93,63
1579738576,130,42
1579740517,47,65
1579742449,138,75
1579744359,134,47
1579746265,49,35
1579748197,113,44
1579750100,77,24
1579752263,58,48
1579754175,26,66
1579756132,32,78
1579758046,30,59
1579759974,40,31
1579761890,52,46
1579763780,44,43
1579765696,141,42
1579767640,96,52
1579769560,75,36
1579771482,87,44
1579773376,30,48
1579775297,34,15
1579777552,43,25
1579779387,164,15
1579781573,99,28
1579783459,112,19
1579785430,150,26
1579787339,84,16
1579789223,130,47
1579791217,95,35
1579793063,80,83
1579795003,96,36
1579796902,195,31
1579799122,61,239
1579800981,125,80
1579802898,168,213
1579804820,154,62
1579807021,87,52
1579808899,132,63
1579810829,145,64
1579812745,128,69
1579814662,91,46
1579816597,50,32
1579818496,32,78
1579820735,85,70
1579822591,128,36
1579824494,94,132
1579826414,81,39
1579828341,68,120
1579830252,47,123
1579832197,134,23
1579834098,164,118
1579836028,66,63
1579837941,102,38
1579839893,53,30
1579841802,176,20
1579843720,153,32
1579845899,69,39
1579847792,71,50
1579849718,31,48
1579851623,210,142
1579853544,201,69
1579855460,375,67
1579857412,44,79
1579859295,174,35
1579861216,171,26
1579863139,80,34
1579865081,121,48
1579866976,49,84
1579868894,107,54
1579871117,149,192
1579873086,302,69
1579874936,149,69
1579876833,64,121
1579878762,73,73
1579880797,22,83
1579882831,110,162
1579884736,53,54
1579886656,41,99
1579888597,151,143
1579890494,59,165
1579893636,55,122
1579895538,59,127
1579897482,78,134
1579899379,88,136
1579901300,119,102
1579903371,69,52
1579905384,90,45
1579907250,89,100
1579909231,82,126
1579911142,42,104
1579913081,48,70
1579914977,38,62
1579916914,34,35
1579918814,39,125
1579920731,71,140
1579922700,106,66
1579924577,88,96
1579926492,41,52
1579929405,131,335
1579931317,72,46
1579933221,52,36
1579935136,133,75
1579937072,97,129
1579938977,40,209
1579940916,78,271
1579943013,233,196
1579944985,147,128
1579946890,160,163
1579948825,191,145
1579950750,200,144
1579952655,140,34
1579954594,142,78
1579956520,85,134
1579958410,49,173
1579960332,76,332
1579962271,98,72
1579964174,73,74
1579966090,52,52
1579968187,41,49
1579970191,172,114
1579972115,51,50
1579974045,48,77
1579975940,77,116
1579977874,106,54
1579979795,74,31
1579981703,83,51
1579983625,40,98
1579985535,51,75
1579987455,39,132
1579989392,44,39
1579991293,93,69
1579993259,54,122
1579995158,55,92
1579998268,133,60
1580000173,53,29
1580002095,37,36
1580004335,98,29
1580006184,30,36
1580008123,58,114
1580010031,102,56
1580011955,47,89
1580013855,44,30
1580015783,37,99
1580017714,67,76
1580019685,132,78
1580021531,52,100
1580023471,104,114
1580025388,61,50
1580027294,83,80
1580029509,118,241
1580031384,49,168
1580033304,50,176
1580035217,59,179
1580037152,55,208
1580039089,207,156
1580040986,23,162
1580042912,156,115
1580044817,221,55
1580046731,134,65
1580048667,186,108
1580050574,49,96
1580052494,192,59
1580054688,164,59
1580056579,103,175
1580058519,39,56
1580060433,52,61
1580062338,64,73
1580064272,65,108
1580066180,89,80
1580068103,94,101
1580070032,46,40
1580071933,36,59
1580073860,83,45
1580075824,33,53
1580077692,82,94
1580079692,50,58
1580081551,57,56
1580083434,90,97
1580085381,124,52
1580087304,29,63
1580089213,41,46
1580091148,122,103
1580093065,130,39
1580094979,132,108
1580096929,190,86
1580098840,172,57
1580100729,162,40
1580102656,19,45
1580104583,26,70
1580106495,24,120
1580108696,137,74
1580110577,147,91
1580112508,50,66
1580114424,324,100
1580116342,357,106
1580118273,337,51
1580122355,84,102
1580124257,29,149
1580126207,85,84
1580128097,95,133
1580130309,34,97
1580132188,30,199
1580134110,27,130
1580136063,25,129
1580138203,31,110
1580140100,34,196
1580142033,28,130
1580143937,56,58
1580145855,60,50
1580147788,75,63
1580149707,72,59
1580152832,124,149
1580154731,76,91
1580156657,59,57
1580158593,71,45
1580160499,56,86
1580162614,67,32
1580164573,92,76
1580166759,83,70
1580168655,60,116
1580170580,61,107
1580172499,76,93
1580174442,59,44
1580176332,73,69
1580178259,61,74
1580180191,63,164
1580182112,65,215
1580184264,87,145
1580186213,73,248
1580188110,52,38
1580190019,61,26
1580191951,71,29
1580193854,60,121
1580195800,72,80
1580197709,55,130
1580199614,72,56
1580201529,88,478
1580203467,73,470
1580205375,66,219
1580207290,25,26
1580210180,58,68
1580212109,43,55
1580214013,39,156
1580215936,21,35
1580217869,48,33
1580219778,18,30
1580221715,37,31
1580223861,32,28
1580225779,28,42
1580227731,59,37
1580229615,45,53
1580231565,47,55
1580233459,48,78
1580235408,53,79
1580237301,38,85
1580239235,47,74
1580241136,37,82
1580243057,46,66
1580245011,31,76
1580246931,40,66
1580249123,22,85
1580250979,31,98
1580252914,27,86
1580254816,36,78
1580256742,43,61
1580258667,55,77
1580260597,34,63
1580262494,43,74
1580264440,38,76
1580266350,29,73
1580268262,44,66
1580270201,30,86
1580272100,17,72
1580274223,34,64
1580276175,31,64
1580278109,35,71
1580280018,40,63
1580281938,27,68
1580283878,36,68
1580285785,42,77
1580287718,40,93
1580289623,32,83
1580291533,30,73
1580293460,37,33
1580295385,38,46
1580297294,27,46
1580299327,31,40
1580301148,40,25
1580303153,42,33
1580304994,20,46
1580306899,27,23
1580308817,27,48
1580310754,37,29
1580312655,36,32
1580314578,62,69
1580316545,60,39
1580318416,51,58
1580320330,67,39
1580322294,37,57
1580324173,38,33
1580326092,42,43
1580328986,60,63
1580330913,45,31
1580332842,47,36
1580334775,53,28
1580336683,58,22
1580338576,45,31
1580340517,43,34
1580342726,51,46
1580344590,56,50
1580346521,42,37
1580348441,53,45
1580350360,42,51
1580352261,41,34
