DateTime,Entries,UniqueIPs
1579575376,3217,3217
1579577312,3175,3175
1579579487,3172,3172
1579581378,3192,3192
1579583324,3249,3249
1579585244,3261,3261
1579587139,3259,3259
1579589086,3259,3259
1579591002,3260,3260
1579592900,3275,3275
1579594821,3345,3345
1579596738,3441,3441
1579598756,3544,3544
1579600587,3611,3611
1579602514,3676,3676
1579604604,3681,3681
1579606576,3668,3668
1579608491,3637,3637
1579610414,3622,3622
1579612339,3640,3640
1579614254,3667,3667
1579616432,3668,3668
1579618340,3700,3700
1579620270,3708,3708
1579622179,3740,3740
1579624105,3772,3772
1579626314,3678,3678
1579628172,3680,3680
1579630120,3683,3683
1579632018,3672,3672
1579633939,3635,3635
1579635860,3612,3612
1579638024,3555,3555
1579639932,3524,3524
1579641857,3513,3513
1579643774,3522,3522
1579645694,3502,3502
1579647824,3482,3482
1579649776,3482,3482
1579651695,3475,3475
1579653622,3486,3486
1579655540,3510,3510
1579657457,3513,3513
1579659378,3493,3493
1579661300,3493,3493
1579663232,3476,3476
1579665150,3478,3478
1579667085,3485,3485
1579668993,3437,3437
1579670895,3458,3458
1579673786,3460,3460
1579675700,3486,3486
1579677630,3482,3482
1579679533,3472,3472
1579681460,3382,3382
1579683386,3266,3266
1579685296,3178,3178
1579687413,3069,3069
1579689635,2926,2926
1579691568,2902,2902
1579693483,2867,2867
1579695393,2855,2855
1579697315,2812,2812
1579699226,2770,2770
1579701150,2723,2723
1579703109,2708,2708
1579704983,2659,2659
1579706926,2666,2666
1579709107,2593,2593
1579711238,2600,2600
1579713149,2731,2731
1579715095,2792,2792
1579716985,2914,2914
1579719146,2934,2934
1579721080,2938,2938
1579722994,2990,2990
1579724899,3036,3036
1579727158,3061,3061
1579728980,3041,3041
1579730928,3031,3031
1579732833,3075,3075
1579734736,3120,3120
1579736700,3150,3150
1579738576,3238,3238
1579740517,3220,3220
1579742449,3283,3283
1579744359,3370,3370
1579746265,3384,3384
1579748197,3453,3453
1579750100,3506,3506
1579752263,3516,3516
1579754175,3476,3476
1579756132,3430,3430
1579758046,3401,3401
1579759974,3410,3410
1579761890,3416,3416
1579763780,3417,3417
1579765696,3516,3516
1579767640,3560,3560
1579769560,3599,3599
1579771482,3642,3642
1579773376,3624,3624
1579775297,3643,3643
1579777552,3661,3661
1579779387,3810,3810
1579781573,3881,3881
1579783459,3974,3974
1579785430,4098,4098
1579787339,4166,4166
1579789223,4249,4249
1579791217,4309,4309
1579793063,4306,4306
1579795003,4366,4366
1579796902,4530,4530
1579799122,4352,4352
1579800981,4397,4397
1579802898,4352,4352
1579804820,4444,4444
1579807021,4479,4479
1579808899,4548,4548
1579810829,4629,4629
1579812745,4688,4688
1579814662,4733,4733
1579816597,4751,4751
1579818496,4705,4705
1579820735,4720,4720
1579822591,4812,4812
1579824494,4774,4774
1579826414,4816,4816
1579828341,4764,4764
1579830252,4688,4688
1579832197,4799,4799
1579834098,4845,4845
1579836028,4848,4848
1579837941,4912,4912
1579839893,4935,4935
1579841802,5091,5091
1579843720,5212,5212
1579845899,5242,5242
1579847792,5263,5263
1579849718,5246,5246
1579851623,5314,5314
1579853544,5446,5446
1579855460,5754,5754
1579857412,5719,5719
1579859295,5858,5858
1579861216,6003,6003
1579863139,6049,6049
1579865081,6122,6122
1579866976,6087,6087
1579868894,6140,6140
1579871117,6097,6097
1579873086,6330,6330
1579874936,6410,6410
1579876833,6353,6353
1579878762,6353,6353
1579880797,6292,6292
1579882831,6240,6240
1579884736,6239,6239
1579886656,6181,6181
1579888597,6189,6189
1579890494,6083,6083
1579893636,6016,6016
1579895538,5948,5948
1579897482,5892,5892
1579899379,5844,5844
1579901300,5861,5861
1579903371,5878,5878
1579905384,5923,5923
1579907250,5912,5912
1579909231,5868,5868
1579911142,5806,5806
1579913081,5784,5784
1579914977,5760,5760
1579916914,5759,5759
1579918814,5673,5673
1579920731,5604,5604
1579922700,5644,5644
1579924577,5636,5636
1579926492,5625,5625
1579929405,5421,5421
1579931317,5447,5447
1579933221,5463,5463
1579935136,5521,5521
1579937072,5489,5489
1579938977,5320,5320
1579940916,5127,5127
1579943013,5164,5164
1579944985,5183,5183
1579946890,5180,5180
1579948825,5226,5226
1579950750,5282,5282
1579952655,5388,5388
1579954594,5452,5452
1579956520,5403,5403
1579958410,5279,5279
1579960332,5023,5023
1579962271,5049,5049
1579964174,5048,5048
1579966090,5048,5048
1579968187,5040,5040
1579970191,5098,5098
1579972115,5099,5099
1579974045,5070,5070
1579975940,5031,5031
1579977874,5083,5083
1579979795,5126,5126
1579981703,5158,5158
1579983625,5100,5100
1579985535,5076,5076
1579987455,4983,4983
1579989392,4988,4988
1579991293,5012,5012
1579993259,4944,4944
1579995158,4907,4907
1579998268,4980,4980
1580000173,5004,5004
1580002095,5005,5005
1580004335,5074,5074
1580006184,5068,5068
1580008123,5012,5012
1580010031,5058,5058
1580011955,5016,5016
1580013855,5030,5030
1580015783,4968,4968
1580017714,4959,4959
1580019685,5013,5013
1580021531,4965,4965
1580023471,4955,4955
1580025388,4966,4966
1580027294,4969,4969
1580029509,4846,4846
1580031384,4727,4727
1580033304,4601,4601
1580035217,4481,4481
1580037152,4328,4328
1580039089,4379,4379
1580040986,4240,4240
1580042912,4281,4281
1580044817,4447,4447
1580046731,4516,4516
1580048667,4594,4594
1580050574,4547,4547
1580052494,4680,4680
1580054688,4785,4785
1580056579,4713,4713
1580058519,4696,4696
1580060433,4687,4687
1580062338,4678,4678
1580064272,4635,4635
1580066180,4644,4644
1580068103,4637,4637
1580070032,4643,4643
1580071933,4620,4620
1580073860,4658,4658
1580075824,4638,4638
1580077692,4626,4626
1580079692,4618,4618
1580081551,4619,4619
1580083434,4612,4612
1580085381,4684,4684
1580087304,4650,4650
1580089213,4645,4645
1580091148,4664,4664
1580093065,4755,4755
1580094979,4779,4779
1580096929,4883,4883
1580098840,4998,4998
1580100729,5120,5120
1580102656,5094,5094
1580104583,5050,5050
1580106495,4954,4954
1580108696,5017,5017
1580110577,5073,5073
1580112508,5057,5057
1580114424,5281,5281
1580116342,5532,5532
1580118273,5818,5818
1580122355,5800,5800
1580124257,5680,5680
1580126207,5681,5681
1580128097,5643,5643
1580130309,5580,5580
1580132188,5411,5411
1580134110,5308,5308
1580136063,5204,5204
1580138203,5125,5125
1580140100,4963,4963
1580142033,4861,4861
1580143937,4859,4859
1580145855,4869,4869
1580147788,4881,4881
1580149707,4894,4894
1580152832,4869,4869
1580154731,4854,4854
1580156657,4856,4856
1580158593,4882,4882
1580160499,4852,4852
1580162614,4887,4887
1580164573,4903,4903
1580166759,4916,4916
1580168655,4860,4860
1580170580,4814,4814
1580172499,4797,4797
1580174442,4812,4812
1580176332,4816,4816
1580178259,4803,4803
1580180191,4702,4702
1580182112,4552,4552
1580184264,4494,4494
1580186213,4319,4319
1580188110,4333,4333
1580190019,4368,4368
1580191951,4410,4410
1580193854,4349,4349
1580195800,4341,4341
1580197709,4266,4266
1580199614,4282,4282
1580201529,3892,3892
1580203467,3495,3495
1580205375,3342,3342
1580207290,3341,3341
1580210180,3331,3331
1580212109,3319,3319
1580214013,3202,3202
1580215936,3188,3188
1580217869,3203,3203
1580219778,3191,3191
1580221715,3197,3197
1580223861,3201,3201
1580225779,3187,3187
1580227731,3209,3209
1580229615,3201,3201
1580231565,3193,3193
1580233459,3163,3163
1580235408,3137,3137
1580237301,3090,3090
1580239235,3063,3063
1580241136,3018,3018
1580243057,2998,2998
1580245011,2953,2953
1580246931,2927,2927
1580249123,2864,2864
1580250979,2797,2797
1580252914,2738,2738
1580254816,2696,2696
1580256742,2678,2678
1580258667,2656,2656
1580260597,2627,2627
1580262494,2596,2596
1580264440,2558,2558
1580266350,2514,2514
1580268262,2492,2492
1580270201,2436,2436
1580272100,2381,2381
1580274223,2351,2351
1580276175,2318,2318
1580278109,2282,2282
1580280018,2259,2259
1580281938,2218,2218
1580283878,2186,2186
1580285785,2151,2151
1580287718,2098,2098
1580289623,2047,2047
1580291533,2004,2004
1580293460,2008,2008
1580295385,2000,2000
1580297294,1981,1981
1580299327,1972,1972
1580301148,1987,1987
1580303153,1996,1996
1580304994,1970,1970
1580306899,1974,1974
1580308817,1953,1953
1580310754,1961,1961
1580312655,1965,1965
1580314578,1958,1958
1580316545,1979,1979
1580318416,1972,1972
1580320330,2000,2000
1580322294,1980,1980
1580324173,1985,1985
1580326092,1984,1984
1580328986,1981,1981
1580330913,1995,1995
1580332842,2006,2006
1580334775,2031,2031
1580336683,2067,2067
1580338576,2081,2081
1580340517,2090,2090
1580342726,2095,2095
1580344590,2101,2101
1580346521,2106,2106
1580348441,2114,2114
1580350360,2105,2105
1580352261,2112,2112
1580354179,2107,2107
1580356111,2131,2131
1580358015,2155,2155
1580359932,2162,2162
1580361869,2175,2175
1580363774,2186,2186
1580365952,2184,2184
1580367873,2194,2194
1580369788,2209,2209
1580371705,2205,2205
1580373615,2219,2219
1580375562,2223,2223
1580377457,2237,2237
1580379377,2268,2268
1580381311,2289,2289
1580383221,2302,2302
1580385141,2344,2344
1580387058,2344,2344
1580388980,2329,2329
1580390914,2345,2345
1580392955,2344,2344
1580394971,2353,2353
1580396791,2340,2340
1580398605,2334,2334
1580400525,2333,2333
1580402415,2326,2326
1580404365,2302,2302
1580406367,2260,2260
1580408215,2219,2219
1580410095,2226,2226
1580412027,2218,2218
1580413932,2237,2237
1580415853,2269,2269
1580417785,2297,2297
1580419691,2328,2328
1580421863,2404,2404
1580423789,2405,2405
1580425715,2439,2439
1580427618,2465,2465
1580429538,2503,2503
1580431463,2500,2500
1580433393,2515,2515
1580435296,2535,2535
1580437228,2543,2543
1580439135,2568,2568
1580441072,2573,2573
1580442986,2579,2579
1580444897,2575,2575
1580447071,2567,2567
1580448999,2539,2539
1580450898,2524,2524
1580452813,2511,2511
1580454736,2499,2499
1580456680,2484,2484
1580458581,2455,2455
1580460765,2435,2435
1580462655,2448,2448
1580464589,2432,2432
1580466500,2410,2410
1580468592,2397,2397
1580470572,2367,2367
1580472522,2337,2337
1580474420,2335,2335
1580476366,2326,2326
1580478260,2305,2305
1580480178,2319,2319
1580482116,2315,2315
1580484016,2327,2327
1580485938,2337,2337
1580487889,2357,2357
1580489878,2362,2362
1580491853,2361,2361
1580494008,2378,2378
1580496069,2395,2395
1580497967,2388,2388
1580499880,2363,2363
1580501778,2357,2357
1580503697,2323,2323
1580505631,2270,2270
1580507566,2199,2199
1580509476,2163,2163
1580511387,2143,2143
1580513294,2100,2100
1580516425,2064,2064
1580518330,2034,2034
1580520253,2001,2001
1580522184,1978,1978
1580524088,1934,1934
1580526068,1923,1923
1580527950,1915,1915
1580529913,1918,1918
1580531786,1906,1906
1580533693,1904,1904
1580535633,1912,1912
1580537571,1908,1908
1580539502,1911,1911
1580541407,1923,1923
1580543307,1939,1939
1580545223,1961,1961
1580547166,1977,1977
1580549132,1960,1960
1580550987,1952,1952
1580552921,1989,1989
1580555054,2005,2005
