DateTime,AddedIPs,RemovedIPs
1577673880,0,1
1577679639,0,1
1577693797,4,0
1577695715,5,0
1577697651,2,0
1577699541,2,0
1577701469,1,0
1577703427,0,1
1577705300,2,0
1577713483,1,0
1577715627,0,1
1577719458,1,0
1577721394,0,1
1577729571,0,1
1577733396,0,1
1577739161,1,0
1577741064,0,1
1577744430,1,1
1577746340,0,1
1577752107,0,1
1577754365,0,1
1577778073,1,1
1577779972,0,4
1577781862,0,5
1577783803,1,2
1577785729,0,2
1577791473,0,2
1577797565,1,0
1577799410,0,1
1577805411,1,1
1577809468,1,0
1577817396,1,0
1577819326,1,0
1577823153,1,0
1577827272,4,1
1577829149,1,1
1577831075,2,0
1577837189,1,0
1577841201,2,0
1577860636,1,1
1577862501,0,2
1577864447,0,2
1577866350,0,3
1577868273,1,0
1577877856,1,0
1577879819,0,1
1577881977,1,0
1577883920,1,0
1577885777,1,0
1577887949,0,1
1577891787,0,1
1577895890,1,0
1577897808,1,1
1577905946,0,1
1577909809,0,1
1577913855,0,1
1577922274,1,0
1577926110,1,0
1577928033,0,3
1577935711,2,0
1577940016,1,0
1577945809,0,1
1577947940,0,1
1577964115,0,1
1577967886,0,1
1577969832,0,1
1577971974,0,1
1577974034,1,0
1577976026,1,0
1577977967,2,0
1577983733,0,1
1577995532,0,1
1577997442,1,0
1578007233,2,0
1578012984,0,1
1578014903,1,1
1578017099,2,0
1578019262,1,0
1578021179,3,1
1578023061,0,1
1578025231,1,1
1578032909,1,0
1578042754,1,0
1578054270,1,0
1578058101,1,0
1578061010,1,1
1578062919,0,1
1578065083,0,1
1578066986,1,0
1578074911,1,0
1578078782,2,0
1578080660,1,0
1578082829,1,0
1578084749,0,1
1578086680,1,0
1578088592,1,0
1578096535,1,0
1578098416,1,1
1578100595,0,1
1578104672,3,0
1578108748,2,0
1578112823,0,1
1578114766,3,0
1578116674,2,0
1578118584,0,1
1578120522,1,0
1578126340,3,1
1578128184,1,1
1578144269,0,2
1578146727,0,1
1578148832,1,0
1578154603,0,1
1578162282,0,1
1578166348,0,2
1578168518,0,2
1578172345,0,1
1578174273,0,1
1578182181,0,1
1578184105,0,1
1578189257,1,0
1578191098,0,2
1578194919,0,1
1578197138,0,1
1578201196,1,3
1578203071,1,1
1578212695,0,2
1578214594,0,1
1578235947,3,1
1578239800,1,0
1578244113,0,3
1578246024,0,1
1578247994,1,0
1578251789,0,3
1578257542,0,1
1578275805,1,0
1578277714,0,2
1578283966,0,1
1578289725,0,1
1578293538,1,0
1578295487,1,0
1578297395,1,0
1578301489,1,0
1578303419,1,0
1578305321,2,0
1578307251,4,0
1578319544,0,1
1578321641,0,2
1578323808,1,1
1578325732,0,1
1578329793,1,0
1578331710,1,0
1578333919,0,1
1578349953,1,0
1578351933,0,1
1578355801,1,0
1578357867,1,0
1578359801,3,0
1578363613,1,1
1578365534,0,1
1578367462,1,0
1578375406,1,0
1578384973,1,0
1578390992,0,1
1578393143,0,2
1578402777,1,0
1578408526,0,1
1578414280,0,1
1578416194,0,2
1578418120,0,1
1578420325,1,5
1578422428,1,0
1578426255,1,0
1578428178,6,0
1578430113,2,0
1578434175,1,0
1578438322,1,1
1578442362,0,1
1578444323,3,0
1578446419,0,1
1578454112,0,1
1578457257,0,1
1578463047,0,1
1578464903,0,1
1578469304,0,1
1578471390,1,0
1578486020,1,1
1578489873,0,1
1578493965,1,0
1578497781,1,0
1578509317,1,0
1578511237,0,2
1578513147,1,0
1578515086,0,1
1578518932,1,1
1578527063,1,1
1578530920,0,3
1578538601,0,1
1578540501,0,1
1578552264,1,0
1578558058,1,1
1578565709,1,0
1578573756,1,1
1578575802,2,0
1578579908,0,1
1578585948,0,1
1578587819,0,1
1578599603,0,1
1578601493,0,3
1578603413,0,2
1578607509,0,1
1578619479,0,1
1578635800,0,1
1578640850,0,1
1578647253,1,0
1578649609,1,0
1578651750,0,1
1578659805,1,0
1578661781,0,3
1578663673,0,1
1578671096,0,1
1578713063,2,0
1578715004,1,0
1578731294,0,1
1578733326,0,1
1578752909,0,1
1578760819,1,0
1578788195,2,0
1578798410,0,1
1578800414,0,1
1578802355,0,1
1578811951,1,1
1578847464,1,1
1578859508,2,0
1578863793,1,0
1578875810,0,1
1578894988,0,1
1578901957,1,0
1578907954,1,0
1578923582,1,0
1578934122,0,1
1578936059,1,0
1578937956,1,0
1578941786,1,0
1578945991,0,2
1578951637,0,1
1578970125,1,0
1578981750,0,1
1578983572,1,0
1578985733,0,2
1578991498,0,1
1578997462,0,3
1578999403,0,2
1579001318,0,1
1579004416,1,0
1579006339,1,0
1579008302,1,0
1579010176,1,1
1579012344,1,0
1579024158,5,3
1579026045,3,0
1579031817,7,0
1579038029,0,1
1579071138,0,1
1579074979,0,1
1579081243,2,0
1579083394,1,0
1579093605,1,1
1579101408,0,1
1579105275,1,0
1579109064,1,0
1579110998,0,3
1579112920,0,3
1579115119,1,0
1579116996,1,0
1579118929,1,1
1579120821,5,0
1579122781,1,0
1579127249,3,0
1579135219,0,1
1579156607,0,1
1579160450,1,0
1579166439,0,1
1579168346,0,1
1579170285,1,0
1579180357,0,2
1579184487,1,0
1579188261,1,0
1579190221,1,0
1579192098,0,1
1579194348,0,1
1579202185,0,1
1579206024,0,2
1579207954,0,4
1579211778,0,1
1579213964,0,2
1579227430,1,0
1579243220,0,1
1579270620,1,1
1579274678,0,1
1579294345,1,0
1579296256,1,0
1579306113,1,0
1579308024,6,0
1579313816,0,1
1579315703,1,0
1579356517,0,1
1579362282,0,1
1579366336,0,1
1579368272,1,0
1579381379,0,2
1579387484,1,0
1579391545,0,1
1579393476,0,5
1579395373,2,1
1579403576,0,1
1579407394,1,0
1579416979,1,1
1579436894,1,0
1579439827,1,0
1579445528,1,0
1579451291,1,0
1579455389,0,1
1579466896,1,0
1579468829,0,1
1579470731,1,0
1579474570,1,1
1579479614,1,0
1579481550,0,2
1579493325,1,1
1579501236,1,0
1579512985,0,1
1579514894,0,4
1579520657,0,1
1579524505,0,2
1579532175,0,1
1579538180,1,1
1579542036,1,0
1579551856,1,0
1579555718,2,0
1579557824,2,0
1579561950,1,1
1579563858,4,1
1579579488,0,1
1579581378,1,0
1579589086,1,1
1579596739,1,0
1579600588,1,0
1579606576,2,0
1579610415,1,0
1579614254,1,0
1579616432,0,1
1579622180,1,2
1579624127,0,2
1579628172,1,1
1579632019,1,0
1579635860,4,0
1579638025,2,1
1579641857,1,0
1579643774,0,2
1579649776,0,2
1579655540,2,0
1579661300,0,2
1579673786,0,1
1579679533,0,1
1579687428,0,1
1579695393,0,1
1579697316,0,3
1579699226,1,0
1579704984,2,0
1579706927,0,2
1579709107,2,1
1579719146,1,1
1579721080,0,1
1579727158,1,1
1579730930,0,2
1579738576,1,0
1579742449,0,2
1579748197,1,0
1579758047,0,1
1579769560,0,1
1579771482,2,0
1579781573,1,0
1579783459,1,0
1579785430,1,0
1579789225,1,0
1579791217,0,1
1579793063,0,1
1579795003,0,1
1579804820,0,1
1579807021,1,0
1579812745,1,0
1579814662,0,1
1579818497,1,0
1579820736,1,0
1579824494,1,1
1579826415,1,0
1579832197,1,0
1579834098,0,1
1579847793,1,0
1579859317,0,1
1579868895,0,2
1579873089,0,2
1579886656,1,0
1579893637,0,1
1579899380,0,1
1579903383,1,0
1579905385,0,1
1579907251,0,1
