DateTime,AddedIPs,RemovedIPs
1579574679,6,6
1579576609,6,11
1579578557,5,11
1579580414,6,2
1579582333,4,2
1579584254,5,4
1579586180,5,7
1579588095,2,5
1579590117,0,5
1579591947,5,5
1579593928,7,5
1579595771,0,5
1579597696,6,6
1579599616,2,7
1579601540,7,8
1579603459,4,2
1579605378,7,6
1579607298,4,3
1579609216,9,1
1579611140,1,4
1579613062,4,9
1579614972,3,3
1579616896,7,7
1579619790,5,8
1579621595,5,6
1579623620,2,10
1579625551,4,3
1579627469,8,6
1579629377,3,10
1579631300,8,8
1579634422,6,6
1579636358,4,10
1579638272,9,6
1579640174,2,8
1579642095,7,9
1579644279,6,8
1579646182,4,8
1579648115,1,1
1579650035,9,3
1579651943,5,3
1579653855,7,7
1579655801,4,4
1579657721,7,5
1579659636,7,4
1579661545,3,4
1579663481,1,5
1579665376,1,7
1579667553,4,4
1579669573,1,6
1579671403,3,6
1579673314,0,1
1579675233,3,2
1579677145,6,4
1579679070,6,5
1579680994,2,4
1579682900,14,2
1579684833,5,3
1579686740,3,4
1579688662,3,7
1579690588,5,5
1579692499,6,5
1579695394,12,13
1579697316,3,2
1579699227,5,4
1579701152,2,1
1579703109,3,10
1579704984,7,3
1579706927,1,5
1579709108,3,5
1579711239,4,2
1579713150,3,5
1579715096,3,7
1579716986,3,4
1579719146,7,9
1579721081,4,3
1579722996,2,6
1579724899,1,8
1579727159,6,5
1579728981,5,8
1579730930,5,3
1579732834,2,4
1579734737,3,2
1579736724,6,9
1579738578,3,6
1579740518,4,5
1579742450,4,4
1579744360,1,6
1579746266,4,7
1579748197,4,2
1579750100,4,1
1579752270,2,2
1579754176,7,4
1579756133,2,4
1579758047,3,4
1579759974,5,1
1579761891,4,5
1579763781,1,4
1579765696,4,6
1579767640,4,4
1579769561,14,16
1579771483,12,4
1579773376,2,3
1579775298,4,2
1579777554,2,6
1579779388,3,4
1579781573,2,8
1579783460,5,4
1579785431,4,3
1579787340,3,5
1579789225,5,3
1579791217,4,7
1579793063,4,3
1579795003,12,3
1579796902,6,4
1579799123,4,2
1579800981,7,2
1579802898,2,4
1579804821,6,4
1579807021,8,4
1579808900,4,2
1579810829,4,3
1579812745,5,3
1579814663,3,5
1579816597,6,3
1579818497,9,4
1579820737,4,2
1579822591,6,6
1579824494,5,3
1579826415,3,5
1579828342,5,4
1579830253,8,1
1579832198,4,0
1579834099,2,5
1579836029,4,5
1579837942,1,4
1579839893,3,5
1579841803,0,4
1579843721,9,2
1579845903,4,3
1579847793,0,7
1579849719,4,0
1579851624,6,3
1579853545,4,4
1579855477,6,11
1579857413,5,12
1579859317,4,4
1579861216,5,5
1579863140,7,1
1579865082,4,5
1579866977,3,1
1579868895,6,1
1579871129,4,5
1579873091,7,2
1579874937,4,4
1579876834,4,6
1579878762,5,4
