DateTime,AddedIPs,RemovedIPs
1579577313,4,40
1579579489,5,7
1579581378,3,1
1579583325,4,4
1579585244,2,5
1579587139,2,13
1579589086,4,25
1579591003,3,13
1579592901,4,5
1579594822,26,3
1579596739,16,9
1579598758,6,27
1579600588,10,16
1579602515,2,19
1579604659,5,16
1579606577,4,11
1579608491,4,9
1579610421,18,8
1579612340,4,4
1579614255,6,8
1579616434,8,8
1579618341,5,1
1579620271,4,14
1579622181,11,23
1579624128,19,6
1579626318,2,5
1579628173,4,6
1579630121,11,6
1579632020,1,6
1579633939,6,4
1579635861,6,5
1579638025,3,3
1579639933,10,18
1579641858,7,7
1579643774,4,9
1579645695,3,4
1579648810,10,13
1579650734,9,14
1579652661,5,18
1579654598,8,11
1579656518,4,5
1579658588,5,6
1579660622,6,5
1579662506,7,8
1579664419,6,2
1579666361,11,3
1579668255,19,6
1579670193,5,5
1579672119,5,3
1579674029,1,1
1579675935,5,6
1579677856,8,2
1579679789,12,11
1579681710,9,28
1579684833,9,14
1579686740,6,7
1579688662,4,4
1579690588,3,5
1579692499,8,3
1579695394,22,6
1579697338,9,15
1579699227,8,6
1579701152,5,6
1579703110,8,6
1579704985,16,6
1579706927,4,5
1579709109,8,16
1579711239,8,10
1579713150,11,3
1579715096,6,4
1579716986,8,7
1579719147,9,2
1579721082,5,6
1579722996,23,4
1579724900,10,5
1579727160,11,9
1579728981,5,3
1579730931,6,3
1579732834,6,5
1579734738,4,5
1579736728,5,7
1579738578,1,4
1579740518,7,5
1579742450,3,7
1579744360,5,8
1579746267,4,9
1579748197,8,7
1579750101,14,4
1579752270,18,9
1579754176,4,23
1579756133,6,6
1579758048,7,2
1579759975,2,4
1579761891,10,4
1579763781,7,9
1579765696,4,11
1579767640,13,13
1579769561,8,4
1579771483,5,9
1579773377,6,7
1579775298,13,3
1579777554,7,3
1579779388,6,10
1579781574,14,18
1579783460,5,10
1579785431,9,8
1579787340,13,4
1579789226,5,6
1579791218,14,14
1579793064,11,5
1579795004,6,5
1579796903,12,8
1579799124,11,11
1579800982,11,8
1579802899,12,4
1579804821,5,9
1579807022,9,6
1579808900,12,19
1579810830,7,14
1579812746,7,6
1579814663,8,7
1579816598,3,7
1579818497,10,8
1579820738,19,5
1579822592,10,4
1579824495,6,4
1579826416,10,5
1579828343,8,4
1579830254,8,4
1579832199,10,5
1579834121,9,2
1579836029,8,12
1579837942,9,17
1579839894,4,11
1579841804,9,6
1579843722,4,7
1579845905,8,4
1579847793,7,6
1579849720,10,6
1579851625,8,4
1579853546,12,9
1579855477,9,7
1579857414,6,4
1579859318,9,10
1579861217,10,10
1579863140,13,5
1579865082,9,7
1579866977,7,8
1579868895,12,10
1579871131,8,12
1579873098,11,14
1579874938,8,6
1579876835,12,9
1579878763,4,15
1579880798,9,9
1579882832,7,8
1579884737,10,7
1579886657,4,10
1579888599,14,12
1579890495,13,3
1579892729,16,7
1579894827,6,14
1579896998,15,11
1579898919,11,7
1579900825,7,6
1579902742,10,4
1579904723,8,10
1579906628,4,18
1579908671,7,10
1579910741,7,8
1579912576,8,8
1579914759,8,13
1579916657,8,7
1579918578,4,7
1579920513,7,10
1579922449,8,7
1579924356,10,8
1579926258,8,4
1579928238,6,10
1579930099,4,4
1579932335,11,10
1579934187,7,7
1579936103,5,8
1579938026,7,9
1579939969,10,11
1579941856,6,10
1579943840,10,6
1579945738,6,10
1579947643,7,9
1579949556,4,12
1579951482,6,9
1579953401,6,7
1579955297,13,12
1579957508,5,8
1579959403,8,9
1579961314,9,11
1579963221,8,13
1579965163,12,3
1579967067,3,9
1579968981,3,9
1579970924,8,8
1579972831,4,6
1579974748,9,14
1579976668,9,10
1579978611,7,14
1579980539,4,8
1579982720,9,12
1579984594,9,11
1579986508,9,10
1579988424,6,12
