DateTime,Entries,UniqueIPs
1579577313,423,423
1579579489,421,421
1579581378,423,423
1579583325,423,423
1579585244,420,420
1579587139,409,409
1579589086,388,388
1579591003,378,378
1579592901,377,377
1579594822,400,400
1579596739,407,407
1579598758,386,386
1579600588,380,380
1579602515,363,363
1579604659,352,352
1579606577,345,345
1579608491,340,340
1579610421,350,350
1579612340,350,350
1579614255,348,348
1579616434,348,348
1579618341,352,352
1579620271,342,342
1579622181,330,330
1579624128,343,343
1579626318,340,340
1579628173,338,338
1579630121,343,343
1579632020,338,338
1579633939,340,340
1579635861,341,341
1579638025,341,341
1579639933,333,333
1579641858,333,333
1579643774,328,328
1579645695,327,327
1579648810,324,324
1579650734,319,319
1579652661,306,306
1579654598,303,303
1579656518,302,302
1579658588,301,301
1579660622,302,302
1579662506,301,301
1579664419,305,305
1579666361,313,313
1579668255,326,326
1579670193,326,326
1579672119,328,328
1579674029,328,328
1579675935,327,327
1579677856,333,333
1579679789,334,334
1579681710,315,315
1579684833,310,310
1579686740,309,309
1579688662,309,309
1579690588,307,307
1579692499,312,312
1579695394,328,328
1579697338,322,322
1579699227,324,324
1579701152,323,323
1579703110,325,325
1579704985,335,335
1579706927,334,334
1579709109,326,326
1579711239,324,324
1579713150,332,332
1579715096,334,334
1579716986,335,335
1579719147,342,342
1579721082,341,341
1579722996,360,360
1579724900,365,365
1579727160,367,367
1579728981,369,369
1579730931,372,372
1579732834,373,373
1579734738,372,372
1579736728,370,370
1579738578,367,367
1579740518,369,369
1579742450,365,365
1579744360,362,362
1579746267,357,357
1579748197,358,358
1579750101,368,368
1579752270,377,377
1579754176,358,358
1579756133,358,358
1579758048,363,363
1579759975,361,361
1579761891,367,367
1579763781,365,365
1579765696,358,358
1579767640,358,358
1579769561,362,362
1579771483,358,358
1579773377,357,357
1579775298,367,367
1579777554,371,371
1579779388,367,367
1579781574,363,363
1579783460,358,358
1579785431,359,359
1579787340,368,368
1579789226,367,367
1579791218,367,367
1579793064,373,373
1579795004,374,374
1579796903,378,378
1579799124,378,378
1579800982,381,381
1579802899,389,389
1579804821,385,385
1579807022,388,388
1579808900,381,381
1579810830,374,374
1579812746,375,375
1579814663,376,376
1579816598,372,372
1579818497,374,374
1579820738,388,388
1579822592,394,394
1579824495,396,396
1579826416,401,401
1579828343,405,405
1579830254,409,409
1579832199,414,414
1579834121,421,421
1579836029,417,417
1579837942,409,409
1579839894,402,402
1579841804,405,405
1579843722,402,402
1579845905,406,406
1579847793,407,407
1579849720,411,411
1579851625,415,415
1579853546,418,418
1579855477,420,420
1579857414,422,422
1579859318,421,421
