DateTime,AddedIPs,RemovedIPs
1579494033,0,2
1579495936,1,0
1579497852,1,0
1579499714,2,1
1579501716,1,0
1579503732,3,3
1579505537,1,6
1579507536,3,1
1579509388,2,0
1579511324,2,2
1579513218,0,2
1579515153,2,0
1579517064,1,1
1579518978,3,3
1579520912,1,4
1579522816,1,1
1579524734,0,3
1579526669,0,2
1579528579,0,1
1579530549,1,0
1579534290,0,1
1579536237,2,0
1579538186,0,3
1579542037,0,2
1579546092,1,0
1579548038,2,1
1579550000,2,1
1579551857,5,0
1579553774,1,1
1579555719,1,2
1579557857,1,3
1579559771,0,1
1579561951,1,1
1579563860,2,1
1579565812,2,3
1579567713,3,0
1579569618,1,0
1579571555,3,1
1579573486,4,0
1579575377,0,1
1579577313,1,0
1579579489,1,1
1579581379,1,0
1579583325,3,1
1579585245,0,2
1579587140,1,2
1579589087,2,0
1579591003,3,4
1579592901,1,2
1579594822,1,1
1579596739,4,3
1579598759,1,1
1579600589,0,2
1579602516,1,0
1579604685,2,3
1579606577,1,2
1579608492,1,1
1579610422,1,0
1579614255,3,0
1579616434,1,0
1579618342,2,1
1579620272,4,0
1579622181,2,2
1579624128,3,0
1579628188,3,0
1579632020,2,1
1579633940,0,1
1579635862,2,3
1579638025,1,5
1579639934,1,1
1579641858,1,1
1579643775,3,1
1579645695,1,0
1579649777,3,3
1579651696,0,2
1579653622,2,3
1579655541,0,1
1579657458,3,2
1579659378,1,4
1579661301,0,1
1579663232,0,1
1579665151,1,0
1579667086,1,1
1579668994,3,2
1579670896,1,2
1579672861,3,1
1579674760,0,2
1579676730,1,2
1579678580,1,1
1579680511,0,2
1579682439,3,2
1579684342,1,3
1579686268,1,0
1579688177,3,1
1579690099,2,1
1579692024,3,1
1579693932,2,2
1579695872,1,1
1579697775,2,0
1579699714,4,2
1579701825,0,1
1579704030,0,1
1579705939,3,4
1579707873,1,3
1579709798,1,3
1579711696,2,1
1579713675,1,2
1579715556,1,1
1579717456,1,1
1579719388,2,1
1579721295,1,0
1579723319,2,3
1579725154,1,0
1579727160,2,2
1579728981,3,2
1579730931,0,1
1579732835,1,1
1579734738,0,2
1579736731,2,1
1579738578,0,2
1579740518,1,0
1579742450,4,2
1579744360,0,1
1579746267,1,1
1579748205,4,0
1579750101,2,0
1579752271,2,1
1579754176,4,1
1579756134,0,3
1579758048,1,1
1579759975,1,3
1579761891,1,1
1579763782,3,1
1579765697,2,0
1579767641,0,2
1579769561,1,1
1579771483,1,1
1579773377,2,1
1579775298,1,3
1579777554,3,5
1579779389,0,1
1579781574,2,2
1579783460,0,2
1579785431,1,1
1579787341,1,3
1579791218,3,1
1579793064,1,2
1579795004,1,1
1579796904,1,3
1579799125,2,0
1579800982,0,2
1579802899,2,1
1579804821,2,1
1579807022,3,1
1579808900,1,3
1579810830,2,0
1579812746,1,2
1579814663,0,3
1579816598,0,1
1579818498,2,0
1579820738,2,1
1579822593,2,0
1579824495,1,2
1579826416,0,1
1579828343,2,1
1579830254,2,3
1579832199,0,1
1579834122,2,2
1579836030,2,3
1579837942,1,1
1579839894,1,5
1579841805,1,1
1579843722,0,1
1579845907,1,1
1579847794,0,1
1579849720,1,2
1579851625,2,3
1579853546,1,0
1579855478,2,0
1579857414,2,2
1579859318,1,1
1579861217,1,2
1579863141,1,2
1579865083,0,1
1579866978,0,1
1579868896,1,1
1579871132,3,1
1579873099,0,1
1579874938,1,0
1579876835,3,3
1579880799,0,2
1579882832,1,1
1579884738,2,1
1579886657,0,1
1579888599,0,1
1579890495,0,3
1579892733,2,3
1579894827,1,1
1579896998,1,2
1579898919,1,1
1579900825,1,0
1579904724,1,2
1579906629,1,1
1579908672,1,3
1579910757,0,1
1579912576,1,0
1579914760,1,2
1579916658,3,2
1579918579,1,0
1579920513,1,2
1579922449,0,2
1579924356,0,1
1579926258,1,1
1579928238,0,1
1579932338,0,1
1579934188,1,0
1579936103,0,1
1579938026,0,2
1579939969,2,1
1579941856,0,2
1579943841,1,2
1579945739,1,1
1579947644,0,1
1579949557,2,1
1579951482,1,0
1579955297,0,1
1579957509,1,3
1579961314,0,1
1579963221,0,3
1579965163,1,0
1579968982,2,0
1579970924,2,3
1579972832,1,0
1579978611,1,1
1579980540,0,2
1579982721,1,0
1579984595,1,2
1579988425,2,1
1579990359,2,1
1579994182,0,1
1579996106,1,1
1579998269,1,1
1580002096,1,4
1580004342,1,1
1580006185,1,1
