DateTime,AddedIPs,RemovedIPs
1577987570,0,2
1577989493,2,0
1577991398,1,0
1577993591,2,0
1577999309,1,0
1578001239,1,0
1578007237,0,1
1578009158,0,1
1578011072,2,0
1578012988,0,1
1578017134,1,1
1578019275,1,0
1578023065,3,0
1578029077,0,1
1578030978,1,0
1578032955,0,1
1578035150,1,0
1578038908,1,0
1578040817,2,5
1578042758,0,1
1578044663,1,1
1578046595,1,1
1578050416,0,1
1578052342,0,1
1578056176,0,1
1578058104,0,1
1578061046,1,1
1578062920,1,0
1578068934,1,0
1578076821,0,2
1578078784,0,3
1578080662,1,0
1578088594,1,0
1578096537,0,1
1578102748,1,0
1578104674,0,1
1578106597,0,1
1578110918,1,0
1578116676,1,1
1578120523,0,1
1578128187,0,10
1578130012,0,1
1578132298,0,1
1578146730,0,1
1578156527,0,1
1578158427,1,0
1578162284,1,0
1578166350,0,1
1578172347,1,0
1578178351,1,0
1578182183,1,0
1578187232,2,0
1578197140,1,0
1578199017,1,0
1578204993,2,0
1578208875,2,0
1578210744,1,0
1578212697,0,4
1578214599,1,0
1578241967,1,0
1578244116,0,1
1578247998,1,0
1578249891,0,1
1578261434,1,0
1578270088,0,1
1578273860,0,1
1578277716,1,0
1578299554,0,11
1578305324,1,0
1578311553,0,1
1578317328,1,0
1578321645,1,0
1578323822,1,0
1578333926,0,1
1578343991,1,0
1578347820,1,0
1578363617,0,1
1578377315,1,0
1578379222,1,0
1578387143,2,2
1578390996,0,1
1578402780,0,1
1578404665,1,0
1578406613,1,0
1578408530,0,1
1578410447,1,1
1578416198,1,0
1578420330,1,0
1578428195,1,0
1578430117,0,1
1578434178,1,0
1578438370,1,0
1578456242,2,0
1578469978,1,0
1578471857,1,0
1578473806,0,5
1578489627,0,1
1578491600,1,0
1578493482,0,1
1578497302,0,1
1578501646,0,1
1578505476,0,1
1578507396,1,0
1578515088,0,1
1578517098,1,0
1578518935,2,0
1578521129,1,0
1578532823,1,0
1578552268,1,0
1578558070,1,6
1578559967,1,0
1578567946,1,0
1578573760,1,0
1578579912,0,1
1578585952,1,0
1578587823,1,0
1578593798,0,1
1578607514,1,0
1578609674,1,0
1578611601,1,0
1578619483,0,1
1578623331,2,0
