DateTime,Entries,UniqueIPs
1579058908,43,43
1579060709,40,40
1579064740,37,37
1579068958,36,36
1579070922,37,37
1579072817,39,39
1579074747,37,37
1579076691,38,38
1579078576,36,36
1579080516,35,35
1579082721,36,36
1579084577,34,34
1579088456,34,34
1579090374,33,33
1579092288,31,31
1579094461,30,30
1579096593,29,29
1579098750,32,32
1579100937,33,33
1579102855,32,32
1579105004,32,32
1579106943,33,33
1579108833,32,32
1579110759,32,32
1579112671,32,32
1579114609,34,34
1579116501,35,35
1579119391,35,35
1579121320,34,34
1579125172,33,33
1579129630,33,33
1579135477,31,31
1579137375,33,33
1579141239,31,31
1579143392,28,28
1579145577,27,27
1579151557,29,29
1579157565,27,27
1579159455,28,28
1579163293,28,28
1579165483,30,30
1579169302,29,29
1579171251,28,28
1579175096,28,28
1579177025,29,29
1579183001,30,30
1579184933,27,27
1579187110,31,31
1579188984,30,30
1579190931,29,29
1579192838,27,27
1579197148,28,28
1579199061,27,27
1579201001,26,26
1579202899,26,26
1579205123,26,26
1579208910,25,25
1579213235,27,27
1579215141,30,30
1579217115,29,29
1579223144,28,28
1579224981,27,27
1579231010,29,29
1579232920,32,32
1579234840,34,34
1579236735,35,35
1579238680,34,34
1579244640,36,36
1579246596,34,34
1579248507,33,33
1579252364,31,31
1579254253,32,32
1579260016,31,31
1579261952,33,33
1579263852,33,33
1579265771,34,34
1579267726,35,35
1579269705,35,35
1579273536,31,31
1579277310,32,32
1579279213,33,33
1579283298,31,31
1579285227,31,31
1579287157,30,30
1579289103,30,30
1579291020,30,30
1579295187,31,31
1579297212,32,32
1579299416,33,33
1579301541,30,30
1579305375,29,29
1579309731,30,30
1579315704,29,29
1579317638,29,29
1579319560,26,26
1579321483,26,26
1579323400,25,25
1579325295,24,24
1579331140,21,21
1579334932,22,22
1579340659,21,21
1579344761,23,23
1579346656,24,24
1579348582,24,24
1579350516,23,23
1579352604,21,21
1579356518,22,22
1579360348,23,23
1579364195,21,21
1579368273,22,22
1579372097,21,21
1579374978,21,21
1579377154,21,21
1579379313,23,23
1579381411,25,25
1579383628,26,26
1579385539,25,25
1579387485,25,25
1579389384,25,25
1579397571,26,26
1579399712,27,27
1579403577,26,26
1579405462,29,29
1579407394,28,28
1579421037,28,28
1579425157,29,29
1579427065,30,30
1579431135,29,29
1579433071,26,26
1579434988,25,25
1579439827,26,26
1579443610,27,27
1579447472,26,26
1579449379,25,25
1579451291,24,24
1579454418,23,23
1579458254,24,24
1579460189,25,25
1579462094,27,27
1579464325,24,24
1579468122,20,20
1579470016,19,19
1579473856,18,18
1579475791,17,17
1579477696,16,16
1579483456,15,15
1579485391,14,14
1579489412,15,15
1579491433,14,14
1579505076,15,15
1579508901,15,15
1579511164,14,14
1579512987,13,13
1579516840,14,14
1579518754,15,15
1579520659,18,18
1579524508,19,19
1579526419,18,18
1579528345,19,19
1579530260,18,18
1579532177,20,20
1579542037,23,23
1579544191,22,22
1579546093,21,21
1579548038,18,18
1579553775,19,19
1579555720,20,20
1579559772,21,21
1579567714,22,22
1579569619,23,23
