DateTime,Entries,UniqueIPs
1579566974,34362,34362
1579568896,33130,33130
1579570843,31448,31448
1579572765,30151,30151
1579574680,28890,28890
1579576610,27856,27856
1579578558,26697,26697
1579580416,25665,25665
1579582334,24423,24423
1579584255,23432,23432
1579586181,22503,22503
1579588096,21795,21795
1579590139,20833,20833
1579591949,19956,19956
1579593765,19184,19184
1579595772,18353,18353
1579597697,17512,17512
1579599617,16546,16546
1579601541,15728,15728
1579603460,14815,14815
1579605379,14007,14007
1579607299,12977,12977
1579609217,12073,12073
1579611141,13156,13156
1579613063,14046,14046
1579614973,15224,15224
1579616897,17173,17173
1579619791,17590,17590
1579621596,17600,17600
1579623621,17596,17596
1579625552,17645,17645
1579627470,17688,17688
1579629378,17676,17676
1579631301,17657,17657
1579634423,17677,17677
1579636359,17702,17702
1579638273,17704,17704
1579640175,17703,17703
1579642097,17711,17711
1579644302,17742,17742
1579646193,17763,17763
1579648116,17790,17790
1579650044,17830,17830
1579651944,17822,17822
1579653856,17845,17845
1579655803,17901,17901
1579657722,17917,17917
1579659637,17947,17947
1579661546,18035,18035
1579663482,18060,18060
1579665377,18054,18054
1579667554,18072,18072
1579669574,18087,18087
1579671404,18134,18134
1579673315,18149,18149
1579675234,18171,18171
1579677146,18172,18172
1579679072,18176,18176
1579680996,18194,18194
1579682902,18207,18207
1579684843,18204,18204
1579686742,18196,18196
1579688663,18209,18209
1579690589,18187,18187
1579692501,18202,18202
1579695395,18188,18188
1579697339,16258,16258
1579699228,14576,14576
1579701153,12474,12474
1579703111,10561,10561
1579704986,9928,9928
1579706928,9938,9938
1579709112,9939,9939
1579711240,9894,9894
1579713151,9867,9867
1579715097,9842,9842
1579716987,9837,9837
1579719148,9832,9832
1579721082,9821,9821
1579722997,9824,9824
1579724901,9804,9804
1579727161,9800,9800
1579728982,9798,9798
1579730942,9806,9806
1579732836,9786,9786
1579734739,9758,9758
1579736744,9739,9739
1579738579,9725,9725
1579740519,9698,9698
1579743441,9653,9653
1579745332,9638,9638
1579747217,9550,9550
1579749141,9865,9865
1579751083,9880,9880
1579752978,9874,9874
1579754897,9862,9862
1579756840,9832,9832
1579758781,9817,9817
1579760702,9799,9799
1579762644,9822,9822
1579764501,9824,9824
1579766566,9808,9808
1579768370,9819,9819
1579770324,9774,9774
1579773161,9877,9877
1579775069,10075,10075
1579776972,10230,10230
1579778812,10401,10401
1579782041,10641,10641
1579783992,10903,10903
1579785885,12514,12514
1579787803,12726,12726
1579789694,12968,12968
1579791664,13200,13200
1579793544,13370,13370
1579795499,13665,13665
1579797377,13880,13880
1579799566,14173,14173
1579801489,14427,14427
1579803419,14668,14668
1579805300,14971,14971
1579807235,15247,15247
1579809138,15553,15553
1579811079,15785,15785
1579812977,16069,16069
1579814900,16313,16313
1579816884,16598,16598
1579818745,16902,16902
1579820762,17435,17435
1579822594,17593,17593
1579824496,17813,17813
1579826417,18323,18323
1579828344,18817,18817
1579830255,19480,19480
1579832200,20153,20153
1579834123,21023,21023
1579836031,21388,21388
1579837944,22174,22174
1579839895,22850,22850
1579841806,23661,23661
1579843724,24180,24180
1579845911,24945,24945
1579847795,25550,25550
1579849721,26108,26108
1579851626,26746,26746
1579853547,27246,27246
1579855479,27879,27879
1579857417,28505,28505
1579859320,29150,29150
1579861219,29504,29504
1579863142,29572,29572
1579865084,29391,29391
1579866979,29268,29268
1579868897,29121,29121
1579871145,28580,28580
1579873100,27600,27600
1579874939,27397,27397
1579876836,27150,27150
1579878764,26936,26936
1579880800,26688,26688
1579882834,26622,26622
1579884740,26593,26593
1579886659,26600,26600
1579888601,26591,26591
1579890497,26568,26568
1579892743,26503,26503
1579894829,26468,26468
1579896999,26483,26483
1579898921,26452,26452
1579900826,26391,26391
1579902743,26365,26365
1579904725,26385,26385
1579906631,26015,26015
1579908673,25884,25884
1579910770,25790,25790
1579912578,25555,25555
1579914761,25251,25251
1579916659,24840,24840
1579918580,24354,24354
1579920515,23689,23689
1579922451,23132,23132
1579924357,22476,22476
1579926259,21975,21975
1579928240,21389,21389
1579930100,21234,21234
1579932341,20958,20958
1579934189,20765,20765
1579936104,20478,20478
1579938037,20343,20343
1579939970,20392,20392
1579941857,20372,20372
1579943842,20258,20258
1579945740,20296,20296
1579947645,20344,20344
1579949558,20757,20757
1579951483,21337,21337
1579953403,22074,22074
1579955299,22448,22448
1579957510,23277,23277
1579959404,24067,24067
1579961316,24656,24656
1579963255,25411,25411
1579965165,26124,26124
1579967069,26819,26819
1579968983,27441,27441
1579970925,27822,27822
1579972833,28195,28195
1579974749,27975,27975
1579976695,27770,27770
1579978613,27504,27504
1579980541,27300,27300
1579982722,27063,27063
1579984596,26869,26869
1579986510,26666,26666
1579988426,26396,26396
1579990360,26171,26171
1579992284,25884,25884
1579994183,25716,25716
1579996107,25602,25602
1579998270,25381,25381
1580000175,25147,25147
1580002113,24961,24961
1580004371,24667,24667
1580006187,24445,24445
1580008127,24254,24254
1580010033,24101,24101
1580011959,23937,23937
1580013857,23721,23721
1580015785,23376,23376
1580017717,22860,22860
1580019688,22429,22429
1580021534,22085,22085
1580023474,21738,21738
1580025390,21026,21026
1580027296,20505,20505
1580029527,19809,19809
1580031386,19110,19110
1580033306,18466,18466
1580035219,17872,17872
1580037154,17256,17256
1580039091,16890,16890
1580040989,17230,17230
1580042981,16657,16657
1580044820,16081,16081
1580046734,15506,15506
1580048669,15060,15060
1580050576,14424,14424
1580052496,13879,13879
1580054727,13183,13183
1580056582,12705,12705
1580058522,12346,12346
1580060436,12307,12307
1580062340,12427,12427
1580064274,12537,12537
1580066182,12640,12640
1580068106,12737,12737
1580070034,12849,12849
1580071935,12938,12938
1580073863,13117,13117
1580075827,13480,13480
1580077695,13784,13784
1580079775,14056,14056
1580081773,14168,14168
1580083718,14255,14255
1580085620,14409,14409
1580087536,14554,14554
1580089531,14728,14728
1580091384,14876,14876
1580093299,15036,15036
1580095232,15189,15189
1580097144,15369,15369
1580099058,15579,15579
1580100984,15771,15771
1580102892,15923,15923
1580105009,16041,16041
1580106979,16211,16211
1580108915,16271,16271
1580110823,16378,16378
1580112739,16481,16481
1580114669,16616,16616
1580116578,16717,16717
1580118742,17054,17054
1580120665,17310,17310
1580122589,17561,17561
1580124499,17666,17666
1580127418,17197,17197
1580129548,17555,17555
1580131484,17834,17834
1580133398,18187,18187
1580135299,18581,18581
1580137419,19125,19125
1580139372,19629,19629
1580142260,19987,19987
1580144189,20487,20487
1580146095,20879,20879
1580148217,21434,21434
1580150174,21815,21815
1580152142,22179,22179
1580154018,22676,22676
1580155935,23040,23040
1580157878,23477,23477
1580159777,23751,23751
1580161708,24194,24194
1580163613,24501,24501
1580165547,24939,24939
1580167452,25183,25183
1580169374,25478,25478
1580171322,25858,25858
1580173388,26304,26304
1580175374,26222,26222
1580177316,26105,26105
1580179243,25935,25935
1580181163,25775,25775
1580183057,25629,25629
1580184981,25457,25457
1580186919,25304,25304
1580188814,25172,25172
1580190732,25057,25057
1580192673,24894,24894
1580194626,24770,24770
1580196499,24633,24633
1580199625,24418,24418
1580201532,24232,24232
1580203469,24041,24041
1580205378,23689,23689
1580207302,23509,23509
1580209371,23330,23330
1580211383,23018,23018
1580213296,22679,22679
1580215213,22285,22285
1580217155,21852,21852
1580219052,21376,21376
1580221007,20841,20841
1580222901,20264,20264
1580224829,19601,19601
1580226769,18960,18960
1580228669,19589,19589
1580230611,20022,20022
1580232527,19554,19554
1580235624,18664,18664
1580237529,18120,18120
1580239450,17581,17581
1580241388,16983,16983
1580243289,16511,16511
1580246181,15750,15750
1580248100,15636,15636
1580250038,16584,16584
1580251935,15976,15976
1580253885,15629,15629
1580255787,15263,15263
1580257692,14771,14771
1580260600,14156,14156
