DateTime,AddedIPs,RemovedIPs
1579579491,90,84
1579581380,74,74
1579583326,64,95
1579585246,68,66
1579587141,63,69
1579589088,57,63
1579591004,65,94
1579592902,81,73
1579594823,104,59
1579596741,78,58
1579598761,59,64
1579600590,76,91
1579602517,64,74
1579604700,85,95
1579606579,77,83
1579608493,68,142
1579610423,71,80
1579612342,77,82
1579614257,79,68
1579616436,88,82
1579618344,53,67
1579620274,68,59
1579622191,63,56
1579624130,106,55
1579626321,109,59
1579628189,90,67
1579630122,78,81
1579632022,74,94
1579633941,84,79
1579635864,104,95
1579638026,82,81
1579639935,56,66
1579641859,77,75
1579643776,76,61
1579645696,70,64
1579647936,90,84
1579649778,101,70
1579651697,87,56
1579653624,89,59
1579655542,73,73
1579657459,79,64
1579659380,84,82
1579661302,160,65
1579663234,79,66
1579665152,64,77
1579667088,73,68
1579668996,63,68
1579670898,100,46
1579672877,70,50
1579674762,78,56
1579676731,79,56
1579678581,69,67
1579680511,110,73
1579682440,58,81
1579684343,77,59
1579686269,79,59
1579688179,69,58
1579690100,67,77
1579692026,72,59
1579693934,63,69
1579695873,82,59
1579697776,70,61
1579699715,83,57
1579701856,77,85
1579704031,84,83
1579705940,71,70
1579707873,84,68
1579709799,64,100
1579711697,65,91
1579713680,81,94
1579715557,54,70
1579717457,68,78
1579719389,67,74
1579721296,65,79
1579723377,90,91
1579725371,63,59
1579727343,71,72
1579729215,59,83
1579731139,75,63
1579733074,76,76
1579734974,56,118
1579737155,71,92
1579739060,61,66
1579741003,64,84
1579742894,53,96
1579745036,82,86
1579746969,67,127
1579748914,70,93
1579750814,84,64
1579752766,78,67
1579754684,67,82
1579756577,73,79
1579758496,73,86
1579760433,56,66
1579762343,140,64
1579764292,77,69
1579766181,54,110
1579768095,88,66
1579770071,73,61
1579771981,55,101
1579773896,243,67
1579775775,247,77
1579777736,248,80
1579779665,217,72
1579781575,215,68
1579783462,300,77
1579785433,1743,75
1579787342,847,67
1579789244,279,51
1579791219,305,68
1579793066,283,67
1579795005,403,61
1579796905,227,63
1579799128,377,50
1579800984,335,64
1579802902,307,57
1579804823,320,54
1579807024,365,64
1579808902,355,52
1579810832,293,63
1579812747,348,46
1579814665,322,63
1579816600,370,60
1579818500,347,57
1579820774,707,61
1579822596,198,48
1579824498,287,52
1579826419,585,48
1579828346,543,49
1579830257,706,43
1579832202,747,59
1579834124,931,46
1579836033,732,56
1579837945,881,50
1579839897,753,42
1579841808,863,53
1579843725,583,36
1579845915,826,56
1579847798,693,54
1579849723,675,93
1579851628,712,42
1579853550,593,40
1579855481,697,44
1579857419,686,43
1579859322,754,93
1579861221,601,252
1579863144,251,185
1579865086,68,263
1579866981,56,178
1579868899,44,188
1579871154,61,668
1579873103,51,1217
1579874942,57,270
1579876839,31,290
1579878766,38,282
1579880802,60,323
1579882835,200,263
1579884741,332,374
1579886660,314,301
1579888603,328,345
1579890498,289,280
1579892745,346,365
1579894830,368,395
1579897001,322,303
1579898922,298,330
1579900828,248,308
1579902745,334,369
1579904727,336,296
1579906633,358,778
1579908675,128,308
1579910773,201,314
1579912579,307,577
1579914763,330,682
1579916661,308,744
1579918581,276,779
1579920527,299,1023
1579922453,205,819
1579924359,217,928
1579926261,231,769
1579928241,375,937
1579930102,442,603
1579932342,608,896
1579934191,514,738
1579936106,414,715
1579938039,594,780
1579939972,693,682
1579941859,699,726
1579943844,706,760
1579945742,821,789
1579947647,698,641
1579949559,683,257
1579951505,691,81
1579953404,786,71
1579955300,434,55
1579957512,919,63
1579959408,850,42
1579961319,695,59
1579963257,857,38
1579965168,813,58
1579967071,804,62
1579968986,801,158
1579970927,714,333
1579972835,675,298
1579974751,83,302
1579976697,90,300
1579978622,65,341
1579980543,66,305
1579982725,57,327
1579984598,98,287
1579986511,51,250
1579988427,51,321
1579990362,53,300
1579992286,56,341
1579994185,46,213
1579996109,59,160
1579998272,76,313
1580000179,64,321
1580002114,69,282
1580004373,52,340
1580006188,43,287
1580008128,47,240
1580010035,54,210
1580011974,54,218
1580013859,50,303
1580015787,53,412
1580017718,70,598
1580019690,112,534
1580021535,63,450
1580023475,66,418
1580025392,66,761
1580027297,64,617
1580029529,65,781
1580031388,57,825
1580033307,45,729
1580035220,55,677
1580037155,84,712
1580039094,469,867
1580040990,768,417
1580042990,174,795
1580044821,199,760
1580046736,227,819
1580048670,184,707
1580050578,205,882
1580052498,174,738
1580054736,190,919
1580056584,220,746
1580058524,232,674
1580060438,259,363
1580062342,188,96
1580064276,215,71
1580066183,168,54
1580068107,201,69
1580070035,175,79
1580071936,199,107
1580073864,226,73
1580075828,278,67
1580077696,278,59
1580079822,270,64
1580081774,163,76
1580083719,177,100
1580085621,241,66
1580087538,208,67
1580089533,209,61
1580091386,194,60
1580093300,218,57
1580095234,190,57
1580097145,234,58
1580099059,231,52
1580100985,247,69
1580102893,213,66
1580105060,208,131
1580106980,241,70
1580108916,164,103
1580110824,194,70
1580112740,191,82
1580114671,225,52
1580116579,205,65
1580118744,406,78
1580120666,352,55
1580122591,312,51
1580124501,320,204
1580127419,673,1114
1580129549,600,205
1580131486,466,223
1580133400,611,232
1580135301,611,186
1580137494,673,219
1580139373,697,201
1580142262,737,353
1580144191,738,253
1580146097,598,184
1580148259,752,195
1580150176,596,198
1580152146,564,178
1580154020,683,179
1580155937,570,196
1580157879,693,194
1580159779,592,265
1580161709,737,220
1580163615,603,221
1580165548,693,215
1580167454,404,141
1580169375,483,162
1580171325,597,224
1580173463,666,222
1580175376,160,203
1580177319,83,190
1580179245,66,230
1580181166,58,222
1580183059,61,226
1580184983,56,222
1580186920,57,232
1580188816,59,204
1580190734,60,193
1580192675,72,220
1580194627,53,190
1580196502,57,168
1580199628,85,307
1580201533,40,224
1580203471,53,222
1580205380,64,431
1580207304,135,293
1580209420,66,262
1580211385,69,424
1580213299,60,452
1580215214,63,475
1580217157,56,511
1580219054,54,530
1580221009,61,618
1580222903,50,653
1580224830,50,646
1580226770,62,693
1580228672,1057,415
1580230613,1159,737
1580232528,108,578
1580234566,71,713
1580236821,73,663
1580238991,56,670
1580240896,57,679
1580242825,98,535
1580244728,71,714
1580246664,71,602
1580248591,68,719
1580250488,73,601
1580253384,121,876
1580255294,60,389
1580257223,82,620
1580259130,65,656
1580261051,71,317
1580262984,55,132
1580264892,60,60
1580266937,73,68
1580268766,64,74
1580270740,55,72
1580272571,68,58
1580274514,86,80
1580276412,86,69
1580278335,66,66
1580280267,79,78
1580282176,67,55
1580284099,60,71
1580286019,67,50
1580287948,77,55
1580289860,182,63
1580291784,75,51
1580293693,76,82
1580295802,82,147
1580297781,70,95
1580299716,79,69
1580301616,57,60
1580303559,70,65
1580305456,82,61
1580307377,47,78
1580309315,55,52
1580311223,74,58
1580313134,71,74
1580315069,56,1065
1580316997,69,1252
1580318908,67,102
1580321047,65,67
1580322993,85,83
1580324903,77,52
1580326817,86,68
1580328751,65,77
1580330657,86,81
1580332584,72,67
1580334511,60,56
1580336414,81,67
1580338333,80,79
1580340269,89,79
1580342176,64,57
1580344136,68,74
1580346238,69,57
1580348215,69,77
1580350109,87,59
1580352018,54,59
1580353946,71,67
1580355868,66,57
1580357774,74,72
1580359714,62,82
1580361616,60,56
1580363544,59,73
1580365474,76,63
1580367379,51,81
1580369304,54,61
1580371444,62,80
1580373385,46,69
1580375296,51,100
1580377214,91,164
1580379147,70,74
1580381056,75,87
1580383224,60,87
1580385144,126,91
1580387061,170,63
1580388983,78,47
1580390917,56,74
1580393135,62,74
1580394973,63,52
1580396799,64,62
1580398607,70,69
1580400528,76,61
1580402417,76,61
1580404367,61,69
1580406370,72,64
1580408218,44,62
1580410097,88,71
1580412031,55,65
1580413935,59,173
1580415857,65,75
1580417788,71,74
1580419695,84,69
1580421988,96,73
1580423792,56,70
1580425717,68,78
1580427631,120,68
1580429540,86,62
1580431465,95,83
1580433395,70,56
1580435299,55,70
1580437231,58,73
1580439137,63,66
1580441074,69,78
1580442990,59,70
1580444899,58,50
1580447088,79,72
1580449002,63,74
1580450900,68,69
1580452815,67,62
1580454740,67,57
1580456682,56,80
1580458583,64,64
1580460767,78,56
1580462658,65,77
1580464592,61,64
1580466503,62,76
1580468745,71,75
1580470575,50,56
1580472524,68,214
1580474445,54,85
1580476368,68,70
1580478262,77,59
1580480180,53,49
1580482120,48,63
1580484019,52,63
1580485940,50,82
1580487892,74,98
1580489900,98,63
1580492910,169,105
1580494824,97,68
1580496761,93,72
1580498660,87,51
1580500596,84,67
1580502522,70,77
1580504687,94,76
1580506589,75,89
1580508531,74,71
1580510423,104,56
1580512343,64,126
1580514282,82,82
1580516180,90,92
1580518103,95,72
1580520033,67,64
1580521947,68,49
1580523862,60,61
1580525791,56,67
1580527715,70,64
1580529923,82,72
1580531789,56,61
1580533717,70,76
1580535636,69,55
1580537586,55,77
1580539525,78,50
1580541430,74,53
1580543310,54,71
1580545226,85,54
1580547168,78,59
1580549135,95,61
1580550990,76,68
1580552923,85,67
1580555170,89,87
