DateTime,AddedIPs,RemovedIPs
1579560976,4,1
1579562924,4,3
1579565024,6,2
1579566975,3,3
1579568897,1,2
1579570844,3,3
1579572766,1,3
1579574681,2,3
1579576611,1,4
1579578559,2,2
1579580418,3,1
1579582338,3,3
1579584256,4,1
1579586184,0,6
1579588100,1,1
1579590181,1,4
1579592181,3,2
1579594096,4,3
1579596017,1,3
1579597932,2,1
1579601779,2,3
1579603719,1,4
1579605616,4,1
1579607538,1,3
1579609453,2,2
1579611373,3,2
1579613294,2,5
1579615342,3,1
1579617379,0,4
1579619575,2,6
1579621596,1,2
1579623621,2,2
1579625553,4,2
1579627470,2,3
1579629379,2,3
1579631302,4,3
1579634424,2,5
1579636360,1,1
1579638274,0,5
1579640175,2,4
1579642097,5,2
1579644319,5,1
1579646194,3,5
1579648116,2,3
1579650045,2,5
1579651945,1,6
1579653857,3,2
1579655803,3,2
1579657723,6,2
1579659639,1,1
1579661547,1,2
1579663483,2,1
1579665378,1,5
1579667555,2,0
1579669576,0,4
1579671404,4,3
1579673316,1,1
1579675235,1,0
1579677146,2,3
1579679074,1,2
1579680996,1,3
1579682902,2,2
1579684843,2,1
1579686742,1,0
1579688664,1,2
1579690590,3,3
1579692502,1,2
1579695396,3,2
1579697340,2,4
1579699230,1,1
1579701163,1,4
1579703114,2,0
1579704987,3,1
1579706929,2,1
1579709115,2,2
1579711241,2,3
1579713152,3,2
1579715098,0,2
1579716988,3,4
1579719149,3,4
1579721084,2,0
1579722998,0,1
1579724902,3,0
1579727162,3,3
1579728983,0,7
1579730943,0,2
1579732837,3,3
1579734741,3,3
1579736749,3,1
1579738580,3,1
1579740520,1,3
1579742482,3,3
1579744362,0,6
1579746270,2,1
1579748207,7,1
1579750102,1,2
1579752273,2,1
1579754177,2,2
1579756135,4,0
1579758053,1,4
1579759976,4,1
1579761892,4,1
1579763783,0,2
1579765698,0,1
1579767642,5,2
1579769562,1,2
1579771485,0,1
1579773378,0,1
1579775300,1,1
1579777555,3,3
1579779390,0,1
1579781576,2,3
1579783462,1,1
1579785433,4,1
1579787343,3,2
1579789244,1,1
1579791220,3,4
1579793066,2,1
1579795006,1,3
1579796906,3,0
1579799132,1,5
1579800984,2,0
1579802902,2,3
1579804823,3,2
1579807024,4,2
1579808902,4,1
1579810832,0,2
1579812748,1,4
1579814665,1,0
1579816600,2,0
1579818500,0,2
1579820775,3,4
1579822599,2,3
1579824498,1,3
1579826419,5,0
1579828350,3,3
1579830257,3,1
1579832206,4,2
1579834125,0,5
1579836033,3,3
1579837945,1,1
1579839897,2,3
1579841808,3,3
1579843726,4,2
1579845932,5,3
1579847799,0,1
1579849723,0,4
1579851628,1,0
1579853553,0,5
1579855481,1,1
1579857423,1,0
1579859323,1,0
1579861221,3,1
1579863145,1,2
1579865087,1,1
1579866981,0,2
1579868899,2,1
1579871156,2,2
1579873105,1,4
1579874946,3,1
1579876843,2,3
1579878767,3,2
