DateTime,AddedIPs,RemovedIPs
1579507963,1,0
1579509854,3,1
1579511851,1,0
1579513710,2,2
1579515620,0,1
1579517534,5,2
1579519483,0,5
1579521376,4,0
1579523329,3,1
1579525391,0,1
1579527644,2,2
1579529550,2,1
1579531459,0,1
1579533389,2,1
1579535306,1,1
1579539135,1,2
1579541080,1,1
1579542982,1,0
1579544946,1,3
1579547110,0,6
1579549244,2,2
1579551167,0,2
1579553072,1,1
1579557165,0,1
1579559060,3,1
1579560977,0,2
1579562924,3,0
1579565036,1,0
1579568897,2,2
1579570845,1,0
1579572766,1,2
1579574682,1,0
1579576612,2,0
1579578559,2,0
1579580419,2,1
1579582339,2,1
1579584257,1,2
1579586185,2,1
1579588101,1,2
1579590209,1,2
1579592182,2,2
1579594096,1,1
1579596018,0,3
1579597933,1,1
1579599855,1,2
1579601780,1,0
1579603720,2,5
1579605617,3,0
1579607539,4,4
1579609454,4,1
1579611374,2,2
1579613294,3,2
1579615368,2,1
1579617380,1,1
1579619595,1,1
1579621597,1,2
1579623622,1,0
1579625554,2,1
1579627471,3,1
1579629380,1,1
1579631303,4,1
1579634424,5,1
1579636361,3,1
1579638275,1,1
1579640176,1,0
1579644325,0,1
1579646195,2,2
1579648117,1,0
1579650046,2,3
1579651945,3,1
1579653858,2,2
1579655804,3,0
1579657724,2,1
1579659641,3,2
1579661547,0,1
1579663483,0,2
1579665379,1,1
1579667556,1,3
1579669577,2,2
1579671405,0,1
1579673316,0,1
1579675235,2,2
1579677147,2,0
1579679075,0,2
1579680997,2,1
1579684845,1,2
1579686743,2,0
1579688665,2,2
1579690591,0,2
1579692503,0,3
1579695397,1,7
1579697341,1,2
1579700187,0,5
1579702107,3,0
1579704032,2,2
1579705941,2,0
1579707874,1,1
1579709800,0,1
1579711698,3,2
1579713682,2,2
1579715557,4,2
1579717457,2,4
1579719389,1,3
1579721296,1,3
1579723391,1,3
1579725372,2,0
1579727345,1,1
1579729215,1,0
1579731139,1,0
1579733075,2,2
1579734974,5,1
1579737155,2,3
1579739060,1,4
1579741004,2,0
1579742895,2,3
1579745067,0,4
1579746970,1,1
1579748915,1,0
1579750814,0,1
1579754685,1,3
1579758497,2,0
1579760434,1,1
1579762344,1,3
1579764293,2,0
1579766181,0,2
1579768095,3,0
1579771981,1,2
1579773896,1,1
1579775775,3,2
1579779666,0,1
1579781576,1,0
1579783463,0,1
1579787343,0,1
1579789245,2,2
1579791220,0,3
1579793067,0,1
1579795007,2,1
1579796907,4,1
1579799133,2,3
1579800985,0,2
1579802903,0,4
1579804825,2,2
1579807025,1,1
1579808903,0,1
1579810833,1,1
1579812749,2,2
1579814666,1,0
1579816601,1,1
1579818501,1,2
1579820777,1,5
1579822600,3,2
1579824499,0,2
1579826420,3,1
1579828351,2,2
1579830258,1,1
1579832207,3,0
1579834126,2,1
1579836034,2,1
1579837946,1,0
1579839898,2,0
1579841809,1,1
1579843727,2,0
1579845933,1,2
1579847800,4,1
1579849725,1,1
1579851629,0,2
1579853554,1,1
1579855482,0,2
1579857424,2,1
1579861223,0,2
1579863146,0,2
1579866987,2,1
1579871157,1,0
1579873106,1,0
1579874947,2,1
1579876844,1,1
1579880803,2,2
1579882837,0,2
1579884743,1,3
1579886668,1,1
1579888609,1,0
1579890500,0,1
1579892747,1,2
1579897003,0,1
1579898924,1,2
1579900829,2,1
1579902746,2,1
1579904728,3,1
1579908676,1,4
1579912581,1,3
1579914765,4,2
1579916662,0,1
1579918583,1,3
1579920528,0,2
1579922458,1,2
1579924360,2,1
1579926262,0,2
1579928242,0,1
1579930103,2,2
1579932344,2,1
1579934193,1,4
1579936131,4,1
1579939978,2,1
1579941860,2,0
1579943849,0,2
1579945751,6,0
1579947648,1,0
1579949561,3,0
1579952443,1,1
1579954359,1,1
1579956257,0,1
1579958177,2,0
1579960128,0,1
1579962014,0,2
1579963970,2,1
1579965870,2,0
1579967793,1,2
1579969766,2,1
1579971904,2,0
1579973777,6,1
1579975720,1,1
1579979546,2,1
1579985333,3,1
1579987228,3,2
1579989160,2,2
1579991066,1,3
1579994927,2,1
1579998986,3,1
1580000904,2,3
1580002817,2,1
1580004749,0,1
1580008587,1,1
1580010511,0,2
1580012427,2,0
1580016313,4,2
1580018175,1,2
1580020094,0,1
1580022297,3,4
1580024188,4,0
1580026123,1,2
1580028020,3,2
1580029952,3,0
1580031863,0,6
1580033777,1,1
1580035736,0,3
1580037615,1,1
1580041466,0,1
1580043379,0,1
1580045292,0,1
1580049409,1,2
1580051317,2,0
1580053238,1,2
1580055150,2,3
1580057075,4,0
1580058986,2,4
1580060900,1,4
1580062835,2,1
1580064738,1,0
1580066664,0,2
1580068592,3,0
1580070507,0,2
1580073386,2,3
1580075326,7,3
1580077232,3,1
1580079418,1,0
1580081297,0,2
1580083491,3,0
1580085383,1,3
1580087305,2,2
1580089215,0,2
1580091149,3,0
1580093067,2,0
1580094982,3,1
1580096930,1,0
1580098842,5,2
1580100731,5,0
1580102657,2,4
1580104602,1,1
1580106497,3,0
1580108699,6,3
1580110579,2,4
