DateTime,AddedIPs,RemovedIPs
1579392781,2,1
1579394662,2,4
1579396597,0,1
1579398530,0,2
1579400422,1,0
1579402339,0,1
1579404326,1,0
1579408123,3,1
1579410397,0,1
1579412202,0,1
1579416025,1,1
1579417983,0,1
1579419868,0,1
1579423739,2,0
1579425631,4,0
1579427555,2,0
1579431415,0,1
1579433315,1,1
1579435519,2,1
1579437423,3,1
1579439300,1,0
1579441245,0,1
1579445079,2,1
1579446926,0,3
1579448959,1,3
1579450840,2,0
1579452746,2,1
1579454728,1,1
1579456585,1,0
1579458539,2,2
1579462842,0,6
1579464750,2,1
1579466682,2,0
1579468587,1,3
1579470514,2,0
1579472457,2,1
1579474355,1,1
1579476263,1,2
1579478215,1,0
1579480118,1,1
1579482309,3,1
1579484189,0,1
1579486121,0,1
1579488022,2,1
1579490195,0,2
1579492113,1,1
1579494045,4,1
1579495939,2,0
1579501719,3,0
1579505806,1,0
1579507964,2,0
1579509855,1,1
1579511851,0,3
1579513710,0,4
1579515620,2,3
1579521377,0,1
1579523329,0,3
1579525408,2,0
1579527644,0,2
1579529551,1,1
1579531459,1,3
1579535307,0,1
1579537231,1,1
1579539135,0,2
1579541080,3,1
1579542982,0,1
1579544946,3,1
1579547110,1,0
1579549244,1,0
1579551167,1,2
1579553073,1,0
1579555003,0,1
1579557165,3,2
1579559061,2,2
1579560977,3,2
1579562925,10,0
1579565043,2,1
1579566977,1,1
1579568898,1,1
1579570845,1,0
1579574682,1,2
1579576612,1,0
1579578560,2,0
1579580419,2,2
1579582371,2,2
1579584257,0,1
1579586185,2,0
1579588101,1,3
1579590250,0,1
1579592182,0,2
1579594097,0,1
1579596018,0,5
1579597933,1,0
1579599856,5,1
1579601780,1,3
1579603720,1,0
1579605618,0,1
1579607539,3,0
1579609454,0,2
1579611374,2,1
1579615376,1,2
1579617380,2,1
1579619618,1,0
1579621598,1,2
1579623623,0,2
1579625554,1,0
1579627472,0,1
1579629380,1,0
1579631303,0,2
1579634425,1,0
1579636361,7,1
1579638275,6,3
1579640177,0,2
1579642098,2,1
1579644327,2,2
1579646195,2,2
1579648117,0,1
1579650046,2,2
1579653858,1,0
1579655804,2,1
1579657724,0,1
1579659642,1,2
1579661548,4,2
1579663484,1,1
1579665379,0,1
1579667556,1,0
1579669578,1,1
1579671405,3,2
1579673317,2,1
1579675236,0,3
1579677148,0,2
1579679076,1,1
1579680997,1,0
1579684845,2,2
1579686744,2,3
1579688665,3,2
1579690591,0,1
1579692503,1,1
1579695397,1,1
1579697341,1,4
1579699261,2,0
1579701164,1,0
1579703115,1,2
1579704988,1,2
1579706930,1,3
1579709116,2,1
1579716989,1,0
1579719150,1,0
1579721084,0,2
1579722999,0,5
1579724903,0,1
1579727163,1,1
1579730945,1,3
1579732837,1,1
1579734742,0,2
1579736750,1,2
1579738580,2,0
1579740521,0,1
1579742483,3,2
1579746271,1,2
1579748208,2,2
1579750103,4,0
1579752274,1,0
1579754178,1,1
1579756135,0,1
1579758054,0,3
1579759977,1,1
1579765721,2,2
1579767643,1,1
1579769563,1,2
1579771486,1,1
1579773379,2,2
1579775301,2,2
1579777557,0,1
1579779391,0,1
1579781577,3,1
1579783463,1,1
1579785434,1,2
1579787344,1,2
1579789245,1,6
1579791221,2,0
1579793067,0,1
1579795007,2,1
1579796907,0,1
1579799134,2,0
1579800986,0,1
1579802904,0,1
1579804825,1,1
1579807026,1,1
1579808903,0,1
1579810833,7,1
1579812749,2,0
1579814666,3,0
1579816601,2,2
1579818501,3,2
1579820777,3,0
1579822601,1,0
1579824499,1,1
1579826420,2,0
1579828351,2,1
1579830258,1,0
1579832207,4,0
1579834126,0,3
1579837947,1,0
1579839899,0,1
1579841809,0,1
1579845933,1,1
1579847800,2,2
1579853554,1,2
1579855483,0,1
1579857424,0,1
1579859324,1,1
1579861223,2,2
1579863146,0,1
1579865089,0,2
1579866987,0,1
1579868900,0,1
1579871157,0,3
1579873106,2,2
1579874947,1,0
1579876845,1,0
1579878768,0,3
1579882837,0,3
1579886669,2,0
1579888610,1,0
1579890500,1,1
1579892747,0,1
1579894832,0,2
1579897004,2,6
1579898924,0,3
1579900830,0,2
1579902747,2,2
1579904728,5,3
1579906635,0,5
1579908677,3,2
1579910777,2,3
1579916663,3,1
1579918583,1,2
1579922458,1,0
1579926262,1,0
1579928243,0,1
1579930103,0,1
1579932344,0,2
1579934193,1,0
1579938041,0,1
1579939979,1,0
1579941860,2,0
1579943849,0,1
1579945752,1,0
1579947649,0,2
1579949561,1,0
1579951573,1,0
1579955301,0,1
1579959411,0,4
1579961321,0,2
1579963258,1,2
1579965169,1,0
1579967072,1,1
1579968987,2,0
1579970929,1,0
1579972836,1,1
1579974752,1,0
1579976699,2,1
1579978624,2,1
1579980544,1,2
1579982726,1,1
1579984599,1,0
1579986513,1,0
1579988429,2,2
1579990363,1,4
1579992287,4,2
1579994186,0,1
1579996110,1,2
1579998273,2,1
1580000184,2,1
1580002115,1,2
1580004375,1,1
1580006190,0,1
1580008132,0,3
1580011975,3,0
1580013860,0,1
1580015788,1,0
1580017719,1,0
1580019691,0,1
1580021547,0,1
1580023476,1,0
1580027299,1,0
1580029530,0,1
1580031389,0,2
1580035222,1,1
1580039096,0,1
1580040991,1,1
1580042992,1,0
1580044822,1,0
1580046738,0,1
1580048671,5,1
1580050579,2,0
1580052500,1,0
1580054737,3,2
1580056585,1,0
1580058529,0,1
1580060439,2,1
1580062343,1,0
1580064277,0,2
1580066206,0,1
1580070037,0,1
1580071938,0,1
1580073865,0,1
1580075830,1,3
1580077697,2,2
1580079903,0,2
1580081776,1,0
1580083721,2,0
1580085623,4,1
1580087540,1,2
1580089536,3,1
1580091387,1,2
1580093302,0,1
1580095239,2,0
1580099060,0,2
1580102894,0,1
1580105103,1,0
1580108918,1,2
1580110825,1,2
1580112742,1,1
1580114672,0,1
1580120668,3,2
1580122596,0,1
1580124507,0,2
1580127421,3,1
1580129551,1,0
1580131490,0,2
1580133406,1,0
1580135302,1,2
1580137500,3,3
1580139375,0,1
1580142499,3,2
1580144487,3,3
1580148296,2,2
1580152147,1,1
1580154024,2,0
1580155938,1,3
1580157880,1,0
1580159779,1,0
1580161710,1,2
1580163619,1,2
1580165549,1,1
1580167455,1,2
1580169376,0,1
1580171329,0,1
1580175380,2,0
1580177323,0,1
1580179246,0,2
1580181171,1,1
1580186921,1,1
1580188818,0,2
1580190735,1,2
1580194629,1,0
1580196504,1,0
1580199633,0,3
1580205381,1,2
1580207306,0,1
1580211388,0,1
1580213304,4,0
1580215216,3,1
1580217162,1,2
1580219056,0,1
1580221014,0,3
1580222908,0,4
1580224832,1,2
1580226772,2,1
1580228676,1,3
1580230618,0,3
1580232530,3,0
1580234639,2,0
1580236822,1,2
1580238996,0,1
1580240898,3,0
1580242827,1,0
1580244730,0,1
1580246666,1,1
1580248592,2,3
1580250489,1,2
1580252454,2,1
1580254346,2,0
1580256331,1,0
1580258174,1,0
1580260108,0,1
1580267775,1,0
1580269699,1,0
1580273533,1,0
1580277389,0,2
1580281430,2,0
1580283256,2,0
1580296577,1,1
