DateTime,Entries,UniqueIPs
1579576613,605,605
1579578560,599,599
1579580433,598,598
1579582372,603,603
1579584257,605,605
1579586185,608,608
1579588102,608,608
1579590270,606,606
1579592183,613,613
1579594097,597,597
1579596019,589,589
1579597933,595,595
1579599856,604,604
1579601781,607,607
1579603721,611,611
1579605618,604,604
1579607540,596,596
1579609454,594,594
1579611375,585,585
1579613295,577,577
1579615405,576,576
1579617381,565,565
1579619618,569,569
1579621598,572,572
1579623623,573,573
1579625555,578,578
1579627472,573,573
1579629380,567,567
1579631303,573,573
1579634425,583,583
1579636361,587,587
1579638275,593,593
1579640177,603,603
1579642099,606,606
1579644328,613,613
1579646196,613,613
1579648118,618,618
1579650046,636,636
1579651946,658,658
1579653859,673,673
1579655805,679,679
1579657724,689,689
1579659642,693,693
1579661548,701,701
1579663484,685,685
1579665380,686,686
1579667588,688,688
1579669579,689,689
1579671406,685,685
1579673317,686,686
1579675236,685,685
1579677148,679,679
1579679077,666,666
1579680998,663,663
1579682904,661,661
1579684846,648,648
1579686744,634,634
1579688665,635,635
1579690592,640,640
1579692503,642,642
1579695398,649,649
1579697342,653,653
1579699262,664,664
1579701165,674,674
1579703116,671,671
1579704989,676,676
1579706931,676,676
1579709117,679,679
1579711242,682,682
1579713153,686,686
1579715099,699,699
1579716989,706,706
1579719150,718,718
1579721085,727,727
1579723000,741,741
1579724904,755,755
1579727163,784,784
1579728985,796,796
1579730946,807,807
1579732838,825,825
1579734742,835,835
1579736750,833,833
1579738581,833,833
1579740521,839,839
1579742483,841,841
1579744363,849,849
1579746272,852,852
1579748208,865,865
1579750103,871,871
1579752275,888,888
1579754179,887,887
1579756136,900,900
1579758054,910,910
1579759977,916,916
1579761894,923,923
1579763784,914,914
1579765722,919,919
1579767643,923,923
1579769564,931,931
1579771486,956,956
1579773380,971,971
1579775302,981,981
1579777557,976,976
1579779391,981,981
1579781577,986,986
1579783464,986,986
1579785435,993,993
1579787344,991,991
1579789246,1000,1000
1579791221,1005,1005
1579793069,1000,1000
1579795008,1007,1007
1579796908,1009,1009
1579799141,1009,1009
1579800986,1010,1010
1579802905,1010,1010
1579804826,1013,1013
1579807026,997,997
1579808904,991,991
1579810834,988,988
1579812749,977,977
1579814667,967,967
1579816602,960,960
1579818502,963,963
1579820779,956,956
1579822601,952,952
1579824500,937,937
1579826421,928,928
1579828351,919,919
1579830259,916,916
1579832207,919,919
1579834127,922,922
1579836034,906,906
1579837947,896,896
1579839899,890,890
1579841810,892,892
1579843727,887,887
1579845934,879,879
1579847801,881,881
1579849726,857,857
1579851630,853,853
1579853555,842,842
1579855483,827,827
1579857425,801,801
1579859324,796,796
1579861224,791,791
1579863147,794,794
1579865090,795,795
1579866987,782,782
1579868901,773,773
1579871158,763,763
1579873106,769,769
1579874948,768,768
1579876845,770,770
1579878768,772,772
1579880804,778,778
1579882838,779,779
1579884762,776,776
1579886669,771,771
1579888610,756,756
1579890501,755,755
1579892748,762,762
1579894832,756,756
1579897004,748,748
1579898925,751,751
1579900830,751,751
1579902748,747,747
1579904729,742,742
