DateTime,AddedIPs,RemovedIPs
1579150087,5,3
1579150813,0,5
1579151544,5,3
1579152259,1,4
1579152968,2,0
1579153687,1,1
1579154419,5,1
1579155170,1,1
1579155862,2,1
1579157303,4,1
1579158036,1,4
1579158999,2,4
1579159704,1,1
1579160428,1,2
1579161144,2,1
1579162117,3,3
1579163080,2,1
1579163783,2,2
1579164509,3,0
1579165232,1,3
1579165948,6,4
1579166666,3,0
1579167386,0,3
1579168103,2,0
1579169001,8,6
1579169777,1,1
1579170485,1,2
1579171213,2,0
1579171927,1,1
1579172655,1,0
1579173373,0,3
1579174091,1,2
1579174812,3,3
1579175770,5,2
1579176501,2,0
1579177207,1,2
1579177940,0,1
1579178658,3,3
1579179367,2,2
1579180091,1,0
1579180810,4,2
1579181532,2,3
1579182252,3,1
1579182986,0,3
1579184653,0,1
1579185615,2,3
1579186326,1,1
1579187319,3,0
1579188023,1,1
1579188764,1,2
1579189469,2,1
1579190185,2,1
1579190919,2,5
1579191628,3,2
1579192353,1,0
1579193067,1,3
1579193795,0,5
1579194523,1,2
1579195224,3,1
1579195957,1,2
1579196667,4,1
1579197385,2,0
1579198108,3,2
1579198825,3,3
1579199567,2,6
1579200266,3,1
1579200987,3,1
1579201706,2,1
1579202432,1,5
1579203152,1,4
1579203863,3,2
1579204585,2,2
1579205555,3,1
1579206265,3,1
1579206988,1,0
1579207703,5,1
1579208443,1,0
1579209154,2,1
1579209867,4,2
1579210587,1,6
1579211302,1,3
1579212035,0,5
1579212748,3,1
1579213464,3,2
1579214184,3,1
1579214919,0,4
1579215632,0,1
1579216379,4,4
1579217077,1,0
1579217788,2,0
1579218506,3,1
1579219235,1,2
1579219946,1,0
1579220663,0,6
1579221634,4,1
1579222342,1,10
1579223074,4,3
1579223786,4,4
1579224505,2,5
1579225225,0,3
1579225944,6,3
1579226671,4,5
1579227412,7,2
1579228102,2,3
1579228828,4,8
1579229545,8,10
1579230515,10,11
1579231231,1,6
1579231948,6,9
1579232668,7,1
1579233383,2,6
1579234359,11,6
1579235064,6,4
1579235786,2,3
1579236515,4,4
1579237231,4,3
1579237955,3,1
1579238669,2,0
1579239385,1,4
1579240106,1,1
1579240829,2,2
1579241551,4,0
1579242268,2,3
1579242985,4,1
1579244428,2,4
1579245145,1,0
1579245867,4,5
1579246584,1,0
1579247309,2,1
1579248024,0,2
1579248755,1,0
1579249469,2,5
1579250195,0,3
1579250925,2,2
1579251624,6,3
1579252353,0,1
1579253064,4,0
1579253782,4,2
1579254510,0,5
1579255239,2,2
1579255950,3,1
1579256671,2,2
1579257388,2,0
1579258106,3,0
1579258824,2,2
1579259551,2,0
1579260264,1,2
1579261232,1,0
1579261941,0,2
1579262698,1,2
1579263401,2,2
1579264107,1,1
1579264825,5,1
1579265546,2,1
1579266269,0,1
1579267008,4,0
1579267711,1,0
1579268431,2,1
1579269150,3,3
1579269866,1,3
1579270600,1,0
1579271301,2,5
1579272031,2,0
1579272995,5,1
1579273954,4,3
1579274662,2,0
1579275387,2,3
1579276110,4,2
1579276834,2,6
1579277543,4,0
1579278274,1,1
1579278984,1,2
1579279707,2,4
1579280426,3,0
1579281400,1,9
1579282116,2,0
1579282828,1,1
1579283545,1,1
1579284522,3,1
1579285211,2,3
1579285937,5,4
1579286664,4,0
1579287369,3,0
1579288828,1,2
1579289559,2,4
1579290268,2,2
1579290984,1,3
1579291717,1,0
1579292424,3,0
1579293159,2,5
1579293868,2,3
1579294583,1,2
1579295315,3,5
1579296025,1,3
1579296747,0,2
1579297471,0,2
1579298185,2,4
1579298917,0,2
1579299624,4,4
1579300349,1,5
1579301077,1,1
1579301784,2,4
1579302758,6,2
1579303473,0,4
1579304197,2,3
1579304908,3,3
1579305624,2,0
1579306345,4,1
1579307069,1,6
1579307786,2,3
1579308516,4,6
1579309224,2,0
1579309951,3,1
1579310679,4,5
1579311383,4,4
1579312106,3,6
1579312828,2,0
1579313802,3,7
1579314501,5,3
1579315227,6,8
1579315942,5,10
1579316670,7,5
1579317387,6,11
1579318107,9,2
1579318829,2,3
1579319547,7,3
1579320515,8,4
1579321231,3,5
1579321947,3,2
1579322669,4,4
1579323386,1,3
1579324109,2,2
1579324823,3,1
1579325545,1,2
1579326264,2,2
1579326981,1,1
1579327718,2,1
1579328422,2,2
1579329153,1,2
1579329864,1,1
1579330588,1,0
1579331556,2,3
1579332266,3,0
1579332989,1,6
1579333705,3,4
1579334438,0,1
1579335380,3,2
1579336085,1,0
1579336820,2,1
1579337527,3,1
1579338266,4,0
1579338971,5,2
1579339691,2,1
1579340409,0,1
1579341128,4,1
1579342104,2,1
1579342807,2,0
1579343531,3,1
1579344254,2,1
1579344967,1,1
1579345694,3,7
1579346418,6,7
1579347131,1,2
1579347860,5,0
1579348570,1,0
1579349293,2,1
1579350015,2,0
1579350732,2,0
1579351454,4,1
1579352166,1,4
1579352918,0,2
1579353628,5,4
1579354353,5,0
1579355782,2,1
1579356509,3,0
1579357971,3,1
1579358667,3,1
1579359382,4,0
1579360111,0,1
1579361553,3,1
1579362271,0,2
1579362982,2,2
1579363704,0,4
1579364425,4,2
1579365150,4,0
1579365871,1,3
1579366583,5,2
1579367316,3,0
1579368025,3,0
1579368761,1,4
1579369467,1,0
1579370188,2,0
1579370907,0,2
1579371623,1,1
1579372347,0,2
1579373065,1,4
1579373782,1,2
1579374503,3,7
1579375222,2,0
1579375952,3,5
1579376667,1,0
1579377382,4,3
1579378120,1,0
1579378827,1,3
1579379547,5,0
1579380264,0,2
1579380986,1,3
1579381710,0,3
1579382422,2,3
1579383152,0,1
1579383876,3,3
1579384572,2,2
1579385287,2,1
1579386013,4,4
1579386742,4,0
1579387469,3,5
1579388166,1,0
1579388915,1,3
1579389625,2,2
1579390345,4,1
1579391064,1,0
1579391805,0,1
1579394186,12,15
1579394908,3,6
1579395659,2,4
1579396345,3,0
1579397066,8,5
1579397782,1,4
1579398509,5,0
1579399223,0,7
1579399950,4,4
1579400664,5,3
1579401382,10,7
1579402113,5,8
1579402828,6,6
1579403552,6,9
1579404302,1,3
1579404981,8,1
1579405711,4,3
1579406425,3,3
1579407146,6,6
1579407874,3,6
1579408582,3,3
1579409311,2,3
1579410029,1,5
1579416502,14,17
1579423710,21,19
1579431634,30,22
1579438825,19,9
1579446041,19,20
1579453225,20,21
1579461140,18,14
1579468109,23,27
1579475541,19,22
1579482732,17,24
1579490177,43,57
1579496915,33,28
1579504584,15,20
1579512006,20,15
1579519208,14,19
1579527142,20,28
1579534585,22,19
1579541287,18,22
1579548765,23,21
1579556652,24,12
1579563394,16,18
1579571315,30,34
1579578727,57,52
1579586166,24,30
1579593370,19,20
1579600575,23,18
1579608021,20,28
1579615942,27,18
1579622902,22,21
1579630109,18,15
1579637563,21,23
1579644735,14,22
1579652649,18,23
1579659853,31,32
1579667068,55,56
1579674253,22,20
1579682170,19,18
1579689616,17,20
1579696329,14,26
1579703535,20,25
1579710820,21,24
1579718664,20,23
1579725862,24,31
1579733062,17,25
1579740264,18,24
1579747471,40,50
1579754674,38,44
1579761877,19,25
1579769293,15,20
1579776517,25,17
1579784435,17,20
1579791614,17,24
1579798832,18,20
1579806523,16,13
1579813690,23,15
1579821148,24,19
1579828330,18,30
1579835054,41,54
1579842502,39,39
1579850407,21,18
1579857605,18,20
1579864808,17,21
1579872039,24,12
1579879933,17,17
1579887150,14,18
1579894349,20,16
1579901782,13,15
1579908508,17,21
1579916189,24,29
1579923379,49,44
1579930581,30,37
1579938505,20,18
1579945712,19,22
1579952909,16,18
1579960838,25,17
1579968028,22,26
1579975220,14,20
1579983131,10,17
1579990334,17,17
1579997781,19,21
1580005206,33,37
1580012414,51,49
1580019671,17,28
1580027533,15,14
1580034732,13,26
1580041931,20,35
1580049132,23,18
1580056345,21,16
1580063546,20,16
1580070747,28,19
1580078965,19,16
1580085366,21,20
1580092567,36,40
1580099767,55,44
1580106967,22,20
1580114411,17,17
1580121862,13,18
1580129066,24,18
1580136265,15,26
1580143468,17,27
1580151389,17,8
1580158581,16,19
1580165537,17,15
1580172978,35,22
1580180179,42,51
1580187628,41,39
1580194853,26,21
1580202744,14,18
1580209944,17,22
1580217146,19,19
1580224118,15,23
1580231550,15,18
1580239218,14,19
1580246419,11,13
1580253630,17,22
1580261546,27,34
1580268742,48,52
1580275943,38,33
1580283245,12,9
1580290568,26,18
1580297771,13,24
1580304982,16,23
1580312905,13,22
1580320830,16,25
1580328031,18,25
1580335232,18,19
1580343156,16,30
1580350346,34,35
1580358261,51,67
1580365463,24,25
1580372680,12,20
1580380580,15,21
1580388025,20,21
1580395463,19,26
1580402186,16,18
1580409627,25,24
1580417068,25,18
1580424502,24,15
1580432409,18,138
1580439367,46,0
1580446567,39,0
1580453779,26,0
1580461702,18,2
1580468907,24,21
1580476354,16,11
1580484261,26,25
1580491704,20,20
1580499139,22,20
1580506353,25,23
1580514262,16,21
1580521464,27,85
1580528180,42,44
1580535384,30,29
1580542821,21,20
1580550259,15,14
