DateTime,AddedIPs,RemovedIPs
1578873375,1,0
1578876017,0,1
1578877814,1,0
1578880210,1,0
1578886093,1,0
1578888852,0,1
1578891977,1,0
1578894613,4,1
1578895813,0,1
1578897733,1,2
1578898571,1,0
1578899652,0,1
1578902113,0,1
1578904463,0,1
1578908537,0,1
1578910454,0,2
1578912149,1,1
1578912972,0,1
1578914052,0,1
1578915277,1,1
1578916945,2,0
1578918042,1,0
1578919332,1,0
1578921254,2,1
1578922831,1,0
1578925215,0,1
1578926415,2,0
1578930971,1,1
1578933314,0,1
1578935717,0,2
1578937332,1,0
1578940094,1,1
1578944344,0,2
1578945545,0,1
1578946815,2,0
1578948141,0,1
1578948975,1,0
1578950890,1,0
1578952572,1,0
1578953713,1,1
1578954913,0,2
1578956536,0,1
1578958207,0,4
1578958937,0,1
1578967821,1,0
1578969015,0,1
1578970128,0,1
1578971256,1,0
1578973332,1,1
1578975014,3,0
1578977532,1,1
1578977774,1,0
1578978916,0,1
1578983715,1,0
1578987193,1,0
1578989653,0,1
1578990914,0,3
1578996612,1,0
1578998535,0,2
1579000454,1,0
1579004055,0,1
1579009332,0,1
1579016114,0,5
1579018515,1,0
1579020914,0,1
1579022113,0,1
1579025714,1,1
1579027012,0,2
1579029257,1,0
1579030935,1,1
1579034415,2,2
1579036061,1,0
1579040899,0,1
1579043282,1,4
1579047014,0,1
1579054516,2,0
1579058115,1,0
1579061653,1,0
1579065256,0,2
1579066933,0,1
1579068614,1,1
1579070534,1,0
1579073291,1,0
1579078514,1,0
1579086852,0,1
1579088563,1,1
1579089955,0,1
1579092134,1,0
1579096212,1,0
1579097421,1,0
1579098617,1,0
1579100175,0,1
1579101254,0,2
1579102931,2,4
1579107730,1,0
1579111813,0,1
1579113733,2,0
1579118188,1,1
1579119314,2,0
1579120935,0,1
1579122916,0,1
1579124563,0,1
1579127414,1,0
1579139260,0,1
1579143373,1,0
1579144452,0,3
1579146913,1,0
1579148113,0,1
1579152494,1,0
1579156216,0,1
1579163295,1,0
1579166112,0,1
1579171514,0,1
1579179003,1,0
1579182134,0,1
1579184899,7,0
1579190455,0,1
1579192093,1,0
1579195693,4,0
1579197149,0,1
1579200145,2,2
1579201400,1,0
1579203017,0,2
1579206494,1,1
1579211976,0,1
1579212855,1,0
1579214537,2,0
1579225216,0,2
1579226631,0,1
1579231694,1,0
1579235292,1,0
1579236914,10,0
1579239617,0,1
1579243590,0,1
1579248854,1,1
1579250115,6,0
1579254013,1,0
1579257533,1,1
1579262172,0,1
1579268543,0,1
1579271298,1,0
1579272436,0,1
1579273755,1,0
1579275014,0,3
1579277419,0,1
1579281021,3,0
1579282932,0,1
1579285215,2,0
1579288451,0,3
1579291232,1,0
1579299015,0,1
1579307417,1,0
1579310895,1,0
1579312511,0,1
1579316173,1,0
1579317252,0,1
1579320855,1,0
1579324132,8,1
1579326915,1,0
1579329613,1,0
1579331238,1,0
1579332494,2,0
1579336091,3,0
1579336933,1,0
1579337770,1,0
1579342215,1,0
1579344133,1,0
1579348212,0,1
1579354512,1,2
1579355714,1,5
1579356852,1,0
1579362131,1,2
1579365615,1,4
1579369216,0,2
1579372933,1,3
1579374852,1,0
1579376531,0,1
1579380133,1,0
1579380974,1,0
1579383740,0,3
1579385414,1,0
1579390815,1,0
1579394534,1,0
1579403414,0,1
1579405812,0,1
1579407257,1,5
1579409711,1,0
1579414516,1,0
1579416133,5,0
1579419016,0,7
1579427635,0,1
1579432221,1,0
1579441215,0,1
1579443315,0,1
1579445773,1,0
1579448414,1,5
1579450514,1,2
1579452014,0,1
1579455295,0,2
1579461013,0,1
1579463770,1,0
1579469292,2,0
1579470133,0,1
1579477212,0,1
1579481772,0,1
1579484415,2,0
1579486222,2,1
1579491618,0,1
1579493028,0,6
1579493652,1,0
1579495037,1,2
1579497022,0,1
1579498199,0,1
1579499774,1,0
1579500863,0,1
1579502532,0,1
1579504515,0,1
1579506147,1,3
1579508115,1,2
1579514172,1,1
1579517772,1,0
1579518854,1,0
1579524136,0,1
1579526055,0,3
1579531334,0,1
1579532175,1,0
1579534948,0,1
1579536613,1,0
1579539373,3,0
1579543411,1,1
1579546069,0,1
1579547651,2,0
1579549333,0,1
1579551315,0,1
1579573691,1,0
1579574546,1,0
1579576456,2,0
1579580110,1,0
1579583714,0,1
1579585344,0,4
1579586987,0,3
1579588934,0,1
1579591695,1,0
1579592551,1,0
1579601655,1,1
1579603335,1,1
1579605021,1,0
1579606932,1,0
1579608873,1,0
1579615041,6,0
1579616897,1,0
1579617736,0,1
1579619413,1,0
1579620508,1,0
1579622173,0,2
1579631915,0,2
1579633815,1,0
1579635733,1,0
1579640274,0,2
1579653014,1,1
1579654535,2,0
1579655653,0,2
1579659254,1,0
1579664019,0,1
1579666515,0,1
1579669821,2,0
1579671737,0,1
1579676025,1,0
1579680034,1,0
1579682416,0,1
1579684455,1,0
1579688053,0,1
1579689733,0,1
1579696931,1,0
1579702456,0,2
1579706115,1,0
1579706892,1,0
1579709652,1,4
1579711811,1,0
1579713254,0,2
1579715678,1,0
1579716852,1,0
1579717994,1,2
1579725733,0,1
1579727723,0,1
1579733412,5,0
1579743613,0,2
1579744836,0,1
1579746756,0,1
1579750934,2,0
1579773986,2,1
1579776972,0,1
1579779315,0,1
1579784171,0,1
1579785255,0,4
1579786647,0,1
1579790535,0,2
1579793417,0,7
1579795788,1,0
1579805681,0,1
1579809312,1,0
1579812134,1,0
1579815616,0,1
1579824614,0,3
1579830132,0,1
1579835652,1,0
1579836492,2,0
1579839316,0,1
1579842621,0,1
1579845375,3,0
1579846471,0,1
1579848019,2,0
1579850053,1,0
1579851733,3,0
1579852574,1,0
1579855333,0,1
1579856172,1,0
1579859254,2,0
1579860615,1,0
1579864454,1,0
1579866972,0,1
1579869234,1,0
1579873216,1,0
1579874174,1,0
1579875254,3,0
1579876486,0,1
1579877829,1,0
1579879214,0,1
1579882519,0,1
1579886892,0,1
1579887735,0,2
1579895326,1,0
1579904054,0,5
1579905733,1,0
1579907654,0,1
1579910114,1,0
1579914852,1,0
1579918453,1,0
1579920132,2,0
1579922053,4,0
1579934116,2,1
1579935633,2,0
1579938014,1,0
1579945333,0,1
1579950623,1,0
1579965015,0,1
1579967774,3,0
1579970415,1,0
1579971372,1,0
1579976116,1,0
1579978575,2,0
1579979716,1,1
1579981335,1,1
1579984813,1,0
1579986855,1,0
1579997654,1,0
1580002932,1,0
1580007993,1,3
1580010803,1,0
1580017335,1,2
1580020217,0,1
1580021774,0,2
1580022914,0,2
1580030054,0,1
1580036115,1,0
1580044449,0,1
1580046134,0,3
1580047252,0,1
1580054133,0,9
1580062456,1,0
1580063592,4,0
1580064972,1,0
1580066052,0,1
1580067737,1,0
1580069716,1,0
1580075857,0,1
1580080455,0,1
1580085733,0,1
1580090112,0,2
1580092934,0,4
1580104571,0,2
1580105715,0,2
1580107219,1,0
1580114418,0,2
1580116216,2,0
1580118136,2,1
1580118974,1,0
1580120065,1,0
1580122836,2,0
1580125328,1,0
1580136976,1,0
1580138056,0,3
1580140207,0,1
1580141415,0,1
1580142617,2,0
1580146940,0,1
1580148097,0,1
1580151639,0,1
1580154314,1,1
1580155821,0,1
1580159714,0,1
1580164093,1,0
1580169314,0,1
1580170453,1,0
1580175016,1,0
1580176572,1,0
1580179336,0,2
1580182092,1,0
1580183775,0,1
1580186113,0,1
1580193618,1,0
1580195414,2,0
1580204716,1,0
1580205877,0,1
1580207687,1,0
1580208917,3,0
1580218512,0,1
1580226133,1,0
1580229017,1,0
1580233899,3,6
1580236216,1,1
1580237771,1,0
1580239692,1,0
1580240536,0,1
1580243291,1,0
1580246056,1,0
1580252171,1,0
1580253286,1,0
1580260453,4,0
1580272934,1,0
1580281813,1,0
1580287336,0,2
1580289315,0,1
1580290502,0,1
1580291711,1,0
1580294535,0,2
1580302467,1,0
1580304496,2,0
1580305777,0,1
1580312316,0,6
1580324495,0,1
1580325613,1,0
1580334976,0,1
1580341333,0,1
1580345444,0,1
1580346615,0,1
1580351415,0,1
1580362935,1,1
1580364615,2,0
1580365872,0,2
1580375652,3,1
1580376494,1,0
1580377334,0,2
1580379253,1,3
1580382915,1,0
1580386214,1,0
1580397253,1,0
1580398934,1,1
1580402532,1,0
1580404213,0,3
1580407813,4,2
1580409734,0,1
1580415021,1,1
1580416213,0,1
1580417412,1,1
1580422214,0,1
1580424505,3,1
1580426053,1,0
1580429655,0,3
1580431256,0,1
1580432435,1,0
1580442136,0,1
1580447655,1,0
1580448494,1,0
1580452513,0,1
1580454614,1,0
1580460016,1,1
1580469254,1,0
1580472858,0,1
1580474536,0,1
1580481315,2,0
1580482576,1,0
1580496133,1,1
1580498367,1,0
1580501654,1,0
1580505014,1,0
1580506216,4,0
1580509795,3,0
1580511371,2,0
1580512515,4,0
1580517736,0,1
1580519039,1,0
1580520311,1,0
1580521511,1,0
1580524217,1,0
1580524933,1,0
1580531294,1,0
1580532802,0,1
1580546414,0,1
1580553731,0,1
