DateTime,Entries,UniqueIPs
1579897693,1532,1532
1579899375,1507,1507
1579900518,1505,1505
1579902142,1479,1479
1579904056,1482,1482
1579905735,1465,1465
1579907656,1452,1452
1579908915,1446,1446
1579910116,1443,1443
1579911258,1431,1431
1579912406,1418,1418
1579914263,1400,1400
1579916536,1383,1383
1579917373,1384,1384
1579918455,1378,1378
1579920134,1359,1359
1579923326,1364,1364
1579924575,1332,1332
1579925717,1312,1312
1579926495,1311,1311
1579928114,1288,1288
1579929258,1283,1283
1579930944,1261,1261
1579931775,1266,1266
1579932917,1251,1251
1579934118,1235,1235
1579935635,1215,1215
1579938016,1182,1182
1579939814,1171,1171
1579940053,1172,1172
1579942577,1150,1150
1579943748,1151,1151
1579945334,1142,1142
1579947255,1140,1140
1579950625,1143,1143
1579951702,1149,1149
1579952801,1146,1146
1579954456,1151,1151
1579956135,1136,1136
1579956975,1141,1141
1579958115,1135,1135
1579959618,1129,1129
1579960575,1139,1139
1579961717,1130,1130
1579963334,1111,1111
1579965017,1098,1098
1579966936,1096,1096
1579967776,1098,1098
1579968855,1097,1097
1579970417,1089,1089
1579971374,1095,1095
1579972456,1094,1094
1579973293,1095,1095
1579974973,1093,1093
1579976117,1095,1095
1579977315,1093,1093
1579978577,1099,1099
1579979718,1098,1098
1579981337,1087,1087
1579982489,1081,1081
1579983618,1087,1087
1579984815,1077,1077
1579986857,1077,1077
1579987696,1076,1076
1579988538,1064,1064
1579989373,1065,1065
1579990457,1060,1060
1579991293,1062,1062
1579992134,1055,1055
1579994054,1056,1056
1579995734,1051,1051
1579997656,1051,1051
1579998495,1055,1055
1580000169,1044,1044
1580001320,1037,1037
1580002934,1032,1032
1580004624,1031,1031
1580007995,1020,1020
1580009300,1033,1033
1580010805,1034,1034
1580012119,1021,1021
1580013915,1024,1024
1580015423,1025,1025
1580017337,1022,1022
1580019016,1023,1023
1580020219,1023,1023
1580021777,1031,1031
1580022916,1035,1035
1580024018,1034,1034
1580025268,1037,1037
1580026517,1035,1035
1580027717,1036,1036
1580028972,1038,1038
1580030056,1037,1037
1580030894,1043,1043
1580032487,1043,1043
1580033716,1035,1035
1580034917,1036,1036
1580036116,1036,1036
1580037309,1030,1030
1580039706,1025,1025
1580040917,1022,1022
1580042534,1003,1003
1580044451,1007,1007
1580046136,1004,1004
1580047255,1008,1008
1580048910,1016,1016
1580049733,1008,1008
1580050574,1013,1013
1580051655,1006,1006
1580052493,1007,1007
1580054135,1010,1010
1580054433,1009,1009
1580055256,1017,1017
1580056514,1018,1018
1580058856,1023,1023
1580060417,1012,1012
1580062176,1014,1014
1580062458,1016,1016
1580063594,1015,1015
1580064974,1010,1010
1580066053,1004,1004
1580067739,1004,1004
1580068575,1005,1005
1580069717,1010,1010
1580070514,1015,1015
1580071776,1002,1002
1580073254,1004,1004
1580074514,1005,1005
1580075874,1012,1012
1580076856,1012,1012
1580078535,1019,1019
1580080457,1019,1019
1580082154,1019,1019
1580083545,1023,1023
1580084721,1025,1025
1580085735,1030,1030
1580086577,1034,1034
1580087717,1035,1035
1580088495,1041,1041
1580090114,1027,1027
1580091257,1027,1027
1580092936,1034,1034
1580094854,1036,1036
1580095695,1038,1038
1580097318,1044,1044
1580098459,1035,1035
1580100152,1028,1028
1580101826,1028,1028
1580102897,1029,1029
1580104573,1024,1024
1580105717,1023,1023
1580107221,1024,1024
1580108173,1027,1027
1580109319,1024,1024
1580110501,1029,1029
1580111714,1030,1030
1580112918,1026,1026
1580114420,1019,1019
1580116218,1024,1024
1580116457,1027,1027
1580118138,1038,1038
1580118976,1040,1040
1580120067,1038,1038
1580121620,1039,1039
1580122839,1042,1042
1580124016,1056,1056
1580125330,1050,1050
1580126455,1055,1055
1580128090,1070,1070
1580128952,1074,1074
1580130858,1068,1068
1580131696,1074,1074
1580132863,1075,1075
1580134224,1076,1076
1580135293,1088,1088
1580136978,1092,1092
1580138057,1094,1094
1580138901,1107,1107
1580140209,1106,1106
1580141416,1105,1105
1580142620,1107,1107
1580144114,1118,1118
1580145312,1130,1130
1580146097,1134,1134
1580146942,1132,1132
1580148099,1135,1135
1580149219,1149,1149
1580150415,1150,1150
1580151642,1159,1159
1580152820,1173,1173
1580154316,1174,1174
1580155823,1178,1178
1580157616,1181,1181
1580158577,1189,1189
1580159715,1197,1197
1580160847,1207,1207
1580161336,1204,1204
1580162542,1212,1212
1580164095,1231,1231
1580165775,1245,1245
1580166856,1251,1251
1580167694,1256,1256
1580169316,1252,1252
1580170455,1256,1256
1580172145,1269,1269
1580173449,1280,1280
1580175018,1277,1277
1580175737,1279,1279
1580176574,1285,1285
1580177657,1288,1288
1580178493,1293,1293
1580179338,1285,1285
1580181257,1299,1299
1580182094,1310,1310
1580183777,1328,1328
1580184854,1324,1324
1580186115,1328,1328
1580187639,1328,1328
1580189298,1336,1336
1580190978,1336,1336
1580192054,1339,1339
1580193620,1335,1335
1580195416,1340,1340
1580195656,1343,1343
1580198114,1343,1343
1580199222,1341,1341
1580200934,1330,1330
1580202217,1329,1329
1580203492,1334,1334
1580204718,1329,1329
1580205879,1332,1332
1580207689,1334,1334
