DateTime,AddedIPs,RemovedIPs
1579910103,40,22
1579911243,53,53
1579912395,53,72
1579914252,68,74
1579914842,24,0
1579916524,89,105
1579917363,31,0
1579918442,41,45
1579920123,79,109
1579922042,78,67
1579923314,54,95
1579924563,46,33
1579926483,84,70
1579928103,58,124
1579929243,51,63
1579930934,74,93
1579931763,31,1
1579932904,50,73
1579934103,54,81
1579935620,69,92
1579936443,38,1
1579938003,59,439
1579939792,81,80
1579940043,4,0
1579941724,69,147
1579942563,35,1
1579943734,59,58
1579945323,72,111
1579947243,91,58
1579950602,137,198
1579951687,47,0
1579952789,40,130
1579954443,75,64
1579956123,95,97
1579956962,36,0
1579958102,53,51
1579959603,82,124
1579960563,37,1
1579961703,41,70
1579963323,81,130
1579965003,63,69
1579966922,67,112
1579967763,30,0
1579968842,44,46
1579970405,56,149
1579971363,31,1
1579972443,45,40
1579973282,24,0
1579974125,29,105
1579974962,37,0
1579976105,45,69
1579977304,40,82
1579978563,60,30
1579979703,46,54
1579981325,61,134
1579982479,36,58
1579983603,34,0
1579984802,40,119
1579986844,93,61
1579987683,30,0
1579988525,37,118
1579989363,28,0
1579990442,48,52
1579991282,34,0
1579992123,32,88
1579994043,84,74
1579995723,61,111
1579997643,75,62
1579998482,31,0
1580000162,0,17976
1580001303,17915,0
1580002923,56,87
1580004603,58,46
1580007976,123,171
1580009288,56,0
1580010794,48,101
1580012103,55,53
1580013903,76,94
1580015403,43,60
1580017324,69,94
1580019003,68,45
1580020205,60,70
1580021763,71,53
1580022903,37,61
1580024007,47,95
1580025257,48,20
1580026503,53,87
1580027703,51,73
1580028962,54,31
1580030043,43,52
1580030883,31,0
1580032477,54,97
1580033704,50,54
1580034903,64,84
1580036103,50,27
1580037294,48,65
1580038082,37,2
1580039696,61,139
1580040902,48,79
1580042523,68,117
1580044442,82,45
1580046123,72,123
1580047241,33,52
1580048882,61,0
1580049723,35,113
1580050562,26,1
1580051643,32,56
1580052483,25,1
1580054123,68,122
1580054405,15,62
1580055243,34,1
1580056502,100,74
1580058843,306,82
1580060403,158,109
1580062164,124,52
1580062444,29,0
1580063579,76,69
1580064963,66,20
1580066043,107,61
1580067724,71,99
1580068563,32,1
1580069704,51,59
1580070483,33,0
1580071765,82,139
1580073242,120,48
1580074502,109,72
1580075848,176,22
1580076843,154,44
1580078524,170,73
1580080443,163,44
1580082139,98,92
1580083535,82,45
1580084711,59,1
1580085723,55,101
1580086562,52,1
1580087703,61,58
1580088483,57,0
1580090103,68,95
1580091245,52,46
1580092924,96,93
1580094843,111,45
1580095683,45,0
1580097303,97,102
1580098443,72,50
1580100123,99,107
1580101805,155,35
1580102885,60,0
1580104563,82,107
1580105703,64,52
1580107203,82,95
1580108162,44,1
1580109304,43,46
1580110490,57,58
1580111703,49,28
1580112903,56,59
1580114404,94,119
1580116203,105,73
1580116444,18,0
1580118124,97,83
1580118963,44,2
1580120056,62,37
1580121603,142,101
1580122822,60,56
1580124002,64,0
1580125313,79,113
1580126437,69,54
1580128082,155,0
1580128924,45,118
1580130844,94,66
1580131683,43,0
1580132851,43,100
1580134203,57,60
1580135283,60,0
1580136964,97,80
1580138043,65,40
1580138886,65,1
1580140197,107,99
1580141402,74,52
1580142605,85,66
1580144103,87,21
1580145302,101,48
1580146083,34,0
1580146931,36,95
1580148087,83,57
1580149205,75,0
1580150403,61,84
1580151627,58,36
1580152802,68,2
1580154304,70,108
1580155804,80,69
1580157606,67,95
1580158563,56,1
1580159703,88,55
1580160835,73,80
1580161323,20,26
1580162517,61,52
1580164083,84,0
1580165763,100,79
1580166842,50,61
1580167683,28,1
1580169304,75,98
1580170443,60,52
1580172132,84,98
1580173434,72,55
1580175004,74,69
1580175722,48,20
1580176563,85,0
1580177642,459,51
1580178483,48,1
1580179323,44,102
1580181243,95,50
1580182083,48,0
1580183762,61,91
1580184842,42,47
1580186102,51,61
1580187623,67,86
1580189285,94,1
1580190962,95,102
1580192044,52,45
1580193604,60,95
1580195404,75,49
1580195643,10,0
1580196483,27,1
1580198103,75,90
1580199202,51,60
1580200922,73,94
1580202207,53,39
1580203471,56,2
1580204702,81,127
1580205869,61,62
1580207678,93,70
1580208907,77,29
1580210882,89,82
1580212563,62,131
1580212830,11,48
1580214002,38,1
1580215121,51,116
1580216661,70,43
1580217243,31,0
1580218503,58,67
1580219785,42,41
1580220843,49,53
1580222404,61,107
1580224203,88,81
1580226124,87,113
1580227393,39,67
1580229006,68,110
1580229723,41,30
1580231405,82,58
1580232483,61,0
1580233890,59,127
1580235003,59,59
1580236204,67,105
1580237763,73,29
1580238843,43,38
1580239683,43,0
1580240523,29,75
1580242442,65,71
1580243283,33,0
1580244631,72,117
1580246043,61,82
1580247605,70,126
1580248562,40,2
1580249704,43,67
1580250844,55,84
1580252162,58,28
1580253278,39,51
1580254648,58,66
1580256433,97,90
1580256843,19,0
1580258103,55,94
1580259303,43,33
1580260439,55,43
1580261285,33,0
1580262962,73,116
1580264042,49,53
1580265303,52,91
1580266503,54,28
1580267704,42,66
1580268903,54,83
1580270102,48,28
1580271242,59,54
1580272086,43,0
1580272923,26,159
1580274843,90,62
1580276523,86,116
1580277364,44,1
1580278442,48,44
1580279571,38,62
1580280701,51,30
1580281804,44,47
1580282922,34,3
1580284036,44,123
1580285321,56,79
1580286483,36,3
1580287324,30,137
1580288165,36,2
1580289305,50,69
1580290493,47,148
1580291702,45,34
1580292903,57,66
1580294524,58,118
1580295363,35,0
1580296445,44,63
1580297283,29,0
1580300043,418,234
1580301303,47,92
1580302458,52,27
1580303643,48,76
1580304483,31,0
1580305768,44,115
1580307244,48,70
1580308504,48,104
1580309704,58,49
1580310833,54,77
1580312303,71,132
1580313363,67,2
1580314443,48,58
1580315283,32,1
1580317806,110,229
1580319734,91,167
1580321643,97,60
1580322903,58,78
1580324486,81,69
1580325603,52,1
1580327102,60,99
1580328843,91,59
1580330524,71,122
1580332443,74,36
1580333284,42,1
1580334963,56,131
1580336042,49,58
1580336883,30,0
1580338572,71,98
1580339703,47,67
1580341323,49,118
1580343003,60,48
1580344173,46,83
1580345434,35,26
1580346603,37,125
1580347805,37,590
1580349004,26,45
1580350204,38,57
1580351403,41,96
1580354043,69,80
1580356562,120,100
1580358483,57,60
1580359692,27,118
1580360786,30,85
1580362160,42,98
1580362924,20,29
1580364602,57,53
1580365856,35,79
1580367282,58,24
1580368443,39,60
1580369285,40,3
1580370502,53,128
1580371803,49,70
1580373005,37,83
1580375642,101,109
1580376483,38,1
1580377323,39,134
1580379243,114,82
1580380440,62,86
1580381598,60,33
1580382903,51,47
1580384524,111,103
1580386202,89,61
1580387394,60,83
1580388962,83,21
1580390043,48,69
1580390883,44,0
1580392204,57,97
1580393404,58,56
1580395325,77,139
1580397243,67,41
1580398923,77,94
1580400021,45,77
1580401683,80,1
1580402523,38,115
1580403616,0,18650
1580404803,18664,0
1580406003,40,109
1580407802,67,53
1580409723,81,91
1580411643,77,52
1580412483,34,0
1580415003,101,159
1580416204,35,88
1580417403,50,29
1580418603,41,59
1580419683,36,0
1580422203,101,166
1580422442,9,0
1580423290,37,0
1580424495,58,87
1580426044,63,65
1580427302,43,99
1580428563,51,33
1580429643,34,55
1580431246,53,133
1580432422,48,52
1580433602,57,2
1580434923,68,105
1580436842,60,67
1580438403,54,117
1580439363,35,1
1580440443,48,52
1580442123,71,115
1580442962,27,1
1580444103,39,56
1580445303,44,85
1580446503,34,31
1580447643,57,65
1580448483,32,1
1580449324,39,100
1580450164,31,0
1580451242,33,66
1580452503,55,72
1580454602,93,86
1580455804,47,80
1580457624,65,92
1580458444,30,1
1580460003,69,115
1580461139,48,55
1580462403,42,2
1580463723,48,101
1580464563,26,0
1580465703,48,52
1580467322,62,203
1580469244,78,62
1580470083,22,0
1580471425,55,118
1580472844,45,69
1580474523,58,121
1580476203,70,46
1580477403,56,65
1580478557,47,26
1580479669,48,69
1580481302,81,70
1580482563,55,36
1580483703,50,89
1580485323,71,108
1580486163,32,0
1580487303,43,64
1580488083,29,2
1580489763,99,126
1580490843,53,65
1580491682,38,0
1580492523,46,121
1580494203,86,68
1580496122,92,108
1580496962,31,1
1580497222,10,53
1580498359,55,3
1580499723,69,124
1580501644,117,46
1580503131,94,91
1580505003,108,44
1580506204,53,74
1580507402,59,23
1580508604,82,50
1580509786,50,67
1580511363,84,21
1580512505,70,43
1580513702,55,116
1580514904,53,21
1580516104,62,37
1580517724,82,81
1580519027,62,35
1580520302,54,1
1580521503,58,90
1580522633,77,31
1580524205,83,60
1580524923,36,32
1580526603,69,69
1580527803,68,65
1580529303,72,19
1580530503,44,43
1580531283,31,0
1580532792,71,81
1580534043,58,36
1580535733,59,97
1580536562,34,0
1580537643,47,47
1580538485,31,1
1580539324,34,87
1580540522,58,55
1580542503,88,78
1580543703,58,29
1580544904,45,55
1580546403,71,125
1580547363,56,1
1580548442,42,70
1580549703,103,106
1580550902,65,27
1580552042,56,55
1580552884,38,1
1580553722,45,135
1580555404,80,80
