DateTime,Entries,UniqueIPs
1579910103,26927,26927
1579911243,26927,26927
1579912395,26908,26908
1579914252,26902,26902
1579914842,26926,26926
1579916524,26910,26910
1579917363,26941,26941
1579918442,26937,26937
1579920123,26907,26907
1579922042,26918,26918
1579923314,26877,26877
1579924563,26890,26890
1579926483,26904,26904
1579928103,26838,26838
1579929243,26826,26826
1579930934,26807,26807
1579931763,26837,26837
1579932904,26814,26814
1579934103,26787,26787
1579935620,26764,26764
1579936443,26801,26801
1579938003,26421,26421
1579939792,26422,26422
1579940043,26426,26426
1579941724,26348,26348
1579942563,26382,26382
1579943734,26383,26383
1579945323,26344,26344
1579947243,26377,26377
1579950602,26316,26316
1579951687,26363,26363
1579952789,26273,26273
1579954443,26284,26284
1579956123,26282,26282
1579956962,26318,26318
1579958102,26320,26320
1579959603,26278,26278
1579960563,26314,26314
1579961703,26285,26285
1579963323,26236,26236
1579965003,26230,26230
1579966922,26185,26185
1579967763,26215,26215
1579968842,26213,26213
1579970405,26120,26120
1579971363,26150,26150
1579972443,26155,26155
1579973282,26179,26179
1579974125,26103,26103
1579974962,26140,26140
1579976105,26116,26116
1579977304,26074,26074
1579978563,26104,26104
1579979703,26096,26096
1579981325,26023,26023
1579982479,26001,26001
1579983603,26035,26035
1579984802,25956,25956
1579986844,25988,25988
1579987683,26018,26018
1579988525,25937,25937
1579989363,25965,25965
1579990442,25961,25961
1579991282,25995,25995
1579992123,25939,25939
1579994043,25949,25949
1579995723,25899,25899
1579997643,25912,25912
1579998482,25943,25943
1580000162,7967,7967
1580001303,25882,25882
1580002923,25851,25851
1580004603,25863,25863
1580007976,25815,25815
1580009288,25871,25871
1580010794,25818,25818
1580012103,25820,25820
1580013903,25802,25802
1580015403,25785,25785
1580017324,25760,25760
1580019003,25783,25783
1580020205,25773,25773
1580021763,25791,25791
1580022903,25767,25767
1580024007,25719,25719
1580025257,25747,25747
1580026503,25713,25713
1580027703,25691,25691
1580028962,25714,25714
1580030043,25705,25705
1580030883,25736,25736
1580032477,25693,25693
1580033704,25689,25689
1580034903,25669,25669
1580036103,25692,25692
1580037294,25675,25675
1580038082,25710,25710
1580039696,25632,25632
1580040902,25601,25601
1580042523,25552,25552
1580044442,25589,25589
1580046123,25538,25538
1580047241,25519,25519
1580048882,25580,25580
1580049723,25502,25502
1580050562,25527,25527
1580051643,25503,25503
1580052483,25527,25527
1580054123,25473,25473
1580054405,25426,25426
1580055243,25459,25459
1580056502,25485,25485
1580058843,25709,25709
1580060403,25758,25758
1580062164,25830,25830
1580062444,25859,25859
1580063579,25866,25866
1580064963,25912,25912
1580066043,25958,25958
1580067724,25930,25930
1580068563,25961,25961
1580069704,25953,25953
1580070483,25986,25986
1580071765,25929,25929
1580073242,26001,26001
1580074502,26038,26038
1580075848,26192,26192
1580076843,26302,26302
1580078524,26399,26399
1580080443,26518,26518
1580082139,26524,26524
1580083535,26561,26561
1580084711,26619,26619
1580085723,26573,26573
1580086562,26624,26624
1580087703,26627,26627
1580088483,26684,26684
1580090103,26657,26657
1580091245,26663,26663
1580092924,26666,26666
1580094843,26732,26732
1580095683,26777,26777
1580097303,26772,26772
1580098443,26794,26794
1580100123,26786,26786
1580101805,26906,26906
1580102885,26966,26966
1580104563,26941,26941
1580105703,26953,26953
1580107203,26940,26940
1580108162,26983,26983
1580109304,26980,26980
1580110490,26979,26979
1580111703,27000,27000
1580112903,26997,26997
1580114404,26972,26972
1580116203,27004,27004
1580116444,27022,27022
1580118124,27036,27036
1580118963,27078,27078
1580120056,27103,27103
1580121603,27144,27144
1580122822,27148,27148
1580124002,27212,27212
1580125313,27178,27178
1580126437,27193,27193
1580128082,27348,27348
1580128924,27275,27275
1580130844,27303,27303
1580131683,27346,27346
1580132851,27289,27289
1580134203,27286,27286
1580135283,27346,27346
1580136964,27363,27363
1580138043,27388,27388
1580138886,27452,27452
1580140197,27460,27460
1580141402,27482,27482
1580142605,27501,27501
1580144103,27567,27567
1580145302,27620,27620
1580146083,27654,27654
1580146931,27595,27595
1580148087,27621,27621
1580149205,27696,27696
1580150403,27673,27673
1580151627,27695,27695
1580152802,27761,27761
1580154304,27723,27723
1580155804,27734,27734
1580157606,27706,27706
1580158563,27761,27761
1580159703,27794,27794
1580160835,27787,27787
1580161323,27781,27781
1580162517,27790,27790
1580164083,27874,27874
1580165763,27895,27895
1580166842,27884,27884
1580167683,27911,27911
1580169304,27888,27888
1580170443,27896,27896
1580172132,27882,27882
1580173434,27899,27899
1580175004,27904,27904
1580175722,27932,27932
1580176563,28017,28017
1580177642,28425,28425
1580178483,28472,28472
1580179323,28414,28414
1580181243,28459,28459
1580182083,28507,28507
1580183762,28477,28477
1580184842,28472,28472
1580186102,28462,28462
1580187623,28443,28443
1580189285,28536,28536
1580190962,28529,28529
1580192044,28536,28536
1580193604,28501,28501
1580195404,28527,28527
1580195643,28537,28537
1580196483,28563,28563
1580198103,28548,28548
1580199202,28539,28539
1580200922,28518,28518
1580202207,28532,28532
1580203471,28586,28586
1580204702,28540,28540
1580205869,28539,28539
1580207678,28562,28562
1580208907,28610,28610
1580210882,28617,28617
1580212563,28548,28548
1580212830,28511,28511
1580214002,28548,28548
1580215121,28483,28483
1580216661,28510,28510
1580217243,28541,28541
1580218503,28532,28532
1580219785,28533,28533
1580220843,28529,28529
1580222404,28483,28483
1580224203,28490,28490
1580226124,28464,28464
1580227393,28436,28436
1580229006,28394,28394
1580229723,28405,28405
1580231405,28429,28429
1580232483,28490,28490
1580233890,28422,28422
1580235003,28422,28422
1580236204,28384,28384
1580237763,28428,28428
1580238843,28433,28433
1580239683,28476,28476
1580240523,28430,28430
1580242442,28424,28424
1580243283,28457,28457
1580244631,28412,28412
1580246043,28391,28391
1580247605,28335,28335
1580248562,28373,28373
1580249704,28349,28349
1580250844,28320,28320
1580252162,28350,28350
1580253278,28338,28338
1580254648,28330,28330
1580256433,28337,28337
1580256843,28356,28356
1580258103,28317,28317
1580259303,28327,28327
1580260439,28339,28339
1580261285,28372,28372
1580262962,28329,28329
1580264042,28325,28325
1580265303,28286,28286
1580266503,28312,28312
1580267704,28288,28288
1580268903,28259,28259
1580270102,28279,28279
1580271242,28284,28284
1580272086,28327,28327
1580272923,28194,28194
1580274843,28222,28222
1580276523,28192,28192
1580277364,28235,28235
1580278442,28239,28239
1580279571,28215,28215
1580280701,28236,28236
1580281804,28233,28233
1580282922,28264,28264
1580284036,28185,28185
1580285321,28162,28162
1580286483,28195,28195
1580287324,28088,28088
1580288165,28122,28122
1580289305,28103,28103
1580290493,28002,28002
1580291702,28013,28013
1580292903,28004,28004
1580294524,27944,27944
1580295363,27979,27979
1580296445,27960,27960
1580297283,27989,27989
1580300043,28173,28173
1580301303,28128,28128
1580302458,28153,28153
1580303643,28125,28125
1580304483,28156,28156
1580305768,28085,28085
1580307244,28063,28063
1580308504,28007,28007
1580309704,28016,28016
1580310833,27993,27993
1580312303,27932,27932
1580313363,27997,27997
1580314443,27987,27987
1580315283,28018,28018
1580317806,27899,27899
1580319734,27823,27823
1580321643,27860,27860
1580322903,27840,27840
1580324486,27852,27852
1580325603,27903,27903
1580327102,27864,27864
1580328843,27896,27896
1580330524,27845,27845
1580332443,27883,27883
1580333284,27924,27924
1580334963,27849,27849
1580336042,27840,27840
1580336883,27870,27870
1580338572,27843,27843
1580339703,27823,27823
1580341323,27754,27754
1580343003,27766,27766
1580344173,27729,27729
1580345434,27738,27738
1580346603,27650,27650
1580347805,27097,27097
1580349004,27078,27078
1580350204,27059,27059
1580351403,27004,27004
1580354043,26993,26993
1580356562,27013,27013
1580358483,27010,27010
1580359692,26919,26919
1580360786,26864,26864
1580362160,26808,26808
1580362924,26799,26799
1580364602,26803,26803
1580365856,26759,26759
1580367282,26793,26793
1580368443,26772,26772
1580369285,26809,26809
1580370502,26734,26734
1580371803,26713,26713
1580373005,26667,26667
1580375642,26659,26659
1580376483,26696,26696
1580377323,26601,26601
1580379243,26633,26633
1580380440,26609,26609
1580381598,26636,26636
1580382903,26640,26640
1580384524,26648,26648
1580386202,26676,26676
1580387394,26653,26653
1580388962,26715,26715
1580390043,26694,26694
1580390883,26738,26738
1580392204,26698,26698
1580393404,26700,26700
1580395325,26638,26638
1580397243,26664,26664
1580398923,26647,26647
1580400021,26615,26615
1580401683,26694,26694
1580402523,26617,26617
1580403616,7967,7967
1580404803,26631,26631
1580406003,26562,26562
1580407802,26576,26576
1580409723,26566,26566
1580411643,26591,26591
1580412483,26625,26625
1580415003,26567,26567
1580416204,26514,26514
1580417403,26535,26535
1580418603,26517,26517
1580419683,26553,26553
1580422203,26488,26488
1580422442,26497,26497
1580423290,26534,26534
1580424495,26505,26505
1580426044,26503,26503
1580427302,26447,26447
1580428563,26465,26465
1580429643,26444,26444
1580431246,26364,26364
1580432422,26360,26360
1580433602,26415,26415
1580434923,26378,26378
1580436842,26371,26371
1580438403,26308,26308
1580439363,26342,26342
1580440443,26338,26338
1580442123,26294,26294
1580442962,26320,26320
1580444103,26303,26303
1580445303,26262,26262
1580446503,26265,26265
1580447643,26257,26257
1580448483,26288,26288
1580449324,26227,26227
1580450164,26258,26258
1580451242,26225,26225
1580452503,26208,26208
1580454602,26215,26215
1580455804,26182,26182
1580457624,26155,26155
1580458444,26184,26184
1580460003,26138,26138
1580461139,26131,26131
1580462403,26171,26171
1580463723,26118,26118
1580464563,26144,26144
1580465703,26140,26140
1580467322,25999,25999
1580469244,26015,26015
1580470083,26037,26037
1580471425,25974,25974
1580472844,25950,25950
1580474523,25887,25887
1580476203,25911,25911
1580477403,25902,25902
1580478557,25923,25923
1580479669,25902,25902
1580481302,25913,25913
1580482563,25932,25932
1580483703,25893,25893
1580485323,25856,25856
1580486163,25888,25888
1580487303,25867,25867
1580488083,25894,25894
1580489763,25867,25867
1580490843,25855,25855
1580491682,25893,25893
