DateTime,Entries,UniqueIPs
1579908909,11959,11959
1579910110,11967,11967
1579911252,11967,11967
1579912400,11965,11965
1579914257,11977,11977
1579914849,11988,11988
1579916531,11996,11996
1579917368,12005,12005
1579918449,12006,12006
1579920129,11999,11999
1579922049,12013,12013
1579923321,11997,11997
1579924570,12011,12011
1579926489,12026,12026
1579928109,12010,12010
1579929252,12007,12007
1579930939,12013,12013
1579931770,12022,12022
1579932911,12022,12022
1579934112,12016,12016
1579935628,12017,12017
1579936450,12033,12033
1579938010,11728,11728
1579939798,11734,11734
1579940048,11736,11736
1579941730,11712,11712
1579942571,11724,11724
1579943743,11721,11721
1579945329,11715,11715
1579947250,11731,11731
1579950620,11706,11706
1579951695,11720,11720
1579952795,11682,11682
1579954449,11677,11677
1579956130,11686,11686
1579956969,11693,11693
1579958109,11687,11687
1579959612,11655,11655
1579960569,11663,11663
1579961712,11652,11652
1579963329,11648,11648
1579965011,11651,11651
1579966929,11643,11643
1579967770,11655,11655
1579968849,11654,11654
1579970412,11628,11628
1579971369,11640,11640
1579972450,11646,11646
1579973288,11654,11654
1579974147,11623,11623
1579974968,11635,11635
1579976111,11620,11620
1579977310,11612,11612
1579978570,11618,11618
1579979710,11605,11605
1579981331,11580,11580
1579982484,11567,11567
1579983612,11572,11572
1579984809,11539,11539
1579986851,11547,11547
1579987691,11559,11559
1579988533,11528,11528
1579989368,11536,11536
1579990451,11538,11538
1579991288,11557,11557
1579992128,11549,11549
1579994048,11559,11559
1579995729,11542,11542
1579997650,11545,11545
1579998489,11558,11558
1580000162,7967,7967
1580001311,11549,11549
1580002929,11536,11536
1580004619,11528,11528
1580007986,11520,11520
1580009295,11535,11535
1580010800,11512,11512
1580012112,11522,11522
1580013909,11505,11505
1580015418,11501,11501
1580017332,11500,11500
1580019010,11509,11509
1580020213,11505,11505
1580021771,11514,11514
1580022911,11507,11507
1580024013,11481,11481
1580025263,11489,11489
1580026511,11488,11488
1580027710,11478,11478
1580028967,11484,11484
1580030049,11486,11486
1580030888,11503,11503
1580032482,11487,11487
1580033710,11492,11492
1580034912,11485,11485
1580036110,11501,11501
1580037299,11492,11492
1580038088,11505,11505
1580039701,11483,11483
1580040910,11473,11473
1580042529,11469,11469
1580044444,7967,7967
1580046130,11463,11463
1580047247,11455,11455
1580048903,11475,11475
1580049728,11447,11447
1580050569,11457,11457
1580051650,11456,11456
1580052488,11467,11467
1580054129,11457,11457
1580054427,11441,11441
1580055251,11457,11457
1580056508,11449,11449
1580058850,11449,11449
1580060411,11430,11430
1580062169,11459,11459
1580062452,11474,11474
1580063586,11487,11487
1580064969,11509,11509
1580066048,11566,11566
1580067732,11545,11545
1580068569,11555,11555
1580069711,11551,11551
1580070490,11561,11561
1580071771,11507,11507
1580073248,11514,11514
1580074509,11501,11501
1580075854,11505,11505
1580076850,11514,11514
1580078530,11507,11507
1580080451,11516,11516
1580082147,11498,11498
1580083540,11508,11508
1580084716,11527,11527
1580085729,11503,11503
1580086571,11524,11524
1580087710,11523,11523
1580088490,11549,11549
1580090109,11540,11540
1580091252,11537,11537
1580092931,11544,11544
1580094849,11560,11560
1580095689,11571,11571
1580097312,11551,11551
