DateTime,AddedIPs,RemovedIPs
1579434972,0,1
1579437616,1,0
1579438574,1,0
1579443316,1,1
1579445774,0,1
1579446914,0,1
1579455296,0,1
1579456512,0,2
1579459216,8,1
1579461014,6,1
1579461255,3,0
1579462514,6,1
1579463771,4,1
1579464914,1,0
1579466115,1,3
1579469293,1,1
1579472055,1,0
1579473313,1,1
1579474512,2,0
1579475654,0,1
1579477213,1,1
1579479015,1,0
1579480093,1,0
1579481773,4,0
1579482854,1,0
1579484416,1,0
1579486222,1,0
1579488660,1,0
1579490053,1,1
1579491619,1,2
1579493653,1,0
1579495038,2,2
1579497022,2,4
1579498200,1,1
1579499775,1,0
1579502533,2,3
1579504516,2,0
1579506148,0,2
1579508892,2,0
1579510572,0,3
1579511715,1,0
1579514173,1,2
1579515257,0,2
1579516599,1,0
1579517773,1,0
1579518855,2,0
1579520112,0,1
1579526056,3,0
1579527578,0,1
1579528937,1,0
1579531336,1,0
1579532176,1,0
1579533255,0,1
1579536614,1,1
1579541292,1,0
1579542144,0,1
1579543412,1,1
1579546070,1,0
1579549334,1,0
1579551317,2,0
1579554613,2,1
1579555819,0,1
1579557313,0,1
1579558515,0,1
1579560145,2,1
1579562055,0,2
1579562889,2,0
1579563737,2,1
1579565653,0,3
1579567622,0,3
1579568844,0,2
1579570934,0,2
1579572857,0,2
1579573692,1,0
1579574546,1,1
1579576457,0,2
1579578976,1,0
1579580111,1,1
1579583715,1,6
1579585345,2,5
1579586988,0,2
1579590855,1,1
1579591696,1,0
1579592552,3,2
1579593980,0,2
1579595373,1,0
1579596151,0,2
1579599612,4,1
1579603336,2,3
1579605022,3,2
1579606933,1,2
1579608874,1,2
1579610326,3,3
1579613880,1,3
1579615042,2,5
1579616898,0,4
1579619414,1,0
1579622174,3,0
1579623256,1,0
1579625772,1,0
1579628545,1,3
1579630515,0,3
1579631916,0,1
1579633816,1,0
1579635734,1,1
1579637655,1,0
1579640275,1,0
1579641613,0,1
1579642770,0,1
1579644619,1,0
1579645818,1,1
1579648516,2,0
1579650134,1,2
1579651551,1,1
1579653015,2,0
1579654536,0,1
1579655654,2,1
1579657336,0,2
1579659255,1,0
1579660935,0,1
1579662919,2,0
1579664020,0,3
1579665314,0,1
1579666516,0,5
1579668136,1,0
1579669822,1,0
1579671738,3,2
1579674915,2,3
1579676026,1,2
1579677255,1,0
1579680036,1,2
1579682417,1,1
1579683375,2,0
1579684456,0,1
1579686975,0,1
1579688054,1,1
1579689733,0,5
1579691351,2,1
1579692506,1,0
1579693814,1,2
1579695015,0,1
1579696932,35,1
1579698615,4,0
1579700534,2,1
1579702457,1,2
1579703582,1,0
1579709653,1,0
1579711812,1,1
1579714390,1,2
1579715678,1,0
1579717994,1,1
1579719316,2,0
1579722136,0,1
1579730171,1,0
1579731319,1,0
1579733412,0,1
1579734852,1,0
1579737057,0,1
1579738456,0,1
1579739713,1,0
1579743614,1,0
1579744837,2,0
1579745656,1,0
1579746757,0,2
1579748116,1,0
1579749316,0,1
1579750936,3,1
1579752916,1,1
1579754536,1,3
1579757415,1,0
1579760416,2,0
1579761734,1,2
1579763656,1,1
1579768515,1,0
1579769714,0,1
1579770848,0,1
1579772421,1,1
1579775114,1,0
1579776973,1,2
1579783337,1,2
1579785256,0,2
1579786648,1,2
1579787744,0,1
1579788852,1,0
1579792072,0,1
1579797314,1,2
1579798440,1,0
1579801335,0,1
1579803255,4,0
1579812135,1,0
1579814054,0,1
1579815617,0,3
1579821252,1,3
1579822110,1,0
1579824615,3,2
1579828456,0,1
1579832415,1,0
1579833747,0,1
1579835652,0,1
1579836493,1,0
1579838175,1,1
1579839317,1,0
1579842622,0,4
1579843819,1,2
1579845376,1,1
1579846472,0,1
1579848020,0,1
1579851734,3,0
1579855335,1,1
1579858094,1,0
1579859255,1,0
1579860616,1,1
1579862537,1,0
1579865293,2,0
1579866973,6,29
1579868056,2,11
1579869235,0,2
1579870513,1,0
1579873217,0,1
1579874175,1,0
1579876487,1,0
1579879215,1,1
1579882519,2,0
1579886893,0,2
1579887735,0,1
1579889654,1,0
1579890917,0,3
1579893257,0,1
1579895327,2,0
1579896854,0,1
1579897692,1,0
1579899374,0,1
1579902141,0,1
1579904055,2,1
1579914261,1,2
1579916535,0,1
1579918454,1,2
1579920133,2,0
1579922054,1,2
1579926494,0,2
1579928113,1,1
1579930943,1,0
1579935633,1,1
1579938015,2,0
1579939802,1,0
1579945334,0,1
1579947254,2,2
1579950624,0,1
1579952800,0,1
1579954455,0,1
1579956134,1,3
1579958114,1,1
1579959618,1,1
1579960574,0,1
1579965016,1,0
