DateTime,Entries,UniqueIPs
1579544886,65,65
1579546828,58,58
1579548761,69,69
1579550683,73,73
1579552570,69,69
1579554525,65,65
1579556435,70,70
1579558337,70,70
1579560250,73,73
1579562196,66,66
1579564112,69,69
1579566012,66,66
1579567953,64,64
1579569877,63,63
1579571766,72,72
1579573690,66,66
1579575609,57,57
1579577557,63,63
1579579719,65,65
1579581610,66,66
1579585449,61,61
1579587373,51,51
1579589290,56,56
1579591239,61,61
1579593126,64,64
1579595048,52,52
1579596967,54,54
1579599157,33,33
1579601055,64,64
1579602969,60,60
1579604898,62,62
1579606810,65,65
1579608735,70,70
1579610656,59,59
1579612576,69,69
1579616417,68,68
1579618329,61,61
1579620255,65,65
1579622167,70,70
1579624094,61,61
1579627941,72,72
1579629854,68,68
1579631770,75,75
1579633693,76,76
1579635613,76,76
1579637560,69,69
1579639451,61,61
1579641373,71,71
1579643291,71,71
1579645208,71,71
1579647130,75,75
1579649050,65,65
1579650969,60,60
1579652887,72,72
1579654811,72,72
1579656733,72,72
1579658651,64,64
1579660570,72,72
1579662498,70,70
1579666352,71,71
1579668248,69,69
1579670175,68,68
1579674021,37,37
1579675929,57,57
1579677848,51,51
1579679781,59,59
1579681686,57,57
1579683607,47,47
1579685553,39,39
1579687709,52,52
1579689613,58,58
1579691554,53,53
1579693451,47,47
1579695380,38,38
1579697302,50,50
1579699208,45,45
1579701133,59,59
1579703070,60,60
1579704968,70,70
1579706902,59,59
1579708830,61,61
1579710817,68,68
1579712912,66,66
1579714821,65,65
1579716731,55,55
1579718662,66,66
1579720574,57,57
1579722489,67,67
1579724419,70,70
1579726339,72,72
1579728251,71,71
1579730181,67,67
1579732095,64,64
1579734019,70,70
1579735946,56,56
1579737850,64,64
1579739768,66,66
1579741710,59,59
1579743610,67,67
1579745535,69,69
1579747468,70,70
1579749372,68,68
1579751290,70,70
1579753231,67,67
1579755126,63,63
1579757048,70,70
1579758967,66,66
1579760886,42,42
1579762810,62,62
1579764772,61,61
1579766680,68,68
1579768573,53,53
1579770493,48,48
1579772438,62,62
1579774359,66,66
1579776252,55,55
1579778199,61,61
1579780090,54,54
1579782034,37,37
1579783956,63,63
1579785875,48,48
1579787797,64,64
1579789687,52,52
1579791611,67,67
1579793536,70,70
1579795460,75,75
1579797369,76,76
1579799552,78,78
