DateTime,AddedIPs,RemovedIPs
1574892241,5221,5221
1574903041,5533,5533
1574913841,3522,3522
1574924641,2135,2135
1574935441,2477,2477
1574946241,3394,3394
1574957041,3852,3852
1574967841,4409,4409
1574978641,4722,4722
1574989441,5253,5253
1575000241,3089,3089
1575011041,2037,2037
1575021841,2187,2187
1575032641,3154,3154
1575043441,3806,3806
1575054241,4289,4289
1575065041,4680,4680
1575075841,5286,5286
1575086641,3102,3102
1575097441,2057,2057
1575108241,2134,2134
1575119041,3163,3163
1575129841,3906,3906
1575140641,4436,4436
1575151441,4874,4874
1575162241,5490,5490
1575173041,3594,3594
1575183841,2173,2173
1575194641,2705,2705
1575205441,3642,3642
1575216241,4100,4100
1575227041,4840,4840
1575237841,5236,5236
1575248641,5575,5575
1575259441,3495,3495
1575270241,2230,2230
1575281041,2722,2722
1575291841,3602,3602
1575302641,4255,4255
1575313441,4749,4749
1575324241,5142,5142
1575335041,5528,5528
1575345841,3387,3387
1575356641,2431,2431
1575367441,2941,2941
1575378241,4040,4040
1575389041,4799,4799
1575399841,5348,5348
1575410641,5836,5836
1575421441,6126,6126
1575432241,3901,3901
1575443041,2364,2364
1575453841,3197,3197
1575464641,3953,3953
1575475441,4624,4624
1575486241,5115,5115
1575497041,5484,5484
1575507841,5803,5803
1575518641,3381,3381
1575529441,2091,2091
1575540241,2363,2363
1575551041,3693,3693
1575561841,4505,4505
1575572641,5021,5021
1575583441,5492,5492
1575594241,5874,5874
1575605041,3946,3946
1575615841,2236,2236
1575626641,2961,2961
1575637441,3914,3914
1575648241,4521,4521
1575659041,5020,5020
1575669841,5372,5372
1575680641,5660,5660
1575691441,3572,3572
1575702241,2088,2088
1575713041,2607,2607
1575723841,3472,3472
1575734641,4121,4121
1575745441,4643,4643
1575756241,5105,5105
1575767041,5381,5381
1575777841,3290,3290
1575788641,2010,2010
1575799441,2489,2489
1575810241,3308,3308
1575821041,3968,3968
1575831841,4401,4401
1575842641,4738,4738
1575853441,5227,5227
1575864241,3096,3096
1575875041,1915,1915
1575885841,2319,2319
1575896641,3337,3337
1575907441,3973,3973
1575918241,4460,4460
1575929041,4785,4785
1575939841,5230,5230
1575950641,3013,3013
1575961441,1836,1836
1575972241,1767,1767
