DateTime,Entries,UniqueIPs
1578567981,422,422
1578571581,424,424
1578575179,424,424
1578578779,424,424
1578585980,424,424
1578589580,424,424
1578593187,428,428
1578596785,429,429
1578600385,426,426
1578603978,425,425
1578607577,427,427
1578611174,422,422
1578614772,422,422
1578618376,425,425
1578621977,427,427
1578625578,429,429
1578629183,432,432
1578632783,432,432
1578636379,431,431
1578639981,434,434
1578647183,435,435
1578650783,436,436
1578654385,437,437
1578657974,417,417
1578661579,419,419
1578668779,419,419
1578672385,423,423
1578679583,421,421
1578683182,422,422
1578686790,424,424
1578690389,424,424
1578693986,426,426
1578697588,428,428
1578701189,428,428
1578704786,426,426
1578708389,428,428
1578711990,430,430
1578715596,437,437
1578719194,439,439
1578722796,441,441
1578729999,443,443
1578733598,443,443
1578737198,443,443
1578740798,443,443
1578748008,469,469
1578755208,467,467
1578758810,470,470
1578762411,470,470
1578766009,471,471
1578769611,473,473
1578776809,472,472
1578780411,473,473
1578784009,474,474
1578787611,472,472
1578791211,473,473
1578794813,474,474
1578798413,475,475
1578802014,476,476
1578805618,480,480
1578809225,486,486
1578812827,487,487
1578816430,488,488
1578820028,487,487
1578823626,485,485
1578827223,483,483
1578830822,482,482
1578834426,483,483
1578841624,482,482
1578845226,484,484
1578848827,484,484
1578852426,484,484
1578856026,485,485
1578859625,484,484
1578863221,480,480
1578866816,477,477
1578870421,477,477
1578874017,479,479
1578888420,480,480
1578895616,477,477
1578899214,477,477
1578902812,475,475
1578906414,474,474
1578910009,472,472
1578913604,467,467
1578917181,436,436
1578920764,426,426
1578927965,427,427
1578931563,425,425
1578938763,424,424
1578942364,423,423
1578945962,418,418
1578949562,419,419
1578953163,420,420
1578956763,420,420
1578960364,422,422
1578963963,422,422
1578967562,421,421
1578971161,422,422
1578974766,426,426
1578978365,427,427
1578981963,425,425
1578985561,423,423
1578989162,422,422
1578992764,424,424
1578996364,423,423
1578999965,425,425
1579003565,425,425
1579007167,429,429
1579014368,431,431
1579017967,431,431
1579021569,433,433
1579025168,430,430
