DateTime,AddedIPs,RemovedIPs
1578265373,0,1
1578268972,1,0
1578279774,1,0
1578283377,3,0
1578286979,1,0
1578290583,3,0
1578294187,2,0
1578297787,3,0
1578301388,1,0
1578304990,1,1
1578312213,32,1
1578315827,10,0
1578319428,1,0
1578323030,1,0
1578326627,1,1
1578330226,0,1
1578333830,4,0
1578337427,0,1
1578341027,3,0
1578344627,0,1
1578348230,1,1
1578351832,2,0
1578355427,1,1
1578359027,1,1
1578366228,1,0
1578377029,1,0
1578380630,3,0
1578384231,1,2
1578387832,1,0
1578391436,3,0
1578395035,0,1
1578398633,2,0
1578402233,0,3
1578405832,1,2
1578409434,2,1
1578413035,2,1
1578420240,2,1
1578423834,0,2
1578427436,2,0
1578431037,1,0
1578438242,4,0
1578441837,1,2
1578445438,1,0
1578452636,0,1
1578456236,3,2
1578459835,1,1
1578463435,0,1
1578467031,1,2
1578470630,0,3
1578474225,2,5
1578477818,1,6
1578481415,1,1
1578485018,2,0
1578488620,2,0
1578492225,1,1
1578495820,0,1
1578499422,2,1
1578503019,0,4
1578506620,0,1
1578510219,1,0
1578513815,0,4
1578517413,1,3
1578524614,1,1
1578528216,1,1
1578531815,1,0
1578535417,2,0
1578539017,1,0
1578542622,2,0
1578546224,1,0
1578549823,1,1
1578553427,3,1
1578557030,2,0
1578560631,1,0
1578564234,0,1
1578571434,2,0
1578575034,1,0
1578585837,1,0
1578593039,3,0
1578596639,1,0
1578600245,0,1
1578607441,4,1
1578611038,0,3
1578614639,1,0
1578618243,3,1
1578621842,2,0
1578625443,3,2
1578629044,2,0
1578632645,0,1
1578636246,2,2
1578639843,4,2
1578647046,1,0
1578650646,2,1
1578654252,2,0
1578657838,2,23
1578661440,2,1
1578668642,2,1
1578672251,4,0
1578679446,0,1
1578683047,2,0
1578686650,2,0
1578690256,1,1
1578693852,3,1
1578697454,2,0
1578701054,1,1
1578704652,1,2
1578708258,2,0
1578711855,1,0
1578715460,5,1
1578719058,1,2
1578722659,2,0
1578729861,2,0
1578733461,1,1
1578737060,0,1
1578740661,1,1
1578747869,26,0
1578755070,1,3
1578758673,4,1
1578762278,1,1
1578765871,3,2
1578769472,2,0
1578776672,0,1
1578780278,3,1
1578783872,3,1
1578787473,1,2
1578809074,1,0
1578819875,1,0
1578823474,0,1
1578827072,0,1
1578830672,0,1
1578852276,1,0
1578855872,1,0
1578870276,1,0
1578873875,2,1
1578895473,0,3
1578899071,0,1
1578902669,0,2
1578906271,0,3
1578909864,1,3
1578913458,0,4
1578917035,0,31
1578920619,0,11
1578927818,1,1
1578931419,0,2
1578938617,0,1
1578945816,0,3
1578949418,1,0
1578953018,1,0
1578956618,1,1
1578960221,2,1
1578963819,0,1
1578967416,0,1
1578971017,0,1
1578974618,2,0
1578985418,0,2
1578989015,0,2
1578992616,2,1
1578996219,1,3
1578999819,1,1
1579003418,1,0
1579007020,3,0
1579014224,3,1
1579017822,1,2
1579025019,0,2
1579032221,1,1
1579035818,0,1
1579043014,0,3
1579046613,0,1
1579050217,0,1
1579061012,0,1
1579064612,0,1
1579068213,0,1
1579071812,0,2
1579079010,0,1
1579082609,1,1
1579089811,2,2
1579093408,0,1
1579097007,1,1
1579104207,0,1
1579107808,1,1
1579111411,3,0
1579115012,1,1
1579118614,2,0
1579122218,3,1
1579125820,2,1
1579129416,0,2
1579136616,1,2
1579140217,1,2
1579143817,1,0
1579147415,1,2
1579154613,0,1
1579158212,0,2
1579161811,0,1
1579165409,1,0
1579169009,1,1
1579172610,2,0
1579176212,1,1
1579179810,0,1
1579183406,0,1
1579190605,0,1
1579194207,1,1
1579197808,1,0
1579208605,1,1
1579212204,0,2
1579219402,1,1
1579223005,3,2
1579226605,1,1
1579230204,0,2
1579233802,2,2
1579237399,0,1
1579241001,2,0
1579244599,2,3
1579251801,3,1
1579255399,0,1
1579258998,2,1
1579262599,2,1
1579266197,3,3
1579269797,1,1
1579273392,4,3
1579276990,2,3
1579280591,2,1
1579284191,3,1
1579287790,0,2
1579291385,0,3
1579294987,3,0
1579298587,1,1
1579302187,0,2
1579305786,0,1
1579309385,2,1
1579312986,1,0
1579316584,0,1
1579320182,0,3
1579323778,0,3
1579327374,0,3
1579330972,0,1
1579334570,0,1
1579338173,0,1
1579341770,0,1
1579345368,2,2
1579348969,1,0
1579352559,0,27
1579356161,2,0
1579359760,0,1
1579363358,2,2
1579366959,1,1
1579370560,1,1
1579374163,3,2
1579377764,1,0
1579384964,2,1
1579388566,4,2
1579392167,0,2
1579395767,1,1
1579399367,2,0
1579406570,0,1
1579410170,1,0
1579413767,0,2
1579417369,5,0
1579420977,21,0
1579424579,2,1
1579435380,3,0
1579438977,0,3
1579449780,1,0
1579453379,1,0
1579456979,2,1
1579460578,0,1
1579464181,0,1
1579474977,0,1
1579478577,0,2
1579485777,0,2
1579489377,2,0
1579492978,1,1
1579496577,0,1
1579500181,1,0
1579503778,0,2
1579507377,1,1
1579525378,1,1
1579528979,1,0
1579532579,0,1
1579536180,0,1
1579539781,1,0
1579543382,3,1
1579546982,1,3
1579550583,1,0
1579554185,1,3
1579557783,1,0
1579561384,2,1
1579564984,0,1
1579572189,1,0
1579575794,2,1
1579579384,0,3
1579586584,0,1
1579590189,1,0
1579593787,1,0
1579597387,1,0
1579600986,1,2
1579604587,2,0
1579608189,2,0
1579611787,0,2
1579615386,3,1
1579618986,3,1
1579622587,2,4
1579626186,1,2
1579629787,1,0
1579636986,0,1
1579640587,2,1
1579647789,2,1
1579651388,1,0
1579658588,0,1
1579665788,0,2
1579669388,1,0
1579672988,1,0
1579680193,1,0
1579683792,1,1
1579687390,0,1
1579694590,0,1
1579698193,2,1
1579701794,1,0
1579705391,1,1
1579708992,2,0
1579716194,3,2
1579719793,1,1
1579723391,0,1
1579726993,1,1
1579730589,0,2
1579737790,0,1
1579744987,0,1
1579762990,3,0
1579766592,6,0
1579770194,2,0
1579773793,7,1
1579777398,7,0
1579781000,11,2
1579784603,10,1
1579788205,5,1
1579791807,6,1
1579795411,4,0
1579799016,1,0
1579802611,0,2
1579806213,1,1
1579809810,0,2
1579813413,2,0
1579817013,1,1
1579820612,0,1
1579824211,2,4
1579827813,1,2
1579831410,1,1
1579835013,1,0
1579838611,0,1
1579842213,1,2
1579845820,4,1
1579849417,2,2
1579853020,1,0
1579856620,1,0
1579860221,1,2
1579863821,1,2
1579867421,1,2
1579871020,0,1
1579874622,2,1
1579878225,0,2
1579881824,0,2
1579885418,0,4
1579889019,1,2
1579892621,2,0
1579899820,0,3
1579903420,1,1
1579907020,0,1
1579910623,4,1
1579914228,2,0
1579917828,1,0
1579921426,1,0
1579928627,0,1
1579932228,0,1
1579939427,1,0
1579943027,1,0
1579946628,1,0
1579950236,4,0
1579953835,0,1
1579957434,2,2
1579964638,3,0
1579968239,0,2
1579975439,3,0
1579979036,2,4
1579982637,1,0
1579986239,1,0
1579989838,1,1
1579993437,1,2
1579997039,3,0
1580004240,1,2
1580011442,3,0
1580015041,2,1
1580018641,0,1
1580022241,2,5
1580025831,0,22
1580029427,0,2
1580033025,0,2
1580040225,0,4
1580043826,2,0
1580047424,0,1
1580051026,2,0
1580054626,0,1
1580058226,0,1
1580061825,0,1
1580065427,2,0
1580087030,1,1
1580094230,0,2
1580097828,0,1
1580105026,0,1
1580108627,2,0
1580115828,1,0
1580119427,2,0
1580130228,0,1
1580133825,0,1
1580144623,0,1
1580148222,1,5
1580151821,1,0
1580159022,2,0
1580162625,1,0
1580166226,0,1
1580169823,0,1
1580173427,2,0
1580177024,1,1
1580184226,1,0
1580187825,0,1
1580195025,2,1
1580198627,2,1
1580202230,1,1
1580209428,0,1
1580213029,1,1
1580216628,1,1
1580220230,0,2
1580223827,1,2
1580227424,0,1
1580231024,1,0
1580234623,0,1
1580241834,22,0
1580245429,5,4
1580249032,2,0
1580252630,0,1
1580256236,2,0
1580259835,1,1
1580263435,2,0
1580267034,0,1
1580270634,2,1
1580274237,3,1
1580277836,2,1
1580281433,0,1
1580285033,0,2
1580288632,1,1
1580292235,2,1
1580299434,3,0
1580303033,1,2
1580306644,2,1
1580310236,0,2
1580317435,1,0
1580321033,1,2
1580324636,1,0
1580342637,1,1
1580353434,0,1
1580357035,2,0
1580367844,28,3
1580371443,0,3
1580378644,0,2
1580382241,0,3
1580385840,0,7
1580389435,0,10
1580393036,0,7
1580396631,0,8
1580400225,0,6
1580403826,0,1
1580407426,0,1
1580418222,0,1
1580421827,2,2
1580429024,1,1
1580432622,1,0
1580436221,0,2
1580439821,1,1
1580443423,1,0
1580454218,0,3
1580457820,3,0
1580465016,0,2
1580468615,1,1
1580472213,0,1
1580475811,0,2
1580479410,1,2
1580486610,1,0
1580490210,0,1
1580493811,0,1
1580497409,1,1
1580501008,1,1
1580508206,0,1
1580515403,0,3
1580518997,2,3
1580522599,1,0
1580526197,0,1
1580529800,2,0
1580533398,0,1
1580540599,1,0
1580544198,0,1
1580547802,2,1
1580551399,0,1
1580554996,2,2
