DateTime,AddedIPs,RemovedIPs
1578413414,2,1
1578417022,3,0
1578424214,4,1
1578427832,7,1
1578431427,3,0
1578435167,1,3
1578438750,1,0
1578442231,6,1
1578445841,1,0
1578449588,4,8
1578453046,7,1
1578460234,2,1
1578467434,1,3
1578471037,2,1
1578478351,2,3
1578481837,1,2
1578485437,2,1
1578496227,0,3
1578499828,2,2
1578503439,2,2
1578510759,6,4
1578514227,2,2
1578517827,1,2
1578521574,1,2
1578525042,1,0
1578532228,5,4
1578539437,3,2
1578543039,3,5
1578550373,0,3
1578557424,1,3
1578561021,0,1
1578568229,0,2
1578571820,2,0
1578575421,1,0
1578579029,2,2
1578586224,2,1
1578589829,1,4
1578593431,3,1
1578597037,6,2
1578600868,1,1
1578604211,0,44
1578607803,3,29
1578611385,1,45
1578614999,3,1
1578622189,5,4
1578625789,1,4
1578629384,3,4
1578632990,2,1
1578640179,1,2
1578643784,1,1
1578647382,1,1
1578650981,1,3
1578661777,2,1
1578668987,2,0
1578672826,4,2
1578676183,3,2
1578679787,1,2
1578683397,7,1
1578686991,1,1
1578690848,2,1
1578694194,1,3
1578701393,2,1
1578704993,2,0
1578712201,5,0
1578719396,0,1
1578723006,3,0
1578730233,74,0
1578733848,30,1
1578737443,8,0
1578741040,0,4
1578748239,2,1
1578755438,0,1
1578759041,0,1
1578766246,5,2
1578769842,5,4
1578773454,7,2
1578777059,6,1
1578784256,4,5
1578787857,3,2
1578791457,5,5
1578795053,0,1
1578802243,3,3
1578805843,1,2
1578809449,0,2
1578813048,0,1
1578820245,1,4
1578823842,1,1
1578827434,0,2
1578831043,2,0
1578838235,1,2
1578845444,1,4
1578849035,1,4
1578856247,4,2
1578859843,1,0
1578863440,2,0
1578867051,6,3
1578874251,7,2
1578877859,4,0
1578881455,1,4
1578885055,1,1
1578892248,2,2
1578895829,1,12
1578899411,1,25
1578902997,0,28
1578910179,0,5
1578913780,1,1
1578917389,2,0
1578928186,2,0
1578931783,2,1
1578935390,0,2
1578938980,2,2
1578946179,3,4
1578949778,4,4
1578953379,1,1
1578956994,6,1
1578960812,0,1
1578964182,0,1
1578967778,1,2
1578971382,3,1
1578974987,0,4
1578982320,3,3
1578985774,1,0
1578992975,1,1
1579000302,0,2
1579003782,2,0
1579007386,2,0
1579010976,0,1
1579014744,0,2
1579018318,1,2
1579021772,2,4
1579025375,1,0
1579028984,0,2
1579036314,6,2
1579039778,3,4
1579043382,3,1
1579046982,2,3
1579054326,1,3
1579057782,0,6
1579061379,0,4
1579064973,0,2
1579072296,4,2
1579075773,2,2
1579079373,3,1
1579082971,2,0
1579090310,2,3
1579093780,1,2
1579097372,2,1
1579100973,0,1
1579104737,0,3
1579108298,1,5
1579111764,1,0
1579115374,5,4
1579118971,4,2
1579122744,6,5
1579126291,2,1
1579129768,2,0
1579133373,1,1
1579136965,0,3
1579144303,4,1
1579147776,0,1
1579151373,1,0
1579154966,0,1
