DateTime,Entries,UniqueIPs
1578413414,680,680
1578417022,683,683
1578424214,686,686
1578427832,692,692
1578431427,695,695
1578435167,693,693
1578438750,694,694
1578442231,699,699
1578445841,700,700
1578449588,696,696
1578453046,702,702
1578460234,703,703
1578467434,701,701
1578471037,702,702
1578478351,701,701
1578481837,700,700
1578485437,701,701
1578496227,698,698
1578499828,698,698
1578503439,698,698
1578510759,700,700
1578514227,700,700
1578517827,699,699
1578521574,698,698
1578525042,699,699
1578532228,700,700
1578539437,701,701
1578543039,699,699
1578550373,696,696
1578557424,694,694
1578561021,693,693
1578568229,691,691
1578571820,693,693
1578575421,694,694
1578579029,694,694
1578586224,695,695
1578589829,692,692
1578593431,694,694
1578597037,698,698
1578600868,698,698
1578604211,654,654
1578607803,628,628
1578611385,584,584
1578614999,586,586
1578622189,587,587
1578625789,584,584
1578629384,583,583
1578632990,584,584
1578640179,583,583
1578643784,583,583
1578647382,583,583
1578650981,581,581
1578661777,582,582
1578668987,584,584
1578672826,586,586
1578676183,587,587
1578679787,586,586
1578683397,592,592
1578686991,592,592
1578690848,593,593
1578694194,591,591
1578701393,592,592
1578704993,594,594
1578712201,599,599
1578719396,598,598
1578723006,601,601
1578730233,675,675
1578733848,704,704
1578737443,712,712
1578741040,708,708
1578748239,709,709
1578755438,708,708
1578759041,707,707
1578766246,710,710
1578769842,711,711
1578773454,716,716
1578777059,721,721
1578784256,720,720
1578787857,721,721
1578791457,721,721
1578795053,720,720
1578802243,720,720
1578805843,719,719
1578809449,717,717
1578813048,716,716
1578820245,713,713
1578823842,713,713
1578827434,711,711
1578831043,713,713
1578838235,712,712
1578845444,709,709
1578849035,706,706
1578856247,708,708
1578859843,709,709
1578863440,711,711
1578867051,714,714
1578874251,719,719
1578877859,723,723
1578881455,720,720
1578885055,720,720
1578892248,720,720
1578895829,709,709
1578899411,685,685
1578902997,657,657
1578910179,652,652
1578913780,652,652
1578917389,654,654
1578928186,656,656
1578931783,657,657
1578935390,655,655
1578938980,655,655
1578946179,654,654
