DateTime,Entries,UniqueIPs
1578771073,6166,6166
1578774680,6173,6173
1578776475,6157,6157
1578781871,6142,6142
1578787334,6108,6108
1578789067,6108,6108
1578794471,6099,6099
1578796268,6051,6051
1578799887,6011,6011
1578803470,6001,6001
1578805300,5996,5996
1578807070,6001,6001
1578808880,5996,5996
1578812470,5977,5977
1578814281,5988,5988
1578819664,6007,6007
1578821503,6029,6029
1578825088,6065,6065
1578826919,6074,6074
1578832274,6085,6085
1578835869,6094,6094
1578839530,6083,6083
1578843073,6159,6159
1578846681,6162,6162
1578850272,6163,6163
1578855666,6159,6159
1578857469,6188,6188
1578862894,6189,6189
1578864701,6167,6167
1578868263,6152,6152
1578871888,6122,6122
1578875496,6098,6098
1578879069,6092,6092
1578882679,6081,6081
1578886275,6073,6073
1578889870,6052,6052
1578893474,6032,6032
1578897093,6048,6048
1578900687,6051,6051
1578904274,6048,6048
1578907880,6067,6067
1578909666,6063,6063
1578913282,6088,6088
1578915069,6098,6098
1578920508,6093,6093
1578922265,6106,6106
1578925908,6115,6115
1578929582,6139,6139
1578933102,6121,6121
1578936668,6141,6141
1578942076,6176,6176
1578943878,6191,6191
1578947470,6154,6154
1578952883,6169,6169
1578956479,6157,6157
1578958288,6098,6098
1578961865,6087,6087
1578965471,6091,6091
1578969062,6080,6080
1578972694,6067,6067
1578976282,6043,6043
1578978079,6037,6037
1578981746,6043,6043
1578983465,6048,6048
1578985264,6059,6059
1578988881,6076,6076
1578994279,6087,6087
1578997867,6091,6091
1579001470,6102,6102
1579003339,6101,6101
1579008677,6100,6100
1579012272,6109,6109
1579015869,6124,6124
1579019473,6117,6117
1579024962,6127,6127
1579026681,6162,6162
1579030273,6166,6166
1579033901,6193,6193
1579037467,6183,6183
1579041079,6151,6151
1579044671,6083,6083
1579048275,6107,6107
1579051879,6088,6088
1579055516,6062,6062
1579057270,6057,6057
1579060872,5982,5982
1579064472,6054,6054
1579066271,6051,6051
1579069900,6044,6044
1579073475,6072,6072
1579077075,6087,6087
1579080668,6086,6086
1579086130,6108,6108
1579089685,6118,6118
1579096885,6135,6135
1579102300,6137,6137
1579105877,6141,6141
1579107714,6152,6152
1579113065,6162,6162
1579116692,6186,6186
1579122075,6173,6173
1579123876,6167,6167
1579129265,6119,6119
1579134670,6095,6095
1579138308,6084,6084
1579141882,6057,6057
1579145480,6040,6040
1579147266,6029,6029
1579154487,6043,6043
1579158101,6048,6048
1579159900,6038,6038
1579163465,6056,6056
1579167075,6074,6074
1579172474,6075,6075
1579176067,6078,6078
1579179714,6083,6083
1579183281,6099,6099
1579186863,6100,6100
1579188698,6091,6091
1579192307,6100,6100
1579195902,6116,6116
1579199470,6136,6136
1579203126,6138,6138
1579206675,6132,6132
1579210283,6144,6144
1579213883,6099,6099
1579217482,6053,6053
1579221079,6034,6034
1579224675,6008,6008
1579228270,6005,6005
1579233781,5993,5993
1579235476,5989,5989
1579240888,5984,5984
1579244541,5986,5986
1579246345,6015,6015
