DateTime,Entries,UniqueIPs
1578807923,1044768,1144124
1578810023,1044774,1144134
1578812121,1044785,1144148
1578815124,1044787,1144150
1578816026,1044795,1144160
1578817222,1044799,1144167
1578818424,1044823,1144198
1578819322,1044825,1144200
1578820822,1044843,1144218
1578821722,1044854,1144230
1578823523,1044853,1144229
1578824123,1044860,1144236
1578825322,1044861,1144237
1578826223,1044866,1144243
1578827123,1044867,1144244
1578827725,1044894,1144273
1578828631,1044895,1144274
1578830425,1044912,1144292
1578831327,1044913,1144293
1578832825,1044913,1144294
1578832825,1044917,1144298
1578833723,1044920,1144301
1578835224,1044923,1144304
1578837627,1044931,1144312
1578838823,1044933,1144314
1578839428,1044964,1144356
1578840023,1044986,1144379
1578840327,1044993,1144386
1578843030,1045015,1144410
1578843623,1045024,1144422
1578845125,1045029,1144428
1578846324,1045030,1144429
1578847828,1045036,1144436
1578849023,1045038,1144438
1578849926,1045041,1144442
1578851428,1045047,1144448
1578852322,1045047,1144447
1578852623,1045044,1144443
1578854424,1045043,1144442
1578855028,1045063,1144464
1578855629,1045062,1144463
1578856226,1045063,1144464
1578857424,1045066,1144467
1578858626,1045071,1144472
1578859526,1045074,1144475
1578861026,1045076,1144477
1578861926,1045077,1144479
1578863122,1045078,1144482
1578864627,1045082,1144487
1578865823,1045089,1144498
1578866427,1045088,1144497
1578866726,1045093,1144502
1578867025,1045094,1144503
1578867925,1045092,1144501
1578868223,1045091,1144500
1578868524,1045093,1144502
1578868824,1045092,1144501
1578869129,1045096,1144507
1578869722,1045095,1144506
1578870027,1045101,1144512
1578873022,1045103,1144515
1578874822,1045117,1144531
1578875426,1045119,1144533
1578876326,1045134,1144551
1578877820,1045141,1144560
1578878421,1045143,1144562
1578879025,1045142,1144561
1578879321,1045146,1144566
1578880823,1045161,1144581
1578882023,1045168,1144589
1578882921,1045179,1144600
1578883822,1045182,1144603
1578885021,1045184,1144605
1578886226,1045186,1144607
1578886823,1045188,1144609
1578888321,1045209,1144638
1578889522,1045212,1144641
1578891026,1045219,1144650
1578892222,1045220,1144651
1578893426,1045223,1144654
1578893722,1045262,1144700
1578894326,1045263,1144701
1578894625,1045262,1144700
1578895224,1045263,1144701
1578895521,1045264,1144702
1578897622,1045267,1144706
1578899122,1045272,1144714
1578899421,1045271,1144715
1578900024,1045281,1144727
1578900626,1045282,1144728
1578901223,1045285,1144731
1578902722,1045316,1144775
1578903021,1045317,1144776
1578903923,1045321,1144781
1578904823,1045324,1144785
1578906026,1045334,1144795
1578908123,1045343,1144807
1578909324,1045345,1144809
1578910527,1045369,1144834
1578911427,1045368,1144833
1578912022,1045370,1144839
1578912626,1045369,1144838
1578913525,1045377,1144849
1578914727,1045378,1144850
1578915323,1045382,1144855
1578915624,1045381,1144854
1578916523,1045382,1144855
1578917725,1045383,1144857
1578918923,1045386,1144861
1578920123,1045388,1144863
1578921324,1045391,1144866
1578921928,1045392,1144867
1578923127,1045395,1144873
1578923431,1045426,1144915
1578924324,1045429,1144919
1578925525,1045430,1144920
1578927024,1045429,1144919
1578927324,1045432,1144923
1578927626,1045431,1144922
1578927924,1045430,1144921
1578928825,1045431,1144922
1578929124,1045435,1144926
1578929723,1045443,1144934
1578930624,1045444,1144936
1578932128,1045455,1144947
1578933032,1045455,1144947
1578933323,1045454,1144946
1578933928,1045467,1144960
1578934228,1045466,1144959
1578934829,1045465,1144958
1578935126,1045463,1144956
1578936026,1045464,1144957
1578936925,1045466,1144959
1578937826,1045472,1144966
1578939025,1045473,1144967
1578940224,1045499,1144999
1578941430,1045501,1145002
1578942625,1045503,1145004
1578943825,1045506,1145007
1578945323,1045529,1145031
1578946225,1045532,1145034
1578946824,1045531,1145033
1578947123,1045532,1145034
1578948924,1045540,1145043
1578950724,1045543,1145047
1578952222,1045642,1145162
1578952827,1045645,1145165
1578954022,1045647,1145170
1578954924,1045650,1145176
1578955525,1045652,1145178
1578956723,1045659,1145189
1578957022,1045658,1145188
1578957623,1045657,1145187
1578958822,1045660,1145191
1578959123,1045662,1145193
1578960322,1045674,1145209
1578961523,1045677,1145212
1578962422,1045680,1145215
1578963321,1045692,1145232
1578964220,1045694,1145234
1578965421,1045701,1145242
1578965721,1045702,1145243
1578967523,1045712,1145259
1578968421,1045717,1145264
1578969924,1045736,1145285
1578971724,1045740,1145289
1578973523,1045744,1145294
1578974722,1045756,1145306
1578976227,1045758,1145309
1578976822,1045773,1145327
1578978623,1045774,1145328
1578979223,1045778,1145332
1578979825,1045779,1145333
1578980423,1045810,1145375
1578981023,1045854,1145433
1578981921,1045867,1145449
1578982821,1045868,1145450
1578984922,1045873,1145459
1578986121,1045874,1145460
1578986423,1045873,1145459
1578987622,1045909,1145499
1578987927,1045910,1145500
1578988521,1045908,1145498
1578989123,1045906,1145496
1578989424,1045924,1145519
1578990625,1045936,1145531
1578991824,1045938,1145533
1578992722,1045939,1145535
1578995424,1045943,1145539
1578996025,1045945,1145541
1578998423,1045960,1145559
1579000823,1045967,1145567
1579002624,1045977,1145582
1579002922,1045978,1145584
1579003526,1045979,1145585
1579005323,1045984,1145590
1579006523,1045991,1145598
1579007125,1045992,1145599
1579007425,1045991,1145598
1579008627,1045992,1145599
1579009526,1045996,1145605
1579010726,1045997,1145607
1579011624,1045998,1145608
1579012525,1045999,1145609
1579014925,1045999,1145607
1579017925,1045998,1145606
1579020324,1046108,1145736
1579023929,1046121,1145752
1579025126,1046368,1146125
1579031425,1046367,1146124
1579032326,1046361,1146117
1579039523,1046359,1146115
1579046726,1046358,1146114
1579050322,1046357,1146112
1579053922,1046352,1146102
