DateTime,AddedIPs,RemovedIPs
1546129083,3,869
1546138443,865,3
1546144923,540,519
1546151163,518,486
1546157642,475,494
1546167242,457,453
1546173482,290,303
1546179722,149,158
1546189324,146,147
1546195562,95,90
1546201803,102,98
1546218123,14,889
1546224611,857,11
1546230842,593,573
1546237324,513,498
1546246683,530,529
1546252922,401,407
1546259162,191,193
1546268523,104,117
1546274762,149,153
1546281242,105,111
1546287482,108,100
1546296842,124,125
1546303082,250,872
1546309562,871,250
1546315803,18,19
1546322043,9,10
1546331643,9,9
1546338123,16,16
1546348202,10,11
1546351324,4,4
1546360924,7,10
1546367403,14,11
1546373642,11,14
1546380123,20,17
1546386638,108,108
1546395963,46,49
1546402203,15,13
1546408682,9,10
1546418283,18,15
1546424762,14,14
1546434842,14,14
1546438202,27,29
1546444442,19,21
1546454045,11,12
1546460283,18,15
1546466523,11,9
1546473012,139,139
1546482362,45,40
1546488603,19,17
1546494844,13,13
1546504444,11,10
1546510682,15,11
1546517163,15,14
1546526522,8,8
1546532763,15,17
1546539242,20,18
1546545725,20,21
1546555323,15,16
1546561563,129,136
1546568043,64,58
1546574522,19,20
1546584122,9,12
1546590362,8,8
1546596602,16,16
1546602842,13,11
1546613188,9,10
1546619643,16,15
1546625882,8,8
1546632123,12,14
1546638844,16,16
1546648442,116,117
1546654922,3,4
1546665243,8,6
1546668364,7,6
1546677963,4,3
1546684202,7,8
1546690684,7,7
1546696922,7,8
1546706522,8,9
1546712762,9,9
1546719002,8,5
1546725242,11,11
1546735082,68,70
1546741323,6,5
1546751403,7,7
1546754523,3,3
1546764122,8,6
1546770602,5,5
1546776850,7,8
1546783322,5,6
1546792683,7,5
1546798922,2,2
1546809002,10,9
1546812124,16,14
1546821483,60,66
1546827722,5,6
1546834203,9,8
1546840685,8,10
1546850044,7,7
1546856523,7,8
1546862763,5,6
1546872123,7,9
1546878602,8,8
1546885084,6,3
1546891322,5,6
1546900682,14,13
1546906924,79,75
1546913403,4,4
1546919643,13,11
1546929242,11,9
1546935483,11,11
1546941723,7,7
1546951083,10,10
1546957322,6,5
1546963804,10,7
1546970043,5,5
1546979882,14,15
1546986123,4,6
1546996203,88,93
1546999322,1,1
1547008923,13,12
1547015162,5,3
1547021643,8,8
1547028603,8,10
1547034842,7,7
1547044442,2,5
1547051164,4,6
1547057643,7,6
1547063882,8,7
1547072042,9,7
1547078764,66,68
1547085014,3,4
1547094362,8,6
1547100842,12,10
1547107324,5,6
1547116922,32,35
1547123402,8,6
1547129642,5,5
1547136364,6,7
1547145723,19,20
1547152203,10,9
1547158443,11,10
1547164924,111,111
1547171413,1,1
1547180762,12,11
1547187244,10,9
1547193723,4,3
1547203084,6,7
1547209562,9,11
1547216282,11,11
1547223003,2,2
1547239322,34,29
1547245562,10,8
1547252283,82,89
1547274843,3,3
1547281323,64,59
1547287803,21,17
1547294043,13,11
1547303642,4,4
1547310123,9,9
1547316602,8,8
1547322842,13,13
1547332442,6,8
1547338923,122,132
1547345404,7,6
1547351647,5,4
1547361003,9,6
1547367242,14,16
1547373722,10,8
1547383322,7,7
1547389802,4,5
1547396043,13,11
1547402283,7,6
1547411642,13,13
1547418123,7,5
1547428442,78,86
1547435643,5,6
1547439003,14,14
1547445483,7,7
1547455082,5,5
1547461323,9,7
1547467563,5,4
1547474042,5,5
1547483402,5,4
1547489642,3,3
1547496123,3,4
1547505722,9,9
1547511962,67,70
1547518442,14,12
1547524682,11,9
1547534283,6,6
1547540523,4,8
1547547002,8,7
1547553243,3,3
1547562603,3,4
1547575563,9,8
1547582043,24,26
1547598123,71,71
1547604363,14,12
1547610842,2,2
1547620443,9,8
1547626923,14,12
1547633162,6,6
1547639642,11,12
1547649003,3,3
1547655242,3,3
1547661482,24,20
1547669883,795,791
1547676603,293,295
1547682844,874,883
1547692203,894,874
1547698444,78,78
1547704923,16,18
1547733482,85,82
1547742843,33,29
1547749322,67,60
1547755802,7,6
1547762043,6,7
1547771403,873,906
1547777646,905,873
1547784122,118,118
1547793722,6,6
1547799963,27,26
1547806443,16,16
1547812925,12,12
1547818204,6,5
1547821325,3,3
1547824444,6,6
1547827564,4,3
1547830924,3,4
1547839804,6,6
1547842925,5,5
1547846044,5,5
1547852524,6,5
