DateTime,AddedIPs,RemovedIPs
1579780090,12,14
1579782034,12,11
1579783956,25,12
1579785875,15,11
1579786202,359,0
1579787797,29,24
1579789687,13,15
1579791611,30,19
1579793536,26,10
1579795460,383,22
1579797369,31,18
1579799552,29,19
1579801455,145,14
1579803375,34,14
1579804202,230,0
1579805293,25,17
1579807207,29,13
1579809128,22,26
1579811057,19,18
1579812969,117,13
1579814892,862,823
1579815902,207,0
1579816806,12,31
1579818738,13,20
1579821145,19,19
1579821853,36,76
1579823101,225,0
1579824975,14,36
1579826889,7,9
1579828810,13,9
1579830726,162,3330
1579831689,78,80
1579832653,11,17
1579834573,18,18
1579836491,14,13
1579837501,186,0
1579838413,13,10
1579839365,15,31
1579840346,10,15
1579842498,8,13
1579844411,12,17
1579846332,109,15
1579848249,10,10
1579848301,233,0
1579850175,13,24
1579852094,8,20
1579854036,10,19
1579855956,162,14
1579856402,147,0
1579857852,11,12
1579859769,13,18
1579860002,133,0
1579861715,9,19
1579863635,16,16
1579865557,147,19
1579867722,141,12
1579869611,26,13
1579870801,142,0
1579871561,19,18
1579873449,16,15
1579874402,131,0
1579875398,22,27
1579877296,22,8
1579878002,143,0
1579879207,7,27
1579881150,15,23
1579881602,129,0
1579883048,7,30
1579884993,27,38
1579886891,19,32
1579888811,28,14
1579890745,226,36
1579892912,136,25
1579894814,25,26
1579896985,19,21
1579898903,13,23
1579899601,181,0
1579900813,23,20
1579902730,17,20
1579904709,10,12
1579906108,860,834
1579906611,6,10
1579906802,145,0
1579908504,45,61
1579910426,16,0
1579912353,17,15
1579914254,17,6
1579916186,197,3725
1579918103,18,21
1579920015,71,100
1579921944,110,13
1579922101,141,0
1579923856,24,11
1579925772,5,16
1579927694,13,8
1579929607,185,9
1579931535,11,10
1579933462,20,15
1579935375,23,6
1579936502,180,0
1579937286,8,11
1579939228,17,9
1579941133,15,6
1579943305,12,8
1579943702,180,0
1579945211,9,11
1579947152,11,11
1579949056,14,8
1579950902,213,0
1579952905,14,33
1579954813,7,16
1579956729,15,32
1579958666,125,16
1579960569,19,19
1579962491,163,25
1579964429,831,22
1579966336,21,6
1579968498,215,18
1579970412,25,8
1579972337,19,36
1579973285,760,0
1579974263,95,16
1579974302,135,0
1579978095,113,55
1579980022,22,25
1579981501,115,0
1579981931,27,29
1579983850,23,17
1579985102,90,0
1579985784,31,14
1579987687,22,19
1579989615,14,17
1579991548,10,6
1579992301,201,0
1579993453,15,4
1579995368,15,9
1579997318,57,53
1579999211,13,13
1579999502,233,2797
1580001150,57,58
1580003048,9,10
1580004982,60,14
1580006903,13,27
1580008810,119,12
1580010726,15,9
1580012675,253,35
1580014567,15,12
1580016492,11,14
1580018430,139,11
1580020334,109,18
1580022502,137,15
1580024411,14,8
1580025602,133,0
1580026344,8,15
1580028249,10,11
1580029202,107,0
1580030174,4,14
1580032103,14,6
1580032802,97,0
1580034007,6,12
1580035941,19,13
1580036401,104,0
1580037862,12,0
1580039770,17,15
1580040002,97,0
1580041689,13,8
1580043621,17,14
1580045530,30,12
1580047702,110,18
1580049611,129,8
1580051549,16,15
1580052738,738,1580
1580053451,11,23
1580054401,328,0
1580055374,25,23
1580057294,12,24
1580059222,12,16
1580061130,24,20
1580063059,149,0
1580064982,24,16
1580066887,163,17
1580068815,23,24
1580069701,302,0
1580070744,41,21
1580072654,42,27
1580074567,33,19
1580076507,34,18
1580078409,134,11
1580080330,26,15
1580080502,173,0
1580082007,44,0
1580082260,23,13
1580084174,13,13
1580086089,21,13
1580088019,117,2448
1580088602,91,0
1580089686,77,123
1580089928,23,11
1580091847,23,18
1580092202,100,0
1580093780,14,11
1580095686,13,11
1580095802,115,0
1580097365,6,0
1580097616,12,16
1580099542,13,8
1580101710,17,15
1580103002,230,0
1580103610,14,9
1580105532,12,12
1580107466,25,13
1580109371,11,16
1580110201,259,0
1580111062,687,814
1580111536,20,15
1580113449,14,5
1580117289,4,18
1580117402,351,0
1580118264,890,0
1580119212,24,12
1580121146,32,5
1580123065,26,16
1580124490,798,0
1580124968,185,12
1580126903,38,12
1580128810,36,12
1580129102,344,0
1580130980,25,14
1580132891,9,29
1580135546,778,0
1580136743,357,44
1580138648,6,11
1580140580,15,6
1580142488,16,27
1580144415,200,10
1580145134,794,727
1580146345,32,10
1580147102,265,0
1580148509,27,20
1580150413,32,12
1580152591,31,20
1580154492,14,12
1580156419,175,18
1580158328,23,42
1580158803,286,0
1580160261,29,37
1580162167,30,30
1580162402,111,0
1580164098,22,27
1580166011,26,23
1580166730,138,34
1580167933,25,20
1580170111,135,2725
1580172010,26,12
1580173202,113,0
1580173932,20,20
1580174406,42,0
1580175860,31,9
1580176802,128,0
1580178248,39,80
1580179693,17,35
1580181608,17,11
1580183527,23,15
1580184002,295,0
1580185461,14,9
1580185927,10,18
1580187369,27,12
1580189287,17,15
1580191229,20,12
1580193132,291,14
1580195301,23,23
1580197212,17,10
1580199145,311,24
1580201048,23,15
1580202976,83,0
1580204902,12,4
1580206819,400,20
1580208729,15,30
1580210661,16,20
1580212571,14,33
1580213702,368,0
1580214487,14,35
1580216426,20,32
1580218332,24,20
1580220507,21,6
1580220902,288,0
1580222424,19,0
1580224582,9,28
1580226734,8,8
1580228656,192,15
1580230580,28,13
1580232509,152,20
1580232601,190,0
1580234410,22,32
1580236355,838,3915
1580238512,18,33
1580239802,147,0
1580240413,33,35
1580242332,37,14
1580243401,119,0
1580244266,21,38
1580246174,36,28
1580248094,13,24
1580250028,18,29
1580250601,223,0
1580251928,27,24
1580253850,7,20
1580255530,43,80
1580255779,27,27
1580257686,22,30
1580257802,204,3179
1580259608,30,25
1580261544,32,18
1580263212,89,86
1580263709,20,34
1580265612,117,0
1580267534,12,24
1580269463,200,15
1580271129,25,0
1580271634,29,23
1580273527,125,16
1580275482,106,22
1580277380,21,25
1580279291,18,16
1580281212,137,22
1580283901,309,0
1580286005,11,38
1580287936,18,23
1580289851,17,9
1580293687,162,23
1580295612,355,16
