DateTime,AddedIPs,RemovedIPs
1580079799,2,0
1580081521,41,72
1580082121,1,0
1580083399,2,0
1580085073,65,83
1580085722,1,0
1580086921,3,1
1580088721,44,65
1580089921,1,0
1580090599,2,2
1580091722,1,0
1580092322,2,0
1580092921,4,0
1580094139,90,117
1580095921,72,63
1580096522,1,0
1580097721,65,71
1580098921,1,0
1580100122,11,0
1580101249,891,296
1580101400,56,65
1580102521,1,0
1580103721,1,0
1580104999,58,51
1580106121,1,0
1580106721,59,56
1580107321,2,0
1580110321,51,38
1580110921,1,0
1580112122,53,33
1580112722,2,0
1580114522,3,0
1580116921,2,0
1580117479,53,43
1580119339,0,1
1580120521,2,0
1580121721,9,0
1580122921,65,44
1580124722,46,51
1580125321,1,0
1580126599,0,1
1580127122,1,0
1580127721,1,0
1580128321,42,30
1580128921,2,0
1580130199,1,0
1580131921,57,38
1580133740,5,0
1580135521,56,56
1580136721,1,0
1580137399,3,0
1580139121,2,0
1580140321,1,0
1580140999,61,50
1580142721,1,0
1580142733,56,44
1580145121,1,0
1580146321,73,62
1580146921,1,0
1580147521,3,1
1580148199,6,1
1580149321,2,0
1580149871,66,48
1580151740,2,1
1580152921,2,0
1580153521,78,55
1580155399,4,1
1580157121,59,57
1580157721,3,1
1580158922,69,92
1580160121,2,0
1580160722,93,65
1580161322,6,1
1580161921,3,0
1580162600,65,92
1580163121,3,0
1580163721,1,0
1580164286,99,76
1580164922,1,0
1580166141,0,1
1580167321,2,0
1580167921,62,68
1580168522,1,0
1580169801,0,1
1580170921,1,0
1580171521,60,74
1580172121,1,1
1580173401,2,0
1580174521,2,0
1580175088,45,66
1580178121,2,0
1580178721,36,50
1580180521,1,0
1580181721,3,0
1580182321,1,0
1580182921,8,0
1580184141,59,73
1580185322,6,0
1580185885,64,71
1580185921,1,0
1580186521,1,0
1580187740,2,1
1580188364,885,285
1580188921,1,0
1580189521,57,48
1580190121,3,0
1580191401,1,1
1580192521,2,0
1580193095,51,47
1580193721,2,0
1580194940,5,1
1580195521,1,0
1580196722,1,0
1580197321,51,40
1580198601,2,1
1580199721,1,0
1580200296,65,43
1580200921,1,1
1580202140,0,1
1580203321,3,0
1580203886,51,36
1580203921,1,0
1580205721,2,0
1580206322,2,0
1580206921,4,0
1580207521,54,43
1580208721,5,2
1580209401,2,0
1580209921,1,0
1580210521,4,0
1580211099,48,34
1580211122,1,0
1580212921,2,0
1580213521,2,0
1580214121,2,0
1580214721,1,20
1580214742,46,35
1580216540,54,51
1580217722,1,0
1580218922,6,0
1580219522,2,0
1580220200,53,44
1580220721,1,0
1580223801,4,2
1580224321,1,0
1580225522,67,47
1580226121,4,0
1580227322,1,0
1580228521,1,0
1580229122,47,49
1580229721,2,0
1580230921,1,0
1580231521,0,1
1580232663,51,49
1580233322,2,0
1580233921,6,0
1580235121,4,0
1580236265,68,55
1580236381,1,0
1580238202,1,1
1580239981,63,44
1580240521,2,0
1580241741,2,1
1580242921,4,0
1580243521,69,53
1580244121,5,0
1580245321,0,2
1580245761,0,3
1580249521,2,0
1580250121,0,7
1580250802,2,0
1580251321,1,0
1580252601,85,139
1580253721,2,0
1580254264,73,84
1580257321,1,0
1580259721,96,110
1580259742,2,0
1580262121,3,0
1580263401,1,0
1580263921,2,1
1580265721,1,0
1580266941,46,58
1580267521,2,0
1580268121,1,0
1580270522,74,73
1580270541,0,2
1580271122,3,0
1580272321,65,68
1580272382,1,0
1580273521,1,0
1580274201,0,1
1580275477,835,252
1580275981,2,0
1580277721,52,65
1580278921,1,0
1580281401,58,49
1580281921,2,0
1580282522,4,0
1580283063,39,40
1580283722,1,0
1580285001,1,1
1580285521,3,0
1580286121,1,0
1580286666,56,41
1580288601,0,1
1580289721,6,0
1580290270,52,33
1580293922,39,40
1580295121,1,0
1580295741,1,0
1580297483,42,39
1580297581,5,0
1580298121,2,0
1580298721,2,0
1580299401,2,0
1580300521,4,0
1580301080,63,31
1580302321,1,0
1580302921,4,0
1580304122,1,0
1580304721,51,57
1580306601,2,0
1580307721,2,0
1580308321,3,0
1580309521,3,0
1580310145,44,40
1580310721,1,0
1580311321,2,0
1580313121,1,0
1580313802,60,36
1580314921,1,0
1580315522,45,44
1580316121,1,0
1580317342,1,0
1580318522,1,0
1580319721,2,0
1580321002,121,82
1580321521,1,0
1580322121,9,0
1580323322,6,0
1580323921,1,0
1580324522,2,0
1580324602,0,2
1580326321,61,62
1580326921,2,0
1580328142,1,0
1580328721,2,0
1580329900,77,70
1580331802,4,1
1580332922,3,0
1580333522,84,78
1580334121,8,0
1580335402,16,0
1580336521,3,0
1580337121,4,0
1580337721,12,0
1580339002,52,91
1580339521,12,0
1580340121,5,0
1580340721,48,65
1580341321,2,0
1580342722,3,1
1580343721,13,0
1580344921,8,0
1580346121,9,0
1580346721,3,0
1580348302,0,1
1580348521,1,0
1580348522,5,0
1580349802,3,0
1580350321,1,0
1580350921,8,0
1580352121,5,0
1580353342,95,131
1580354521,1,0
1580355121,85,114
1580355721,4,0
1580357002,11,2
1580358121,4,0
1580358721,84,68
1580359321,2,0
1580360542,19,0
1580361721,4,1
1580362606,830,270
1580362922,2,0
1580363521,2,0
1580364143,98,84
1580364721,1,0
1580365321,4,2
1580366521,2,0
1580367803,5,0
1580368921,4,0
1580369479,37,46
1580370121,8,0
1580371409,2,0
1580372521,1,0
1580373121,67,39
1580374321,2,0
1580375002,8,1
1580375521,4,0
1580376700,56,30
1580377322,1,0
1580378521,3,0
1580379721,3,0
1580380921,2,0
1580382121,66,41
1580382721,4,0
1580383922,35,30
1580385121,3,0
1580385804,49,42
1580386321,2,0
1580386921,1,0
1580387581,2,0
1580388121,1,0
1580388722,2,0
1580389342,1,0
1580390521,3,0
1580391121,47,39
1580391181,11,0
1580392321,1,0
1580394122,2,0
1580394721,47,47
1580395921,1,0
1580396522,5,0
1580397721,2,0
1580398322,54,47
1580398921,1,0
1580400203,3,7
1580401321,1,0
1580401921,47,40
1580402522,1,0
1580404321,4,2
1580406121,6,0
1580406721,0,1
1580407403,69,44
1580407921,3,0
1580408521,1,0
1580409121,72,57
1580409722,4,0
1580411003,1,0
1580411521,1,0
1580412121,1,0
1580412722,84,56
1580413321,5,0
1580414604,5,2
1580415121,2,0
1580415722,1,0
1580416271,76,57
1580417522,4,0
1580419321,4,0
1580419921,60,71
1580419982,1,0
1580420521,4,0
1580422321,6,19
1580422922,3,0
1580423522,58,98
1580424721,4,0
1580425404,44,83
1580426521,3,0
1580427122,2,0
1580427722,2,0
1580428943,4,0
1580430121,2,0
1580430721,84,40
1580431321,2,0
1580431921,1,0
1580432544,100,141
1580433122,4,0
1580433721,6,1
1580434922,4,0
1580436203,77,54
1580436721,3,0
1580437321,2,0
1580437880,36,64
1580437981,2,0
1580439722,4,0
1580439804,0,1
1580440921,5,0
1580441521,76,71
1580442121,1,0
1580444521,9,0
1580445100,56,80
1580445721,2,0
1580447004,4,0
1580448121,3,0
1580448671,66,57
1580449321,8,0
1580449728,1037,295
1580450521,4,0
1580450545,0,1
1580451722,2,0
1580452921,4,0
1580454203,58,52
1580455321,2,0
1580455878,46,31
1580456521,1,0
1580457744,5,1
1580459464,60,47
1580460121,4,0
1580460721,1,0
1580461272,57,39
1580463122,1,0
1580463721,1,0
1580465004,2,1
1580465521,11,0
1580466122,1,0
1580466721,1,0
1580467921,5,0
1580468605,60,48
1580469122,3,0
1580470322,61,35
1580472265,2,1
1580472721,1,0
1580475722,52,36
1580476321,0,2
1580478121,1,0
1580479321,45,51
1580479344,0,1
1580479921,2,0
1580481082,52,44
1580481721,1,0
1580482321,4,0
1580483004,1,0
1580483521,3,0
1580484122,1,0
1580484721,51,39
1580485921,1,0
1580486522,1,0
1580487721,2,0
1580488321,49,55
1580488922,3,0
1580490145,1,0
1580491321,4,0
1580491981,53,49
1580493745,52,48
1580496121,3,0
1580496721,4,0
1580497322,1,0
1580497922,1,0
1580498522,1,0
1580499181,63,47
1580499721,2,0
1580502121,1,0
1580503322,3,0
1580504545,53,61
1580506921,3,0
1580507521,3,2
1580508144,67,48
1580508722,1,0
1580509321,1,0
1580509922,60,79
1580509982,2,0
1580511121,2,0
1580511721,2,0
1580512921,2,0
1580513521,46,97
1580515464,1,2
1580516522,2,0
1580517121,6,0
1580517721,3,0
1580518921,3,0
1580520121,2,1
1580520665,137,121
1580521322,1,0
1580523746,4,3
1580524276,53,46
1580524921,5,0
1580526205,1,0
1580527887,59,85
1580529744,5,1
1580530321,0,1
1580532121,1,0
1580533322,72,75
1580533921,4,0
1580534521,1,0
1580536856,861,310
1580537521,60,58
1580538122,2,0
1580538663,55,42
1580539321,2,0
1580540521,1,0
1580540605,0,1
1580541722,8,0
1580542272,43,34
1580543522,1,0
1580545902,56,33
1580545981,3,0
1580546521,1,1
1580547121,1,0
1580547805,2,0
1580548921,4,0
1580549475,80,56
1580551405,3,1
1580553066,42,39
1580553182,3,0
1580553721,3,0
1580554321,4,0
1580555005,2,1
1580555522,2,0
