DateTime,AddedIPs,RemovedIPs
1579259911,2,0
1579269841,1875,1842
1579271000,2,4
1579273494,1,0
1579280697,2636,2607
1579282061,1,3
1579284299,777,848
1579289164,27,27
1579291496,3291,3262
1579292944,5,5
1579295097,0,26
1579298697,3,0
1579299363,48,49
1579302297,3826,3794
1579303928,5,2
1579311123,166,774
1579313096,4582,4759
1579314634,6,1
1579323841,1918,1905
1579325428,1,2
1579326722,746,73
1579327500,1,0
1579333815,495,494
1579334914,1675,1677
1579336437,5,0
1579338321,1,13
1579341900,7,0
1579345501,1580,1505
1579347288,35,40
1579352883,340,353
1579356301,2300,2289
1579356724,109,108
1579358390,4,0
1579359902,2,0
1579363502,1,0
1579364404,66,75
1579367104,3075,3033
1579369456,3,3
1579372082,75,65
1579375922,186,202
1579377841,3652,3636
1579380687,1,2
1579381503,1,2
1579387922,674,637
1579388706,4080,4065
1579391701,4,2
1579395632,856,843
1579399441,4835,5032
1579399506,1,0
1579401729,3,2
1579403105,3,0
1579406708,4,0
1579407362,575,589
1579410306,1925,1911
1579412791,1,2
1579413911,2,0
1579415042,589,570
1579418883,687,740
1579421041,1912,1876
1579422973,1,2
1579424731,1,1
1579426563,327,300
1579428309,66,0
1579430402,416,478
1579431841,1655,1613
1579433656,40,156
1579434242,477,417
1579438082,417,477
1579441922,309,338
1579442641,2506,2434
1579442769,1,1
1579445763,52,47
1579446308,1,0
1579453682,3336,3327
1579457523,34,36
1579460712,1,0
1579461602,36,34
1579464241,3862,3834
1579464614,3,3
1579465442,97,106
1579471515,0,8
1579475116,4318,4290
1579475700,3,1
1579480802,612,562
1579485914,4936,5186
1579486172,2,0
1579489516,2,0
1579492322,808,763
1579496163,222,195
1579496641,1845,1840
1579497040,3,4
1579500021,192,221
1579504082,531,497
1579507922,2060,1990
1579508084,1,0
1579514721,16,0
1579515602,259,263
1579518241,1706,1607
1579518323,29,123
1579519129,3,2
1579519443,445,480
1579523282,239,205
1579529041,2491,2436
1579529121,3,0
1579530232,5,3
1579530962,366,427
1579532679,2,1
1579532724,2,0
1579536323,4,0
1579538882,58,44
1579540118,3249,3231
1579541184,3,1
1579542723,127,159
1579543521,1,0
1579546562,5,1
1579547118,1,0
1579550641,3770,3838
1579550725,1,0
1579552015,2,2
1579554482,709,657
1579554729,1,0
1579555810,0,12
1579558322,4,4
1579561524,4268,4262
1579562162,4,4
1579562829,2,4
1579566002,8,11
1579572324,1,0
