DateTime,Entries,UniqueIPs
1579259911,18021,40979
1579269841,18130,41012
1579271000,18128,41010
1579273494,18129,41011
1579280697,18196,41040
1579282061,18194,41038
1579284299,18126,40967
1579289164,18126,40967
1579291496,18160,40996
1579292944,18160,40996
1579295097,18134,40970
1579298697,18137,40973
1579299363,18136,40972
1579302297,18186,41004
1579303928,18189,41007
1579311123,17584,40399
1579313096,17176,40222
1579314634,17181,40227
1579323841,17186,40240
1579325428,17185,40239
1579326722,17851,40912
1579327500,17852,40913
1579333815,17860,40914
1579334914,17873,40912
1579336437,17878,40917
1579338321,17866,40905
1579341900,17873,40912
1579345501,18016,40987
1579347288,18011,40982
1579352883,17998,40969
1579356301,18103,40980
1579356724,18104,40981
1579358390,18108,40985
1579359902,18110,40987
1579363502,18111,40988
1579364404,18102,40979
1579367104,18167,41021
1579369456,18168,41021
1579372082,18178,41031
1579375922,18162,41015
1579377841,18227,41031
1579380687,18226,41030
1579381503,18227,41029
1579387922,18265,41066
1579388706,18312,41081
1579391701,18314,41083
1579395632,18327,41096
1579399441,17856,40899
1579399506,17857,40900
1579401729,17858,40901
1579403105,17861,40904
1579406708,17865,40908
1579407362,17851,40894
1579410306,17861,40908
1579412791,17860,40907
1579413911,17862,40909
1579415042,17881,40928
1579418883,17828,40875
1579421041,17893,40911
1579422973,17892,40910
1579424731,17892,40910
1579426563,17919,40937
1579428309,17979,41003
1579430402,17917,40941
1579431841,18071,40983
1579433656,18013,40867
1579434242,18073,40927
1579438082,18013,40867
1579441922,17982,40838
1579442641,18113,40910
1579442769,18113,40910
1579445763,18118,40915
1579446308,18119,40916
1579453682,18157,40925
1579457523,18155,40923
1579460712,18156,40924
1579461602,18158,40926
1579464241,18195,40954
1579464614,18195,40954
1579465442,18185,40945
1579471515,18177,40937
1579475116,18228,40965
1579475700,18230,40967
1579480802,18280,41017
1579485914,17784,40767
1579486172,17786,40769
1579489516,17788,40771
1579492322,17834,40816
1579496163,17860,40843
1579496641,17850,40848
1579497040,17849,40847
