DateTime,AddedIPs,RemovedIPs
1579991521,1,0
1579992121,4,0
1579993321,1,0
1579995721,2,1
1579996321,2,0
1579997521,2,0
1579998122,1,0
1579998721,1,0
1579999321,1,0
1580000521,1,0
1580001721,2,0
1580002321,1,0
1580002921,4,0
1580004121,4,1
1580005321,1,0
1580006521,3,0
1580007122,6,0
1580007721,3,0
1580010121,2,0
1580011321,7,0
1580013721,6,0
1580014133,994,280
1580014921,3,0
1580015521,2,0
1580016121,2,0
1580017322,4,0
1580019722,1,0
1580020921,0,1
1580022121,1,0
1580022721,1,0
1580023322,2,0
1580023921,2,0
1580024521,1,0
1580025721,2,0
1580026921,2,0
1580027521,2,0
1580028121,3,0
1580029321,2,0
1580030521,3,0
1580031121,2,1
1580031721,6,0
1580032921,1,0
1580035921,1,0
1580036521,1,0
1580037122,3,0
1580037721,2,0
1580038322,4,0
1580038922,2,0
1580040121,4,0
1580041321,1,0
1580043721,2,0
1580044321,2,0
1580044921,1,0
1580046121,4,0
1580047321,1,0
1580048521,1,0
1580049721,3,0
1580050321,1,0
1580051521,4,0
1580052121,3,0
1580052721,3,0
1580053322,3,0
1580055721,1,0
1580056921,1,0
1580058121,2,0
1580058721,1,0
1580060521,3,0
1580061122,2,0
1580061721,1,0
1580062921,2,0
1580063522,1,0
1580064121,2,0
1580065321,3,0
1580067721,1,0
1580068921,4,0
1580071321,3,0
1580072521,1,0
1580073121,2,0
1580073721,4,0
1580074321,4,0
1580074921,1,0
1580075521,1,0
1580076121,2,0
1580077322,1,0
1580077921,1,0
1580079122,8,0
1580079721,2,0
1580081521,2,0
1580082121,1,0
1580083322,2,0
1580085722,1,0
1580086921,3,1
1580088721,3,0
1580089921,1,0
1580090521,2,0
1580091722,1,0
1580092322,2,0
1580092921,4,0
1580094122,2,0
1580095921,1,0
1580096522,1,0
1580097721,2,0
1580098921,1,0
1580100122,11,0
1580101249,891,296
1580101321,4,0
1580102521,1,0
1580103721,1,0
1580104921,4,0
1580106121,1,0
1580107321,2,0
1580110921,1,0
1580112722,2,0
1580114522,3,0
1580116921,2,0
1580119321,0,1
1580120521,2,0
1580121721,9,0
1580122921,6,0
1580124722,1,0
1580125321,1,0
1580127122,1,0
1580127721,1,0
1580128321,1,0
1580128921,2,0
1580130121,1,0
1580133721,5,0
1580135521,2,0
1580136721,1,0
1580137321,3,0
1580139121,2,0
1580140321,1,0
1580142721,1,0
1580145121,1,0
1580146921,1,0
1580147521,3,1
1580148121,6,0
1580149321,2,0
1580151721,2,0
1580152921,2,0
1580153521,2,0
1580155321,4,0
1580157721,3,1
1580158922,4,0
1580160121,2,0
1580160722,1,0
1580161322,6,1
1580161921,3,0
1580163121,3,0
1580163721,1,0
1580164922,1,0
1580167321,2,0
1580167921,7,0
1580168522,1,0
1580170921,1,0
1580171521,7,0
1580172121,1,1
1580173321,2,0
1580174521,2,0
1580176921,1,0
1580178121,1,0
1580180521,1,0
1580181721,3,0
1580182321,1,0
1580182921,8,0
1580184121,6,0
1580185322,6,0
1580185921,1,0
1580186521,1,0
1580187721,2,0
1580188364,885,285
1580188921,1,0
1580189521,2,0
1580190121,3,0
1580191321,1,0
1580192521,2,0
1580193721,2,0
1580194922,5,1
1580195521,1,0
1580196722,1,0
1580197321,6,0
1580198521,2,0
1580199721,1,0
1580200921,1,1
1580203321,3,0
1580203921,1,0
1580205721,2,0
1580206322,2,0
1580206921,4,0
1580207521,3,0
1580208721,5,2
1580209321,2,0
1580209921,1,0
1580210521,4,0
1580211122,1,0
1580212921,2,0
1580213521,2,0
1580214121,2,0
1580214721,1,20
1580217722,1,0
1580218922,6,0
1580219522,2,0
1580220121,1,0
1580220721,1,0
1580223721,4,1
1580224321,1,0
1580225522,3,0
1580226121,4,0
1580227322,1,0
1580228521,1,0
1580229721,2,0
1580230921,1,0
1580233322,2,0
1580233921,6,0
1580235121,4,0
1580236381,1,0
1580238121,1,0
1580240521,2,0
1580241721,2,0
1580242921,4,0
1580243521,1,0
1580244121,5,0
1580245321,0,2
1580249521,2,0
1580251321,1,0
1580253721,2,0
1580257321,1,0
1580259721,6,0
1580262121,3,0
1580262721,1,0
1580263321,0,1
1580263921,2,0
1580265721,1,0
1580267521,2,0
1580268121,1,0
1580270522,8,0
1580271122,3,0
1580272382,1,0
1580273521,1,0
1580275477,835,252
1580275981,2,0
1580277721,3,1
1580278921,1,0
1580281921,2,0
1580282522,4,0
1580283722,1,0
1580284921,1,1
1580285521,3,0
1580286121,1,0
1580289721,6,0
1580293922,1,0
1580295121,1,0
1580295721,1,0
1580297581,5,0
1580298121,2,0
1580298721,2,0
1580299321,2,0
1580300521,4,0
1580302321,1,0
1580302921,4,0
1580304122,1,0
1580304721,0,1
1580306521,2,0
1580307721,2,0
1580308321,3,0
1580309521,3,0
1580310721,1,0
1580311321,2,0
1580313121,1,0
1580313721,5,0
1580314921,1,0
1580315522,1,0
1580316121,1,0
1580317321,1,0
1580318522,1,0
1580319721,2,0
1580321521,1,0
1580322121,9,0
1580323322,6,0
1580323921,1,0
1580324522,2,0
1580326921,2,0
1580327521,1,0
