DateTime,AddedIPs,RemovedIPs
1579587373,14,26
1579589290,27,22
1579591239,24,19
1579593126,25,18
1579595048,14,21
1579596966,20,22
1579599156,13,18
1579601055,16,16
1579602969,17,18
1579604897,14,691
1579606809,23,20
1579608734,371,0
1579610655,19,22
1579612575,27,13
1579614494,22,15
1579616416,19,13
1579618328,16,15
1579620254,12,18
1579622166,16,18
1579624093,9,11
1579626019,25,11
1579627940,16,8
1579629852,11,10
1579631769,11,14
1579633692,17,15
1579635611,21,24
1579637558,15,11
1579639450,17,11
1579641371,21,24
1579643289,21,16
1579645206,11,21
1579647128,13,21
1579649049,21,16
1579650969,26,15
1579652886,319,0
1579654811,21,15
1579656733,20,9
1579658651,24,12
1579660569,23,15
1579662498,21,18
1579664410,17,14
1579666352,14,13
1579668247,15,6
1579670174,22,9
1579672107,13,11
1579674021,23,11
1579675928,15,14
1579677847,24,15
1579679780,19,16
1579681684,15,5
1579683606,15,20
1579685551,17,15
1579687708,9,20
1579689612,19,24
1579691553,22,777
1579693450,20,17
1579695378,436,0
1579697300,21,14
1579699206,13,10
1579701131,27,15
1579703068,17,11
1579704966,19,16
1579706901,15,10
1579708828,18,17
1579710815,13,23
1579712910,13,23
1579714819,17,24
1579716729,11,14
1579718659,15,26
1579720572,24,26
1579722487,18,26
1579724417,19,26
1579726336,21,21
1579728248,16,14
1579730178,21,21
1579732092,20,23
1579734017,31,21
1579735946,20,12
1579737850,383,0
1579739768,18,11
1579741710,14,9
1579743610,21,13
1579745535,14,10
1579747468,11,8
1579749372,13,13
1579751289,14,11
1579753231,20,15
1579755125,13,30
1579757048,18,13
1579758967,14,22
1579760885,13,14
1579762810,24,27
1579764771,16,24
1579766679,15,23
1579768572,21,19
1579770492,13,20
1579772437,13,16
1579774358,8,14
1579776251,16,25
1579778198,16,808
1579780089,20,15
1579782033,440,0
1579783955,24,16
1579785874,12,15
1579787795,22,20
1579789686,19,19
1579791610,14,18
1579793535,27,14
1579795459,17,16
1579797367,17,20
1579799551,17,17
1579801453,13,13
1579803373,17,22
1579805291,17,14
1579807205,16,25
1579809126,16,26
1579811055,9,16
1579812967,22,25
1579814888,15,15
1579816805,22,12
1579818736,14,14
1579821143,22,29
1579823049,18,14
1579824975,380,0
1579826889,13,16
1579828809,18,14
1579830726,10,17
1579832652,14,16
1579834572,24,16
1579836491,10,17
1579838412,12,14
1579840345,15,15
1579842498,21,19
1579844410,19,13
1579846331,19,15
1579848250,16,13
1579850173,22,28
1579852093,9,22
1579854035,21,15
1579855954,15,22
1579857850,13,12
1579859768,14,14
1579861714,8,10
1579863634,19,876
1579865556,30,13
1579867721,422,0
1579869610,11,25
1579871559,27,10
1579873448,27,18
1579875396,18,21
1579877294,15,18
1579879206,14,13
1579881149,12,16
1579883047,18,17
1579884991,14,19
1579886889,9,20
1579888809,8,12
1579890743,15,18
1579892910,13,24
1579894812,13,28
1579896983,20,15
1579898900,12,28
1579900811,11,23
1579902727,11,15
1579904707,9,13
1579906608,9,17
1579908502,3,9
1579910426,370,0
1579912353,6,14
1579914254,11,16
1579916186,11,20
1579918102,10,13
1579920015,8,21
1579921943,12,9
1579923856,16,16
1579925772,16,16
1579927694,17,15
1579929608,11,21
1579931534,12,10
1579933461,15,14
1579935374,18,20
1579937285,12,24
1579939227,16,22
1579941132,7,19
1579943304,17,25
1579945210,11,13
1579947150,12,15
1579949055,14,11
1579950983,12,815
1579952903,20,18
1579954812,406,0
1579956728,10,14
1579958665,15,9
1579960568,24,17
1579962490,14,16
1579964422,19,22
1579966335,9,14
1579968496,16,9
1579970411,13,23
1579972336,4,16
1579974261,15,18
1579976172,20,23
1579978093,7,21
1579980020,18,16
1579981929,13,13
1579983847,14,19
1579985782,16,19
1579987684,6,12
1579989613,13,18
1579991545,17,7
1579993451,11,20
1579995369,8,15
1579997318,325,0
1579999211,8,12
1580001149,6,9
1580003048,11,11
1580004981,33,18
1580006903,8,15
1580008810,12,11
1580010726,8,11
1580012674,14,7
1580014566,11,22
1580016492,6,17
1580018430,11,25
1580020333,7,18
1580022502,13,16
1580024410,6,11
1580026343,7,18
1580028248,10,14
1580030173,10,15
1580032102,12,13
1580034006,3,11
1580035940,6,15
1580037861,8,624
1580039769,16,24
1580041688,302,0
1580043620,22,13
1580045528,4,5
1580047701,11,16
1580049610,14,8
1580051547,11,9
1580053450,11,8
1580055372,7,13
1580057292,9,21
1580059220,14,12
1580061129,3,14
1580063057,16,8
1580064980,7,15
1580066885,8,13
1580068813,10,17
1580070742,5,7
1580072652,9,16
1580074565,9,13
1580076505,10,9
1580078407,6,10
1580080328,9,15
1580082261,10,15
1580084174,258,0
1580086090,11,9
1580088019,17,9
1580089928,11,12
1580091848,2,5
1580093780,5,9
1580095686,7,10
1580097616,12,12
1580099542,10,11
1580101710,12,20
1580103610,9,14
1580105531,7,8
1580107466,11,9
1580109370,11,14
1580111536,8,17
1580113449,10,9
1580115381,13,16
1580117289,11,12
1580119212,11,10
1580121146,12,9
1580123065,12,571
1580124968,24,15
1580126902,256,0
1580128809,26,12
1580130979,18,13
1580132890,13,15
1580134821,19,14
1580136742,18,7
1580138648,9,10
1580140579,13,10
1580142487,13,7
1580144414,19,10
1580146344,13,10
1580148508,24,13
1580150411,17,9
1580152589,15,12
1580154491,18,10
1580156418,15,4
1580158327,16,14
1580160260,12,8
1580162167,17,11
1580164096,11,6
1580166009,11,8
1580167933,9,9
1580170111,198,0
1580172010,16,12
1580173932,15,7
1580175860,7,10
1580177771,11,14
1580179693,10,5
1580181608,20,9
1580183527,9,7
1580185461,23,6
1580187368,32,9
1580189287,8,7
1580191228,20,10
1580193132,11,7
1580195300,14,10
1580197212,13,9
1580199144,9,7
1580201047,6,7
1580202975,11,12
1580204901,8,9
1580206818,12,5
1580208728,8,6
1580210660,21,503
1580212570,38,27
1580214485,279,0
1580216425,21,16
1580218331,9,10
1580220506,14,5
1580222423,17,5
1580224581,14,7
1580226733,15,2
1580228654,14,12
1580230578,9,16
1580232507,12,8
1580234408,19,8
1580236348,13,8
1580238511,15,12
1580240412,15,10
1580242330,9,4
1580244264,7,27
1580246172,20,20
1580248092,15,8
1580250026,11,19
1580251926,11,8
1580253848,14,17
1580255780,21,23
1580257686,234,0
1580259608,21,15
1580261544,13,9
1580263709,25,4
1580265612,13,3
1580267534,6,5
1580269463,14,1
1580271634,15,12
1580273527,12,12
1580275481,6,8
1580277380,18,7
1580279291,8,7
1580281212,14,8
1580283241,8,10
1580285068,9,4
1580286969,14,14
1580288911,12,20
1580290810,14,9
1580292733,15,14
1580294660,10,12
1580296570,13,704
1580298490,19,28
1580300418,358,0
1580302326,14,17
1580304259,7,8
1580306165,14,13
1580308332,9,6
1580310509,11,13
1580312409,18,19
1580314346,14,13
1580316250,19,29
1580318173,12,16
1580320100,14,26
1580322005,11,15
1580323926,13,14
1580325869,7,14
1580327768,17,16
1580329683,12,9
1580331616,21,16
1580333532,12,11
1580335698,14,10
1580337608,10,15
1580339542,6,15
1580341447,11,23
1580343616,318,0
1580345525,10,17
1580347459,9,8
1580349365,13,11
1580351287,9,5
1580353227,10,12
1580355131,7,14
1580357058,8,14
1580358978,10,31
1580361145,15,16
1580363051,6,19
1580364974,9,15
1580366905,10,11
1580368827,9,16
1580370738,9,15
1580372663,15,7
1580374568,15,17
