DateTime,Entries,UniqueIPs
1573208176,60441,60441
1573222808,60459,60459
1573237453,60469,60469
1573252334,60478,60478
1573266970,60491,60491
1573281609,60494,60494
1573296255,60505,60505
1573310889,60512,60512
1573325536,60520,60520
1573340437,60542,60542
1573355052,60553,60553
1573369701,60571,60571
1573384352,60574,60574
1573398977,60579,60579
1573413627,60592,60592
1573428261,60599,60599
1573442909,60605,60605
1573457546,60607,60607
1573472415,60623,60623
1573487050,60638,60638
1573501687,60652,60652
1573516345,60673,60673
1573530970,60684,60684
1573545631,60698,60698
1573560495,60714,60714
1573575128,60728,60728
1573589790,60736,60736
1573604406,60743,60743
1573619062,60759,60759
1573633707,60766,60766
1573648329,60778,60778
1573662969,60786,60786
1573677606,60791,60791
1573692270,60799,60799
1573706905,60807,60807
1573721540,60809,60809
1573736169,60817,60817
1573750821,60821,60821
1573765463,60827,60827
1573780102,60838,60838
1573794739,60844,60844
1573809378,60854,60854
1573824019,60859,60859
1573838650,60865,60865
1573853300,60869,60869
1573867932,60875,60875
1573882581,60888,60888
1573897452,60895,60895
1573912355,60907,60907
1573926980,60911,60911
1573941616,60919,60919
1573956748,60927,60927
1573971372,60932,60932
1573986011,60937,60937
1574000891,60946,60946
1574015548,60948,60948
1574030169,60949,60949
1574044809,60949,60949
1574059449,60947,60947
1574074097,60945,60945
1574088971,60948,60948
1574103622,60955,60955
1574118251,60959,60959
1574132894,60966,60966
1574147540,60970,60970
1574162180,60976,60976
1574177068,60983,60983
1574191711,60989,60989
1574206334,60996,60996
1574220978,61002,61002
1574235622,61010,61010
1574250261,61016,61016
1574264893,61021,61021
1574279804,61029,61029
1574294427,61032,61032
1574309295,61045,61045
1574323942,61053,61053
1574338836,61065,61065
1574353467,61073,61073
1574368351,61085,61085
1574382976,61103,61103
1574397605,61107,61107
1574412247,61110,61110
1574426893,61113,61113
1574441565,61118,61118
1574456168,61119,61119
1574470842,61125,61125
1574485452,61128,61128
1574500115,61135,61135
1574514973,61138,61138
1574529623,61140,61140
1574544250,61156,61156
1574573547,61161,61161
1574588180,61167,61167
1574602806,61174,61174
1574617462,61179,61179
1574632374,61181,61181
1574646982,61197,61197
1574661855,61204,61204
1574676514,61209,61209
1574691142,61220,61220
1574705771,61224,61224
1574720417,61232,61232
1574735066,61238,61238
1574749934,61242,61242
1574764571,61248,61248
1574779210,61253,61253
1574793863,61256,61256
1574808489,61255,61255
1574823130,61264,61264
1574837783,61269,61269
1574852413,61268,61268
1574867310,61272,61272
1574881949,61276,61276
1574896808,61286,61286
1574911469,61288,61288
1574926351,61295,61295
1574940979,61312,61312
1574955609,61319,61319
1574970251,61337,61337
1574984892,61342,61342
1574999532,61357,61357
1575014425,61372,61372
1575029295,61376,61376
1575043947,61385,61385
1575058578,61393,61393
1575073223,61403,61403
1575087862,61407,61407
1575102734,61412,61412
1575117380,61424,61424
1575132006,61431,61431
1575146663,61440,61440
1575161290,61450,61450
1575175956,61458,61458
1575190569,61473,61473
1575205225,61485,61485
1575220107,61498,61498
1575234727,61519,61519
1575249368,61540,61540
1575264015,61560,61560
1575278667,61569,61569
1575293551,61587,61587
1575308424,61608,61608
1575323061,61630,61630
1575337948,61640,61640
1575352571,61652,61652
1575367228,61662,61662
1575382093,61680,61680
1575396975,61694,61694
1575411611,61718,61718
1575426247,61730,61730
1575440903,61744,61744
1575455530,61751,61751
1575470185,61774,61774
1575484826,61792,61792
1575499447,61811,61811
1575514105,61830,61830
1575528731,61847,61847
1575543368,61857,61857
1575558262,61871,61871
1575572893,61872,61872
1575587542,61887,61887
1575602180,61901,61901
1575616819,61913,61913
1575631467,61932,61932
1575646102,61947,61947
1575660755,61962,61962
1575675616,61974,61974
1575690251,61979,61979
1575704885,61992,61992
1575719528,62012,62012
1575734178,62024,62024
1575748812,62032,62032
1575763706,62050,62050
1575778335,62087,62087
1575793218,62109,62109
1575807847,62125,62125
1575822488,62152,62152
1575837142,62177,62177
1575851783,62209,62209
1575866406,62229,62229
1575881049,62252,62252
1575895941,62272,62272
1575910816,62292,62292
1575925694,62308,62308
1575940575,62326,62326
1575955206,62342,62342
