DateTime,AddedIPs,RemovedIPs
1579658406,237,171
1579660204,193,159
1579662005,211,125
1579663805,252,261
1579665604,186,146
1579667405,257,174
1579669204,258,197
1579671004,262,253
1579672804,232,253
1579674603,256,136
1579676404,260,179
1579678204,175,88
1579680004,409,799
1579681804,184,253
1579683604,284,217
1579685404,214,270
1579687204,204,258
1579689003,306,367
1579690803,311,152
1579692603,184,282
1579694404,290,159
1579696203,325,287
1579698003,198,275
1579699803,232,262
1579701604,293,241
1579703404,377,173
1579705204,289,184
1579707004,259,179
1579708804,315,208
1579710604,296,192
1579712404,420,247
1579714204,241,224
1579716004,304,259
1579717804,246,211
1579719604,288,222
1579721404,1069,162
1579723204,750,167
1579725004,334,833
1579726804,331,649
1579728604,321,513
1579730403,327,729
1579732204,301,882
1579734004,280,415
1579735805,289,380
1579737605,353,482
1579739405,246,296
1579741205,320,564
1579743005,204,359
1579744805,257,371
1579746605,222,262
1579748406,251,215
1579750205,225,472
1579752006,230,850
1579753805,225,590
1579755605,171,314
1579757405,189,278
1579759205,245,387
1579761005,242,328
1579762805,207,244
1579764604,216,301
1579766405,911,254
1579768204,516,134
1579770005,394,272
1579771805,407,218
1579773605,311,362
1579775404,355,419
1579777205,333,541
1579779004,362,511
1579780805,406,328
1579782606,374,336
1579784406,259,222
1579786206,285,298
1579788005,303,337
1579789806,260,911
1579791605,328,638
1579793406,318,554
1579795207,210,308
1579797007,261,268
1579798808,281,182
1579800607,186,279
1579802406,303,233
1579804208,312,309
1579806008,259,309
1579807807,256,324
1579809606,595,280
1579811407,689,350
1579813208,1256,410
1579815008,1679,605
1579816807,993,360
1579818609,528,339
1579820408,506,184
1579822208,421,169
1579824007,383,277
1579825808,480,371
1579827607,365,232
1579829407,381,198
1579831207,371,384
1579833007,336,638
1579834807,286,784
1579836622,254,1039
1579838408,143,798
1579840207,101,514
1579842006,72,29
1579843806,103,30
1579845606,66,26
1579847406,93,23
1579849205,89,11
1579851006,166,34
1579852806,135,65
1579854605,118,38
1579856405,160,75
1579858204,178,76
1579860003,415,378
1579861804,210,613
1579863603,133,496
1579865403,142,445
1579867203,128,391
1579869003,125,433
1579870802,167,400
1579872602,127,354
1579874402,197,368
1579876202,157,367
1579878001,389,277
1579879802,155,262
1579881601,124,223
1579883401,215,129
1579885201,321,72
1579887001,985,79
1579888801,1371,55
1579890603,485,64
1579892402,390,71
1579894202,227,72
1579896003,243,140
1579897804,246,108
1579899603,193,110
1579901404,246,151
1579903204,274,133
1579905004,253,242
1579906804,333,107
1579908604,209,266
1579910404,229,2916
1579912204,288,1460
1579914004,295,312
1579915804,312,461
1579917604,262,316
1579919405,249,173
1579921205,228,167
1579923004,306,125
1579924804,194,130
1579926605,300,226
1579928405,195,153
1579930206,203,176
1579932004,1083,411
1579933805,545,274
1579935605,365,260
1579937405,294,241
1579939205,227,114
1579941005,235,204
1579942804,248,123
1579944605,267,101
1579946404,230,148
1579948205,256,146
1579950004,222,203
1579951804,202,182
1579953604,205,167
1579955405,185,281
1579957204,194,227
1579959004,246,351
1579960804,199,380
1579962604,762,293
1579964404,1141,305
1579966204,867,865
1579968005,451,963
1579969804,478,734
1579971605,467,394
1579973404,487,541
1579975205,715,554
1579977005,881,432
1579978804,610,203
1579980604,507,257
1579982404,507,206
1579984205,432,170
1579986005,424,930
1579987805,413,727
1579989604,415,595
1579991406,377,547
1579993205,430,358
1579995005,409,340
1579996807,373,539
1579998607,329,477
1580000406,300,481
1580002206,321,659
1580004006,401,785
1580005806,248,798
1580007606,332,779
1580009406,389,766
1580011207,352,565
1580013006,312,523
